========================================
net_sender_li (pinger) — Scenario 3 reversed
EB corbos Linux Network Determinism
Metric: Round-Trip Latency (RTL)
========================================
Target:       10.0.1.1:5000
Probes:       2000
Protocol:     UDP
Period:       1 ms
Msg size:     64 B
Flood rate:   0 Mbps
Echo timeout: 10 ms

net_sender_li: SCHED_FIFO OK (priority 90)
Sending HELLO to 10.0.1.1:5000 (protocol=UDP)...
HELLO_ACK received — protocol=UDP
Starting ping-echo loop (2000 probes at 1 ms period)...


========== NET SENDER_LI (PINGER) RESULTS ==========
Probes sent:        2000
Echoes received:    2000
Lost (no echo):        8 (0.400%)
Elapsed:           13.174 s
RTL (us):
  Mean: 6555.347    Std dev: 787.815
  Min:  4666.096    Max:     15271.504
  P50:  6570.032    P95:     7635.808
  P99:  8610.944    P99.9:   14566.432
IAJ (us):
  Mean: 5560.725    Std dev: 685.375
  Min:  3683.024    Max:     8548.928
  P50:  5598.752    P95:     6625.072
  P99:  7417.632    P99.9:   8527.296
===CSV_START===
index,send_time_ns,recv_time_ns,rtl_ns,iaj_ns
0,544733053984,544741141872,8087888,7399904
1,544741326064,544749541776,8215712,8410320
2,544749681440,544758952096,9270656,7436496
3,544758999968,544767388592,8388624,6438096
4,544767404656,544774826688,7422032,6948320
5,544774843024,544785761344,10918320,7417632
6,544785812896,544793709664,7896768,7203088
7,544793726528,544802127296,8400768,6410288
8,544802143168,544810330384,8187216,4955696
9,544810346768,544817740672,7393904,5536640
10,544817756720,544823696368,5939648,5912688
11,544823711216,544830233008,6521792,8054192
12,544830274656,544837145696,6871040,7661488
13,544837168624,544846199888,9031264,7644656
14,544846216224,544854861376,8645152,6284000
15,544854877792,544866043600,11165808,6078960
16,544866077312,544874688256,8610944,5729072
17,544874703376,544881972256,7268880,6203440
18,544881988016,544889051216,7063200,6839536
19,544889066816,544895780288,6713472,6154208
20,544895795008,544902983728,7188720,4754432
21,544902999776,544910823264,7823488,6089792
22,544910838832,544917977472,7138640,5986960
23,544917992704,544923731904,5739200,8384784
24,544923746464,544930821696,7075232,5980016
25,544930838144,544937808656,6970512,5992800
26,544937824528,544947193440,9368912,5665616
27,544947209920,544954173456,6963536,5912768
28,544954188144,544961166256,6978112,6096416
29,544961181776,544967831872,6650096,6984880
30,544967847264,544974744640,6897376,5188512
31,544974759312,544981841056,7081744,6321232
32,544981856544,544989825936,7969392,5556928
33,544989841120,544996014448,6173328,6103232
34,544996029520,545003335680,7306160,5128288
35,545003350032,545009892608,6542576,7514112
36,545009907680,545016995840,7088160,6094784
37,545017011584,545023124128,6112544,6621776
38,545023138896,545031638240,8499344,6573088
39,545031694144,545038733024,7038880,4880752
40,545038748320,545046354800,7606480,6115504
41,545046370784,545053927888,7557104,5787376
42,545053991424,545059808640,5817216,4592160
43,545059823600,545066924144,7100544,5300496
44,545067004448,545073711520,6707072,4777376
45,545073726944,545079303680,5576736,5943744
46,545079318096,545085604176,6286080,5598144
