========================================
net_sender_li (pinger) — Scenario 3 reversed
EB corbos Linux Network Determinism
Metric: Round-Trip Latency (RTL)
========================================
Target:       10.0.1.1:5000
Probes:       2000
Protocol:     UDP
Period:       1 ms
Msg size:     64 B
Flood rate:   0 Mbps
Echo timeout: 10 ms

net_sender_li: SCHED_FIFO OK (priority 90)
Sending HELLO to 10.0.1.1:5000 (protocol=UDP)...
HELLO_ACK received — protocol=UDP
Starting ping-echo loop (2000 probes at 1 ms period)...


========== NET SENDER_LI (PINGER) RESULTS ==========
Probes sent:        2000
Echoes received:    1767
Lost (no echo):      246 (12.300%)
Elapsed:           13.087 s
RTL (us):
  Mean: 6834.906    Std dev: 892.651
  Min:  4890.752    Max:     18481.408
  P50:  6801.696    P95:     7945.168
  P99:  8937.152    P99.9:   16856.528
IAJ (us):
  Mean: 5813.272    Std dev: 663.522
  Min:  3971.760    Max:     8862.016
  P50:  5824.080    P95:     6937.584
  P99:  7403.664    P99.9:   8330.224
===CSV_START===
index,send_time_ns,recv_time_ns,rtl_ns,iaj_ns
0,884794142512,884801305984,7163472,6726160
1,884801662064,884809032144,7370080,5916304
2,884809186784,884815948448,6761664,6742912
3,884815981824,884823691360,7709536,6899392
4,884823707792,884831590752,7882960,6984240
5,884831606512,884839574992,7968480,6601376
6,884839594544,884847176368,7581824,7116240
7,884847192352,884855292608,8100256,6484448
8,884855309024,884862777056,7468032,7969440
9,884862809344,884871746496,8937152,7204400
10,884871762976,884879950896,8187920,6863024
11,884879975712,884887813920,7838208,5953456
12,884887829920,884894767376,6937456,8010528
13,884894783760,884903777904,8994144,6813120
14,884903794352,884911591024,7796672,6243344
15,884911606960,884918834368,7227408,7007008
16,884918850624,884926841376,7990752,7309936
17,884926857712,884935151312,8293600,5695968
18,884935167776,884941847280,6679504,6243072
19,884941863488,884949090352,7226864,5168720
20,884949106096,884955259072,6152976,5827952
21,884955275360,884962087024,6811664,6116080
22,884962102784,884969203104,7100320,6890304
23,884969272256,884977093408,7821152,5863952
24,884977109232,884983957360,6848128,6327760
25,884983973536,884991285120,7311584,5899120
26,884991301520,884998184240,6882720,6060224
27,884998199792,885005244464,7044672,5780496
28,885005261040,885012024960,6763920,6316496
29,885012849680,885019341456,6491776,6418864
30,885019356864,885026760320,7403456,6015408
31,885026775344,885033775728,7000384,6373664
32,885033791600,885041149392,7357792,5434112
33,885041165232,885047583504,6418272,6174272
34,885047598864,885054757776,7158912,5936624
35,885054773408,885061694400,6920992,5035648
36,885061711776,885067730048,6018272,6807696
37,885067746320,885075537744,7791424,6631120
38,885075553344,885083168864,7615520,6691776
39,885083184416,885090860640,7676224,6731072
40,885090877024,885098591712,7714688,6543472
41,885098608080,885106135184,7527104,4888976
42,885106152112,885112024160,5872048,6266640
43,885112796448,885119290800,6494352,6112032
44,885119306224,885126402832,7096608,7189936
45,885126544016,885134592768,8048752,6110752
46,885134608736,885141703520,7094784,5057264
47,885141719456,885147760784,6041328,6528272
48,885147776192,885155289056,7512864,6491440
49,885155303936,885162780496,7476560,6059424
50,885162795520,885169839920,7044400,6309760
51,885169855232,885177149680,7294448,5596224
52,885177164736,885183745904,6581168,6231008
53,885183760656,885190976912,7216256,6888032
54,885190992112,885198864944,7872832,5706784
55,885198880576,885205571728,6691152,5130784
56,885205587104,885211702512,6115408,6119632
57,885211717792,885218822144,7104352,6193280
58,885218837648,885226015424,7177776,6090848
59,885226030480,885233106272,7075792,5692736
60,885233121584,885239799008,6677424,6013184
61,885239814208,885246812192,6997984,5840992
62,885246826592,885253653184,6826592,6596560
63,885253670768,885261249744,7578976,7509664
64,885261268928,885269759408,8490480,7016912
65,885269775232,885277776320,8001088,6914048
66,885277792448,885285690368,7897920,7198992
67,885285706352,885293889360,8183008,7001040
68,885293942768,885301890400,7947632,6422352
69,885301942224,885309312752,7370528,5101520
70,885309328576,885315414272,6085696,6547696
71,885315551168,885322961968,7410800,6894320
72,885322977200,885330856288,7879088,5805856
73,885330871488,885337662144,6790656,5122784
74,885337684864,885343784928,6100064,5901472
75,885343799584,885350686400,6886816,6015136
76,885350700368,885357701536,7001168,5099568
77,885357716704,885363801104,6084400,6252400
78,885363816256,885371053504,7237248,6772880
79,885371068816,885378826384,7757568,6895280
80,885378841808,885386721664,7879856,5581920
81,885386736976,885393303584,6566608,5405808
82,885393319472,885399709392,6389920,6291200
83,885399725104,885407000592,7275488,5693360
84,885407020208,885413693952,6673744,5042144
85,885413709168,885419736096,6026928,6072864
86,885419751424,885426808960,7057536,6561200
87,885426824560,885434370160,7545600,5899344
88,885434399040,885441269504,6870464,5334208
89,885441285072,885447603712,6318640,6395728
90,885447680256,885454999440,7319184,6157200
91,885455014560,885462156640,7142080,6813872
92,885462171808,885469970512,7798704,4861040
93,885469986192,885475831552,5845360,6900752
94,885475846464,885483732304,7885840,6412592
95,885483747904,885491144896,7396992,6662208
96,885491160064,885498807104,7647040,6963040
97,885498822592,885506770144,7947552,6118496
98,885506786032,885513888640,7102608,5914096
99,885513941200,885520802736,6861536,5806896
100,885520817504,885527609632,6792128,6441888
101,885527669504,885535051520,7382016,6524992
102,885535067152,885542576512,7509360,5621536
103,885542592240,885549198048,6605808,5541120
104,885549257008,885555739168,6482160,6847568
105,885555754816,885563586736,7831920,5535552
106,885563602736,885570122288,6519552,6199264
107,885570137376,885577321552,7184176,5454208
108,885577337008,885583775760,6438752,6335584
109,885583790896,885591111344,7320448,6629728
110,885591126592,885598741072,7614480,6342576
111,885598757088,885606083648,7326560,4902752
112,885606099360,885611986400,5887040,6281488
113,885612001952,885619267888,7265936,5775280
114,885619285776,885626043168,6757392,6014864
115,885626076656,885633058032,6981376,5322624
116,885633073856,885639380656,6306800,5897136
117,885639503120,885646277792,6774672,6008896
118,885646293248,885653286688,6993440,5248608
119,885653329552,885659535296,6205744,5579760
120,885659559824,885666115056,6555232,4838480
121,885666131296,885671953536,5822240,5863808
122,885671976128,885678817344,6841216,6458800
123,885678832176,885686276144,7443968,6499792
124,885686292032,885693775936,7483904,5096864
125,885693792240,885699872800,6080560,6836848
126,885699888336,885707709648,7821312,6556704
127,885707725440,885715266352,7540912,6458624
128,885715282256,885722724976,7442720,7264528
129,885722740528,885730989504,8248976,6875616
130,885731005920,885738865120,7859200,6693808
131,885738880624,885746558928,7678304,5619312
132,885746574448,885753178240,6603792,5659712
133,885753192848,885759837952,6645104,6227712
134,885759853296,885767065664,7212368,5776496
135,885767079888,885773842160,6762272,6105552
136,885773856976,885780947712,7090736,6954624
137,885780964864,885788902336,7937472,5898560
138,885788960448,885795800896,6840448,6254352
139,885795815296,885803055248,7239952,5934352
140,885803069808,885809989600,6919792,5895776
141,885810004208,885816885376,6881168,5949008
142,885816947952,885823834384,6886432,6135648
143,885823849744,885830970032,7120288,6780416
144,885830986480,885838750448,7763968,6193904
145,885838765808,885845944352,7178544,6107216
146,885845963952,885853051568,7087616,5400336
147,885853066592,885859451904,6385312,5857728
148,885859527376,885866309632,6782256,5774656
149,885866325200,885873084288,6759088,5581824
150,885873100336,885879666112,6565776,7101120
151,885879681680,885887767232,8085552,6545568
152,885887783008,885895312800,7529792,5770320
153,885895328032,885902083120,6755088,7772528
154,885902098368,885910855648,8757280,6880496
155,885910871840,885918736144,7864304,6062544
156,885918751696,885925798688,7046992,4967776
157,885925814368,885931766464,5952096,6332176
158,885931782176,885939098640,7316464,6735008
159,885939114304,885946833648,7719344,6027216
160,885946848976,885953860864,7011888,4748240
161,885953875536,885959609104,5733568,5208032
162,885959668208,885965817136,6148928,4953536
163,885965831312,885971770672,5939360,6236336
164,885971785744,885979007008,7221264,6554256
165,885979022128,885986561264,7539136,6217504
166,885986576368,885993778768,7202400,4930592
