========================================
net_sender_li (pinger) — Scenario 3 reversed
EB corbos Linux Network Determinism
Metric: Round-Trip Latency (RTL)
========================================
Target:       10.0.1.1:5000
Probes:       2000
Protocol:     UDP
Period:       1 ms
Msg size:     64 B
Flood rate:   0 Mbps
Echo timeout: 10 ms

net_sender_li: SCHED_FIFO OK (priority 90)
Sending HELLO to 10.0.1.1:5000 (protocol=UDP)...
HELLO_ACK received — protocol=UDP
Starting ping-echo loop (2000 probes at 1 ms period)...


========== NET SENDER_LI (PINGER) RESULTS ==========
Probes sent:        2000
Echoes received:    1002
Lost (no echo):     1010 (50.500%)
Elapsed:           10.698 s
RTL (us):
  Mean: 6668.209    Std dev: 1029.452
  Min:  4980.416    Max:     16077.648
  P50:  6499.024    P95:     8166.272
  P99:  10287.824    P99.9:   14623.184
IAJ (us):
  Mean: 5623.083    Std dev: 816.966
  Min:  3995.072    Max:     8988.368
  P50:  5512.416    P95:     7030.192
  P99:  8225.696    P99.9:   8988.368
===CSV_START===
index,send_time_ns,recv_time_ns,rtl_ns,iaj_ns
0,699251397936,699258998928,7600992,5989424
1,699259163952,699265988352,6824400,7015760
2,699266177008,699274004112,7827104,6169360
3,699274019024,699281173472,7154448,5606784
4,699281195088,699287780256,6585168,8058752
5,699287793232,699296839008,9045776,5737152
6,699296852144,699303576160,6724016,7012400
7,699303589136,699311588560,7999424,7202096
8,699311601488,699319790656,8189168,6134208
9,699319807328,699326924864,7117536,6098032
10,699326937552,699334022896,7085344,4890672
11,699334041952,699339913568,5871616,8261920
12,699339927040,699349175488,9248448,5536448
13,699349188656,699355711936,6523280,7283104
14,699355725488,699363995040,8269552,8225696
15,699364007584,699373220736,9213152,5264832
16,699373233344,699379485568,6252224,6899088
17,699379548000,699387384656,7836656,6286992
18,699387397376,699394671648,7274272,6014240
19,699394735936,699401685888,6949952,4479904
20,699401699584,699407165792,5466208,7224064
21,699407178144,699415389856,8211712,5773472
22,699415401968,699422163328,6761360,4400672
23,699422176992,699427564000,5387008,5515488
24,699427576320,699434079488,6503168,4169792
25,699434091504,699439249280,5157776,5037552
26,699439261424,699445286832,6025408,4802048
27,699445298656,699451088880,5790224,5222224
28,699451100704,699457311104,6210400,4829936
29,699457323072,699463141040,5817968,5776128
30,699463180048,699469917168,6737120,4873712
31,699469930544,699475790880,5860336,5118080
32,699475803664,699481908960,6105296,4659248
33,699481924000,699487568208,5644208,6138048
34,699487580192,699494706256,7126064,6256272
35,699494721232,699501962528,7241296,4773360
36,699501975280,699507735888,5760608,5947904
37,699507747728,699514683792,6936064,5778816
38,699514718736,699521462608,6743872,4435456
39,699521475040,699526898064,5423024,6075392
40,699526910304,699533973456,7063152,4595216
41,699534006720,699539568672,5561952,5844576
42,699539581360,699546413248,6831888,5715824
43,699546426240,699553129072,6702832,5381104
44,699553144320,699559510176,6365856,5118400
45,699559524576,699565628576,6104000,4768672
46,699565641376,699571397248,5755872,7180656
47,699571411632,699579577904,8166272,6468048
48,699579589856,699587045952,7456096,5648400
49,699587059664,699593694352,6634688,4775248
