========================================
net_sender_li (pinger) — Scenario 3 reversed
EB corbos Linux Network Determinism
Metric: Round-Trip Latency (RTL)
========================================
Target:       10.0.1.1:5000
Probes:       2000
Protocol:     UDP
Period:       1 ms
Msg size:     64 B
Flood rate:   0 Mbps
Echo timeout: 10 ms

net_sender_li: SCHED_FIFO OK (priority 90)
Sending HELLO to 10.0.1.1:5000 (protocol=UDP)...
HELLO_ACK received — protocol=UDP
Starting ping-echo loop (2000 probes at 1 ms period)...


========== NET SENDER_LI (PINGER) RESULTS ==========
Probes sent:        2000
Echoes received:    2000
Lost (no echo):       64 (3.200%)
Elapsed:           13.305 s
RTL (us):
  Mean: 6618.078    Std dev: 1435.475
  Min:  3938.992    Max:     21251.984
  P50:  6317.744    P95:     8926.176
  P99:  12728.352    P99.9:   20482.864
IAJ (us):
  Mean: 5472.836    Std dev: 990.077
  Min:  2952.384    Max:     8959.808
  P50:  5320.048    P95:     7383.264
  P99:  8154.496    P99.9:   8827.712
===CSV_START===
index,send_time_ns,recv_time_ns,rtl_ns,iaj_ns
0,580100998208,580109314768,8316560,5191200
1,580109490464,580115505968,6015504,5486944
2,580115687904,580121992912,6305008,3894960
3,580122006368,580126887872,4881504,5398896
4,580126901952,580133286768,6384816,4798560
5,580133300512,580139085328,5784816,4058400
6,580139098112,580144143728,5045616,5286480
7,580144156592,580150430208,6273616,4256384
8,580150443072,580155686592,5243520,5023248
9,580155699424,580161709840,6010416,4749648
10,580161722192,580167459488,5737296,4730832
11,580167471680,580173190320,5718640,4231984
12,580173202528,580178422304,5219776,3971120
13,580178435184,580183393424,4958240,3486112
14,580183405936,580187879536,4473600,5093984
15,580187892208,580193973520,6081312,6262608
16,580193987088,580201236128,7249040,4497264
17,580201249328,580206733392,5484064,5032624
18,580206745712,580212766016,6020304,5417872
19,580212779200,580219183888,6404688,5442752
20,580219196656,580225626640,6429984,6239952
21,580225639648,580232866592,7226944,5526336
22,580232879968,580239392928,6512960,5652944
23,580239405600,580246045872,6640272,4563328
24,580246058800,580251609200,5550400,7029696
25,580251623296,580259638896,8015600,7218112
26,580259652912,580267857008,8204096,5878064
27,580267870272,580274735072,6864800,7397520
