========================================
net_sender_li (pinger) — Scenario 3 reversed
EB corbos Linux Network Determinism
Metric: Round-Trip Latency (RTL)
========================================
Target:       10.0.1.1:5000
Probes:       2000
Protocol:     UDP
Period:       1 ms
Msg size:     64 B
Flood rate:   0 Mbps
Echo timeout: 10 ms

net_sender_li: SCHED_FIFO OK (priority 90)
Sending HELLO to 10.0.1.1:5000 (protocol=UDP)...
HELLO_ACK received — protocol=UDP
Starting ping-echo loop (2000 probes at 1 ms period)...


========== NET SENDER_LI (PINGER) RESULTS ==========
Probes sent:        2000
Echoes received:    1062
Lost (no echo):      954 (47.700%)
Elapsed:           11.268 s
RTL (us):
  Mean: 6342.928    Std dev: 1271.162
  Min:  3851.392    Max:     17514.784
  P50:  6165.296    P95:     8139.872
  P99:  11199.184    P99.9:   16943.360
IAJ (us):
  Mean: 5274.112    Std dev: 965.267
  Min:  2865.264    Max:     9010.400
  P50:  5175.424    P95:     6946.176
  P99:  7832.656    P99.9:   8487.424
===CSV_START===
index,send_time_ns,recv_time_ns,rtl_ns,iaj_ns
0,524613242080,524619441344,6199264,6250624
1,524619599152,524626691968,7092816,7950560
2,524626853344,524635642528,8789184,6121104
3,524635655680,524642763632,7107952,7217472
4,524642775920,524650981104,8205184,5061472
5,524651002208,524657042576,6040368,4685520
6,524657056080,524662728096,5672016,6037760
7,524662740592,524669765856,7025264,4567200
8,524669779136,524675333056,5553920,3674544
9,524675345296,524680007600,4662304,5549872
10,524680020224,524686557472,6537248,5520848
11,524686570864,524698258896,11688032,4390848
12,524698308816,524704779744,6470928,4078192
13,524704792768,524710170592,5377824,5399728
14,524710211264,524715248784,5037520,5070976
15,524715262544,524721648512,6385968,4696672
16,524721689728,524727719488,6029760,6676464
17,524727731696,524733416160,5684464,5428320
18,524733428688,524741092624,7663936,5192192
19,524741105616,524747520944,6415328,6620992
20,524747533648,524753713136,6179488,4397552
21,524753725664,524761334128,7608464,4271632
22,524761346624,524766731680,5385056,9010400
23,524766744064,524772003312,5259248,6937696
24,524772015424,524782013712,9998288,3894080
25,524782026400,524789951408,7925008,5465504
26,524789964096,524794845488,4881392,5434416
27,524794857856,524801310992,6453136,6187248
28,524801330448,524807745408,6414960,7301568
29,524807759600,524814932656,7173056,5293952
30,524814986496,524823234224,8247728,5154752
