========================================
net_sender_li (pinger) — Scenario 3 reversed
EB corbos Linux Network Determinism
Metric: Round-Trip Latency (RTL)
========================================
Target:       10.0.1.1:5000
Probes:       2000
Protocol:     UDP
Period:       1 ms
Msg size:     64 B
Flood rate:   0 Mbps
Echo timeout: 10 ms

net_sender_li: SCHED_FIFO OK (priority 90)
Sending HELLO to 10.0.1.1:5000 (protocol=UDP)...
HELLO_ACK received — protocol=UDP
Starting ping-echo loop (2000 probes at 1 ms period)...


========== NET SENDER_LI (PINGER) RESULTS ==========
Probes sent:        2000
Echoes received:     479
Lost (no echo):     1533 (76.650%)
Elapsed:           9.507 s
RTL (us):
  Mean: 6746.447    Std dev: 1296.019
  Min:  4471.200    Max:     13961.888
  P50:  6536.272    P95:     8713.232
  P99:  12160.240    P99.9:   13961.888
IAJ (us):
  Mean: 5647.035    Std dev: 1019.876
  Min:  3488.608    Max:     9947.248
  P50:  5526.896    P95:     7419.776
  P99:  8038.960    P99.9:   9947.248
===CSV_START===
index,send_time_ns,recv_time_ns,rtl_ns,iaj_ns
0,973555480688,973565762864,10282176,6771952
1,973565940768,973573534816,7594048,5260432
2,973573684736,973579795248,6110512,9947248
3,973579838224,973592046384,12208160,6324672
4,973593061232,973602993632,9932400,6218928
5,973603014976,973610318304,7303328,7461232
6,973610333040,973617537232,7204192,6323584
7,973617551072,973625998464,8447392,4223440
8,973626012384,973633322048,7309664,5908256
9,973633337104,973638545488,5208384,4951536
10,973638559184,973645453744,6894560,5051536
11,973645488352,973651405280,5916928,4805968
12,973651419296,973657456816,6037520,5107216
13,973657503088,973663262784,5759696,7200656
14,973663276768,973669370000,6093232,4824960
15,973669385120,973677570656,8185536,5172560
16,973677584480,973683395616,5811136,4121376
17,973683409184,973689568176,6158992,6401104
18,973689582832,973694689552,5106720,4431168
19,973694703200,973702090656,7387456,4999808
20,973702123856,973707521824,5397968,4309664
21,973707535312,973713521632,5986320,6049632
22,973713536128,973718831296,5295168,6710800
23,973718844864,973725880928,7036064,4297728
24,973725894688,973733591728,7697040,6409968
25,973733606528,973738889456,5282928,6797440
26,973738903184,973746299424,7396240,5714992
27,973746317504,973758427008,12109504,4415248
28,973758442192,973766224448,7782256,5844352
29,973766239200,973772939440,6700240,4414800
30,973772981088,973778354688,5373600,6559248
31,973778370320,973785199040,6828720,3969824
32,973785213392,973790613840,5400448,5301168
33,973790627904,973798173088,7545184,5170896
34,973798187440,973803142912,4955472,6049584
35,973803156624,973809444080,6287456,6054112
36,973809499696,973815614976,6115280,3815872
37,973815629120,973822664560,7035440,4456688
38,973822707712,973829718672,7010960,6527440
39,973829733664,973834534544,4800880,5250144
40,973834548096,973839991232,5443136,3967456
41,973840004080,973847518672,7514592,6286416
42,973847533280,973853768816,6235536,4328032
43,973853783296,973858736272,4952976,6627504
44,973858749488,973866022688,7273200,5662848
45,973866036432,973871350720,5314288,4894400
46,973872014400,973878978224,6963824,4717936
47,973878992016,973885641072,6649056,4405168
48,973885654864,973891535472,5880608,5562464
49,973891549632,973897253408,5703776,4789792
50,973897269376,973902658576,5389200,6317248
51,973902672640,973909221040,6548400,6979184
52,973909243536,973915010832,5767296,6372064
53,973915033952,973922328080,7294128,6074608
54,973922344528,973930307264,7962736,5036384
55,973930322176,973937679328,7357152,6196320
56,973937702208,973944753936,7051728,4334880
57,973944767392,973950790320,6022928,6186224
58,973950860992,973957986640,7125648,6046256
59,973958002400,973963321520,5319120,4186352
60,973963344400,973970507744,7163344,7883168
61,973970522544,973977554000,7031456,6132304
62,973977567920,973982740352,5172432,5827488
63,973982754272,973991623520,8869248,5324656
64,973991637248,973998755824,7118576,5716960
65,973998770560,974005583312,6812752,5970480
66,974005597792,974011907968,6310176,7728016
67,974011922208,974018624928,6702720,3964960
68,974018639520,974025595408,6955888,5898448
69,974025610192,974034323424,8713232,4714080
70,974034338592,974039288384,4949792,5835328
71,974039302368,974046186832,6884464,6155200
72,974046201952,974051900912,5698960,4111408
73,974051914672,974058736240,6821568,6289472
74,974058750240,974065891440,7141200,7734800
75,974065906000,974071002848,5096848,5316128
76,974071016416,974078292320,7275904,6702336
77,974078314176,974087027120,8712944,4449104
78,974087041376,974093343248,6301872,6022000
79,974093358912,974101045584,7686672,7473072
80,974101060352,974106494688,5434336,4601584
81,974106512816,974113516688,7003872,6262128
82,974113542080,974121989760,8447680,6573696
83,974122003584,974127591344,5587760,4473088
84,974127605392,974134853472,7248080,6441504
85,974134867072,974142427168,7560096,4528960
86,974142441104,974147900256,5459152,5852720
87,974147914224,974155341760,7427536,6896064
88,974155356544,974160870720,5514176,5060720
89,974160886288,974167723440,6837152,4226592
90,974167744768,974175619504,7874736,5336704
91,974175633232,974181680224,6046992,4989808
92,974181696016,974186906816,5210800,5356736
93,974186920784,974193243520,6322736,4371280
94,974193294240,974199233328,5939088,5512064
95,974199247488,974205590064,6342576,4573392
96,974205603776,974210961344,5357568,5446064
97,974210975200,974217473408,6498208,4432768
98,974217490832,974223046800,5555968,5587456
99,974223098672,974229492864,6394192,7033456
100,974229507888,974234925632,5417744,5010416
101,974234977824,974241513088,6535264,4583664
102,974241526960,974249546544,8019584,5444352
103,974249588896,974255556960,5968064,6141088
104,974255570832,974261140624,5569792,5949280
105,974261154144,974267584976,6430832,6564560
106,974267597808,974274726064,7128256,5138352
107,974274741888,974281675344,6933456,5025920
108,974281697392,974289239904,7542512,7004432
109,974289256352,974295378256,6121904,5242560
110,974295392000,974301404176,6012176,5531056
111,974301417616,974309408608,7990992,7058544
112,974309422176,974315651168,6228992,4553328
113,974315698384,974322182224,6483840,5588400
114,974322196912,974330240768,8043856,6127840
115,974330255440,974335794096,5538656,5096864
116,974335846224,974342382496,6536272,5266384
117,974342396816,974349510336,7113520,5999936
118,974349524912,974355607200,6082288,5477520
119,974355621648,974361873584,6251936,5501440
120,974361887360,974368873520,6986160,4429312
121,974368888160,974375351040,6462880,3742000
122,974375365680,974381852480,6486800,5495168
123,974381867232,974387281792,5414560,6710160
124,974387295408,974392023792,4728384,4800208
125,974392038320,974398518960,6480640,6759536
126,974398532112,974406229120,7697008,5912576
127,974406243760,974412029328,5785568,6060576
128,974412043584,974419788864,7745280,5360704
129,974419848672,974426701440,6852768,6586368
130,974426715872,974433762016,7046144,6432592
131,974433776960,974440122720,6345760,4411744
132,974440738496,974447709088,6970592,5591936
133,974447726032,974458024176,10298144,5257824
134,974458039024,974465456768,7417744,6994224
135,974465515840,974470868512,5352672,5894960
136,974470882304,974477460448,6578144,5910288
137,974477502112,974483718272,6216160,6463232
138,974483734688,974491712496,7977808,4931328
139,974491760656,974498607456,6846800,5791616
140,974498620928,974505517744,6896816,4535856
141,974505533168,974512980976,7447808,4842880
142,974512996784,974518912304,5915520,5359216
143,974518925632,974525703920,6778288,6111328
144,974525717248,974531239776,5522528,4478768
145,974531253040,974537082656,5829616,6630464
146,974537170688,974543441872,6271184,6165424
147,974543455024,974550553200,7098176,6706624
148,974550567488,974556031968,5464480,7013920
149,974556045648,974563662432,7616784,5958800
150,974563676848,974570827856,7151008,4363904
151,974570857168,974578534480,7677312,6920176
152,974578556560,974586548400,7991840,5526896
153,974586562880,974593507200,6944320,4514672
154,974593520704,974598871104,5350400,5208192
155,974598884560,974606791280,7906720,4665184
156,974606857056,974613318176,6461120,5023904
157,974613331616,974618832848,5501232,5266720
158,974618847456,974625041040,6193584,5241408
159,974625054688,974630706224,5651536,4206544
160,974630719744,974636730128,6010384,5815152
161,974636749936,974642996848,6246912,4480736
162,974643010080,974649238256,6228176,7696768
163,974649252000,974654444800,5192800,5010032
164,974654509216,974661259952,6750736,3898032
165,974661281024,974666740688,5459664,4039840
166,974666754032,974675437456,8683424,6912464
167,974675451936,974681447488,5995552,5230112
168,974681469616,974686345520,4875904,8065264
169,974686358832,974691385360,5026528,5152368
170,974691410032,974699297824,7887792,5310544
171,974699312720,974705527936,6215216,5797360
172,974705542944,974714593200,9050256,7144544
173,974714607648,974720745568,6137920,4733168
174,974720760208,974727056112,6295904,6800592
175,974727143568,974733853472,6709904,5719696
176,974733867232,974741998016,8130784,6614752
177,974742011952,974753655632,11643680,4985312
178,974753690112,974759388800,5698688,4817120
179,974759403424,974767189392,7785968,5211328
180,974767230256,974773909088,6678832,5671264
181,974773923104,974781523840,7600736,4464240
182,974781538640,974787509152,5970512,5068672
183,974787522768,974793326272,5803504,4581872
184,974793340480,974799537600,6197120,5209488
185,974799550944,974806208864,6657920,4757616
186,974806222784,974811673104,5450320,5295728
187,974811687664,974817741776,6054112,6334208
188,974817754816,974823323648,5568832,4983024
189,974823337792,974829533136,6195344,6395888
190,974829546816,974835290752,5743936,4438960
191,974835303504,974841586480,6282976,4995216
192,974841600944,974848920688,7319744,3830752
193,974848935216,974854903712,5968496,7608160
194,974854917504,974862299600,7382096,7597200
195,974862313408,974867738560,5425152,5376208
196,974867751744,974873733776,5982032,4132336
197,974873746848,974878564528,4817680,4888864
198,974878578288,974887172688,8594400,5192400
199,974887186368,974895769888,8583520,4937312
200,974895822224,974902146096,6323872,5235536
201,974902247600,974907278432,5030832,5240048
202,974907292208,974913167296,5875088,4562240
203,974913184464,974919359696,6175232,5268304
204,974919374208,974925297008,5922800,4572000
205,974925311920,974931532544,6220624,6586880
206,974931546608,974937772592,6225984,6467264
207,974937787264,974943334832,5547568,5910736
208,974943348464,974949603136,6254672,5891552
209,974949616544,974955175136,5558592,5846208
210,974955190032,974962762016,7571984,5540336
211,974962776608,974970229280,7452672,4161968
212,974970243920,974977140016,6896096,6054384
213,974977194256,974984031568,6837312,4254816
214,974984046912,974990877776,6830864,5806464
215,974990892192,974997418112,6525920,3818528
216,974997434272,975002580080,5145808,5739088
217,975002594640,975009634464,7039824,5118256
218,975009650560,975014889280,5238720,5379216
219,975014904064,975021695744,6791680,4253808
220,975021710304,975026514272,4803968,5428096
221,975026529072,975033253360,6724288,5569680
222,975033326400,975039371616,6045216,6892192
223,975039385472,975045750832,6365360,6161664
224,975045766384,975051004640,5238256,5012528
225,975051019136,975057432736,6413600,4775840
226,975057448464,975064002416,6553952,6842624
227,975064020576,975071894608,7874032,5476480
228,975071910256,975079056272,7146016,5271616
229,975079070848,975085068800,5997952,7141248
230,975085153472,975090844640,5691168,7419776
231,975091618304,975098687264,7068960,6902768
232,975098708880,975105163744,6454864,6698976
233,975105177968,975111435360,6257392,5099376
234,975111450096,975119576608,8126512,4276064
235,975119593408,975127996384,8402976,5900176
236,975128012720,975135899152,7886432,6114576
237,975135915152,975143598128,7682976,4844640
238,975143612848,975149697504,6084656,5731424
239,975149713536,975154973568,5260032,4300528
240,975154987936,975161873744,6885808,5712816
241,975161889456,975168988320,7098864,6871264
242,975169010272,975174832960,5822688,6762592
243,975174847376,975181564384,6717008,8038960
244,975181580080,975186864912,5284832,4757184
245,975186880560,975193577728,6697168,6267696
246,975193593376,975201448992,7855616,5579632
247,975201505360,975209211584,7706224,4441008
248,975209227504,975218250544,9023040,4923888
249,975218265440,975224007728,5742288,4656576
250,975224022400,975231275424,7253024,5263888
251,975231291008,975237855056,6564048,4567952
252,975237869744,975243296064,5426320,6279056
253,975243310400,975249219952,5909552,3988144
254,975249234256,975254876528,5642272,5582192
255,975254892176,975261140416,6248240,5311520
256,975261202944,975266708368,5505424,7985920
257,975266722736,975273987424,7264688,5697776
258,975274003504,975278975568,4972064,5180352
259,975278990752,975285557760,6567008,6718336
260,975285573760,975291869280,6295520,5253536
261,975291884224,975300855200,8970976,6352528
262,975300876800,975307552976,6676176,5857856
263,975307568544,975313733328,6164784,7371312
264,975313747840,975321451664,7703824,5919200
265,975321514896,975327705200,6190304,4199200
266,975327720288,975335057728,7337440,4179664
267,975335072288,975341915584,6843296,5042752
268,975341956992,975350286896,8329904,5129072
269,975350310976,975357206096,6895120,5382240
270,975357220736,975362405296,5184560,4862928
271,975362420240,975367584960,5164720,7046144
272,975367599840,975373627712,6027872,6692768
273,975373643312,975379756784,6113472,6299376
274,975379771408,975386139024,6367616,5741584
275,975386153152,975392001952,5848800,4503408
276,975392016560,975400048096,8031536,5477024
277,975400853152,975407740864,6887712,6536336
278,975407756464,975415040240,7283776,7956928
279,975415054992,975421781824,6726832,4217440
280,975421841984,975427285232,5443248,5003776
281,975427300976,975433762256,6461280,4535152
282,975433776688,975441298592,7521904,5313776
283,975441320944,975450255520,8934576,4399840
284,975450307744,975455472960,5165216,5327760
285,975455508112,975461476736,5968624,4308992
286,975461517840,975467011888,5494048,7215888
287,975467028000,975473325664,6297664,5856416
288,975473340432,975478725504,5385072,7314752
289,975478739712,975485053264,6313552,6942816
290,975485069232,975490362256,5293024,7033552
291,975490376816,975498578144,8201328,5211664
292,975498592944,975505434560,6841616,8790368
293,975505449456,975513749312,8299856,4216432
294,975513764448,975521692128,7927680,4966288
295,975521744208,975529725680,7981472,4679680
296,975529740848,975535937344,6196496,5338672
297,975535997200,975545727712,9730512,5311632
298,975545743424,975550944144,5200720,4709808
299,975550968928,975556910432,5941504,5240256
300,975556925136,975562590112,5664976,5132400
301,975562604880,975568928784,6323904,5449760
302,975569000080,975575240416,6240336,7218576
303,975575257568,975580950224,5692656,6454400
304,975580966880,975587190480,6223600,6637296
305,975587205440,975593322880,6117440,6654704
306,975593338528,975599772640,6434112,7820896
