HI_NET_PING_START run=3
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
hi_net_ping: HELLO_ACK received
[echo] HELLO_ACK sent
[echo] run #3 — echoing probes
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:    2000
Lost (no echo):        0 (0.000%)
RTL (us):
Mean: 4163.871    Std dev: 1720.676
Min:  2310.976    Max:     23556.736
P50:  3734.704    P95:     6051.360
P99:  14304.656    P99.9:   22476.416
IAJ (us):
Mean: 3624.893    Std dev: 1845.695
Min:  1577.344    Max:     22903.392
P50:  3146.848    P95:     5782.112
P99:  14464.480    P99.9:   21892.976
===CSV_START===
index,rtl_ns,iaj_ns
0,5780288,4825648
1,4796432,5898400
2,6505744,4290960
3,5000832,5559824
4,6027040,3949024
5,4576352,3902688
6,4565904,4805360
7,4429376,4424080
8,4906288,5339056
9,5761568,3407536
10,3907088,4426464
11,4961936,5151136
12,5743536,3211040
13,3687712,3735040
14,4244656,3579328
15,4129120,3126224
16,3686336,4154160
17,4728704,4610752
18,4412784,3761824
19,4223232,2620848
20,3156368,3305392
21,3901600,3407136
22,3981104,3760192
23,4306592,4061216
24,3640208,3337552
25,3949472,3212384
26,3770880,3290400
27,3847568,3530000
28,4079760,3349648
29,3957264,2809488
30,3360624,3281408
31,3771232,3123312
32,3629744,2667088
33,3226224,3160032
34,3720736,3409360
35,4001440,3358832
36,3917856,5407184
37,5960160,3448464
38,3996848,3988672
39,4543536,3700512
40,4259136,4678864
41,4639840,3610256
42,4235056,3858512
43,4506608,3020976
44,3688784,3100480
45,3786160,3014544
46,3646096,2581696
47,3216320,2632928
48,3248528,3507632
49,4215168,2873088
50,3499248,3294240
51,3854176,2720384
52,3402576,3204832
53,3764128,2625120
54,3256096,3781184
55,4446528,3178528
56,3803392,3300000
57,3957776,3213648
58,3170928,3971200
59,3767792,3129360
60,3739680,2926384
61,3576096,3109024
62,3741312,2886800
63,3455520,2932736
