HI_NET_PING_START run=3
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
hi_net_ping: HELLO_ACK received
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
[echo] HELLO_ACK sent
[echo] run #3 — echoing probes
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:    2000
Lost (no echo):       11 (0.550%)
RTL (us):
Mean: 3690.420    Std dev: 874.009
Min:  2352.976    Max:     16960.736
P50:  3630.544    P95:     4444.496
P99:  6706.976    P99.9:   16548.224
IAJ (us):
Mean: 3068.752    Std dev: 569.779
Min:  1780.864    Max:     9762.752
P50:  3009.152    P95:     3905.424
P99:  5239.072    P99.9:   8490.096
===CSV_START===
index,rtl_ns,iaj_ns
0,12803632,3366144
1,3963936,2764656
2,3367152,2791216
3,3461232,2190464
4,2862464,2868752
5,3428896,3632832
6,4163888,3228192
7,3775968,3154896
8,3838960,2448800
9,3133296,3003328
10,3623104,2941232
11,3621472,3046992
12,3682656,3398464
13,4009488,2960816
14,3617088,2960848
15,3663472,2809888
16,3539472,3194416
17,3860800,3139456
18,3817216,2678656
19,3307952,2904944
20,3579776,3365520
21,3975920,2980464
22,3581744,2648448
23,3297200,3112016
24,3767424,3006032
25,3549664,3206208
26,3780624,2900336
27,3570048,2847776
28,3516544,3037280
29,3709728,2865952
30,3550128,3113312
31,3781328,3008784
32,3685584,3259648
33,3801456,3319264
34,3914384,2660000
35,3363552,3086064
36,3767312,2840416
37,3571360,2800368
38,3527136,3274784
39,3929600,3059936
40,3745824,2931136
41,3589680,2933280
42,3623264,3061952
43,3744464,3059584
44,3697504,2675200
45,3378240,3079616
46,3745744,3125728
47,3714832,2782448
48,3490432,3042736
49,3707440,2813440
50,3487776,3122400
51,3750624,3279456
52,3920704,3088464
53,3748608,3021296
54,3720944,2860800
55,3571952,3130016
56,3836592,3171824
57,3775216,2508160
58,3222336,3174592
59,3832720,3068416
60,3762208,3641712
61,4280400,2449968
62,3099120,2675456
63,3380032,3019104
64,3583792,3251744
65,3873264,3243712
66,3911440,2425968
67,3066480,2873344
68,3523872,3013360
69,3691696,3126800
70,3758096,3070784
71,3695344,2934720
72,3499264,3348944
73,3988608,2825328
74,3530592,3341824
75,3990976,2456736
76,3071616,2819584
77,3499136,2239872
78,2974128,2367792
79,2945312,2458032
80,3182912,2998400
81,3067680,2668736
82,2840304,2832288
83,3567936,2842976
84,3499248,2674000
85,3325072,2503776
86,3096320,2483712
87,3140464,2693568
88,3364176,3808112
89,4458560,3102176
90,3813392,2560896
91,3253872,3520032
92,4179904,2511936
93,3171264,2978032
94,3544816,3176016
95,3720688,2844896
96,3501344,3137472
97,3665296,2827696
98,3517024,3175408
99,3855008,2837344
100,3523120,3130160
101,3787728,3177328
102,3818080,2622640
103,3212064,3053248
104,3688864,3398864
105,4041104,2669120
106,3371120,2942944
107,3590640,3064160
108,3738112,2982320
109,3564864,2837664
110,3472464,3087600
111,3746640,2904640
112,3537520,3092000
113,3707056,3046512
114,3710128,3428160
115,3982304,2671952
116,3356688,3168000
117,3763152,3082144
118,3703216,2808592
119,3544704,3079632
120,3766304,2821232
121,3488608,2735904
122,3471328,3023664
123,3688304,3256096
124,3867104,3360368
125,3987552,2383328
126,3088960,3166384
127,3787184,2907712
128,3617712,3069664
129,3711392,2968768
130,3668144,3270960
131,3888576,3105056
132,3787936,2871104
133,3472672,3361680
134,3973712,2632848
135,3277632,3135168
136,3818640,2753792
137,3349760,3202528
138,3764704,3022080
139,3679792,2921600
140,3617248,3304272
141,3994976,2682512
142,3363104,2816240
143,3536960,3283552
144,3959840,2904672
145,3479536,2967408
146,3677296,2973216
147,3662928,3178480
148,3816144,2847664
149,3470176,3059760
150,3765600,3144480
151,3852416,2533072
152,3246784,2960592
153,3642816,3088544
154,3742528,3267120
155,3912192,3136976
156,3828352,2577472
157,3206064,3053808
158,3681584,3186560
159,3817072,2978928
160,3646512,3131152
161,3785168,3008160
162,3691264,2593024
163,3210272,3064432
164,3705344,3319504
165,3950928,2771408
166,3346704,3239056
167,3755184,2614816
168,3252128,3413712
169,4024448,3489856
170,4134416,2604752
171,3254688,2631040
172,3295520,3326432
173,3883840,2542032
174,3213680,3451008
175,4059680,2793920
176,3415632,3020096
177,3576128,3041648
178,3730432,2932960
179,3640784,3001568
180,3648000,3056032
181,3654832,3091104
182,3792880,2692160
183,3336768,2996624
184,3601568,3022128
185,3673184,3351424
186,3999360,2551616
187,3250016,3438960
188,4078352,3125296
189,3819024,2682016
190,3312528,2832432
191,3560096,3220944
192,3801520,2996528
193,3696672,3043296
