HI_NET_PING_START run=8
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
[echo] HELLO_ACK sent
hi_net_ping: HELLO_ACK received
[echo] run #8 — echoing probes
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:    2000
Lost (no echo):       14 (0.700%)
RTL (us):
Mean: 3758.788    Std dev: 1209.432
Min:  2270.640    Max:     28697.920
P50:  3631.824    P95:     4818.480
P99:  8284.832    P99.9:   26206.816
IAJ (us):
Mean: 3111.576    Std dev: 746.422
Min:  1727.344    Max:     13342.416
P50:  3011.664    P95:     4148.016
P99:  6320.752    P99.9:   10881.312
===CSV_START===
index,rtl_ns,iaj_ns
0,5771104,3562352
1,4117856,4383568
2,4003408,2849184
3,3443040,4248288
4,4862672,3748224
5,3748096,2636880
6,3243488,2630880
7,3295568,3428592
8,3980080,3011664
9,3610576,2995568
10,3556768,2771552
11,3374608,3070784
12,3690784,2120400
13,2531872,2605056
14,3158592,2703072
15,3285248,3045728
16,3659952,2456736
17,3073136,1940336
18,2628896,2572512
19,3256880,2291472
20,2957712,2657888
21,3346832,2525616
22,3274624,2188816
23,2820224,2985168
24,3170672,2201408
25,2809152,3018224
26,3715616,2859312
27,3016896,2821632
28,3496064,2853232
29,3519312,2746352
30,3412064,2786464
31,3438896,2570928
32,3164784,2635760
33,3355392,3005968
34,3682496,3034912
35,3682704,3543856
36,4136208,1930928
37,2650624,2531600
38,3248192,2479488
39,3067744,3115744
40,3856304,2214896
41,2929680,5171408
42,5302624,3147584
43,3779664,2941376
44,3591104,3016048
45,3556144,2932464
46,3557600,3262864
47,4008560,3044272
48,3718288,2848656
49,3487776,3071664
50,3748800,3123136
51,3794592,2624816
52,3274864,3258656
53,3884816,2659008
54,3250864,3096752
55,3719488,3040848
56,3571760,3779840
57,4352672,2692080
58,3270160,2458928
59,3117600,2878384
60,3560160,3024416
61,3608016,3107376
62,3726080,2886080
63,3554320,2963056
64,3603072,3154928
65,3752160,3199008
66,3743424,3266960
67,3963568,3236608
68,3971680,2294848
69,2948928,2737936
70,3401232,2640448
71,3351008,3009344
72,3632512,2788368
73,3446352,2603696
74,3243968,2929648
75,3449136,3214176
76,3833888,2953616
77,3527488,2650512
78,3242176,3093008
79,3727888,2248912
80,2978736,3683360
81,3815792,2798560
82,3491680,2195920
83,2921376,3046656
84,3691664,2891200
85,3607600,2844512
86,3579488,2722096
87,3465200,2702480
88,3294048,2551056
89,3252816,3120272
90,3857872,2493104
91,3171440,2866768
92,3518480,2724800
93,3378576,2501344
94,3192800,2894704
95,3448784,2716608
96,3252560,2230944
97,2867600,3813968
98,3794576,3523152
99,4174752,2560080
100,3234592,2703168
101,3265168,2423456
102,3086112,2961648
103,2946096,3861920
104,3840384,2638960
105,3186144,2533040
106,3166064,3008784
107,3087568,3705456
108,3687952,2314432
109,3010992,3762336
110,3750208,2702544
111,3339776,3274176
112,3895344,2756880
113,3388592,2348464
114,3024752,3163296
115,3159488,3927280
116,3965488,2887248
117,3517488,3114560
118,3779776,2775712
119,3452256,3082352
120,3659344,2174048
121,2849792,2916768
122,2906848,3108640
123,3161200,2999024
124,3055728,3771232
125,3820448,2623248
126,3259248,2577904
127,3247808,3801664
128,3781984,3165920
129,3843552,2504560
130,3183440,2545408
131,3065600,3722416
132,3747984,3143008
133,3734528,3000336
134,3717968,3424000
135,4116000,2432592
136,3065584,2964416
137,3591584,3025712
138,3647360,2300832
139,2879664,2964832
140,2996640,2994016
141,2998016,2851232
142,2908064,3163200
143,3085168,3060480
144,3029264,2912704
145,2885824,2960192
146,3067200,2725568
147,2778448,2855728
148,3514176,3151072
149,3770880,3251216
150,3876800,3580720
151,2831488,2352256
152,3075872,3092528
153,2818720,3006784
154,3080544,3841376
155,3831680,2673456
156,3288688,2592048
157,3210560,4119952
158,4176384,2719552
159,3259984,2778016
160,3279520,2374112
161,2974816,2884144
162,3050640,2913520
163,3090800,3118464
164,3150864,3051040
165,3117088,3028368
166,3061376,3926720
167,3499568,2754480
168,3403456,2277680
169,2960160,3778464
170,3777984,3523520
171,4166048,2344560
172,3006176,3122128
173,3770880,3038240
174,3715824,2224096
175,2877152,3773504
176,3840928,3156688
177,3814240,2698816
178,3362400,3037584
179,3676928,2330064
180,2990880,2974848
181,2990816,2995888
182,3125744,2811376
183,2858256,2822096
184,2940048,2970576
185,3639968,2875424
186,3528624,3067984
187,3701200,2841680
188,3527584,2730816
189,3424448,2439808
190,3084288,2532000
191,3243632,2963632
192,3594512,2956368
193,3671424,2824096
194,3471088,5179504
195,5860096,2756704
196,2898592,2827472
197,3573328,2902464
198,3608112,3097600
199,3769024,3368000
200,4002176,3823232
201,3765408,2329840
202,2975328,3615632
203,3709664,2259328
204,2852896,2959584
205,2967168,3623568
206,3721600,2427552
207,3119232,3038112
208,3077920,3674448
209,3704336,3023024
210,3631824,2981072
211,3573200,3540464
212,4106416,2491088
213,3118896,3426080
214,4068272,2501296
215,3183584,3115456
216,3738800,2903456
217,3568976,2233920
218,2901264,2846176
219,2858576,3076464
220,3028128,2956768
221,3058176,2835392
222,2950928,6082720
223,6715744,2413952
224,3021696,2853920
225,3533200,3037840
226,3700016,2818896
227,3527312,2963408
228,3593360,3077312
229,3732704,2938256
230,3655728,2880128
231,3532960,2645392
232,3233856,2670208
233,3278080,2707792
234,3393584,2990128
235,3597616,3240704
236,3833440,3117328
237,3688320,2587840
238,3073584,3205456
239,3890416,2752384
240,3448048,2378368
241,3008496,3874112
242,3900976,2706304
243,3383248,2421376
244,3126096,3415056
245,3273344,2430144
246,3100656,3104048
247,3131936,3893408
248,3914672,3179760
249,3863520,2315424
250,3001376,2372448
251,3044080,3124112
252,3113168,3142256
253,3110784,3852848
254,3895600,2508272
255,3175056,2476144
256,3082512,5757616
257,4290816,6286368
258,7008176,4949424
259,5150704,4518256
260,5142944,2369680
261,3057232,2258864
262,2708064,3049552
263,3203312,3853728
264,3979648,3124704
265,3814032,2621904
266,3223136,2422208
267,3066064,2996512
268,3009168,3462240
269,3491680,2514544
270,3158272,3662320
271,3661920,2957360
272,3609024,2110400
273,2838144,2922880
274,3641792,3037600
275,3706832,2795392
276,3484800,2691728
277,3438032,2456144
278,3019696,2460608
279,3167472,2984880
280,3601840,2855728
281,3495712,2754096
282,3404912,2477456
283,3167744,2430032
284,2995552,3219936
285,3864144,3258096
286,3900176,2748704
287,3436016,3035760
288,3723312,2960928
289,3636688,2814464
290,3477216,2087312
291,2782880,2880368
292,3606816,3373568
293,4116432,3050272
294,3008368,2774352
295,2969136,2617536
296,2827248,2805040
297,3431952,2742480
298,3405888,2810800
299,3454704,2347280
300,2996048,2974800
301,3521552,3065376
302,3732736,3209872
303,3747904,2762736
304,3464928,2993584
305,3634480,2877312
306,3464400,2929760
307,3559344,2727968
308,3346320,2259296
309,2939728,2619680
310,3178432,2320192
311,3036912,2937392
312,3130624,3115248
313,3123136,3077552
314,3211536,3910560
315,3978336,2920208
316,3591584,2834464
317,3543296,2002464
318,2705856,2627424
319,3316816,2161904
320,2872016,2853648
321,3588992,2768784
322,3442112,2745696
323,3413200,2738464
324,3387216,2432624
325,3159984,3148656
326,3709296,2672384
327,3264976,2218560
328,2936608,2953248
329,3140928,2661184
330,2779392,2743312
331,3457392,2723312
332,3390656,2396656
333,3037216,2793024
334,3468560,3090496
335,3748368,3229440
336,3884080,3050032
337,3795408,2443312
338,3159552,3210544
339,3897888,3072672
340,3736672,2963888
341,3627616,2658272
342,3346080,2767824
343,3436480,2803728
344,3432256,2705616
345,3311648,2396960
346,3041424,3148672
347,3863872,3589376
348,3963632,2660336
349,3229184,2694080
350,3334912,3243840
351,3883136,5494160
352,6122640,3305728
353,3982080,3180912
354,3219600,3796144
355,3917568,2705264
356,3395104,3287072
357,3937712,4787008
358,5414192,2584000
359,3307408,2799232
360,3386336,3139968
361,3740192,3293200
362,3887440,2768848
363,3463056,2901648
364,3505632,3221888
365,3867536,2732944
366,3414800,2990176
367,3602960,3383456
368,4010912,3246720
369,3914464,2803344
370,3411392,2570592
371,3227344,3037104
372,3672832,2864384
373,3516048,4068080
374,4703616,2595632
375,3206384,2712960
376,3433024,3149280
377,3802400,2634640
378,3335296,3030000
379,3666544,3191264
380,3837568,2682384
381,3324688,2972320
382,3566384,3433616
383,3950464,3193824
384,3879632,2381856
385,3104656,3158976
386,3740368,3535856
387,4123776,2734032
388,3393952,2842128
389,3502048,3157952
390,3793104,2639200
391,3256400,3381184
392,3971296,3534400
393,4205520,2552368
394,3187248,2625168
395,3274640,3020016
396,3669488,3226032
397,3771648,3182352
398,3839888,3307440
399,4026176,2594048
400,3211312,2878192
401,3551856,3235936
402,3920816,2622880
403,3317792,3227648
404,3852144,2609968
405,3287728,3148368
406,3751840,3473680
407,4011424,2822928
408,3451808,2732976
409,3393392,3234080
410,3844560,2689728
411,3358672,3008928
412,3671776,3204032
413,3736624,3563408
414,4256224,2666032
415,3316496,2508960
416,3228528,3069664
417,3683312,3096016
418,3661040,3196000
419,3838448,2538752
420,3213920,3104320
421,3715264,3038016
422,3671024,3555376
423,4128928,2463184
424,3149456,3165856
425,3723680,3176368
426,3885984,2715824
427,3378528,3215152
428,3795648,3572368
429,4290000,2621376
430,3202144,2504480
431,3122544,3051360
432,3703584,3178112
433,3775344,3103504
434,3805680,2666736
435,3330976,3223664
436,3832976,3092176
437,3801184,2657184
438,3271824,3334352
439,3987552,3254912
440,3979440,2729584
441,3392544,2535200
442,3230624,3106144
443,3720096,3392272
444,3967728,2648096
445,3284384,3158832
