HI_NET_PING_START run=9
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
[echo] HELLO_ACK sent
hi_net_ping: HELLO_ACK received
[echo] run #9 — echoing probes
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:    1728
Lost (no echo):      272 (13.600%)
RTL (us):
Mean: 3628.888    Std dev: 395.844
Min:  2650.496    Max:     8429.792
P50:  3674.400    P95:     4072.112
P99:  4800.656    P99.9:   7694.128
IAJ (us):
Mean: 3023.094    Std dev: 408.018
Min:  1948.016    Max:     7846.608
P50:  3019.296    P95:     3630.512
P99:  4317.696    P99.9:   7078.256
===CSV_START===
index,rtl_ns,iaj_ns
0,4245488,2879600
1,3356192,3845328
2,4436112,5991728
3,6639968,3252880
4,3645472,3416800
5,4110864,2789984
6,3366944,2706048
7,3394432,3665296
8,4356048,2784832
9,3335184,3112144
10,3548640,3099968
11,3651936,2745456
12,3466480,3745600
13,4257312,4744320
14,5383472,2890112
15,3527472,2991392
16,3631760,2891072
17,3449920,2844384
18,3567184,2766848
19,3491952,3131024
20,3811920,2814016
21,3408976,3053920
22,3736944,2420736
23,3071888,2992176
24,3157264,2987024
25,2853056,2790112
26,2989312,3008352
27,3204752,3117696
28,3197120,3053152
29,3159360,3016160
30,3116912,3691104
31,3568176,2321296
32,3017392,2872640
33,3055136,2592224
34,2846896,3111536
35,3759840,2872480
36,3581312,3005168
37,3694224,2994800
38,3620016,3151680
39,3792752,2848432
40,3536704,2979664
41,3723392,2900704
42,3611568,2825200
43,3509824,2532784
44,3124432,2327152
45,3029744,2933488
46,3649456,3142256
47,3717872,3079472
48,3715472,2844512
49,3460080,2968448
50,3621280,3160976
51,3821200,3290848
52,3874816,2409024
53,3110032,6242432
54,6919360,2913136
55,3568032,2960160
56,3647104,2754704
57,3407312,3047344
58,3714112,3041552
59,3741968,3746128
60,4368768,4135600
61,4695088,3533808
62,4216272,4727488
63,5299120,3880896
64,4552576,3584000
65,4262672,2970032
66,3673552,3070592
67,3758480,2986288
68,3662704,3550736
69,4256224,2394672
70,3125312,2933024
71,3684944,2934448
72,3658176,2984880
73,3603600,2873872
74,3443296,2924784
75,3616800,3052704
76,3692000,3196704
77,3856304,2979728
78,3678832,2970464
79,3592960,2856112
80,3545232,2958368
81,3629424,3005472
82,3667552,3036224
83,3705776,3241584
84,3904704,2908976
85,3602016,2872976
86,3551712,3052848
87,3743184,3091264
88,3692064,3110864
89,3796656,3034528
90,3695248,2837264
91,3549760,3122928
