HI_NET_PING_START run=16
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
hi_net_ping: HELLO_ACK received
[echo] HELLO_ACK sent
[echo] run #16 — echoing probes
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:    2000
Lost (no echo):        1 (0.050%)
RTL (us):
Mean: 3565.918    Std dev: 589.995
Min:  2311.744    Max:     13166.880
P50:  3550.544    P95:     4259.456
P99:  6051.696    P99.9:   8415.168
IAJ (us):
Mean: 3015.681    Std dev: 570.157
Min:  1705.824    Max:     9511.088
P50:  2965.552    P95:     3839.968
P99:  5427.248    P99.9:   7542.512
===CSV_START===
index,rtl_ns,iaj_ns
0,3252720,2884848
1,3398192,2809936
2,3368480,3118912
3,3790784,3653808
4,4338640,2967392
5,3690656,2835424
6,3494672,2879200
7,3527728,2825936
8,3442480,2510512
9,3139472,2536496
10,3088224,3955392
11,3955008,3447616
12,4093744,2526448
13,3122848,2678528
14,3298128,3079808
15,3711616,2791536
16,3453712,3307184
17,4013008,2637552
18,3280992,2371664
19,3085488,3033680
20,3192144,2812560
21,2966112,2808512
22,3478240,2657136
23,3401600,2703088
24,3365808,2537712
25,3222240,3207616
26,3893168,2580800
27,3269104,3174432
28,3866240,3100608
29,3731520,2977872
30,3682976,2777360
31,3480352,3108032
32,3717920,2739936
33,3461088,2820944
34,3461760,2886080
35,3576752,2517328
36,3173472,2694608
37,3254208,2636944
38,3274896,2391760
39,3040640,2948784
40,2995472,3072880
41,3258048,3712704
42,3713472,3251200
43,3859744,5181056
44,5808784,2655168
45,3298352,2209440
46,2913472,3119920
47,3789312,3582720
48,4237504,2705824
49,3383520,2589184
50,3261632,3085520
51,3695744,3051472
52,3736512,3304816
53,3984480,2646592
54,3269648,3169328
55,3830528,3000480
56,3655072,3067808
57,3758512,3230016
58,3949232,2537680
59,3218640,2960256
60,3616352,3105312
61,3671232,2956656
62,3645440,2915504
63,3584624,2866224
