HI_NET_PING_START run=19
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
[echo] HELLO_ACK sent
hi_net_ping: HELLO_ACK received
[echo] run #19 — echoing probes
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:    2000
Lost (no echo):        3 (0.150%)
RTL (us):
Mean: 3523.475    Std dev: 688.569
Min:  2240.368    Max:     12532.640
P50:  3474.384    P95:     4325.168
P99:  6533.648    P99.9:   11215.712
IAJ (us):
Mean: 2924.851    Std dev: 640.435
Min:  1483.984    Max:     8820.656
P50:  2859.472    P95:     3844.976
P99:  5964.560    P99.9:   8284.160
===CSV_START===
index,rtl_ns,iaj_ns
0,5857504,4240304
1,4937600,3098800
2,3537168,3125824
3,3604560,4393552
4,4237824,3127008
5,3785280,2533952
6,3137120,3052352
7,3480144,4308400
8,4957888,3957488
9,4497312,3362320
10,3991872,2180400
11,2863840,5001488
12,5146160,3153808
13,3709024,3770096
14,3306368,3917728
15,4587936,2545984
16,2685232,4029312
17,4751152,3149952
18,3774336,3040608
19,3746848,3081744
20,3771872,2969280
21,3694528,3282304
22,3971616,2665072
23,3355840,2179200
24,2881408,2743264
25,2886432,2781040
26,3487680,2453456
27,3170912,2156192
28,2894864,2649888
29,3273952,2346576
30,2959680,2767856
31,3445552,2199424
32,2915648,2584320
33,2685728,3178272
34,3893536,2948112
35,3643616,2846432
36,3534512,2670640
37,3416576,2418384
38,3077888,2377184
39,3099120,2308320
40,2959024,2194528
41,2791488,1934560
42,2635216,2613936
43,3298400,2591504
44,3239824,2520272
45,3217280,2963696
46,3626544,2893200
47,3522016,2776864
48,3450400,2355104
49,2991616,2560224
50,3111200,3049696
51,3726016,2240048
52,2969520,2786736
53,2863600,2728384
54,2895312,2500816
55,3226336,2229600
56,2896480,2924080
57,3534896,2797424
58,3354832,2233568
59,2930128,2399920
60,2997792,2339440
61,2941424,2631520
62,2815456,2800960
63,3513056,2285552
64,2998352,2463920
65,3187184,2637744
66,3268464,2430336
67,3132752,2312000
68,2897856,2220416
69,2964208,2660656
70,3334032,2363968
71,3061840,2231232
72,2931632,2727968
73,3330192,2282240
74,2965984,2571008
75,3245040,2118096
76,2795968,2465552
77,3133632,2380528
78,3033552,2455216
79,3200560,2880288
80,3493968,2302688
81,2976608,2555408
82,3215184,2328976
83,2990208,2922576
84,3053696,2529088
85,2638320,2571696
86,3303408,2156944
87,2865504,3226512
88,3906928,2575888
89,3245440,2742880
90,3404192,1999456
91,2702816,3021936
92,3638240,2332016
93,2951744,2869232
94,2951728,2719296
95,2847760,2787456
96,3456992,2621264
97,3353472,2346384
98,2996544,2585024
99,3273392,2946672
100,3555280,2226768
101,2878032,2335120
102,2934944,2096848
103,2771424,2698992
104,3422656,2645488
105,3329072,2441040
106,3079488,2754608
107,3469312,3698704
108,4405184,2213408
109,2924368,2947968
110,3553184,2714720
111,3401264,2313408
112,2932272,2415760
113,3118608,2207968
114,2929072,2796464
115,3501072,2694080
116,3423984,2459792
117,3170352,3223376
118,3937680,2169152
119,2836128,2179536
120,2871104,2744592
121,3469392,2804672
122,3424016,2189008
123,2821392,2768416
124,2871104,2723072
125,3381824,2645760
126,3315600,2556576
127,3214496,2537392
128,3226656,2496528
129,3202064,2226160
130,2930800,2150272
131,2878432,2975472
132,3018048,2639504
133,2782720,3025888
134,3722432,2849008
135,3502656,3074848
136,3750304,2674416
137,3375824,2340000
138,2974032,2731376
139,3449280,2649584
140,3333840,3004608
141,3540688,2113184
142,2773136,2495136
143,3183072,2419360
144,2969568,2358928
145,2550672,2713952
146,3368208,2404880
147,2999600,2848256
148,3600112,4353696
149,2958224,2852592
150,3531600,2735200
151,3467776,2181392
152,2891872,2530448
153,3267584,3410368
154,3593328,2752192
155,3444640,2784016
156,3447616,2733184
157,3382688,2169872
158,2811968,2758528
159,3442128,1886224
160,2585120,2494960
