HI_NET_PING_START run=5
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
hi_net_ping: HELLO_ACK received
[echo] HELLO_ACK sent
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
[echo] run #5 — echoing probes
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:    2000
Lost (no echo):       14 (0.700%)
RTL (us):
Mean: 3801.274    Std dev: 1141.497
Min:  2168.688    Max:     18772.896
P50:  3652.352    P95:     4951.936
P99:  8501.264    P99.9:   17960.864
IAJ (us):
Mean: 3182.992    Std dev: 1031.472
Min:  1508.608    Max:     20387.312
P50:  3015.584    P95:     4470.960
P99:  7199.520    P99.9:   20098.736
===CSV_START===
index,rtl_ns,iaj_ns
0,4551968,3471504
1,4040368,4475248
2,4949040,3905936
3,4545344,3277328
4,3827488,3329568
5,3988976,2687712
6,3355040,3431040
7,4127024,2925312
8,3574992,3996992
9,4691584,4455120
10,3697408,2943328
11,3491296,2795440
12,3387744,3513376
13,4157728,2895920
14,3602640,3260592
15,3928816,3432544
16,4080240,3345744
17,3987152,3819248
18,4528704,2793104
19,3522864,2759408
20,3363232,2580816
21,3283904,3517504
22,4203776,2675232
23,3367728,3481232
24,4202368,2627312
25,3304208,3038000
26,3770688,3154848
27,3848432,2829568
28,3476880,3797776
29,4474032,2649136
30,3260128,2790272
31,3355584,3038416
32,3596064,2810736
33,3426704,2437984
34,3006624,2511056
35,3168768,4286976
36,3779696,2735264
37,3341600,3002800
38,3670032,2706800
39,3381104,2941424
40,3622944,3027856
41,3727200,3662704
42,4341440,3130112
43,3634368,2815024
44,3408384,2490016
45,3094656,2911216
46,3639424,3042032
47,3706896,2970416
48,3671904,2769120
49,3417104,3244624
50,3830128,3130816
51,3782576,3453344
52,4149024,2840080
53,3436048,2540896
54,3224032,3278512
55,3973152,2381856
