HI_NET_PING_START run=13
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
[echo] HELLO_ACK sent
[echo] run #13 — echoing probes
hi_net_ping: HELLO_ACK received
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:    1312
Lost (no echo):      696 (34.800%)
RTL (us):
Mean: 3679.749    Std dev: 1127.376
Min:  2196.720    Max:     22131.776
P50:  3556.864    P95:     4440.480
P99:  7281.344    P99.9:   19684.736
IAJ (us):
Mean: 3037.161    Std dev: 797.759
Min:  1518.512    Max:     20160.144
P50:  2937.888    P95:     3949.424
P99:  5748.784    P99.9:   9070.160
===CSV_START===
index,rtl_ns,iaj_ns
0,6487984,3823920
1,3694432,3062992
2,3595648,2986384
3,3556400,3142800
4,3759024,2965360
5,3603744,2982816
6,3603456,3012848
7,3631216,3194336
8,3809456,3310384
9,3938272,2831504
10,3571696,2425600
11,3126576,1922816
12,2630752,2833152
13,3399632,2925232
14,3654752,2131120
15,2838416,2709648
16,3420080,2898992
17,3566800,2826976
18,3482192,2890528
19,3463552,2002304
20,2662560,1998864
21,2640992,2992528
22,3562464,3116336
23,3756560,2653712
24,2812384,2792496
25,3413632,2281232
26,3030336,2617248
27,3311872,2999328
28,3684464,2635184
29,3312784,2199488
30,2841184,2605840
31,3232928,3412480
32,4027040,3330480
33,3991776,2245760
34,2998464,2004528
35,2622064,2583520
36,3212624,2328992
37,3020192,2862896
38,3552784,2795536
39,3507536,3164272
40,3883072,2822096
41,3576400,2530816
42,3245200,2125088
43,2747280,2370048
44,2839200,2706448
45,2833616,2569072
46,2692560,2573168
47,3267456,2226368
48,2878640,3003760
49,3748560,2903088
50,3626608,3119184
51,3809232,2782432
52,3517152,2757072
53,3496496,2953648
54,3601328,2218240
55,2836272,2847808
56,3515712,2256640
57,2888976,2701840
58,2823904,2627024
59,2748928,2720640
60,3340304,2321808
61,3017344,2892272
62,3566832,3203920
63,3898048,2633072
64,3314112,2578560
65,3332272,2932688
66,3586976,3067024
67,3712336,2790336
68,3411872,2199664
69,2895952,2120672
70,2739744,2597232
71,2705616,2925664
72,3450240,2713584
73,3363728,2257504
74,2988448,2784640
75,3510688,3240016
76,3947280,2808464
77,3502640,2511584
78,3227808,2287328
79,2930704,3390784
80,4008288,2411680
81,3117120,2362000
82,2988976,2834800
83,2949472,2782704
84,2911728,3122016
85,3747232,4304096
86,3852304,2312544
87,2954992,2363936
