HI_NET_PING_START run=15
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
[echo] HELLO_ACK sent
hi_net_ping: HELLO_ACK received
[echo] run #15 — echoing probes
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:      75
Lost (no echo):     1925 (96.250%)
RTL (us):
Mean: 3789.647    Std dev: 1045.664
Min:  2297.472    Max:     8277.632
P50:  3535.280    P95:     6281.632
P99:  8277.632    P99.9:   8277.632
IAJ (us):
Mean: 3179.638    Std dev: 1081.011
Min:  1541.600    Max:     7591.456
P50:  2877.824    P95:     5634.608
P99:  7591.456    P99.9:   7591.456
===CSV_START===
index,rtl_ns,iaj_ns
0,4101472,4119968
1,4214480,3551392
2,4303696,3218544
3,3707936,3283568
4,3713184,2890784
5,3575984,2606096
6,3171168,3502064
7,4024848,4688672
8,5350128,4126704
9,4705952,3277968
10,3922688,3441536
11,4195168,2727296
12,3331216,2679184
13,3413584,3133408
14,3861136,2704832
15,3456800,3028688
16,3735280,2894496
17,3628608,7591456
18,8277632,2837296
19,3477296,2294320
20,2419968,3948944
21,3367376,2666016
22,3340528,3971472
23,4646432,6104528
24,6768752,3545248
25,4152880,3254992
26,3827664,4744608
27,5474800,2696272
28,3226448,1730176
29,2415856,1664464
30,2416416,1541600
31,2297472,4183760
32,4939616,3260336
33,3873568,2877824
34,3618224,2865184
35,3610176,2239600
36,2965680,2711568
37,3410112,3262144
38,3876016,2605840
39,3264592,2996192
40,3508784,3714320
41,4314160,5409120
42,6118736,5634608
43,6281632,3214912
44,3929008,2818720
45,3443856,1779280
46,2526608,1638688
47,2348160,2550256
48,3298240,2798944
49,3516752,2477120
50,3207664,2788288
51,3425024,2774160
52,3407472,3448624
53,4159104,2207296
54,2923200,2755696
55,3438720,2655792
56,3209536,2521440
57,3228128,3358224
58,3965376,2354688
59,3091344,2627216
60,3354112,3815952
61,3833056,2787056
62,3397296,2773728
63,3385184,2486432
64,3197936,2409248
65,2300080,3315152
66,3937904,2987152
67,3679600,7030336
68,6959344,2754176
69,3401280,2795616
70,3535280,3009888
71,3676944,2629728
72,3346848,2459744
73,2999568,3042592
74,3796768,2848624
===CSV_END===
=========================================
HI_NET_PING_DONE run=15
