HI_NET_PING_START run=20
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
[echo] HELLO_ACK sent
hi_net_ping: HELLO_ACK received
[echo] run #20 — echoing probes
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:     405
Lost (no echo):     1600 (80.000%)
RTL (us):
Mean: 3865.289    Std dev: 1496.112
Min:  2249.504    Max:     19575.072
P50:  3604.848    P95:     5200.128
P99:  13149.536    P99.9:   19575.072
IAJ (us):
Mean: 3113.915    Std dev: 766.960
Min:  1608.544    Max:     9051.840
P50:  2945.056    P95:     4420.208
P99:  7183.040    P99.9:   9051.840
===CSV_START===
index,rtl_ns,iaj_ns
0,5260176,3759968
1,4341680,3406432
2,3945872,3608448
3,4150112,4121568
4,4034672,2716528
5,3319392,3404400
6,4032928,2687296
7,3392000,2866032
8,3441264,3142848
9,3771248,3250112
10,3864128,2592720
11,3260832,3353856
12,4002816,2448176
13,3146640,3535248
14,4021616,2670672
15,3322464,3419168
16,4019280,2917248
17,3578352,2677728
18,3340384,2780560
19,3283232,3628880
20,4243120,2773504
21,3479488,3552016
22,4153808,2387264
23,2993360,2752928
24,3353488,3394000
25,3981712,2744000
26,3411808,2749856
27,3360064,2565088
28,3173904,4077008
29,4137232,2936256
30,3611792,2650416
31,3285488,3206864
32,3828640,3245776
33,3835168,2571984
34,3254160,3156976
35,3759696,2794288
36,3411504,3090608
37,3537952,3278400
38,3891280,2564064
39,3204912,3358912
40,3975616,2932464
41,3617152,2979488
42,3615072,3355888
43,3983440,2638272
44,3380512,3129200
45,3730912,3021824
46,3653600,3005280
47,3622208,2792688
48,3430704,2942944
49,3593248,3122048
50,3724464,2597840
51,3217696,3434800
52,3951088,3081344
53,3696176,2855456
54,3511824,2972512
55,3598704,2907152
56,3539216,2996528
57,3626304,3165920
58,3799584,2977136
59,3604848,2728480
60,3365200,3067584
61,3688512,2224512
62,2854960,3888592
63,3830160,1654480
64,2310704,3074192
65,3632656,2836688
66,3448288,2866256
67,3517312,2497184
68,3246160,2708096
69,3326080,3229952
70,3891584,2450000
71,3058912,4672048
72,5320768,2959200
73,2959056,3179440
74,3806704,3217280
75,3186512,4409184
76,4434944,3235488
77,3810352,3085408
78,3761968,3378608
79,4063296,3302976
80,4049168,2687952
81,3331264,3115024
82,3870144,3236160
83,3942832,2746704
84,3408704,3232608
85,3951712,2765168
86,3442944,3180688
87,3871184,3774096
88,4510720,2350256
89,3030992,2482720
90,3172400,3302672
91,4056176,3026944
92,3706448,3197472
93,3927824,3748608
94,4439744,2630608
95,13371120,2989664
96,3276000,2972064
97,3624912,3065296
98,3601328,2895152
99,3674448,3218832
100,3422304,3992224
101,3756928,3868576
102,4621072,7467632
103,4450288,2254480
104,8027184,2741808
105,2943536,2930512
106,3306992,2828288
107,3661280,2649824
108,3575424,2012368
109,3375760,2068960
110,2733344,2808944
111,2685344,2818496
112,3417184,2783312
113,3378448,2163632
114,3408656,2957008
115,2865216,2925456
116,3663984,2460288
117,3672528,2176144
118,3209440,2933056
119,2811168,2306848
120,3627104,2896944
121,2927200,2675584
122,3154304,2484208
123,2852656,2247232
124,3205600,2625936
125,2958848,1887632
126,3331744,2924704
127,2324896,2929680
128,3624416,2061872
129,3408384,2785136
130,2670432,2604368
131,3475712,2907040
132,3252624,2634816
133,3607152,2514384
134,3297376,2714224
135,3136320,3000368
136,3470368,2294848
137,3687664,2512192
138,3007088,2185616
139,3246848,3732560
140,2809296,2992576
141,3875856,3063296
142,3631344,2081264
143,3706000,2548000
144,2750592,2605248
145,3235808,2248272
146,3227488,2590640
147,2936400,2130288
148,3325696,2753024
149,2802448,3207424
150,3432688,2840848
151,3868768,2010288
152,3458368,2696192
153,2663872,2676272
154,3345360,2255856
155,3340976,2416912
156,2941360,2853216
157,3152800,2117008
158,3420064,3056608
159,2823920,2431216
160,3717296,2836976
161,3001360,2833600
162,2858448,2468464
163,2965024,2567872
164,2736224,2085552
165,3222080,2743344
166,2763504,2332800
167,3413664,2705312
168,3004064,2297408
169,3365952,3070672
170,2889920,3590656
171,3015680,2945056
172,3589472,2352080
173,3571136,2572576
174,2972464,2318912
175,2741152,2244848
176,3031024,2651632
177,2894752,2717408
178,3401664,2574512
179,3336560,1608544
180,3203952,2440080
181,2249504,2613632
182,3196592,2532720
183,3355920,2999376
184,3096080,2951968
185,3734608,3160976
186,3679264,3270480
187,3833376,3004464
188,3951376,3178912
189,3454224,2808704
190,3769680,2443264
191,3359904,3139056
192,3045328,3081344
193,3862736,3053600
194,3760768,2920240
195,3716096,3351968
196,3617008,2523280
197,4068528,3459952
198,3122400,2698208
199,4183264,3567168
200,3295376,2801600
201,4209776,2905616
202,3328032,2701904
203,3513264,2997184
204,3347504,3046576
205,3723328,2553392
206,3772112,2829440
207,3169296,3335712
208,3475568,3165520
209,3844880,2915696
210,3889232,3148544
211,3615616,3975968
212,3864688,2799008
213,4695328,3283392
214,3470368,3203280
215,4010752,4085280
216,3892384,3269200
217,4833200,2490912
218,3863360,2689856
219,3130384,4397280
220,3287056,2596592
221,4288480,2800880
222,3175040,2824416
223,3402400,3205504
224,3449392,3365056
225,3718960,3926736
226,4002960,3443952
227,4663424,3554464
228,4186368,3344608
229,4151744,4515808
230,4043408,3168592
231,4075376,2824992
232,3844160,2590416
233,3514352,2942176
234,3259952,3254640
235,3583648,2886176
236,3940304,2933120
237,3511504,3586320
238,3522384,2750416
239,4214368,2908400
240,3447136,2811744
241,3553008,3034064
242,3469920,2832048
243,3537248,3174976
244,3386240,2734640
245,3857584,3231744
246,3303856,2628208
247,3891968,2738816
248,3297280,5312512
249,3380400,2760096
250,5331248,3033008
251,3456880,3381856
252,3779232,2869616
253,4063120,2899232
254,3551840,3798752
255,3625456,2642208
256,4482592,2878464
257,3368752,2878704
258,3393728,2903616
259,3352144,2592544
260,3596240,2955008
261,3338176,2893824
262,3652352,2844464
263,3576704,2888880
264,3537328,2634976
265,3572512,2878256
266,3228944,2856704
267,3531904,3173952
268,3556976,5653248
269,19575072,4011104
270,3841088,3212784
271,6350736,4064384
272,3967888,3470912
273,3831808,2901104
274,4778096,3145328
275,16182656,2834768
276,4045504,6086448
277,3560128,3336288
278,3756112,2733072
279,3540144,3217296
280,6743280,3639040
281,4043392,2704000
282,3429088,2753568
283,3928768,2926096
284,4317184,3155536
285,3351120,2776400
286,3287168,3048640
287,3656384,3062480
288,3825712,3317120
289,3446976,3135136
290,3777568,3628944
291,3763664,4370064
292,4016752,4461072
293,3701728,3179136
294,4109664,4359824
295,5018144,3093888
296,5112992,3769632
297,3843248,2825248
298,4874400,3455776
299,3153168,2833968
300,3847616,2894688
301,3318640,2849840
302,4056880,3716640
303,3494192,2901168
304,3473168,2797264
305,3355632,2600912
306,4265936,3294208
307,3599968,2687696
308,3431472,3369424
309,3216032,3349520
310,3917808,3298224
311,3306208,3360832
312,3965152,3179536
313,3997904,3454464
314,4021792,2793568
315,3919456,2783920
316,3818640,3045216
317,4156512,3378400
318,3476064,3442384
319,3457696,2691792
320,3768608,2795376
321,4075344,2682544
322,4127408,3113424
323,3296480,3015408
324,3463552,2974240
325,3324384,3596496
326,3788656,2989360
327,3657728,4757152
328,3620704,2790768
329,4320528,3254224
330,3615776,3035664
331,5355824,4421760
332,3406336,9051840
333,3977968,5877792
334,3698592,3827248
335,14657280,5910096
336,4469632,4516896
337,7865856,5063760
338,6583424,4730096
339,4498928,4660256
340,6506752,2985632
341,5200128,4420208
342,4446944,4019104
343,5248704,4652000
344,5308896,4249232
345,3632224,3882064
346,5028336,2657696
347,4734464,2674864
348,5261584,2683872
349,4908496,2875120
350,4598128,2744208
351,3327168,7332016
352,3252208,7183040
353,3382400,4015760
354,3594320,2803104
355,3433632,3266448
356,13149536,3004016
357,8051808,3034256
358,7641808,2872096
359,4701904,3456832
360,3365440,4079296
361,3951152,3301760
362,3583184,3028992
363,3442672,2909920
364,3496272,3022384
365,4043136,2708192
366,4758240,3343504
367,4001040,2924256
368,3628320,2668944
369,3558096,3405504
370,3667264,2990000
371,3360912,2850880
372,4030176,2466112
373,3514720,3630864
374,3288400,2821824
375,4110064,3546704
376,3526112,3623504
377,3541888,3165920
378,3061104,4044976
379,4268944,3064336
380,3472256,2936240
381,4195808,2988720
382,4224032,3105296
383,3784560,3616128
384,4674224,4280480
385,3737296,2720208
386,3585024,2655312
387,3638928,3286064
388,3765856,2795024
389,4179952,3357232
390,4731008,3061712
391,3375536,3077792
392,3284768,2884032
393,3973184,3464864
394,3440704,2779440
395,4080608,2871088
396,3702480,2881632
397,3653200,2717856
398,3491648,3075152
399,4149616,2916496
400,3347888,3107072
401,3446560,2898912
402,3505328,2878512
403,3391376,2869680
404,3765632,2932048
===CSV_END===
=========================================
HI_NET_PING_DONE run=20
