HI_NET_PING_START run=22
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
[echo] HELLO_ACK sent
[echo] run #22 — echoing probes
hi_net_ping: HELLO_ACK received
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:    2000
Lost (no echo):       28 (1.400%)
RTL (us):
Mean: 3911.669    Std dev: 1387.618
Min:  2276.320    Max:     19080.432
P50:  3681.040    P95:     5367.840
P99:  11432.928    P99.9:   17989.632
IAJ (us):
Mean: 3188.172    Std dev: 819.917
Min:  1615.328    Max:     10892.624
P50:  3025.824    P95:     4497.056
P99:  6888.944    P99.9:   9737.696
===CSV_START===
index,rtl_ns,iaj_ns
0,4609904,3723136
1,14866240,4972752
2,4452896,4032160
3,5656432,3067584
4,4625248,3626512
5,3715024,5058080
6,4370000,3565424
7,5801536,3016016
8,4170624,3022288
9,3719344,2900992
10,3630272,2942720
11,3601744,2824496
12,3568160,3246560
13,3417600,2676560
14,3823616,2673232
15,3327472,3436256
16,3206512,2613888
17,3996992,3092064
18,3243040,3175488
19,3684752,2979120
20,3762928,3045792
21,3562832,2935552
22,3553264,3037728
23,3522928,3534960
24,3631312,2691856
25,4117808,2572192
26,3346832,3331280
27,3240448,2679904
28,3716640,4457408
29,3263136,3533168
30,4976624,2707616
31,4170272,2822240
32,3286976,3034336
33,3471696,3091360
34,3683584,3398320
35,3797440,2681488
36,4069360,2689952
37,3221840,3015408
38,3349280,3003536
39,3686832,3210384
40,3680720,3521648
41,3903072,3026624
42,4154528,2521552
43,3610048,2676432
44,3083568,2760144
45,3336928,3116176
46,3466512,2971664
47,3710848,2973216
48,3598848,2839552
49,3618320,2637520
50,3476672,3156240
51,3264944,2556272
52,3844720,6308880
53,3173776,4025568
54,17989632,4331712
55,6625712,2405632
56,4688144,2258960
57,4980864,3022496
58,3056528,3039760
59,2964560,2966400
60,3657072,2994912
61,3728576,3138464
62,3681120,3130528
63,3697408,4235616
64,3777120,2511424
65,3071536,3158288
66,4349984,3314048
67,3205296,2666064
68,3799616,3491024
69,3963184,2668928
70,3408720,2652240
71,4047184,3186832
72,3285056,3019136
73,3251808,2819712
74,3749024,2817424
75,3625072,3469424
76,3429616,2716416
77,3493328,3339360
78,4074976,2786224
79,3367616,3504800
80,3956240,2528768
81,3475344,3012720
82,4096064,2987696
83,3212240,2773920
84,3645552,2977824
85,3611040,3272432
86,3388320,3278512
87,3588464,2228064
88,3874864,4291376
89,3935904,3328304
90,2970656,3229152
91,4959504,2938288
92,3995248,3008464
93,3876592,2747200
94,3638848,3060416
95,3752432,3055792
96,3489728,3235440
97,3718368,10892624
98,3701600,3249632
99,3920992,3646016
100,15774576,3087440
101,5039680,2081296
102,3973904,4027520
103,4155744,3592880
104,3767920,4665376
105,2811360,3321552
106,4193152,3455024
107,4275616,3081008
108,4837680,3022368
109,4067792,2768800
110,4179888,2800384
111,3815792,3714448
112,3570480,2804128
113,3342432,1753248
114,3458720,2692192
115,4410880,3021040
116,3340432,3343888
117,2276320,2396608
118,3235104,2836864
119,3682544,3050208
120,3874720,2268032
121,3115872,3655392
122,3480176,3354496
123,3710896,2680720
124,2935072,2364880
125,3805024,3885696
126,3985424,1980000
127,3355856,6461840
128,2961552,3350176
129,4072192,3138896
130,2569392,4186960
131,6630800,2524032
132,3992528,3459440
133,3167632,3168704
134,4237328,2764208
135,3235088,2556736
136,4106912,3077616
137,3825280,3178032
138,3435904,3189728
139,3225472,3473616
140,3737760,5567184
141,3804144,2684496
142,3798496,2576480
143,4146928,3264560
144,6311552,4105312
145,3437504,3068048
146,3322224,3317984
147,3959360,4923568
148,4644992,5282752
149,3607648,4478784
150,3758288,5107744
151,5309360,5466976
152,5519072,3687232
153,4901968,3882992
154,5486128,2708208
155,5911088,3740784
156,4305504,2943904
157,3996704,2887648
158,3309744,2487424
159,4284416,3212336
160,3612368,3200640
161,3499120,2608464
162,3223504,3030544
163,3792528,3175072
164,3809488,3531360
165,3299888,2670832
166,3652928,2586592
167,3755776,3423968
168,4162144,2974864
169,3230816,2919504
170,3292448,2967824
171,4079248,6592048
172,3616624,5310976
173,3596288,3455184
174,3621984,3263392
175,14384688,3170224
176,6319232,2826096
177,5760432,3078560
178,3987136,3146336
179,3927632,2619536
180,3872448,3901280
181,3385024,2813168
182,3783792,2720896
183,3808944,2521904
184,3161840,3065952
185,4604416,3137408
186,3415792,3051824
187,3286208,3280240
188,3043632,2263616
189,3781408,3221728
190,3882320,3177040
191,3732368,5587248
192,4002448,3407664
193,2965712,5715584
194,3870160,3625648
195,3901536,2462384
196,6308576,3537568
197,3947200,3344560
198,6416736,2606720
199,3669520,3185600
200,3030992,2608864
201,3457984,2626496
202,3966928,4060560
203,3297504,2899904
204,3856208,2517936
205,3189024,3219520
206,3270816,2934720
207,4113552,3058528
208,3605760,2833392
209,3169088,3749968
210,3844752,2984528
211,3583968,2415072
212,3767904,2746384
213,3489648,2484864
214,4417968,3702736
215,3703200,3107440
216,3126448,3190976
217,3330256,2681248
218,3172512,2990960
219,3713920,2992736
220,3802512,3067024
221,3801360,3094912
222,3340192,2913808
223,3635264,3145280
224,3568416,2614896
225,3604512,3201264
226,3805568,4790128
227,3553184,2651904
228,3786464,3917184
229,3195376,3012016
230,3861488,3061888
231,5480000,2820448
232,3297376,3029824
233,4613232,2834768
234,3556544,2727872
235,3564336,3546496
236,3447728,3565600
237,3623584,4123408
238,3426640,2594832
239,3220160,3328064
240,4142336,2770096
241,12173088,2949744
242,10564128,2723568
243,4115328,3243248
244,4135664,4378576
245,3277760,4193392
246,3904192,5391040
247,3407584,3880176
248,3448160,7803648
249,3218000,4286144
250,3838816,3693952
251,4956784,4226928
252,4876768,3205552
253,4717568,2689472
254,4478800,3041584
255,8259232,3171920
256,4936400,2690032
257,4375408,3455616
258,4933168,3174512
259,3728496,3289472
260,3327744,3237040
261,3702736,2939760
262,3887408,2828528
263,3360560,3326752
264,4178160,3777392
265,10610448,4308672
266,3775152,2834656
267,3962016,3828064
268,3945680,2357776
269,3545744,2849920
270,3551408,3470288
271,4034928,3542832
272,4385840,3412256
273,3380272,3465680
274,3307520,2759824
275,4443744,3642800
276,3057376,2869568
277,3333904,2598320
278,4054048,3540720
279,4214336,2688784
280,4070416,3578112
281,4133872,2758784
282,3483888,2820752
283,4315408,2666480
284,3476048,2674672
285,3253520,3285696
286,4191856,2879360
287,3312000,3737472
288,4149744,2808240
289,3454592,3992496
290,3436752,3951440
291,3184912,3113632
292,3338320,2986064
293,3984624,2698192
294,3507264,3299728
295,4429232,3253808
296,3349376,2506928
297,4560272,3322448
298,3964384,2954416
299,3735488,2906112
300,3623712,3582176
301,3238944,3183984
302,3786688,3324336
303,3877104,3325264
304,3177792,2772864
305,3937856,4695936
306,3602528,4151872
307,3535152,2794304
308,4161488,2860352
309,3822096,2619792
310,3961296,3155264
311,3970624,3489840
312,16238848,3067824
313,3204208,2597904
314,5419296,2709968
315,3734496,3364672
316,3417040,2902064
317,3533680,2796096
318,3268768,3055504
319,3740128,3039664
320,4017920,2621808
321,3792912,2665440
322,3320656,3705184
323,3268944,3074480
324,3979520,3081024
325,3572944,3084960
326,3418016,3352064
327,3663456,2679776
328,3684736,2853568
329,3251184,2669456
330,3337968,3085136
331,3781600,1618416
332,3623552,3111840
333,3719632,1716816
334,3748672,1639248
335,4015216,3839200
336,3331216,3132608
337,3496704,3175760
338,3282320,2822256
339,3738864,3457008
340,2344064,3160080
341,3859056,3305616
342,2463088,2624192
343,2385776,2997936
344,4562208,3026928
345,3815664,3129856
346,3793536,2901168
347,3480896,3040240
348,4125824,3027856
349,3884000,3399504
350,4026512,2274112
351,3255168,2966048
352,3734752,2774880
353,3739280,2285344
354,3817216,2536272
355,3613456,3051664
356,3745616,2247504
357,3772448,2905424
358,3707744,2883904
359,2955712,2601840
360,3645488,2495760
361,3479200,2442128
362,2961408,2761680
363,3211056,2744640
364,3621312,2562480
365,2899408,2759088
366,3157712,2690768
367,2972528,3104608
368,3307472,2788336
369,3134864,5254384
370,3101520,6961120
371,3515872,2597344
372,3435296,2671824
373,3214432,2985136
374,3405840,2759152
375,3229472,3429488
376,3710624,2896624
377,3498880,3200160
378,5899440,2909600
379,7525936,3031248
380,3218384,2902240
381,3416880,3003376
382,3687584,3022496
383,3501632,3278128
384,4173248,3208528
385,3642128,2534880
386,3946064,5179040
387,3611888,3286320
388,3743632,3824032
389,3590976,7082256
390,3713872,2799168
391,3720816,2552224
392,3964096,2599408
393,3877328,3773200
394,3056832,2854336
395,5862880,2410896
396,4021968,3314736
397,4337920,2403424
398,7758048,2176528
399,3333456,3146544
400,3183872,2900048
401,3286096,3041600
402,4314080,2543712
403,3520176,2345344
404,3134256,2404752
405,3913536,2667264
406,2978608,2470912
407,2852608,2378608
408,3723872,2484784
409,3020368,2755024
410,3602000,3025824
411,3250480,3135056
412,3081280,2753152
413,3025344,3340080
414,3374000,3476240
415,3108448,2571008
416,3045120,3396016
417,3184496,2634240
418,2819824,3677184
419,3663712,2916816
420,3078064,2425664
421,2834496,2624960
422,3911088,2882928
423,3150320,3105776
424,3256416,2966144
425,3326064,2784128
426,3306080,3001408
427,3831104,3031408
428,3576928,2741728
429,3126464,2535696
430,2924032,2446336
431,3527184,2984944
432,3775712,3180960
433,3632656,2929216
434,3478144,3583808
435,3735632,2464112
436,3557344,3243744
437,3445680,2468464
438,3272016,2961616
439,3071904,3335984
440,3729568,2996048
441,3918128,2943456
442,3655968,3053024
443,4286240,3062080
444,3055824,3518976
445,3925760,2430016
446,3091040,3019872
447,3658416,3017152
448,4006480,2781632
449,3723568,2953664
450,3671600,3152816
451,3787792,3113392
452,3775872,2672064
453,4198784,3030496
454,3032544,3243856
455,3742928,3305248
456,3769488,2722784
457,3536832,2776016
458,3706400,2937888
459,3862064,3223168
460,3868416,3369152
461,3427824,2434544
462,3729424,2813904
463,3828272,3212592
464,3992976,2761824
465,3428768,2876336
466,3503616,3144224
467,3692160,3084432
468,3926176,3001504
469,4061152,3190336
470,3102864,3032576
471,3537200,3224960
472,3856048,2851728
473,3515264,3115856
474,3519520,3066640
475,3782128,2619504
476,3721168,2987008
477,3710592,2893360
478,3916976,3104896
479,3767872,3184304
480,3930368,2960816
481,3512768,3139728
482,3810064,2736688
483,3792768,3214848
484,3328000,3046208
485,3688000,2961920
486,3577728,2963056
487,3756304,2823536
488,3860176,2959152
489,3716960,2847088
490,3884096,2783504
491,3488640,2666448
492,3918688,2262256
493,3787280,2312368
494,3690512,2756464
495,3688048,2960688
496,3526560,2768288
497,3686592,2972304
498,3557488,3091152
499,3469232,3233392
500,3311696,3136864
501,3013584,4088960
502,3017616,2561040
503,2922368,3197840
504,3607824,2370672
505,3498064,2720144
506,3618640,2760272
507,3779280,2826656
508,3838512,2702128
509,3769584,2578624
510,3867616,2863552
511,3228272,3319728
512,3865136,2457376
513,3033312,2983280
514,3024176,2939760
515,2927248,2820608
516,3469024,2842864
517,3375984,3167264
518,3188416,2746352
519,3576496,2900576
520,4065184,3012048
521,3074656,3176912
522,3706992,3158304
523,3654688,2595968
524,3573120,3234992
525,3545552,2895344
526,3833056,3234448
527,3469232,3009328
528,3513248,2853728
529,3675424,2916272
530,3842784,2943312
531,3777888,3169024
532,3298736,3139184
533,3875184,3713552
534,3578400,2682928
535,3935744,2620624
536,3703104,3003856
537,3543936,2967920
538,3590496,2986576
539,3601792,2914784
540,3824752,2957648
541,3773008,2855904
542,4390608,3557136
543,3322240,2855056
544,3339456,3170304
545,3707008,2983072
546,3681040,3097888
547,3686880,2965632
548,3609888,3739568
549,3653408,2765840
550,3503568,2522416
551,4185200,3481920
552,3580336,2617440
553,3874928,3238080
554,3718368,2360816
555,3787408,2918832
556,3631312,3294528
557,4492624,2723504
558,3446336,3183488
559,3181824,3128944
560,4172960,3071072
561,3166624,3002896
562,3991664,2601824
563,3016704,3368928
564,3641328,3338768
565,3996960,2773360
566,3476240,3195360
567,3878704,2683312
568,3873456,3374336
569,3787280,2350720
570,3710992,2923776
571,3325136,3230384
572,4037216,3458544
573,4000608,2334960
574,3460448,2981952
575,3949376,2952336
576,3328128,3119536
577,4128688,2679392
578,2943312,3009760
579,3619376,2748480
580,3968624,3032784
581,4213856,2681792
582,2978848,2247392
583,3694608,2371248
584,3629840,3127248
585,3866288,3775904
586,3407680,2944272
587,3627520,2860560
588,3382080,3283184
589,3661712,2925200
590,3361040,3069696
591,2981328,3201856
592,3022000,2883216
593,3304320,2594928
594,3974608,3227808
595,3533312,2943248
596,3442320,3057376
597,3941712,2997888
598,3585392,2824480
599,3696912,3176880
600,3861376,2817520
601,3595152,5387744
602,3155760,2932048
603,3916272,2519616
604,3627648,2963328
605,3685472,3348784
606,3571440,2439488
607,3467872,3097552
608,3793568,2934720
609,3461152,3788480
610,6083072,2530272
611,3526352,2499520
612,3056816,3039392
613,3623280,3221760
614,4083152,3288016
615,3119248,2865616
616,3842240,2640464
617,3660928,3218496
618,4524384,2894368
619,3124304,3139584
620,3170256,2771968
621,3725488,3297568
622,3884976,2698048
623,3997728,3116160
624,3534528,3403744
625,3336816,6072912
626,3912192,4747088
627,3630960,4581920
628,3847472,2718240
629,3513504,3617024
630,3959888,6888944
631,3401888,5079344
632,3809456,4442256
633,4128672,3322688
634,6773968,2808560
635,5308224,2612752
636,5062528,3288720
637,3346928,3236080
638,4181504,2481936
639,16500608,2489472
640,10758800,4585504
641,7469648,2800384
642,5698416,2593232
643,5037120,2511712
644,3834096,3259456
645,3496208,3039152
646,3192880,2690736
647,3804400,2660208
648,3759056,4194080
649,3146576,2679104
650,3068464,2489680
651,4483840,3212768
652,3391600,3371936
653,3226000,2420512
654,3170896,3249312
655,3834880,3120928
656,3643968,3432752
657,3191344,2607040
658,3221136,3172608
659,4085568,2978000
660,3385728,2542672
661,3135392,3129696
662,3801792,2987728
663,3953936,2889584
664,3106960,3449184
665,3803152,2532752
666,3653152,3159216
667,4017472,3130208
668,3321056,2736928
669,3810224,3286144
670,3652576,3128032
671,3201232,2516752
672,3680304,3352880
673,3607328,2592112
674,3473232,2635680
675,4022224,3307264
676,3215680,3268880
677,3744800,3159120
678,3738000,3289808
679,3346784,3001456
680,3801584,3330352
681,3719040,3269760
682,3207152,3708896
683,3933024,3748624
684,3227328,2906000
685,17829424,3712192
686,3209168,3111456
687,3957664,3096992
688,3773088,2821872
689,3733760,3287952
690,3966048,2634992
691,3662144,2856928
692,3864752,2488128
693,3112896,2258976
694,3712240,2972624
695,4371568,3595984
696,3469680,2177248
697,4338992,2250784
698,3764160,3664320
699,3800512,2919088
700,3498688,4056416
701,3941056,3637104
702,3281376,3796480
703,3535536,3507232
704,3146272,3040656
705,2942960,3062848
706,3574032,2876192
707,4210528,3282048
708,2917936,2817920
709,2888080,2723824
710,13597920,2524912
711,3341360,4722416
712,3651328,3350784
713,4800432,2930272
714,4199584,3085536
715,3621328,3452400
716,3975664,4049168
717,3737024,4154832
718,3742256,4048672
719,3581248,4243344
720,4021376,4897840
721,3358752,3752848
722,3339936,5516000
723,3161840,3930160
724,5292128,2885552
725,4058240,3384256
726,3529744,4052496
727,3589264,2439616
728,4137600,2207024
729,4711536,2603824
730,4172256,2471952
731,4794128,2746224
732,4987760,2339008
733,5529168,3145136
734,4476576,3972080
735,6236576,2803040
736,4575552,2766576
737,3253936,3546096
738,3963856,3312256
739,4684352,2595648
740,3067344,8291376
741,2856464,5847344
742,3283536,4517328
743,3171760,2332432
744,3344080,2499056
745,3026816,4290704
746,3241968,2338352
747,3827744,3738320
748,3387472,2352144
749,3223280,2707360
