HI_NET_PING_START run=23
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
[echo] HELLO_ACK sent
hi_net_ping: HELLO_ACK received
[echo] run #23 — echoing probes
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:    2000
Lost (no echo):       14 (0.700%)
RTL (us):
Mean: 3796.707    Std dev: 1086.312
Min:  2246.672    Max:     17453.728
P50:  3633.184    P95:     5127.776
P99:  8097.184    P99.9:   17253.136
IAJ (us):
Mean: 3175.927    Std dev: 882.165
Min:  1531.504    Max:     16080.736
P50:  3013.680    P95:     4568.064
P99:  6890.352    P99.9:   13700.720
===CSV_START===
index,rtl_ns,iaj_ns
0,5755376,5051600
1,4497136,3262032
2,3805104,6301248
3,6648272,3149024
4,3892992,3442016
5,4092944,3336624
6,4074944,2981584
7,3668416,4125552
8,4822496,3423536
9,4019632,4116192
10,4107184,2939600
11,3590752,2719184
12,3317984,3239056
13,3820016,2884400
14,3523424,3615792
15,4183120,2801840
16,3539600,2849824
17,3468400,2664256
18,3212944,4222064
19,4791744,3772096
20,4339056,3147232
21,3791008,2855168
22,3328224,2516832
23,3166464,3136320
24,3786928,3099808
25,3763856,2860912
26,3558512,2987840
27,3676672,2888784
28,3050048,3288784
29,3964752,3143984
30,3808304,3197872
31,3793184,4153776
32,4573360,5453600
33,4519408,3003408
34,3711040,3072928
35,3779648,3349984
36,4005520,2990624
37,3582080,3058048
38,3643664,2914656
39,3527152,2886736
40,3524256,2554560
41,3183184,2951616
42,3621280,3228336
43,3885008,2812880
44,3509312,3297248
45,3963632,3011536
46,3666912,3306640
47,3976832,2556192
48,3183936,2963024
49,3659408,3036624
50,3704688,2927552
51,3624272,3531664
52,4246592,2881632
53,3375216,2861520
54,3383328,3110688
55,3692448,2627840
56,3226640,2993840
57,3655232,3106896
58,3768400,3386704
59,4092848,2599856
60,3154912,3260704
61,3967488,2621600
62,3194336,2925376
63,3638560,2981280
64,3662992,3242208
65,3890944,2832384
66,3502592,2983216
67,3734736,3282272
68,3971344,2608752
69,3162080,3065568
70,3736240,2946720
71,3624032,3035776
72,3733584,3137216
73,3842832,3242288
74,3901248,2615312
75,3157872,3145712
76,3819536,3261952
77,4014912,3074528
78,3657776,2787568
79,3363168,3048912
80,3716960,3743008
81,4402464,3075440
82,3651296,3225152
83,3883520,3440464
84,3954240,4155040
85,4124560,2727424
86,3397600,3256640
87,3842208,2714736
88,3365552,2886528
89,3485312,3245296
90,3823728,3118176
91,3638944,2911344
92,3520320,3348496
93,3952816,2833264
94,3483088,2784304
95,3435712,2580544
96,3168928,3261520
97,3850416,3213856
98,3820208,2773744
99,3376752,3050080
100,3670720,3250032
101,3800576,2995536
102,3629392,2566720
103,3168624,3220896
104,3862640,2980912
105,3568224,3452208
106,4079136,2497968
107,3248192,3158400
108,3745328,3106320
109,3717936,2631024
110,3306800,2435824
111,3058208,3700928
112,3724896,3158112
113,3797920,2854208
114,3453264,3108464
115,3748336,3197440
116,3843248,2784720
117,3454352,3162496
118,3768736,2537968
119,3177808,2378784
120,2992240,2825312
121,2972880,3230832
122,3277632,2793776
123,2932912,3116704
124,3175872,3004032
125,3122896,2848416
126,2975744,4387168
127,4137760,2705856
128,3399920,3042544
129,3661648,3223360
130,3847552,2515936
131,3217248,2263888
132,2874416,3042912
133,3178560,2846288
134,3002912,3338336
135,3349824,3608096
136,3599184,2952064
137,3583888,3216864
138,3835760,3135376
139,3790576,2665312
140,3325296,3163152
141,3783552,2608960
142,3235616,2321968
143,2899712,3058288
144,3097696,3046496
145,3134496,3108112
146,3237488,3021056
147,3111888,3730384
148,3765456,3003120
149,3643984,3009552
150,3634336,3555312
151,4189664,2525968
152,3234384,3595280
153,4175984,2470288
154,3111088,2991216
155,3563040,3073920
156,3695008,2708608
157,3386480,3193776
158,3796576,2844912
159,3415344,3048624
160,3676624,3257200
161,3768400,2855584
162,3518304,2847344
163,3411808,2728080
164,3194704,3281008
165,3876864,3018960
166,3627744,2838144
167,3331872,3123792
168,3728128,2852384
169,3414848,3192032
170,3705584,2929120
171,3498128,3073520
