HI_NET_PING_START run=7
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
[echo] HELLO_ACK sent
hi_net_ping: HELLO_ACK received
[echo] run #7 — echoing probes
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:    2000
Lost (no echo):        9 (0.450%)
RTL (us):
Mean: 3600.752    Std dev: 1005.395
Min:  1670.256    Max:     22076.272
P50:  3476.192    P95:     4597.936
P99:  7895.056    P99.9:   16672.896
IAJ (us):
Mean: 2981.721    Std dev: 774.180
Min:   925.024    Max:     9584.368
P50:  2885.344    P95:     4069.600
P99:  6287.696    P99.9:   9483.280
===CSV_START===
index,rtl_ns,iaj_ns
0,5490384,2980992
1,3670048,2508160
2,3112128,3289728
3,3882560,2695856
4,3414432,3171792
5,3758304,3674832
6,4239392,3568080
7,4085856,4584464
8,4044128,2907264
9,3485312,5273552
10,5767904,3201488
11,3063904,2707120
12,2805728,3357440
13,4083616,2754576
14,2913504,2791328
15,3520384,2911296
16,3600016,2344016
17,3086656,2770576
18,3363488,3115856
19,3758384,2953200
20,3651936,2919360
21,3445600,2755360
22,3442544,3331600
23,3990000,2420928
24,3066544,2710416
25,3211696,3737632
26,4300400,2820736
27,3454768,2825488
28,3437600,3386656
29,4004304,2541920
30,2942064,3251840
31,3772096,2491504
32,3211136,3262960
33,3606176,6005024
34,6643408,2670704
35,3315888,2290288
36,2993776,2891728
37,3017824,3071552
38,3157632,7669312
39,7842768,2304224
40,3004080,2588576
41,2765984,3511360
42,4240256,3850160
43,2987056,2641200
44,3368544,3103152
45,3802656,8364912
46,9090720,8954016
47,9324128,4861328
48,5022592,5094960
49,5779104,4017360
50,4037648,3717536
51,4380240,4152240
52,4719072,2174928
53,2878080,3838224
54,4383904,2113856
55,2847376,2699344
56,3379328,2561888
57,3230704,2466720
58,3063056,3065792
59,3788208,2180032
60,2843008,2646896
61,2825632,2600736
62,3321040,2456544
63,3088528,2813952
64,3503264,3027344
65,3725120,2678208
66,3336096,2663632
67,3237376,2896848
68,3567328,3580416
69,4198592,3186432
70,3775504,2640800
71,3317552,3430384
72,3902048,3035232
73,3746864,2854816
74,3544432,2690112
75,3437264,3356960
76,3940176,2623200
77,3361648,3022160
78,3575728,2816528
79,3395552,2866464
80,3400160,2862768
81,3533808,2049488
82,2756512,2244752
83,2905568,2782560
84,2877968,4066288
85,4779360,2255504
86,2981216,2896384
87,3015520,2717104
88,2800448,2770832
89,3411104,2370784
90,3116064,2151616
91,2876368,2698192
92,3394784,2253968
93,2916080,2816112
94,3465424,3358336
95,4082224,4376768
96,4993008,2832304
97,3509744,2757616
98,3478288,2634096
99,3239264,3081584
100,3655744,2145120
101,2813344,3754576
102,4364864,2277600
103,2918128,2151040
104,2803760,2631488
105,2818848,2673952
106,3347104,2258592
107,3013600,2507616
108,12627952,3495680
109,11738704,3301872
110,3187008,3688896
111,4093760,3030576
112,3915040,2978160
113,3736320,3142976
114,3738864,3124016
115,3676464,2209536
116,3807824,2840384
117,3833424,3070608
118,2937568,3077952
119,2911616,3830560
120,3131648,2836976
121,3200208,3037744
122,4006064,2801312
123,3446768,3108224
124,3656176,3040448
125,3495520,2885472
126,3805904,2435824
127,3682464,2811312
128,3523616,3944416
129,3137120,2895360
130,2951200,2954656
131,4001440,3240608
132,3597008,3204672
133,3590272,3011632
134,3870112,2916208
135,3815936,2906336
136,3484640,3093824
137,3402976,3078944
138,3452080,2746016
139,3610000,3085200
140,3666224,3019296
141,3301072,3520928
142,3688256,3436736
143,3605360,3233360
144,4057840,2935600
145,3973632,3732256
146,3865184,2728112
147,3562080,2924800
148,4206448,3562880
149,3320528,2619824
150,3603152,2455936
151,4189024,3763552
152,3263600,2712224
153,3154368,3508480
154,4329088,2865488
155,3314720,3001200
156,4172992,3117552
157,3419248,3003680
158,3672656,3021120
159,3694256,2905936
160,3569376,3002864
161,3540736,3005344
162,3473072,2786048
163,3673152,2530816
164,3584592,3139360
165,3366752,3372944
166,3235264,3115232
167,3803968,2695200
168,4030192,2726656
169,3689584,3336576
170,3357392,2399904
171,3375600,3421408
