HI_NET_PING_START run=11
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
[echo] HELLO_ACK sent
hi_net_ping: HELLO_ACK received
[echo] run #11 — echoing probes
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:    2000
Lost (no echo):        9 (0.450%)
RTL (us):
Mean: 3500.271    Std dev: 1019.406
Min:  1927.536    Max:     22366.272
P50:  3380.080    P95:     4273.712
P99:  7744.544    P99.9:   18964.720
IAJ (us):
Mean: 2868.878    Std dev: 732.724
Min:  1366.016    Max:     13336.976
P50:  2784.192    P95:     3799.936
P99:  5602.240    P99.9:   10139.888
===CSV_START===
index,rtl_ns,iaj_ns
0,4832320,3452976
1,3990864,2994048
2,3566976,3370816
3,3971744,3574880
4,4182032,3230144
5,3885152,4210976
6,4851760,3044784
7,3672400,2749984
8,3327424,3386192
9,4022240,2986976
10,3592224,3031056
11,3543072,3099232
12,3669872,3027376
13,3593520,2965904
14,3539888,2946416
15,3509056,2929088
16,3421168,2977504
17,3563088,2736832
18,3293280,3140240
19,3846464,2909824
20,3559104,3578144
21,4273712,3064128
22,3630640,2730432
23,3322736,2833792
24,3403392,2636720
25,3175520,3699104
26,4357088,2685520
27,3285184,3033328
28,3554064,3461424
29,3497696,3407312
30,4028672,3252640
31,3837136,3179264
32,3785136,3121680
33,3720032,3509408
34,4160496,3214544
35,3823600,3292320
36,3880224,3358400
37,4013360,3946416
38,3806480,2689376
39,3387184,3394864
40,4062656,2726544
41,3283536,3193936
42,3898368,2687040
43,3275168,3855264
44,4523104,2698720
45,3284896,4062016
46,4488688,3280864
47,3828640,3459120
48,4072080,3206544
49,3815088,2563936
50,3163136,2809728
51,3443456,3196448
52,3840912,2486624
53,3128400,3502432
54,4042608,2944272
55,3470400,2826688
56,3505872,3667520
57,4315472,3617856
58,4125280,3062160
59,3719136,4087088
60,4784336,2907872
61,3534016,2923024
62,3616528,2845968
63,3490960,3299584
64,3965744,2830672
65,3468704,3356864
66,4016032,2493408
67,3127520,3303568
68,3968288,3563984
69,4249392,2859584
70,3464224,2954096
71,3383408,2870912
72,3422288,3128176
73,3717968,3050976
74,3617744,2646720
75,3217024,3603792
76,4239872,2683824
77,3303648,2756576
78,3357408,3261824
79,3803072,2607872
80,3192528,3158800
81,3851904,3058320
82,3645360,2880192
83,3498480,2667520
