HI_NET_PING_START run=14
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
[echo] HELLO_ACK sent
[echo] run #14 — echoing probes
hi_net_ping: HELLO_ACK received
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:    2000
Lost (no echo):        4 (0.200%)
RTL (us):
Mean: 3617.275    Std dev: 715.790
Min:  2235.760    Max:     11569.136
P50:  3531.888    P95:     4500.432
P99:  6783.200    P99.9:   10819.808
IAJ (us):
Mean: 3021.297    Std dev: 767.681
Min:  1479.168    Max:     16938.272
P50:  2922.528    P95:     3971.696
P99:  6171.680    P99.9:   9718.304
===CSV_START===
index,rtl_ns,iaj_ns
0,4520080,3074464
1,3712720,3177712
2,3802176,3707264
3,4293776,5302752
4,5932944,4887312
5,5311680,9718304
6,9184576,3580704
7,4066960,2982768
8,3532640,3009632
9,3600672,3138736
10,3664752,3207008
11,3805776,3290704
12,3936288,2116352
13,2832752,2815328
14,3454800,2775648
15,3419328,3471248
16,4060864,2979776
17,3541584,2963984
18,3533568,2801376
19,3442816,2917136
20,3551184,2982336
21,3531456,2901072
22,3593040,3315248
23,3953008,2990352
24,3524576,3356320
25,4018800,3372768
26,3827616,3280848
27,3935296,3131616
28,3848400,4104656
29,4088064,3449696
30,3988544,4203872
31,4812320,2796048
32,3392432,2908720
33,3578112,3146720
34,3758560,3492480
35,4132800,2982608
36,3550768,2836336
37,3478576,2673664
38,3384368,2968576
39,3557680,3125008
40,3759616,2768288
41,3386144,3226672
42,3842256,2462832
43,3137808,2990112
44,3536752,3261808
45,3829088,3155248
46,3797200,3084192
47,3721376,2924144
48,3440944,3370624
49,4036992,3162480
50,3809008,2979216
51,3617728,2541840
52,3167888,2578608
53,3222144,3384720
54,3859648,3172256
55,3820848,2388160
56,3047856,4192784
57,4631520,3140656
58,3741824,2992560
59,3615904,3195776
60,3824672,2897984
61,3596976,2984320
62,3646736,2925968
63,3561952,3013552
64,3647456,3368272
65,4000224,4078032
66,4043504,2791440
67,3508336,2937664
68,3633616,3440576
69,4151632,3040160
70,3562128,3189456
71,3653520,2793632
72,3396656,3065040
73,3603408,3243808
74,3810288,2776144
75,3381584,2803872
76,3345552,2758688
77,3316912,3524144
78,4181312,2610320
79,3227376,2769248
80,3382864,3432784
81,4132400,2536544
82,3172144,3140496
83,3851312,2894240
84,3529424,3253024
85,3963808,2759584
86,3477088,3271072
87,3981872,2740688
88,3387600,3239968
89,3950624,2717456
90,3357360,3106864
91,3803456,3144816
92,3796624,3183056
93,3890752,2669184
94,3285344,3207200
95,3855664,2792944
96,3418512,3552192
97,4207200,2465520
98,3083792,3567328
99,4237856,2808512
100,3348304,2914880
101,3488528,2869520
102,3503664,2992128
103,3640496,3182576
104,3899952,2767424
105,3409984,3287152
106,3993808,2776208
107,3331152,2761968
108,3397808,3245616
109,3944672,3149024
110,3799552,2640736
111,3244016,3218336
112,3875824,3325200
113,3953360,3184160
114,3673136,2702800
115,3209888,2899168
116,3400672,2995568
117,3603184,2776704
118,3397888,2936992
119,3644512,3164416
120,3835472,2837360
121,3470320,2970368
122,3628672,3025808
123,3685200,3656064
124,4299760,2719280
125,3323504,2747760
126,3312576,3100688
127,3808592,3396432
128,3964640,2693936
129,3310592,2675648
130,3291296,3313632
131,3970208,2568912
132,3204864,3267088
133,3967312,3010064
134,3717440,2737104
135,3452880,3265728
136,3974352,3024272
137,3662144,2718336
138,3354864,2475392
139,3175520,3714832
140,3775088,3095344
141,3804320,2626368
142,3247408,3258752
143,3909152,3111840
144,3804688,3153184
145,3699584,2768288
146,3327184,2793520
147,3508784,3160208
148,3862480,3079520
149,3783520,2839680
150,3555584,3216480
151,3874560,2758976
152,3386960,3294064
153,4005632,2645856
154,3199328,2428128
155,3136064,4095712
156,4075280,2484432
157,2997600,2443792
158,3154528,3714368
159,3689648,3174448
160,3883840,3149632
161,3565072,2931760
162,3428384,2626016
163,3135216,3188480
164,3899520,3004016
165,3716384,3170608
166,3877040,2796560
167,3400576,2709808
168,3415712,2416944
169,3082656,3771712
170,3776896,3565168
171,4227136,2774768
172,3399968,2794336
