HI_NET_PING_START run=13
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
[echo] HELLO_ACK sent
hi_net_ping: HELLO_ACK received
[echo] run #13 — echoing probes
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:    1418
Lost (no echo):      587 (29.350%)
RTL (us):
Mean: 3728.912    Std dev: 853.605
Min:  2809.712    Max:     20253.872
P50:  3662.464    P95:     4272.880
P99:  7200.864    P99.9:   16770.144
IAJ (us):
Mean: 3102.703    Std dev: 586.818
Min:  2206.608    Max:     9200.320
P50:  3033.136    P95:     3808.928
P99:  5259.808    P99.9:   8722.032
===CSV_START===
index,rtl_ns,iaj_ns
0,6200944,3617184
1,3922992,3121456
2,3620992,3827328
3,4441872,2509808
4,3196432,2979856
5,3479648,3199984
6,3665632,3041376
7,3617440,2783920
8,3377408,2860832
9,3408336,2629376
10,3212576,2980384
11,3573472,3579936
12,4193120,2924032
13,3467328,2659936
14,3236544,3298672
15,3897616,3567312
16,4044544,3167440
17,3871152,3266304
18,3879488,3308752
19,3383712,3808928
20,3821696,2791056
21,3389712,3077120
22,3677168,3045888
23,3646192,2745088
24,3308064,3226368
25,3891568,2307488
26,2904992,2977200
27,3022976,4257472
28,3950288,2579536
29,3260352,3051392
30,3651904,2686384
31,3276752,3294976
32,3928480,3059904
33,3670400,2953216
34,3577264,3066768
35,3650080,2798304
36,3427712,3003760
37,3510048,3245984
38,3756800,2823984
39,3431248,3172640
40,3764432,2844048
41,3496240,3028992
42,3583616,3318256
43,3917680,2696928
44,3394160,2871680
45,3430912,3068576
46,3636912,3061808
47,3624528,3093232
48,3696080,2966656
49,3606656,2632496
50,3236208,3152352
51,3792288,3107888
52,3707936,2884304
53,3525904,2899888
54,3475440,2396000
55,3026496,3965056
56,3889200,2991264
57,3642480,3125648
58,3731168,3151856
59,3819408,3558272
60,4230240,3077968
61,3645424,3161376
62,3686464,3291888
63,3896272,3167168
64,3823808,2750384
65,3323504,3055568
66,3716096,3486608
67,4148912,2578432
68,3118544,3602832
69,4242608,2889344
70,3519424,3097424
71,3642800,2847024
72,3428912,2572400
73,3129280,3311808
74,3952928,2497488
75,3044992,4078736
76,4772112,2909472
77,3616144,3422992
78,4044880,3266400
79,3912912,3034992
80,3094288,3081504
81,3185952,3859776
82,3888304,2726032
83,3308272,3270400
84,3881504,2641776
85,3209840,2476432
86,3090240,3839024
87,3836304,2629104
88,3177648,2416656
89,3091360,3774832
90,3745760,3367952
91,3986224,2882576
92,3484208,2982704
93,3503104,3628496
94,4160656,2849792
95,3455056,3501904
96,4144352,3551312
97,4017872,3071360
98,3635008,2667824
99,3167344,3258208
100,3894016,3071424
101,3644064,2803888
102,3317344,4004928
103,4546832,3366848
104,4061776,3372704
105,4027648,3662352
106,3704080,3290496
107,3941504,2889760
108,3494768,2652144
109,3239888,3350544
110,3967856,2953520
111,3530800,2933792
112,3454864,3654672
113,4244800,3473824
114,4111584,2972848
115,3480208,3292640
116,3820272,3543392
117,4087920,2711472
118,3272240,3012912
119,3534384,3413344
120,4010912,2622432
121,3254592,2721904
122,3216288,3539264
123,4099712,2583808
124,3158240,3292544
125,3977296,3144208
126,3700496,2977152
127,3394064,2509664
128,3111664,3361600
129,3855936,2693712
130,3303952,3190960
131,3806080,3234448
132,3864864,2585904
133,3242080,3568192
134,4151760,3189616
135,3602480,3251840
136,3833088,3057088
137,3773408,3106624
138,3773984,3420016
139,4044880,4071536
140,4005584,2502880
141,3122272,2378880
142,3024192,4058160
143,3720272,2808336
144,3368144,3109008
145,3670384,2958432
146,3580720,3194560
147,3776688,2554400
148,3168240,3354240
149,3979232,2645136
150,3213440,3084512
151,3708816,2375344
152,2999360,3021040
153,3046240,3770112
154,3743024,3082464
155,3662464,2620432
156,3188464,3500400
157,4146224,2645072
158,3253296,3248368
159,3886448,3009392
160,3603392,3020976
161,3607248,2940560
162,3549120,2934656
163,3566848,3603552
164,4189312,3495040
165,4173600,3392608
166,3858432,2999744
167,3629520,3059184
168,3720992,2933056
169,3615312,3097520
170,3750352,2818608
171,3327936,3261776
172,3811936,2514992
173,3092960,3028528
174,3585408,3047856
175,3617280,2996976
176,3563344,3130096
177,3642448,3307696
178,3948080,3326768
179,3912400,2476368
180,3079872,3569840
181,4212288,2486032
182,3032832,3205616
183,3808512,2230240
184,2809712,3655984
185,4374592,2615952
186,3209472,3046656
187,3638864,3099040
188,3756848,3283136
189,3937072,2734064
190,3306000,3495584
191,4156208,2553952
192,3101424,3586416
193,4173824,2716368
194,3235552,2874912
195,3522800,3672112
196,4335376,2551968
197,3234368,2695248
198,3295088,3205552
199,3877248,2890176
200,3462480,2963456
201,3627280,3095392
202,3790384,2703760
203,3301152,3133680
204,3793728,3025168
205,3724224,3109488
206,3775744,3653680
207,4272880,2792752
208,3506144,2617424
209,3228048,3899600
210,4538704,3471680
211,4156000,3164144
212,3237136,3893200
213,3763872,2837840
214,3487072,3090848
215,3831072,3388896
216,3939536,2943504
217,3630992,2992064
218,3696224,2584720
219,3309424,2642384
220,3354496,2464192
221,3141696,3808768
222,3944336,3303808
223,4003856,3094784
224,3684672,2555040
225,3211392,2433360
226,3170224,3817328
227,3983088,2875520
228,3545856,2851632
229,3595744,3125184
230,3803280,3088256
231,3814768,2727360
232,3347312,2952288
233,3442672,2526032
234,3185120,3687728
235,3804288,3014576
236,3707888,3174800
237,3837136,2827024
238,3458496,2872096
239,3473248,2371696
240,3086672,2987200
241,3134016,3639024
242,3794832,2972944
243,3659360,3187936
244,3856112,2916720
245,3547024,3200896
246,3881808,2912880
247,3533216,2778256
248,3463504,3125680
249,3828224,2802688
250,3519120,3220224
251,3680096,3041968
252,3629648,3420912
253,4172288,2739440
254,3418496,2684096
255,3310560,3012288
256,3696384,2982320
257,3675664,3296272
258,3877296,2768624
259,3415552,3055536
260,3610256,4642704
261,5377600,3334656
262,3988752,2972480
263,3514864,2738784
264,3260896,2773632
265,3375056,3266960
266,3942816,3375568
267,4032192,2531024
268,3182864,3111744
269,3811760,2691088
270,3272176,3313424
271,4016352,2714736
272,3332576,3070000
273,3774224,4728544
274,5470464,3826528
275,3798400,2955168
276,3542496,2765088
277,3480256,3090432
278,3732512,3132512
279,3781280,2889728
280,3631408,3434288
281,4123536,2620896
282,3328656,2754400
283,3454912,3131584
284,3785104,3131904
285,3771712,3157296
286,3822080,2738128
287,3357088,2451296
288,3203008,3692352
289,3861776,2694528
290,3409696,2528384
291,3096224,2968992
292,3119360,3736224
293,3831488,2937072
294,3638880,3091952
295,3695504,2836992
296,3546144,3079024
297,3751072,3032624
298,3744608,3330992
299,3994896,2790112
300,3494688,3107744
301,3716352,2740912
302,3371904,2875984
303,3514528,3320320
304,4004400,3002224
305,3657328,2650432
306,3255184,2385600
307,3115776,3143840
308,3201568,3825440
309,3881216,2785680
310,3361584,3400432
311,4096176,2676496
312,3298512,3101872
313,3784304,2727456
314,3341664,3182640
315,3793216,2709936
316,3398272,2477408
317,3122288,3749280
318,3792080,2857056
319,3540256,3190384
320,3845344,2865040
321,3556368,3148816
322,3849008,2913248
323,3619296,3211552
324,3890256,2736352
325,3399312,3141552
326,3826000,2910720
327,3638096,2891184
328,3606624,2531824
329,3200160,3889664
330,3994224,2855936
331,3503920,2713632
332,3369888,3141584
333,3788400,2947168
334,3632880,3406880
335,4135104,2818544
336,3492400,2862000
337,3422976,2919168
338,3557040,3513568
339,4199712,2919536
340,3618720,2568720
341,3281984,3023456
342,3704432,3003520
343,3744960,3061744
344,3805248,2952512
345,3593680,2414768
346,3160736,3554032
347,3589648,3093712
348,3810112,2895472
349,3471328,3153680
350,3871072,2903920
351,3654192,3217328
352,3915024,3158768
353,3766608,2614064
354,3293472,2976832
355,3616096,2867184
356,3586656,2400352
357,3026160,3737456
358,3871856,3140368
359,3780240,2843888
360,3444304,3310256
361,3992992,2854848
362,3474928,2993440
363,3553200,2932624
364,3601872,2712688
365,3448976,2331840
366,3021744,3007248
367,3142272,3221680
368,3271424,3644880
369,3757504,3092240
370,3829424,3412864
371,4141792,2894480
372,3604432,3712448
373,4314448,3598256
374,4213664,3244512
375,3872352,2785120
376,3427536,3116416
377,3766224,2620064
378,3154384,3294912
379,3827920,2784448
380,3412352,3204992
381,3886032,3285312
382,3975552,2741744
383,3234624,2569632
384,3105808,3187280
385,3818704,3343920
386,4003664,2869136
387,3455008,3275072
388,3935120,2813792
389,3399008,3162592
390,3764704,2964160
391,3314544,2899808
392,3556112,3454528
393,3854944,2697392
394,3313664,2651280
395,3313744,3051696
396,3730432,3120160
397,3749248,2708352
398,3263200,3134528
399,3811712,2780416
400,3467168,8722032
401,9332768,5280272
402,5325552,4062064
403,4606592,3018400
404,3722352,4641584
405,5354432,5011376
406,5640208,7918800
407,8575872,4117216
408,4842768,6554928
409,16770144,7334576
410,10283600,3565232
411,7200864,3593824
412,7863872,3120000
413,4281792,2972736
414,4275632,2571120
415,3711344,3710880
416,3575264,3318416
417,3135152,2801760
418,4259936,2673440
419,3887856,2798000
420,3477360,3165392
421,3355872,3699584
422,3356528,2949872
423,3788432,3070320
424,4364544,2731152
425,3644928,2572784
426,3760640,2640976
427,3420208,2862272
428,3161520,3350128
429,3263616,2849200
430,3542400,2914816
431,3969216,2784096
432,3504176,3040288
433,3606592,3258032
434,3296784,3028720
435,3585632,3120912
436,3826384,3057696
437,3558128,2782720
438,3823968,3295744
439,3749152,2459952
440,3251712,2937696
441,3968704,3633040
442,3088848,2691248
443,3602448,3194688
444,4283024,3554512
445,3340336,2962592
446,3814432,3065376
447,4234912,2868320
448,3528736,3002240
449,3586944,2639984
450,3520224,3136720
451,3623568,2593296
452,3303024,3283952
453,3722752,2758128
454,3227728,3024896
455,3895392,3012640
456,3381008,2573600
457,3676144,3127440
458,3736608,3635584
459,3239904,2652192
460,3811776,3611680
461,4277856,2920112
462,3313504,2536032
463,4276208,3031440
464,3482976,3053888
465,3176480,2688336
466,3702400,3090832
467,3645968,2642384
468,3311760,3102080
469,3727792,3264960
470,3097776,3144048
471,3755008,3010912
472,3789696,2756448
473,3726176,3381264
474,3695376,2793680
475,3424144,2707040
476,4020784,3157376
477,3444304,3169312
478,3331312,3255376
479,3748672,2894128
480,3789616,2793536
481,3677648,3213392
482,3521680,2966800
483,3258288,2720256
484,3778288,3980464
485,3320416,3188048
486,3346896,3301552
487,4518432,3210416
488,3891392,3096016
489,3994048,3079696
490,3897568,3682224
491,3201568,2993632
492,3248800,3094736
493,3795840,2931216
494,3525264,2682864
495,3772272,3737792
496,3549664,3451536
497,3425104,3148560
498,4377792,3365712
499,4139488,3133040
500,3857024,3391520
501,3999152,2751472
502,3821104,3025072
503,4005216,2730368
504,3411968,3216832
505,3685248,2562784
506,3296096,3384624
507,3875328,2690176
508,3138304,3263536
509,3970176,3227584
510,3201280,2695104
511,3778976,3289216
512,3884928,2556976
513,3324000,3325168
514,3895648,2810128
515,3213312,3169984
516,3797568,3422016
517,3440656,2851600
518,3864336,2518464
519,4120384,2992688
520,3480896,3047264
521,3153776,3267344
522,3710480,2523952
523,3701152,3007152
524,3945168,2881504
525,3155440,3282560
526,3650208,3066944
527,3532208,2988240
528,3959680,3204656
529,3723216,2932928
530,3690560,2955216
531,3904480,2845168
532,3524768,3033680
533,3604128,3083104
534,3541232,3012864
535,3740816,3079840
536,3801568,2662016
537,3624640,2863056
538,3765536,3010224
539,3332960,3366176
540,3538480,3026368
541,3613712,3085200
542,3894624,3015424
543,3770720,2999600
544,3734048,3015968
545,3690976,2894112
546,3654624,2699168
547,3674848,3398144
548,3434304,3222976
549,3284800,2677520
550,4021504,3111504
551,3877264,3051936
552,3280432,3334928
553,3754160,2820880
554,3664768,3157776
555,3970096,2732016
556,3431664,2688720
557,3723280,3073888
558,3372448,3216416
559,3340256,2662208
560,3743312,3264384
561,3851456,2615472
562,3287216,3170944
563,3966304,2952656
564,3204288,2962800
565,3846320,3170272
566,3658992,3074240
567,3613744,2840992
568,3871120,3229744
569,3718400,3518272
570,3532176,5259808
571,3918832,2681392
572,4172416,2860176
573,5878384,2846032
574,3367664,3045120
575,3478128,3138384
576,3542624,2730416
577,3706816,3612464
578,3856528,2678336
579,3360000,3155216
580,4243072,3377168
581,3405616,3346080
582,3806000,3446560
583,4009936,3314624
584,3987392,3052240
585,4125552,2869168
586,3946416,2863664
587,3679360,3149072
588,3430688,3068448
589,3577440,2790528
590,3694688,3065440
591,3771632,3145104
592,3268608,2549920
593,3649312,3525696
594,3777232,2965408
595,3166672,2615168
596,4108832,3256368
597,3474928,3310864
598,3267344,2686576
599,3892368,2943616
600,3976480,3106368
601,3341024,2601760
602,3597568,2879360
603,3779168,3553104
604,3160368,2796592
605,3488480,3057504
606,4171376,3107184
607,3404000,3342736
608,3750432,2906704
609,3705744,2682656
610,3892144,3601504
611,3459040,2876992
612,3216272,2808480
613,4212336,2473152
614,3467392,3235744
615,3330928,3072720
616,3165920,3101152
617,3752880,2955120
618,3739584,2806384
619,3712896,3093232
620,3489200,3223648
621,3434096,2687872
622,3690976,3008048
623,3891328,3352960
624,3283600,2950016
625,3626256,3002128
626,3942720,3049920
627,3451360,2977488
628,3409296,2629440
629,3697664,3395280
630,3482528,2800928
631,3297664,3162272
632,3953760,2600832
633,3464064,3107776
634,3630896,3373424
635,3284288,2436960
636,3671520,2927808
637,4074112,3365616
638,3111360,3406288
639,3633712,2612288
640,3941600,3189456
641,4008016,2864192
642,3263872,2882304
643,3878016,3053648
644,3502288,2963600
645,3445600,3608640
646,3714272,2719376
647,3581936,2685408
648,4256816,2964480
649,3358816,3125552
650,3316208,2992880
651,3581968,2943888
652,3754240,2755648
653,3543568,2959520
654,3465264,2896672
655,3353056,2921216
656,3658048,3043136
657,3596448,2865904
658,3588000,3101504
659,3618608,3459664
660,3472288,2561776
661,3759120,3460496
662,4069440,2722848
663,3176688,3136304
664,4022048,3107040
665,3298928,2502368
666,3704640,3104800
667,3738320,3072048
668,3099040,3360512
669,3667120,2792256
670,3685472,3531088
671,4020880,2895040
672,3420000,2509424
673,4168256,2976768
674,3504480,2966480
675,3171504,3089664
676,3682368,2989376
