HI_NET_PING_START run=22
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
hi_net_ping: HELLO_ACK received
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
[echo] HELLO_ACK sent
[echo] run #22 — echoing probes
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:    1641
Lost (no echo):      363 (18.150%)
RTL (us):
Mean: 3348.742    Std dev: 786.170
Min:  2377.744    Max:     19318.768
P50:  3291.040    P95:     3865.568
P99:  5074.160    P99.9:   18947.392
IAJ (us):
Mean: 2727.755    Std dev: 480.154
Min:  1631.952    Max:     9856.640
P50:  2733.664    P95:     3224.752
P99:  4448.496    P99.9:   7586.496
===CSV_START===
index,rtl_ns,iaj_ns
0,18947392,3713440
1,4202960,4271200
2,4872480,4277552
3,4395104,4613200
4,5191600,3224752
5,3735792,2748688
6,3291040,2469664
7,3011968,2767584
8,3394304,2837168
9,3412624,3542816
10,4015424,3512160
11,4154960,2886032
12,3433472,2864672
13,3569040,2606304
14,3338960,2996400
15,3667824,2674640
16,3410336,2649072
17,3282848,2348512
18,3037936,2857856
19,3510944,1991296
20,2742448,2842240
21,2969504,2713552
22,3415760,2451712
23,3194624,2214896
24,2780576,2713056
25,3390768,2286672
26,3002704,2975392
27,3630416,2841776
28,3489840,2953792
29,3587056,2116560
30,2843392,3944928
31,3808720,2197536
32,2872160,2707584
33,2861872,2764096
34,3475696,2850912
35,3572800,2230016
36,2953920,2807888
37,3394128,2567424
38,3212480,3206848
39,3853104,2772368
40,3509840,2659376
41,3306160,2293968
42,2980768,2873952
43,3558960,2135440
44,2764144,2693728
45,2875200,2715680
46,3373360,2304896
47,3013712,2646064
48,3334448,3656336
49,4332000,2111280
50,2796592,2853104
51,3430704,2764528
52,3452256,2393168
53,3121664,2604208
54,3252848,2100464
55,2821712,2624976
56,3337104,2430064
57,3149680,2196112
58,2831552,2870624
59,3465280,2423328
60,3100048,2484112
61,3229408,2996576
62,3730864,2235120
63,2964000,3866512
64,4001664,2034144
65,2690144,3713744
66,3909632,2179264
67,2787984,2554288
68,3306112,2143280
69,2868848,2539616
70,3244304,2638560
71,3263552,2353792
72,3075776,2753296
73,3372000,2137360
74,2889136,2736480
75,2921872,2741776
76,3492896,2662688
77,3312736,2265520
78,2936032,2636384
79,3349296,2782832
80,3392240,2985424
81,3677472,3001312
82,3698304,2888496
83,3599840,2522896
84,3229840,2593152
85,3324016,3067808
86,3767344,2947904
87,3573136,2975376
88,3620880,2276240
89,2969568,2733664
90,2818272,2911824
91,3614800,2704640
92,3444320,2448944
93,3172384,2436832
94,2996976,2739552
95,3445952,2605328
96,3199296,2503616
97,3174416,2541152
98,3148656,2356944
99,2982880,2753776
100,2944544,2868320
101,3548784,2685424
102,3372224,2470848
103,3220896,2401264
104,2802304,2756128
105,3442864,4419376
106,5074160,2191296
107,2902272,2386816
108,3005888,2848384
109,3530848,2881888
110,3595840,2648016
111,3388176,2354112
112,3044448,2426400
113,3150944,2715488
114,2836784,3235488
115,3981936,2754592
116,2827424,2714640
117,3428704,2871952
118,3451904,2419584
119,3139072,2497008
120,3089936,2789648
121,3526976,2335904
122,3015888,2327776
123,2947024,2134272
124,2748192,2991920
125,3182928,2996608
126,3145456,2873392
127,3071344,2806320
128,3539968,2797456
129,3453920,2990464
130,3697248,3132208
131,3746832,2895952
132,3571888,2390416
133,3078880,2144112
134,2809632,2778960
135,3427872,2352800
136,3067088,2721328
137,3404768,2268096
138,2947840,2732080
139,2901136,2739472
140,3471248,2893440
141,3580064,2154352
142,2869392,2789824
143,3444240,2604496
144,3279632,2530512
145,3205120,2368080
146,3054576,2882768
147,3484912,2934928
148,3644608,2153952
149,2886304,2719392
150,3470400,2821648
151,3546208,2399616
152,3107376,2147856
153,2822992,2899776
154,3562816,2380272
155,3132512,2372544
156,3068928,2204592
157,2833136,2899792
158,3587088,2671328
159,3397136,2313008
160,2999488,3136800
161,3828880,2187264
162,2899888,2841424
163,3492096,2243216
164,2995008,2630128
165,3318704,1966128
166,2715344,3104736
167,3731152,2871760
168,3576048,2755968
169,3444144,2276160
170,2993744,2736336
171,3470464,2614192
172,3272496,2801104
173,3438000,2314048
174,3063856,2786896
175,3520384,2627424
176,3287024,2427840
177,3112768,2661136
178,2828304,2935584
179,3626816,2806144
180,3473616,2408992
181,3107728,2658032
182,3225296,2633392
183,3340528,3378672
184,4070560,2966400
185,3613728,2714992
186,3299696,2794992
187,3461456,2825568
188,3505840,3208784
189,3903312,2722448
190,3370640,3012960
191,3764240,2611840
192,3309792,2804992
193,3499376,2371568
194,3050112,2521968
195,3197968,2763344
196,2926416,2986688
197,3711536,2919392
198,3630928,2701952
199,3421680,2279744
200,2959008,2535600
201,3228208,2614656
202,3303632,2990720
203,3742960,2498352
204,3248208,2450576
205,3192144,2247664
206,2979552,3048880
207,3236208,3859424
208,3989232,2860656
209,3529728,2950208
210,3672464,2347344
211,3046032,2789024
212,2942704,2810352
213,3004336,2674080
214,3399568,2865872
215,3583360,2515264
216,3197952,2766336
217,3161808,2531776
218,3002656,2891952
219,3429968,3011328
220,3622352,3045088
221,3663808,2772544
222,3428144,2824016
223,3530928,2520064
224,3154544,2418368
225,3085808,2445824
226,3121904,3968784
227,4019232,2711152
228,3315008,2339632
229,2964880,2969344
230,3015360,2754320
231,2887920,2800848
232,3550960,3144480
233,3866176,3097584
234,3679536,2892976
235,3620096,2806960
236,3490560,3034768
237,3748048,3030352
238,3701104,2962240
