HI_NET_PING_START run=23
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
[echo] HELLO_ACK sent
hi_net_ping: HELLO_ACK received
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
[echo] run #23 — echoing probes
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:    2000
Lost (no echo):        6 (0.300%)
RTL (us):
Mean: 3835.732    Std dev: 761.516
Min:  2632.144    Max:     14402.256
P50:  3712.000    P95:     4692.224
P99:  7081.920    P99.9:   14226.512
IAJ (us):
Mean: 3212.956    Std dev: 656.787
Min:  2011.776    Max:     10463.904
P50:  3077.168    P95:     4107.616
P99:  6076.688    P99.9:   10460.832
===CSV_START===
index,rtl_ns,iaj_ns
0,6477264,4202576
1,3876080,4096352
2,4469952,3996496
3,4701872,3565328
4,4077136,3986896
5,4692224,3034208
6,3714160,3970480
7,4520304,3412416
8,4124576,3470432
9,4104368,4323760
10,4800288,5987280
11,5500496,4626240
12,5191632,3131072
13,3789904,3630528
14,3893712,3523056
15,4241616,3691296
16,4225392,3401232
17,3913264,2877280
18,3469952,3059488
19,3600432,3200864
20,3766400,2994336
21,3675312,2970208
22,3658160,2797648
23,3448720,2756128
24,3385472,2736912
25,3378368,2862624
26,3491776,3616528
27,4164352,5004032
28,4881328,3210016
29,3818240,2886704
30,3506304,2783648
31,3368464,2942816
32,3618480,2969888
33,3614032,3537136
34,4121744,2884608
35,3595664,3180816
36,3828688,2848784
37,3534704,3139488
38,3721696,2707600
39,3402096,2851312
40,3473440,2841920
41,3510160,3870912
42,4539312,3223584
43,3916128,3551008
44,4133520,3270272
45,3977936,3149424
46,3740256,2912896
47,3544560,2878592
48,3538672,2844752
49,3472064,2875824
50,3451536,3258224
51,3962960,3031200
52,3676176,2814416
53,3453424,3512832
54,4129344,3404048
55,3810176,3103392
56,3813392,2558704
57,3247696,3088736
58,3635600,2915120
59,3539344,2998288
60,3497632,2790912
61,3430992,2785376
62,3427792,3716496
63,4351280,2992624
64,3690304,2662464
65,3376480,2858896
66,3503296,2835552
67,3584432,2744528
68,3369456,3057520
69,3571728,3082944
70,3731408,3279152
71,3976368,2631040
72,3348832,3211936
73,3940608,3602944
74,4274912,2691552
75,3401200,2793840
76,3375952,2688848
77,3344976,2948512
78,3599616,2824432
79,3402416,3251664
80,3680592,2910544
81,3569824,3231008
82,3948048,2722384
83,3361648,3647360
84,4327456,3219264
85,3722560,2764368
86,3369568,3405344
87,3958080,3173024
88,3870032,3285920
89,3983632,3363568
90,4097296,3621744
91,3654720,3522512
92,4206400,3108336
93,3824352,2700704
94,3399824,2612528
95,3240528,3548688
96,4269696,2867808
97,3571376,2824800
98,3517376,3269360
99,3902912,2573936
100,3277936,3294272
101,3965520,3014320
102,3645232,2735456
103,3363808,3110368
104,3860560,2815792
105,3432240,2854528
106,3605872,3460864
107,4092304,2692576
108,3307216,2989568
109,3733520,3070064
110,3763760,3236544
111,3928640,2686976
112,3314624,3143184
113,3870896,3053296
114,3706512,3038160
115,3658000,2958304
116,3567536,2730368
117,3360528,3383504
118,4059040,2819920
119,3425776,3107200
120,3745168,2795568
121,3481344,3269888
122,4005216,2910432
123,3520624,2767600
124,3359152,3532176
125,4209936,2614688
126,3342352,3219904
127,3809552,2880400
128,3464512,3231360
129,3913840,3038688
130,3671776,2577008
131,3295696,3053648
132,3768816,3125440
133,3796112,2860896
134,3481728,2855648
135,3450992,3310192
136,4018832,3061312
137,3654736,3010528
138,3483776,3158528
139,3715952,3024064
140,3692320,2961472
141,3666464,3134160
142,3826832,4205056
143,4882640,2906192
144,3515888,3333216
145,3999072,2742720
146,3463216,9264992
147,9874960,3178288
148,3815520,3949664
149,4245280,3468368
150,3983664,3439712
151,4088976,10463904
152,4512240,3202608
153,3889424,2933120
154,3543856,3979584
155,4641040,3327280
156,4034640,10460832
157,11690864,6994608
158,3810464,5121648
159,7502720,4470736
160,5815840,2399280
161,4399568,5635664
162,3036752,3235648
163,4463536,3069280
164,3768368,2870496
165,3686192,2864720
166,3574480,3139424
167,3505280,3795664
168,3799648,3130224
169,4430368,3529664
170,3883680,3194560
171,4098656,2857808
172,3798240,2778144
173,3457792,3627968
174,3373280,3545248
175,4199072,3465008
176,4076496,3952848
177,4089504,3256016
178,4040720,2837856
179,3902640,2812864
180,3506816,2928560
181,3367904,3204928
182,3663952,2837952
183,3859264,3462800
184,3459264,2944256
185,4205824,2876544
186,3633872,2774512
187,3568000,3205072
188,3410624,2863696
189,3830464,2824144
190,3511984,3041424
191,3481200,2830944
192,3728592,3624976
193,3543744,2978384
194,4277696,2580368
195,3690128,2949104
196,3290656,3056192
197,3672416,2967904
198,3808960,3103168
199,3630336,2666720
200,3828032,3025184
201,3343664,3325888
202,3655328,2856368
203,3998368,3120032
204,3428816,2938640
205,3821536,2851120
206,3578288,3299360
207,3571376,2820112
208,4023312,3026592
209,3439936,3209136
210,3721968,2644336
211,3921232,3065152
212,3267984,3150144
213,3706704,3000352
214,3896208,3085184
215,3593168,2595808
216,3748384,3404240
217,3209664,2748144
218,4131136,3341680
219,3331024,3083280
220,4020880,2654992
221,3711760,3239632
222,3285168,2724144
223,3931840,3597872
224,3326512,2717840
225,4286272,2720608
226,3423200,2751744
227,3355584,3522064
228,3356368,2789376
229,4191872,2924192
230,3405088,2946016
231,3559184,3116288
232,3527056,2848000
233,3824080,2351040
234,3508272,3937984
235,3065568,2745728
236,4068688,3072288
237,3467984,2766704
238,3790288,3216272
239,3492624,2840448
240,3895168,3088592
241,3490304,3112544
242,3804672,2994464
243,3855968,3009056
244,3665056,2731824
245,3720288,2538288
246,3343728,3904336
247,3232352,2733056
248,3977920,2856816
249,3372752,3403616
250,3540096,2826240
251,4026672,3161360
252,3451664,3187792
253,3900272,2706272
254,3816016,3048016
255,3411632,2883216
256,3726320,3195920
257,3416896,3135616
258,3919440,3109360
259,3752368,2836192
260,3740768,2662560
261,3530128,3302128
262,3285744,2914656
263,3997120,3032432
264,3566464,3443728
265,3666208,3327840
266,4049264,3644624
267,4055392,3253856
268,4298368,2604032
269,3932480,3088080
270,3258288,2883808
271,3773648,2982080
272,3492992,3246864
273,3692576,3217824
274,3965296,2802960
275,3886592,2602960
276,3446544,3579328
277,3212736,2806224
278,4100000,2975808
279,3470112,3080304
280,3529872,2828992
281,3734368,3086768
282,3455632,3105728
283,3718432,2721536
284,3692144,3250704
285,3347744,2585744
286,3845168,3528432
287,3221552,2869296
288,4089328,3185328
289,3498416,2846912
290,3745232,3262848
291,3520016,2835488
292,3886320,2873264
293,3587408,2989296
294,3513792,2936224
295,3654592,3097504
296,3553776,2690864
297,3659776,3065184
298,3289888,3304432
299,3738096,2463136
300,3909552,3032000
301,3161888,3540320
302,3613552,2887568
303,3843136,2837728
304,3604320,2657840
305,3491984,3482496
306,3336240,3004272
307,3996464,2852080
308,3644720,3161360
309,3424640,2731648
310,3833696,3264624
311,3325808,3774352
312,3983312,2761632
313,4510256,2876912
314,3477984,3437568
315,3479184,3495344
316,4049312,4007552
317,4133520,2911440
318,4108016,3098720
319,3530448,2877616
320,3778800,2949808
321,3495504,3074320
322,3602016,3039408
323,3827856,3277920
324,3764656,2756704
325,3967344,2970736
326,3427552,2876336
327,3722832,3106720
328,3427136,3192016
329,3859248,3053280
330,3843504,2700016
331,3664016,2812512
332,3297152,3022448
333,3487456,2449776
334,3668688,3628848
335,3122112,3271904
336,3804096,2814864
337,3977632,2959840
338,3500832,2785424
339,3625488,3287248
340,3501856,3097632
341,3962912,2802320
342,3807824,3685776
343,3385760,3479408
344,4427632,3533456
345,4134960,3445408
346,4156080,2627936
347,4107408,2910576
348,3285232,3342496
349,3649472,2623776
350,3946288,3328128
351,3331952,2387408
352,3924608,3540752
353,3102608,2861136
354,4109920,3061600
355,3527040,2585264
356,3780672,3013616
357,3206080,3433136
358,3587984,2523296
359,4031760,3142416
360,3197056,3165552
361,3735392,3123792
362,3883600,3236288
363,3725760,3048160
364,3886752,2839664
365,3685968,2724800
366,3562352,3158576
367,3347136,2568624
368,3844528,3256000
369,3219392,3940944
370,3814896,3184064
371,4602832,3327792
372,3892144,4107616
373,4044128,2997200
374,4234224,2871840
375,3537280,2972768
376,3441696,3265920
377,3694240,3667840
378,3958816,3395440
379,4261568,3001696
380,4030608,3268848
381,3574256,3368160
382,3913328,2608976
383,3993264,3105376
384,3254208,3090208
385,3718912,3472096
386,3766272,2749280
387,4171456,2319504
388,3356848,3150752
389,3033840,3495984
390,3780400,3106656
391,4192880,2654112
392,3734544,3317040
393,3334112,2918544
394,3975120,2803328
395,3445312,2849728
396,3509712,3339456
397,3452352,2838032
398,3984736,3024752
399,3483040,2679760
400,3712000,2887472
401,3304544,3148640
402,3541584,2818080
403,3745728,3241344
404,3516640,2779136
405,3824912,3270752
406,3446880,3827552
407,3814800,2803888
408,4505824,2822416
409,3486800,3001120
410,3264432,2712688
411,3592512,4125360
412,3432480,3971376
413,4734832,3625536
414,4712672,2765040
415,4305232,2929728
416,3474160,3019872
417,3519152,3068208
418,3669136,2767184
419,3711104,2990720
420,3358688,2917248
421,3713360,3266880
422,3641424,2889312
423,3964800,2896416
424,3466464,3627296
425,3533536,3295120
426,4359776,3240336
427,3989824,3028560
428,3915936,3160416
429,3672256,3274112
430,3755424,3524192
431,3864256,2781056
432,4160736,2846176
433,3252512,2690176
434,3436320,3287888
435,3320032,2948944
436,3976224,2788816
437,3549376,3038080
438,3384288,3149488
439,3720480,3200800
440,3769792,2769760
441,3774128,3307248
442,3410272,2655168
443,3943456,3311776
444,3231744,2857776
445,3987184,2760304
446,3467184,3288608
447,3331744,3214960
448,3969936,2830320
449,3801024,2911248
450,3424560,2776672
451,3516736,3326464
452,3418288,3150832
453,3940048,2806896
454,3762384,2756736
455,3367248,2603872
456,3391504,3229104
457,3276080,3026128
458,3820960,3292880
459,3687088,2912480
460,3872416,3067664
461,3579664,2736528
462,3770144,3337856
463,3338144,3796832
464,3838496,3348080
465,4454528,3383344
466,4012144,3729264
467,4046096,2871408
468,3875856,2872528
469,3500496,2506768
470,3494912,3540400
471,3207456,3468928
472,3700624,2825504
473,4203184,3316240
474,3518000,3525136
475,3982160,3569248
476,4220352,3158480
477,4274160,2879152
478,3818976,3188528
479,3489744,2541824
480,3864736,3350416
481,3175936,3267104
482,3951744,2982160
483,3908864,2519408
484,3527488,3182432
485,3214384,3143472
486,3877968,2520832
487,3824528,3014976
488,3116096,2985008
489,3656528,3130752
490,3562816,3035232
491,3710624,3255440
492,3718992,2808640
493,3944976,3191712
494,3490912,3173760
495,3917728,2600736
496,3852304,3242992
497,3272736,2634416
498,3927408,3528032
499,3354784,2742480
500,4211312,2997344
501,3386912,3059808
502,3707296,3103344
503,3771328,3007680
504,3674400,2704640
505,3476384,3383216
506,3284016,2878528
507,4035552,2699664
508,3504416,3494304
509,3279408,2686976
510,4088544,2828192
511,3341920,3330368
512,3476976,5394288
513,3896144,3271696
514,12857472,3183360
515,5236048,2982608
516,3825200,5511120
517,3875408,3294080
518,3451504,2996208
519,14226512,2819872
520,6233328,3851232
521,3951280,2934576
522,2949952,2986928
523,2953424,3101952
524,3792624,2836464
525,3615488,2440480
526,3703888,3830736
527,3801680,2719920
528,3525792,2949408
529,3189728,2450704
530,3999280,2955776
531,3364032,3110112
532,3612016,3684992
533,3139072,2901744
534,3185600,3112848
535,3252672,3311680
536,3777552,2665200
537,3645952,3643888
538,3829616,3527664
539,3975312,3434160
540,3327984,3153104
541,4388448,2759712
542,4244048,3252800
543,4031488,2928448
544,3738240,3371264
545,3369488,2531056
546,3924688,3265952
547,3607280,2643952
548,3993872,3168240
549,3076240,2631040
550,3768944,3530304
551,3347088,2947008
552,3883248,3237408
553,3298464,2786160
554,4157680,2710064
555,3484384,3409184
556,3935600,2749792
557,3396688,2644080
558,3276912,3061248
559,4009088,3236720
560,3467936,6076688
561,3245488,4612864
562,3705024,6347968
563,3858512,3546608
564,6738288,3801952
565,5280112,6448528
