HI_NET_PING_START run=5
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
[echo] HELLO_ACK sent
[echo] run #5 — echoing probes
hi_net_ping: HELLO_ACK received
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:    2000
Lost (no echo):        5 (0.250%)
RTL (us):
Mean: 3805.737    Std dev: 910.758
Min:  2320.384    Max:     20971.888
P50:  3639.024    P95:     4783.792
P99:  7850.832    P99.9:   18027.408
IAJ (us):
Mean: 3176.263    Std dev: 764.278
Min:  1628.464    Max:     10007.200
P50:  3003.936    P95:     4175.312
P99:  7005.520    P99.9:   9572.800
===CSV_START===
index,rtl_ns,iaj_ns
0,8345984,3233120
1,3812448,3030032
2,3604096,3131472
3,3771024,3039712
4,3724384,3202240
5,3752736,4795424
6,5425024,4069200
7,4496992,3748272
8,4315664,3131392
9,3775968,3044432
10,3724480,1860816
11,2560448,3372528
12,3986816,3033824
13,3559472,3045824
14,3625408,3288992
15,3899888,2964368
16,3574336,3031072
17,3626288,2716064
18,3312368,3355728
19,3962848,2894912
20,3545328,2690656
21,3287776,3233696
22,3799312,2761600
23,3428352,3317072
24,3901088,2703760
25,3299840,3457744
26,4029888,2710224
27,3360192,3366032
28,4059200,2782992
29,3438896,2989632
30,3579312,2969344
31,3557744,2757696
32,3364112,2944640
33,3523408,3773376
34,4412928,4587920
35,5277504,2976496
36,3572816,2892352
37,3491840,2472720
38,3121616,4266976
39,4226272,3235888
40,3678112,3522032
41,3945200,3301136
42,3989136,3289296
43,3862016,3152608
44,3701392,2793808
45,3431760,3045264
46,3624224,3158976
47,3769360,3003856
48,3650544,2879888
49,3518448,3111664
50,3706768,2984960
51,3623504,3351440
52,3994080,2963328
53,3523600,1628464
54,2320384,3593872
55,4158256,3367184
56,3918672,2481744
57,3090240,3386400
58,3951952,3223392
59,3871792,2794112
60,3435648,2775376
61,3416128,3223712
62,3876976,2754240
63,3393120,3200192
64,3755456,3219344
65,3840144,2668128
66,3291808,3207760
67,3827792,2962816
68,3562064,3012080
69,3636160,3296128
70,3890640,2859104
71,3495072,3205616
72,3833120,2986752
73,3599408,3083152
74,3728544,2584736
75,3283856,3079056
76,3652656,3247872
77,3843728,1852592
78,2508560,3457552
79,3958224,3165168
80,3825872,2958768
81,3540608,2869472
82,3444864,3375504
83,3987664,3061056
84,3647872,3143664
85,3738960,3290544
86,3873392,2814416
87,3424128,2988208
88,3630608,2849904
89,3490208,3146928
90,3784896,2901440
91,3561568,3286544
92,3937504,1715760
93,2414368,3470368
94,4000608,3383264
95,4000288,2947728
96,3557792,3043920
97,3654656,3117456
98,3727344,3177792
99,3812880,3119824
100,3743264,2853248
101,3541184,2718848
102,3361344,3008464
103,3617040,3153280
104,3717472,2857424
105,3456224,3220704
106,3809776,2707296
107,3364400,2769568
108,3405312,3545360
109,4131792,2873472
110,3521536,2623616
111,3273632,3291168
112,3688064,3267136
113,3858176,1726960
114,2357312,3615680
115,4149200,3335440
116,3952480,2924688
117,3520032,3103920
118,3737840,3105584
119,3699792,3152352
120,3731376,2713488
121,3374144,2961152
122,3534960,2974048
123,3563776,2835504
124,3475536,3381232
125,3972704,2858656
126,3491056,2969232
127,3577424,3117104
128,3688480,2864976
129,3513296,2782096
130,3422864,3250992
131,3807776,2668352
132,3277136,3343248
133,4004816,3095792
134,3706480,3299536
135,3924576,3111696
136,3774896,4506064
137,5147456,3995200
138,4601504,4111248
139,4725648,3928816
140,4442816,4244112
141,4903856,3708368
142,4087616,4823184
143,11456192,6973008
144,5425792,4508064
145,7632096,6238464
146,5166976,3978528
147,6805376,5876720
148,4016144,4960272
149,6523568,5091760
150,4959952,4068160
151,5818144,3625664
152,4160800,7943936
153,4337920,2811280
154,8525696,3238288
155,3542016,2932816
156,3978608,2989632
157,3534416,2763872
158,3604288,3397920
159,3359872,2888096
160,3957696,2913760
161,3509280,3071552
162,3458112,3023776
163,3707040,3038960
164,3571488,2898192
165,3647904,2729072
166,3501616,3405344
167,3329872,2842928
168,4004128,3445696
169,3472048,2734624
170,4007952,2484416
171,3422240,3858304
172,3133840,1710000
173,4506848,1972608
174,2404368,4459488
175,2536768,3010048
176,4928928,3421376
177,3594608,3360752
178,3838208,2961344
179,3918976,2914560
180,3642688,3104368
181,3609888,5103760
182,3757792,3444448
183,5750096,2772960
184,3964624,3234544
185,3385216,3694528
186,3674992,3352352
187,4123392,3119536
188,3991424,3138608
189,3709280,2804096
190,3777712,3227056
191,3456336,2871408
192,3806512,2841088
193,3516352,2980416
194,3470016,2784560
195,3579152,2932816
196,3363888,3485456
197,3511984,2827232
198,4048480,3398272
199,3418400,3205984
200,3977792,3162384
201,3856896,4005216
202,3778512,3534544
203,4581920,3146880
204,4092016,3613056
205,3858528,3918624
206,4080672,3363264
207,4179216,3740176
208,4040560,2846800
209,4448016,3212544
210,3516480,3043584
211,10775424,2874864
212,3876112,2988688
213,3777648,3198048
214,3538640,2571088
215,3678336,2811856
216,3901088,3467760
217,3289088,2974544
218,3504320,2742256
219,4063632,2836112
220,3675760,3630976
221,3473424,2771856
222,3516672,2736464
223,4197536,2789536
224,3510656,2996176
225,3421136,3446336
226,3483984,2845408
227,3604256,3049808
228,4053296,2897216
229,3583168,2725280
230,3582352,3357632
231,3545216,2711200
232,3396400,3466368
233,4011408,2553200
234,3403248,3304208
235,4068288,3696160
236,3295456,3397856
237,3910896,3104592
238,4368816,3124128
239,3991984,3059072
240,3257920,3369616
241,3231296,3549504
242,3204496,2814576
243,3435888,3229312
244,4107280,2743680
245,3407936,2620064
246,3971568,3355728
247,3429008,2852528
248,3353296,3049600
249,3901760,3712944
250,3584576,3662224
251,3745568,3576752
252,4380688,3006384
253,4147472,2976720
254,4309136,3002736
255,3678032,3008224
256,3624656,2943792
257,3669472,2915104
258,3672480,2929872
259,3618064,2936416
260,3587104,3301680
261,3535200,2950080
262,3472384,2840640
263,3940656,2853376
264,3642576,3284112
265,3499344,3362704
266,3422320,2732928
267,3941408,3028624
268,4045376,3183536
269,3437552,2752896
270,3693952,2988576
271,3803568,2737792
272,3443376,3274880
273,3649936,2932528
274,3364560,2738352
275,3897536,3614048
276,3608784,2867568
277,3434544,2823632
278,4270400,3025040
279,3610592,2690352
280,3508224,3428848
281,3691216,2892400
282,3387664,2767616
283,4043984,3434048
284,3551856,2901536
285,3425200,7909824
286,4053744,6784384
287,3581712,7410512
288,8615184,4584224
289,7307552,2929776
290,7963872,2737920
291,4570064,2881120
292,3434608,3165440
293,3290384,2773408
294,3315312,2744688
295,3537616,2913792
296,3159904,3172816
297,3260928,2894160
298,3514608,2951424
299,3823712,3216128
300,3529600,3238400
301,3528816,2995904
302,3874176,3039344
303,3846352,2842224
304,3441280,3399248
305,3518544,2555664
306,3338256,2705712
307,4032304,3060976
308,3091760,3620384
309,3239936,2887200
310,3646448,2646208
311,4212320,3234976
312,3353760,2874784
313,3145760,2745936
314,3836368,3679600
315,3355472,2844192
316,3278144,3040736
317,4265264,2891968
318,3304912,2801088
319,3435136,2687936
320,3434000,2906912
321,3275600,3241840
322,3298240,2872016
323,3513504,3735808
324,3882816,2905072
325,3513040,2616128
326,4345952,2750448
327,3354192,3749984
328,3126928,2822000
329,3299264,2994752
330,4317088,3370752
331,3287984,2962144
332,3447440,4066096
333,3671488,3034912
334,3436496,3169312
335,4658048,1982560
336,3670416,3306512
337,3780160,3496864
338,2574320,3075952
339,3827248,3061520
340,4195456,3206096
341,3720368,2963168
342,3618720,2960368
343,3826656,2806816
344,3593280,3250688
345,3600560,3106432
346,3455552,2876720
347,3846816,2973056
348,3743776,3224704
349,3558608,2955744
350,3592592,2875040
351,3812880,2870160
352,3655456,2849904
353,3575392,2984848
354,3499376,3019328
355,3498960,2656464
356,3585872,3082864
357,3615552,3433280
358,3370448,2600400
359,3745136,3397280
360,4013408,2647264
361,3310256,3271312
362,3982032,2985312
363,3347072,2742848
364,3909632,2919136
365,3642320,3001920
366,3422816,3605680
367,3583216,2693664
368,3633600,2727168
369,4239824,2963360
370,3421120,3438672
371,3467408,2875648
372,3568864,3079904
373,4017392,2900528
374,3586048,2929536
375,3819968,2738208
376,3538880,3319984
377,3669616,2940624
378,3404496,2645904
379,3976624,3395280
380,3602016,2695488
381,3369776,2763392
382,4015408,3493072
383,3379616,2738352
384,3356672,3277984
385,4174944,3035568
386,3445936,2671648
387,3923040,3293536
388,3733632,3141152
389,3308000,3049344
390,3931856,2802640
391,3827808,2765456
392,3752352,3186000
393,3513088,3294336
394,3411840,2797888
395,3806496,3022992
396,4032960,2740272
397,3429088,3245280
398,3732256,2704320
399,3462576,3390016
400,3901392,2839808
401,3416912,2968448
402,3992464,2755968
403,3500496,3430288
404,3636976,2878320
405,3493824,2984160
406,3979600,3129056
407,3528560,3090928
408,3626992,2839712
409,3787456,2922992
410,3769088,2748160
411,3506304,3126288
412,3650192,3343216
413,3443136,2947136
414,3744784,3944960
415,4005616,3122720
416,3658512,3253104
417,4628336,3725792
418,3862224,2954416
419,3307952,3165088
420,3864320,2971184
421,3662592,2868208
422,3866736,2883952
423,3552160,3326976
424,3519168,2547664
425,3533840,3399232
426,4047600,2836880
427,3233616,2782768
428,4044592,3501200
429,3367056,2625824
430,3438016,3239488
431,4112736,2759232
432,3187776,2893696
433,3978576,3121104
434,3397968,3254544
435,3618032,2903568
436,3809696,2927312
437,3946256,2904960
438,3558400,3369728
439,3522864,2654208
440,3544384,3343552
441,4097392,2789072
442,3293168,3280032
443,4023968,4031776
444,3414928,3676320
445,3889344,3108608
446,4311152,2693840
447,4349264,2789184
448,3819488,3480288
449,3360064,2781504
450,3460368,2953216
451,4071904,2772128
452,3458800,3461232
453,3666256,2677248
454,3492176,3295984
455,4095392,2563952
456,3383648,3504880
457,4005456,2945552
458,3273136,2951024
459,4097088,2830592
460,3592496,3047920
461,3656016,2885728
462,3524816,3466096
463,3777728,2656160
464,3606576,2788320
465,4194096,3430224
466,3395232,2794336
467,3528768,2713152
468,4078656,3406896
469,3466112,2545296
470,3453008,3290272
471,4001760,3015392
472,3255216,3066640
473,3886000,2861088
474,3719552,2704432
475,3794096,3558896
476,3533920,2726672
477,3383104,3709984
478,4217616,2936912
479,3437248,2799680
480,4394128,2913152
481,3564752,2710944
482,3424112,2728080
483,3628864,3236736
484,3375600,2800416
485,3430928,2897440
486,3849344,3355296
487,3469456,2801248
488,3510544,3366208
489,4004592,2746000
490,3498848,3025664
491,4028000,3212272
492,3457520,3112304
493,3709280,2691552
494,3780608,2728896
495,3821424,3619088
496,3384512,2763536
497,3447760,3010768
498,4218608,2841760
499,3464640,2575808
500,3659296,3536496
501,3531936,2975520
502,3229504,3273264
503,4245488,2935776
504,3715216,2742432
505,4013376,2701904
506,3607696,3274016
507,3399328,3025376
508,3399664,2757952
509,3910064,3297616
510,3710400,2926816
511,3435664,2723504
512,3913744,3241616
513,3667120,4490608
514,3431920,6332192
515,3817312,3579088
516,5075824,3662256
517,6291184,3489280
518,4143584,2915824
519,3582912,2749776
520,4022224,2740384
521,3392144,3337984
522,3379984,2809200
523,3373568,3287168
524,4049520,2769344
525,3352384,2895440
526,3870080,2970704
527,3394816,3222080
528,3512624,2734496
529,3540960,3119616
530,3873536,3557504
531,3364864,2776720
532,3788208,2714912
533,4154912,3104432
534,3377968,2763648
535,3202000,3342432
536,3783424,2920976
537,3376928,3165520
538,3986304,2741200
539,3566368,3318640
540,3810128,3112704
541,3420720,3064128
542,3968720,3511296
543,3554592,3765232
544,3426464,3079664
545,4029136,3037072
546,4268832,2915408
547,3749872,2696688
548,3652272,3652656
549,3549392,2886992
550,3357840,2961936
551,4273376,2694912
552,3567584,3325136
553,3636272,2790064
554,3367728,2992528
555,4007904,2828720
556,3463952,2935648
557,3644752,3328736
558,3505360,3040160
559,3528672,2898096
560,3964656,2794368
561,3659824,3499696
562,3544800,2865200
563,3461712,3164656
564,4082992,3044912
565,3535696,2891216
566,3864336,2996992
567,3699040,2948608
568,3555040,2887984
569,3614768,2957280
570,3592864,3035520
571,3566448,2963904
572,3601808,2885632
573,3721968,3568112
574,3608448,2711488
575,3574768,2991872
576,4277232,2819568
577,3413584,2745632
578,3688272,3192080
579,3504928,3074896
580,3413552,3049408
581,3755760,2934208
582,3757136,2743728
583,3714976,3431456
584,3587024,3000784
585,3372912,2774864
586,4025568,2838400
587,3687984,3545152
588,3461344,2748240
589,3521680,2995952
590,4115328,2802704
591,3429792,2770032
592,3609840,3618032
593,3448128,3203568
594,3390656,2875088
595,4216912,2948048
596,3832384,2915216
597,3567248,2843744
598,3629280,2978416
599,3585296,3161568
600,3538848,2855072
601,3615184,2963584
602,3803024,3157264
603,3549232,2857824
604,3573216,3162096
605,3762800,2783632
606,3560224,3040064
607,3789456,2987584
608,3478160,3240352
609,3712320,2756704
610,3656496,3231056
611,3910640,2956544
612,3392944,3040304
613,3855040,3168368
614,3642736,2741904
615,3745008,2862048
616,3789440,2791664
617,3470368,3622912
618,3542896,2597216
619,3460240,3439488
620,4207360,2941744
621,3306304,3070432
622,4059104,2943232
623,3657856,2923104
624,3800032,2899616
625,3680864,3022224
626,3635952,2801760
627,3593888,2959472
628,3727872,3128288
629,3445328,2785232
630,3576512,3217056
631,3793712,2870064
632,3464400,2984240
633,3890848,3014976
634,3550608,2681264
635,3661984,3221632
636,3671968,3242304
637,3343200,3106400
638,3801456,3132016
639,3950144,3047216
640,3819520,2812112
641,3788672,2798624
642,3786736,2980464
643,3497520,2942896
644,3468832,3065936
645,3620048,2926336
646,3589568,3003632
647,3733264,2651040
648,3578128,3374784
649,3682416,2952880
650,3321632,2813824
651,4023120,3433456
652,3611856,2465296
653,3468912,3466720
654,4066144,3057440
655,3161488,2889056
656,4107536,2973056
657,3725952,2673808
658,3553008,3613728
659,3621312,2730160
660,3302208,2970192
661,4204256,3206432
662,3415344,3260256
663,3608656,2935760
664,3833600,3138496
665,3899936,3475440
666,3649376,4199424
667,3794704,3022768
668,4118368,2593888
669,4834816,3310112
670,3598880,3134624
671,3208720,2713584
672,3993600,3212144
673,3707648,2666272
674,3188896,3402224
675,3817616,2818560
676,3325952,5084736
677,4005728,2312224
678,3387072,3634608
679,5743168,2997936
680,3004640,2983776
681,4364064,4052576
682,3676688,3727312
683,3665488,5268656
684,4729344,5026528
685,3725616,3399824
686,5908816,2865696
687,5692352,3712688
688,4051024,6307920
689,3422624,5170784
690,4406192,5321408
691,6195184,3462496
692,5752480,3520144
693,5872720,3005248
694,4030672,2659520
695,4223376,3308848
696,3657024,2693856
697,3271456,3301632
698,3955872,2828128
699,3399584,3413232
700,3946352,2861632
701,3494016,2664880
702,3977840,3032640
703,3605216,3013936
704,3407776,3009920
705,3629984,3420960
706,3593168,2977216
707,3609248,2794576
708,4072576,3108976
709,3677632,2699248
710,3515216,2903920
711,3769008,3391872
712,3354016,2646912
713,3526576,2980048
714,4004816,3820144
715,3307472,2770896
716,3625120,2888560
717,4466288,3165264
718,3401840,3161760
719,3584864,2690560
720,3876480,2847728
721,3866832,2658000
722,3404208,3230304
723,3539264,3067712
724,3374192,2699216
725,3881424,3257552
726,3808688,2975520
727,3348416,2594864
728,3866752,3474064
729,3658960,2644640
730,3322688,3358496
731,4120496,2726320
732,3351856,3471072
733,3990976,2851968
734,3428464,2948352
735,4041536,2972752
736,3533408,2962960
737,3616800,3011120
738,3623568,2502400
739,3633232,3229424
740,3732432,3100144
741,3173424,3356944
742,3941872,2852672
743,3719040,2703072
744,3866032,3301488
745,3539920,2959872
746,3390720,2726992
747,3858816,3332224
748,3639024,3053168
749,3376368,2906272
750,3895488,2755056
751,3696064,3035760
752,3542048,3229360
753,3433120,9242176
754,3694000,3100768
755,3805472,3333632
756,9887696,5037856
757,3759984,8668320
758,3913328,5032464
759,5196848,2115344
760,6369936,6735648
761,5414672,5105312
762,2662464,7118560
763,6976944,9535632
764,5750496,8747312
765,7058160,2436224
766,9717984,9552624
767,9429408,3262080
768,3010080,2992944
769,9716656,3096480
770,3855584,2937152
771,3676992,3122704
772,3783328,3444208
773,3633168,2851904
774,3775040,2773680
775,4162560,2965280
776,3471280,2791696
777,3488432,3065504
778,3573584,4000736
779,3490608,3109456
780,3688160,3777296
781,4658848,3218688
782,3851824,2831888
783,3647264,2929312
784,3864272,3782384
785,3439728,2953024
786,3531232,2790576
787,4425120,2769904
788,3459552,2757120
789,3335792,3301280
790,3285680,6893216
791,3246768,2763744
792,3902976,3203680
793,7458528,2982496
794,3372768,3055840
795,3838000,3230064
796,3594864,4640096
797,3702560,3104192
798,3865872,2871504
799,4788192,2947440
800,3711296,2985952
801,3509584,2567712
802,3518048,3429136
803,3641696,2993312
804,3233088,2557424
805,3971312,3428432
806,3583376,2713072
807,3221680,2816912
808,4043264,2933472
809,3343952,3074208
810,3426608,3272672
811,3633008,2857200
812,3763200,3048944
813,3849184,3482656
814,3443456,2871296
815,3676736,3134448
816,4110960,2892128
817,3543408,2966480
818,3746736,2932048
819,3525056,2796576
820,3573456,2775632
821,3550880,3239344
822,3442480,3654304
823,3271216,2750176
824,3831856,2853312
825,3745472,3022960
826,3436112,2895456
827,3506640,2813168
828,3640352,3254704
829,3473136,2630800
830,3482720,3436352
831,3811216,2968432
832,3247680,2691744
833,4042352,3425376
834,3558000,2908432
835,3305552,2936016
836,3996912,2985136
837,3564256,2652448
838,3554368,3432352
839,3591552,3325744
840,3307488,2885808
841,4034256,2755120
842,3937712,2743872
843,3572944,2927616
844,3408992,3660560
845,3362320,3261120
846,3447984,3352960
847,4230576,4217760
848,3954192,3166448
849,3938032,2887440
850,4878896,2784096
851,3765936,3099040
852,3468256,3049488
853,3440752,2818240
854,3708720,3751200
855,3708464,3768768
856,3451680,3107520
857,4368544,3342928
858,3935840,2710064
859,3696848,3471584
860,3955344,8875504
861,3301440,3569104
862,4085840,4449936
863,9502144,4086928
864,4191712,3917296
865,4900048,3357328
866,4678640,2599536
867,3634832,2995952
868,3963568,5041728
869,3230560,3152464
870,3615920,3095264
871,5310624,2977680
872,3741840,3012928
873,3693488,2868880
874,3615456,2977120
875,3668064,3165184
876,3521696,2993024
877,3627680,2997728
878,3831568,1994832
879,3619712,3763488
880,3652784,2903600
881,2652976,2989888
882,4376976,2804192
883,3506928,3552368
884,3619968,3102320
885,3452304,2734128
886,4157264,3043168
887,3737376,2834816
888,3436064,2706832
889,3680032,3328240
890,3484560,2903056
891,3322976,3178784
892,3890128,2631904
893,3503760,3363776
894,3731264,2937488
895,3299952,2867088
896,3926800,3223872
897,3585296,2835296
898,3505152,3426000
899,3849632,2951264
900,3504512,2544496
901,4048288,3330960
902,3629008,2544688
903,3247280,3218688
904,3999216,2671680
905,3207456,3255360
906,3760592,3203248
907,3258816,2569184
908,3794688,3336064
909,3871920,2486208
910,3238976,3162832
911,3980496,3353968
912,3119168,2640080
913,3766256,3583408
914,3981120,2782064
915,3268688,2906144
916,4156992,3007904
917,3423280,2790816
918,3515040,2980944
919,3662112,3447120
920,3437968,2870768
921,3468192,3096864
922,4045632,2754032
923,3528176,3063984
924,3718000,2984944
925,3383344,3306704
926,3706528,2772752
927,3549712,2876848
928,3940016,3131360
929,3402016,2674512
930,3489696,3297968
931,3798928,2694912
932,3256048,3509168
933,3854560,2703680
934,3313824,3345552
935,4072768,2870080
936,3343392,2794496
937,4004880,3031088
938,3493184,2999872
939,3439504,2815264
940,3676208,3258784
941,3647504,2581680
942,3454912,3417968
943,3769536,2973488
944,3211392,2584736
945,4043280,2982048
946,3531792,3208576
947,3198064,3223280
948,3565504,2778896
949,3843520,2662464
950,3812592,3612368
951,3402096,2550080
952,3201888,3102240
953,4285664,3534272
954,3178992,2797760
955,3759616,2851872
956,4181056,2689488
957,3463696,3426240
958,3468480,2944816
959,3386016,3158800
960,3950416,3044672
961,3561504,2824816
962,3783952,2529104
963,3675968,3224608
964,3491088,3264192
965,3143872,2691968
966,3819040,3419872
967,3848240,2879056
968,3284800,2766992
969,4052064,3277520
970,3522832,3110080
