HI_NET_PING_START run=17
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
[echo] HELLO_ACK sent
hi_net_ping: HELLO_ACK received
[echo] run #17 — echoing probes
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:     325
Lost (no echo):     1677 (83.850%)
RTL (us):
Mean: 3939.161    Std dev: 1945.422
Min:  2246.112    Max:     35902.976
P50:  3695.200    P95:     5265.040
P99:  6688.080    P99.9:   35902.976
IAJ (us):
Mean: 3225.973    Std dev: 818.602
Min:  1531.856    Max:     9822.592
P50:  3046.112    P95:     4796.672
P99:  6118.784    P99.9:   9822.592
===CSV_START===
index,rtl_ns,iaj_ns
0,6474832,4468032
1,3911632,2555712
2,3135312,2583856
3,3237728,2364720
4,3091200,2889296
5,3014736,3639552
6,3753104,3108640
7,3750576,3348064
8,4014144,4581424
9,4869040,3123200
10,3840080,2842384
11,3502528,3563632
12,4223536,2784288
13,3504768,2965040
14,3655328,3054176
15,3734112,3296752
16,3954704,2912048
17,3561648,3310320
18,3910160,3358224
19,4010320,4226384
20,4299392,2806016
21,3442656,3157936
22,3744000,2801696
23,3426528,2794800
24,3407168,3014016
25,3713552,3261920
26,3948528,3223536
27,3886432,2966832
28,3589632,3009296
29,3275808,2477632
30,3157088,3134672
31,3804384,3058944
32,3763056,3011472
33,3662704,4438448
34,5083344,3693664
35,4285712,2862784
36,3539760,2668848
37,3371152,5177040
38,10397264,7488848
39,5551488,5075696
40,5881760,3631776
41,4734288,3070752
42,4330432,3320656
43,3756608,4308960
44,3974928,5403264
45,35902976,3943072
46,4726704,3924528
47,5476208,2131488
48,4695808,3089936
49,4117792,2975424
50,2839552,2931408
51,3176912,3181472
52,3062992,4289856
53,3133248,3886784
54,3284912,3837616
55,4175616,1838016
56,4457456,3137424
57,4328992,3697280
58,2546000,6090112
59,3288448,4994880
60,4121648,5196720
61,6677568,3559136
62,5638864,2413792
63,3983808,1617504
64,4252944,1587184
65,3095856,1608176
66,2360672,3447408
67,2338688,3148704
68,2361456,3356288
69,4200368,2800576
70,3705216,3163936
71,4025664,2808640
