HI_NET_PING_START run=25
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
[echo] HELLO_ACK sent
hi_net_ping: HELLO_ACK received
[echo] run #25 — echoing probes
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:    1022
Lost (no echo):      981 (49.050%)
RTL (us):
Mean: 3712.754    Std dev: 710.227
Min:  2692.688    Max:     17006.880
P50:  3664.896    P95:     4217.328
P99:  5513.040    P99.9:   13733.888
IAJ (us):
Mean: 3052.852    Std dev: 460.902
Min:  2096.048    Max:     9233.328
P50:  3008.352    P95:     3663.328
P99:  4689.040    P99.9:   6964.656
===CSV_START===
index,rtl_ns,iaj_ns
0,5513040,3901392
1,4468528,3100048
2,3682080,3254624
3,13733888,5143856
4,3805920,4482864
5,5758048,3133888
6,5009632,2948896
7,3732528,3190992
8,3529760,2727136
9,3722592,3086320
10,3347280,3723024
11,3767792,2996912
12,4359520,3335952
13,3596320,3365968
14,3924224,2962944
15,3998304,3035776
16,2945632,3734864
17,3088448,2874352
18,3846976,3074464
19,3542016,3079232
20,3697728,2997408
21,3733904,2871872
22,3582512,3078768
23,3454400,2862096
24,3705984,3115504
25,3529104,2922752
26,3725296,3557392
27,3585456,2840800
28,4183104,2580112
29,3414000,3157824
30,3155104,3545760
31,3779376,2539264
32,4216048,2665632
33,3018240,2509744
34,3177824,3751584
35,3177392,3120992
36,3771152,2594496
37,3758560,3368640
38,3167472,3458416
39,3991728,2435472
40,4049360,3223904
41,2965488,3315968
42,3815504,2768192
43,3980144,2564080
44,3300640,3220944
45,3050400,2767088
46,3853104,2411024
47,3310880,3030496
48,3045840,3663328
49,3136928,3062304
50,3849408,2226304
51,3730208,3764816
52,2951104,3081136
53,3879568,2658688
54,3796320,3110672
55,3344096,2704256
56,3837776,2606400
57,3382672,3001072
58,3199824,3872192
59,3040416,2760624
60,4020496,3223680
61,3477280,3023472
62,3900160,2685840
63,3750144,2433136
64,3401248,3733248
65,3164336,2395600
66,3601360,3768976
67,3138208,2707472
68,3874608,2554288
69,3369008,3885568
70,3224752,2357232
71,3971936,3551632
72,3076960,2987952
73,4139648,2751968
74,3638544,3139968
75,3376112,3147536
76,3856576,2722096
77,3863456,3258288
78,3330336,3106416
79,3925936,3067952
80,3628256,2571200
81,3737440,2794144
82,3099952,3319536
83,3396160,2763664
84,3777120,3212832
85,3453584,2605264
86,3930208,2598144
87,3282752,4972720
88,3213248,3167008
89,5140192,3541360
90,3838816,2489840
91,4236640,3114848
92,3187328,3305280
93,3834928,3230672
94,3954592,3010096
95,3938352,2624624
96,3711424,3442144
97,3313776,2804368
98,4081056,3144496
99,3519520,2886304
100,3856464,2873264
101,3602928,3191456
102,3562880,3099856
103,3909600,3005024
104,3774800,2788672
105,3706480,3207024
106,3480320,2790368
107,3832400,2848496
108,3497280,2934208
109,3496000,2506112
110,3582752,3768416
111,3082272,2720160
112,4452640,3443712
113,3412128,2614144
114,4018000,3340784
115,3320448,2811968
116,3975616,3137680
117,3530896,2574048
118,3734592,3281008
119,3290064,3043824
120,3942400,2950704
121,3664624,3001664
122,3545360,2698768
123,3698928,3299584
124,3342640,3046672
125,3875520,2639056
126,3746800,3543888
127,3330224,2802256
128,4198528,2990848
129,3508048,2649328
130,3650448,3135456
131,3313248,2686896
132,3748032,3501488
133,3271664,3057936
134,4199728,2975888
135,3737712,2930288
136,3647120,3295856
137,3576944,2770240
138,3997904,2647424
139,3478320,3338784
140,3282368,2995872
141,3966672,2709232
142,3641968,3365296
143,3344720,2852832
144,3999040,3409488
145,3543280,2857936
146,4115504,2769952
147,3508016,3069680
148,3479840,3035808
149,3766928,2850784
150,3691440,2959360
151,3549792,2859776
152,3665968,3235792
153,3550832,2822128
154,3859376,2967216
155,3499744,2983152
156,3557792,3385440
157,3551440,2930608
158,4007120,2724624
159,3641520,2994064
160,3398304,3496896
161,3593024,2658864
162,4118416,3066336
163,3305696,2990752
164,3818272,2747856
165,3711952,2779376
166,3384592,3277552
167,3345248,3195616
168,3950304,2977472
169,3769056,2570176
170,3605680,3084064
171,3257920,3295312
172,3837616,3073120
173,3953264,2680592
174,3763104,3054768
175,3382560,2990896
176,3699072,2785440
177,3537600,3502576
178,3394320,2626608
179,4217328,3301776
180,3247472,2797200
181,3960864,3455376
182,3511280,2937712
183,4043168,2921728
184,3643904,2757648
185,3599120,3534528
186,3493360,2777152
187,4154960,2617568
188,3467328,3449984
189,3325024,2590544
190,4020000,3716912
191,3297952,2707904
192,4310656,2832672
193,3441824,2725968
194,3530416,2990176
195,3399280,2916368
196,3557120,3097744
197,3502208,3209360
198,3769824,2815040
199,3797184,3423616
200,3442912,2836560
201,4055328,2795008
202,3552480,2909584
203,3465696,3019840
204,3535280,2921088
205,3641984,3271456
206,3480544,2573760
207,3917680,3139344
208,3234112,2912432
209,3894128,3136320
210,3583328,2935696
211,3798320,3102144
212,3618816,3170960
213,3692720,2730368
214,3821392,4019040
215,3471088,3256928
216,4673760,3046896
217,3833712,3365728
218,3779104,3644144
219,4049456,3195520
220,3765920,3023872
221,3877584,3001296
222,3727328,2554048
223,3666896,3708960
224,3271296,3003024
225,4339120,2911376
226,3549312,3007328
227,3445072,2602560
228,3402480,3181216
229,3329728,2775968
230,3893088,2768432
231,3485472,2474976
232,3450272,3759360
233,3081920,3062096
234,3853824,2895232
235,3723136,2529808
236,3553904,3591440
237,3264368,3180240
238,3652400,2881744
239,3909888,3374432
240,3495616,2299232
241,4064144,3372976
242,2871904,3115264
243,3997472,3031664
244,3801488,2827552
245,3729616,3164352
246,3435072,2880624
247,3856064,2958544
248,3501008,2990512
249,3671616,3119296
250,3672608,2791776
251,3830960,3186336
252,3428000,4730560
253,3930656,3113968
254,5437504,2957824
255,3821712,2697744
256,3650832,3502944
257,3322320,2570240
258,4161712,3262480
259,3287456,2550080
260,3887616,3809984
261,3299952,2786832
262,4440880,2969360
263,3492592,2549392
264,3683312,3464032
265,3265600,2840000
266,4043776,2716784
267,3538800,2930816
268,3352336,3376368
269,3502544,2741856
270,4021680,2630224
271,3408400,3031312
272,3214400,3313568
273,3772080,3276544
274,4029712,2670544
275,3848048,3018976
276,3324240,2913504
277,3654192,3397872
278,3474352,2716528
279,4019424,2964880
280,3375616,3441616
281,3556048,2872032
282,4000608,2801680
283,3598608,3178336
284,3453392,2985152
285,3805552,2739312
286,3674064,3170032
287,3376656,2664464
288,3772512,3393856
289,3364480,3413152
290,4031040,2315168
291,4086352,3306096
292,3048512,2718528
293,3806880,3675808
294,3410928,2609472
295,4281456,3020048
296,3347104,2726160
297,3712016,2942176
298,3449376,3271760
299,3475744,2557776
300,3903984,3135440
301,3242496,3093408
302,3878944,3259904
303,3753072,2953792
304,3908800,2983136
305,3588608,2680112
306,3649168,3595072
307,3373264,2557200
308,4246672,2812496
309,3254176,3129344
310,3451120,3031040
311,3781936,3385056
312,3577888,2624576
313,3925568,3153952
314,3304912,3276032
315,3775904,2644080
316,4007248,3097728
317,3358736,2983136
318,3762304,2800128
319,3623376,3320224
320,3531520,2585936
321,3902432,3381280
322,3290432,2721664
323,4025584,3395808
324,3367152,3076800
325,3952528,2823216
326,3743632,3026400
327,3514384,2952416
328,3698656,2831616
329,3647632,3356576
330,3448800,2772784
331,3962176,2576992
332,3485792,3636544
333,3255360,2822048
334,4310736,2966480
335,3497840,2718528
336,3600336,3286560
337,3431472,3050336
338,3859904,2657344
339,3732800,3315024
340,3309376,3040176
341,3851984,3460944
342,3725952,2518208
343,4139456,2717504
344,3235104,3473440
345,3341104,2792064
346,4069776,2744192
347,3476368,3019040
348,3389056,2994256
349,3590016,2727824
350,3572368,3278320
351,3259744,2818624
352,3985808,3158784
353,3387136,3514624
354,3759168,2942784
355,4077472,2790224
356,3633696,3007552
357,3505056,2755760
358,3668176,3525168
359,3409600,2741744
360,4052400,3038640
361,3423872,2732848
362,3749920,3465536
363,3486240,2911152
364,4060416,2663776
365,3570848,3109248
366,3358816,2813984
367,3707824,2879696
368,3536304,3335440
369,3446432,2788080
370,3973136,3219696
371,3416256,2681280
372,3850784,3300800
373,3370736,2759104
374,3973808,3160576
375,3447008,3118784
376,3693712,2799872
377,3687200,3428736
378,3473168,2564576
379,4038704,2877968
380,3204544,2805104
381,3501360,2765760
382,3473872,3177280
383,3495056,3221232
384,3897040,3217120
385,3973776,2851552
386,3839872,3088352
387,3492000,3509264
388,3738384,2841952
389,4088320,2865680
390,3526736,2705920
391,3564352,3240000
392,3360512,4013552
393,3882544,4624048
394,4734928,2808832
395,5329888,2542656
396,3412576,3255440
397,3178560,2739760
398,3933056,2487904
399,3450688,3796224
400,3186672,2589696
401,3835472,3377168
402,3256096,3034048
403,3920816,2880080
404,3741440,3065984
405,3464400,2969200
406,3781168,2814624
407,3685152,2494208
408,3487024,3768624
409,3167232,2703056
410,3820816,2557504
411,3417072,3565232
412,3295024,3136304
413,3724576,3442512
414,3766848,2490672
415,4070880,2325696
416,3088208,2886064
417,3022272,3877904
418,2954496,2827456
419,3999760,2215456
420,3538160,4033856
421,2942416,2959808
422,4067456,3140864
423,3497168,3360544
424,3785168,3416432
425,3763552,3097712
426,3905952,2987712
427,3799328,3199632
428,3625440,3350368
429,3895632,2732208
430,4050272,3155440
431,3342688,3561296
432,3898656,2892512
433,4191584,2862688
434,3518768,2756240
435,3566368,3200528
436,3407184,2749104
437,3779936,2891840
438,3444672,3467424
439,3410192,2687936
440,4026720,2876464
441,3363968,3233824
442,3438240,3308096
443,3867504,2879520
444,3964192,2927648
445,3574064,2861792
446,3606848,3324192
447,3543152,3057296
448,3951968,2804080
449,3736208,2978960
450,3498816,3141536
451,3636336,2853040
452,3842672,3039728
453,3562368,3130752
454,3734160,3121168
455,3765152,2407552
456,3817200,3236144
457,3105168,2519872
458,3904592,3599200
459,3235136,2908224
460,4316976,2750688
461,3587904,3615408
462,3415792,2608112
463,4273184,3134608
464,3251984,3004224
465,3810880,3001584
466,3685488,2722352
467,3676992,3501952
468,3392240,2896736
469,4062208,2595664
470,3580240,2739104
471,3305136,3532560
472,3331776,2863216
473,4285728,3351488
474,3562608,2941488
475,4050368,2727488
476,3575120,3120064
477,3434080,2990064
478,3845728,2728288
479,3689792,2873440
480,3420544,3516432
481,3439328,2621856
482,4125280,3322352
483,3340336,2571904
484,3965984,2870512
485,3268800,3098160
486,3505792,3286016
487,3732336,2719088
488,3960832,3297584
489,3395040,3045488
490,3933584,3033808
491,3723536,2737040
492,3664896,3290368
493,3399648,2694080
494,3906304,3219376
495,3379344,3027040
496,3757056,2771936
497,3725776,3455200
498,3432000,2803392
499,4062000,2604656
500,3434560,3208144
501,3321696,2930256
502,3849072,3128608
503,3556400,4328816
504,3773472,6378480
505,4990224,4310416
506,5928864,3031856
507,4635520,3430672
508,3674656,2744128
509,4032960,2814880
510,3372608,3343120
511,3428720,2921280
512,4006608,3134880
513,3491168,4823648
514,3663520,5254992
515,5469472,3445056
516,5832064,3737520
517,3891360,3999616
518,4303968,4689040
519,4607488,2850576
520,5334320,2889040
521,3426320,2931680
522,3525360,2780688
523,3529936,3287520
524,3392464,3254528
525,3808400,2694688
526,3852304,3263072
527,3311600,2681936
528,3883728,3087952
529,3222384,3151072
530,3739696,3510432
531,3763936,2712080
532,4127296,2757152
533,3156544,2994496
534,3221136,3481008
535,3544448,2647104
536,4084384,2874112
537,3243952,3604256
538,3425152,2684368
539,4132432,3024832
540,3055040,2892448
541,3474656,2534272
542,3390832,3220160
543,3140208,3132896
544,3882080,2651744
545,3791296,3132880
546,3311504,3101920
547,3792944,3472352
548,3698768,2830160
549,4138016,2578432
550,3255536,3124528
551,3105424,2988080
552,3738032,2806960
553,3647312,2462000
554,3460320,3627696
555,3125216,3216208
556,3649664,3049056
557,3825792,3108448
558,3694688,2964336
559,3651152,2911264
560,3532928,3121104
561,3559600,3024064
562,3677952,3017872
563,3516320,2812416
564,3519424,2498736
565,3276000,3255520
566,3153088,2965888
567,3875904,3389376
568,3574912,2789360
569,3992048,2838336
570,3296976,2999392
571,3462816,3300944
572,3591584,2627456
573,3907104,3191776
574,3217680,3152880
575,3843776,3501600
576,3808016,2698000
577,4161632,3007216
578,3188000,2914096
579,3545600,2644880
580,3361792,3563952
581,3143296,2801840
582,4180752,2630624
583,3340736,3127600
584,3109232,2270128
585,3734032,3626784
586,2935488,3072752
587,3304176,3570416
588,3693056,2627488
589,4221904,2726064
590,3223648,3226704
591,3359296,3028416
592,3824720,3650464
593,3689664,3486432
594,4295184,3159328
595,3930448,3414512
596,3832256,2598240
597,4037424,3070016
598,3220480,3312432
599,3722064,2647280
600,3945840,3285648
601,3255952,2539168
602,3909040,3144944
603,3201472,2996720
604,3853552,3055216
605,3654048,2978080
606,3714592,3400080
607,3603392,2636800
608,4056016,3317744
609,3234320,2596768
610,3756768,3053328
611,3216752,3010256
612,3695440,3359520
613,3619792,2981328
614,4024624,2667184
615,3589872,3393648
616,3250896,2937872
617,4045840,2631760
618,3506112,2908832
619,3240848,3124544
620,3500528,3368240
621,3748624,2642704
622,4004528,3328352
623,3256544,2620992
624,3862400,3364160
625,3225904,2612448
626,3983456,3158896
627,3232192,3477632
628,3810192,2915040
629,4001600,2788560
630,3562320,3010976
631,3428704,3104416
632,3672976,2938160
633,3766624,2661936
634,3537072,3022912
635,3271824,3308784
636,3688288,2770192
637,3969392,3210800
638,3346224,3071232
639,3797040,2892576
640,3731024,3209920
641,3499184,2576544
642,3853072,3282304
643,3242736,3107040
644,3870512,2455408
645,3683248,3183328
646,3108224,3200960
647,3816992,3058240
648,3790944,2615616
649,3703856,2877472
650,3227024,3630000
651,3531680,2796496
652,4255360,3321568
653,3462720,2681056
654,3969040,3037552
655,3318768,2557696
656,3681120,3199760
657,3220400,3436608
658,3777136,3113824
659,4023248,2187792
660,3621824,2964224
661,2861808,2973504
662,3678336,3196608
663,3687120,3174016
664,3913152,3169136
665,3821248,3036256
666,3765456,2627312
667,3695232,3076800
668,3248112,3553648
669,3715728,2698768
670,4175920,2578400
671,3361552,3267424
672,3228480,3184288
673,3865904,2574256
674,3800672,3187680
675,3234624,3244064
676,3784608,3182288
677,3821568,2584560
678,3845664,3528704
679,3240512,2853072
680,4125440,2406448
681,3522352,3182848
682,3074240,3295712
683,3792960,3008432
684,3884144,2430592
685,3622512,3079136
686,3047264,3205936
687,3777616,3199552
688,3811120,3236128
689,3782416,2888320
690,3888912,2898752
691,3553056,2750336
692,3503712,3097456
693,3321920,3188464
694,3684304,3172960
695,3742768,2825344
696,3786640,2096048
697,3479424,3562608
698,2692688,3155984
699,4242096,3339232
700,3799856,2667872
701,3945824,3388784
702,3325392,2534432
703,4025200,3071616
704,3273888,2842144
705,3725232,3088400
706,3436704,3337280
707,3730944,3335696
708,3907120,2785280
709,4086544,2525600
710,3537616,3304384
711,3277840,2942128
712,3969408,2721024
713,3612832,3259584
714,3405392,3039088
715,3859488,3284208
716,3781872,2787120
717,3997040,2683888
718,3515952,2964624
719,3399376,3242208
720,3582528,3263152
721,3856352,2711456
722,4014640,3090608
723,3453376,3313664
724,3819968,2415568
725,4025216,3322064
726,3129072,2956736
727,3911744,2669328
728,3689792,3366832
729,3335264,2475568
730,3966336,3055440
731,3192304,3590016
732,3797136,2515280
733,4203760,3041792
734,3268832,3046240
735,3704416,3231296
736,3705728,2871760
737,3857392,3184512
738,3541616,3084224
739,3912480,2902176
740,3828016,2758224
741,3591232,3502944
742,3470832,2437632
743,4128208,3019696
744,3171568,2891920
745,3639472,3184800
746,3500608,3547488
747,3828624,2615824
748,4219968,2703680
749,3351104,3236496
750,3416560,3396832
751,3827808,2626608
752,4059360,2687616
753,3342528,3334080
754,3362992,2948176
755,3979360,3453488
756,3630480,2610128
757,4189392,2753152
758,3348608,3353248
759,3467408,2616752
760,3970096,2971344
761,3310352,3277440
762,3642864,2757248
763,3943600,3066288
764,3432000,3518944
765,3672704,2695040
766,4116448,2760720
767,3412096,3199088
768,3412032,3166432
769,3781232,2530400
770,3856080,3094112
771,3260800,3500752
772,3759760,2762928
773,4091552,2663600
774,3512224,3314912
775,3347872,2669216
776,3942736,3068704
777,3373760,3195088
778,3701520,3021376
779,3837264,3003136
780,3773120,2805648
781,3724800,3221904
782,3524896,3054496
783,3790960,2507712
784,3775248,3247408
785,3226624,3417600
786,3848912,2511840
787,4035264,3289584
788,3259920,2642240
789,3771072,3636608
790,3348800,2840896
791,4304800,2620272
792,3532288,3434656
793,3327056,2601136
794,4047072,3158512
795,3323472,3533104
796,3764576,2830752
797,4284784,2860656
798,3538160,2886784
799,3529520,2927312
800,3581104,2485744
801,3640848,3272176
802,3129376,3797824
803,3987520,2418800
804,4386816,2980848
805,3172544,3101904
806,3672128,3263872
807,3853648,2701776
808,3996208,2874432
809,3414048,3266304
810,3525984,2814272
811,3980576,2797008
812,3499040,3124896
813,3451344,3497936
814,3761136,2554528
815,4204304,3379120
816,3291312,2690832
817,4120720,2762352
818,3408640,3368368
819,3454064,2595360
820,3962368,3602880
821,3325664,2693664
822,4170448,2722432
823,3410816,2931456
824,3438880,3115040
825,3502112,3226544
826,3782304,2526160
827,3830912,3174144
828,3239536,3568176
829,3849472,2507920
830,4118128,2988272
831,3257968,2910224
832,3658208,3829216
833,3502640,2729680
834,4460528,2756512
835,3482672,3184768
836,3481392,3182416
837,3886432,2670016
838,3740080,2548160
839,3415232,3388880
840,3282992,3035536
841,4007008,2706464
842,3717744,3281568
843,3432992,2870608
844,3941312,2868192
845,3525072,3569440
846,3493520,2699616
847,4189344,2667728
848,3405296,3296416
849,3327056,3009872
850,3918944,2671008
851,3678080,3351696
852,3381312,2933936
853,4006224,2722288
854,3598720,3769200
855,3384912,2744384
856,4306016,2784064
857,3456208,2804176
858,3521408,3435040
