HI_NET_PING_START run=27
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
[echo] HELLO_ACK sent
hi_net_ping: HELLO_ACK received
[echo] run #27 — echoing probes
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:    2000
Lost (no echo):       13 (0.650%)
RTL (us):
Mean: 3817.739    Std dev: 965.292
Min:  2275.648    Max:     18916.544
P50:  3666.080    P95:     4692.800
P99:  7671.264    P99.9:   17804.352
IAJ (us):
Mean: 3160.626    Std dev: 646.254
Min:  1631.936    Max:     9359.792
P50:  3021.168    P95:     4056.352
P99:  6339.760    P99.9:   8521.344
===CSV_START===
index,rtl_ns,iaj_ns
0,4908480,4042912
1,4606848,4922016
2,5316352,7257312
3,6890448,4225936
4,3717216,3067344
5,3572976,2993440
6,3206448,3536896
7,4033552,3748064
8,4184832,4283968
9,4808848,4087312
10,3970896,2915328
11,3404864,2948720
12,3518352,3763408
13,4378544,2789104
14,3280480,2898320
15,3402176,2602128
16,3100896,2920576
17,3504864,3499296
18,4081856,2681824
19,3230720,2845904
20,3416336,3448736
21,3996112,2866944
22,3316304,3222400
23,3818736,2815680
24,3364832,2415232
25,3031552,2669904
26,3198992,3872160
27,3886720,3068480
28,3616128,3075888
29,3668368,2533184
30,3080656,3290336
31,3857808,2773296
32,3455216,5102480
33,5715536,2452704
34,3165440,2968112
35,3633584,3482048
36,4125488,3019568
37,3604288,2552272
38,3169824,3423392
39,4046336,2951136
40,3541952,2670672
41,3277824,3691312
42,4313232,3086976
43,3791600,2808160
44,3506000,2467920
45,3131168,3409392
46,4006864,2829088
47,3486928,3332496
48,3988704,2741136
49,3397920,2667056
50,3270080,3350304
51,3928336,2886960
52,3508496,3181840
53,3727088,5187248
54,5848064,2854928
55,3461648,2830592
56,3413232,3208256
57,3814912,2788224
58,3403232,3447520
59,4035456,2860160
60,3349360,2844624
61,3401584,3584688
62,4202368,2665056
63,3112560,3145504
64,3554896,2726960
65,3286336,2791520
66,3341376,3328192
67,3939328,3088928
68,3697776,2787408
69,3236832,2680992
70,3196848,3317008
71,3972144,3446352
72,4117024,2775824
73,3233792,2770720
74,3213776,2741824
75,3244272,3587936
76,4221840,2850576
