HI_NET_PING_START run=7
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
[echo] HELLO_ACK sent
hi_net_ping: HELLO_ACK received
[echo] run #7 — echoing probes
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:    2000
Lost (no echo):        7 (0.350%)
RTL (us):
Mean: 3926.421    Std dev: 906.771
Min:  1656.080    Max:     19575.056
P50:  3758.528    P95:     4990.864
P99:  7225.328    P99.9:   16009.968
IAJ (us):
Mean: 3288.106    Std dev: 686.308
Min:   995.424    Max:     9679.472
P50:  3135.904    P95:     4400.192
P99:  6246.224    P99.9:   8737.664
===CSV_START===
index,rtl_ns,iaj_ns
0,4372128,5078816
1,5717664,5009392
2,5073344,4732784
3,5448480,3255680
4,3827792,6418768
5,6478032,4254272
6,4728480,4079840
7,4798800,6000944
8,6616016,2595424
9,3338000,3452656
10,4196400,2955536
11,3445568,3197072
12,3832192,2802944
13,3443120,3340960
14,3972736,2682144
15,3391632,3296432
16,3944288,3272672
17,3972272,2849792
18,3456576,2747632
19,3293792,3317696
20,3893472,2929696
21,3466912,2881696
22,3439488,2755616
23,3462192,3719424
24,4362656,3586896
25,4247744,3878576
26,4505232,2716272
27,3352768,2800160
28,3357936,3187856
29,3826560,2496224
30,3051072,3568064
31,4131712,3441680
32,3975552,2869360
33,3375632,2791472
34,3445920,2819152
35,3346432,2619472
36,3185808,3328800
37,3946912,2859072
38,3354528,3180016
39,3830464,2811104
40,3361136,3532144
41,4241312,3133680
42,3512960,3607456
43,4059392,4307840
44,4249296,2729040
45,3440864,3429856
46,4079216,3575824
47,4147664,3126816
48,3758048,4400880
49,4949040,3307312
50,3866320,4958176
51,5621376,4277600
52,4849904,3848400
53,4468048,4465696
54,5128640,4470816
55,4869872,5317088
56,6053520,3562944
57,4202688,3047936
58,3738080,4078208
59,4752048,2808000
60,3506992,5288928
61,5992816,2380032
62,3123824,4034320
63,4779264,2636448
64,3192176,2955120
65,3582960,3400496
66,4032944,2896800
67,3448592,3006992
68,3691728,2705472
69,3315632,3104624
