HI_NET_PING_START run=30
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
[echo] HELLO_ACK sent
hi_net_ping: HELLO_ACK received
[echo] run #30 — echoing probes
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:    2000
Lost (no echo):        6 (0.300%)
RTL (us):
Mean: 3797.792    Std dev: 899.487
Min:  2148.624    Max:     22117.776
P50:  3730.304    P95:     4546.880
P99:  7628.288    P99.9:   17354.176
IAJ (us):
Mean: 3155.702    Std dev: 715.469
Min:  1671.952    Max:     9331.744
P50:  3070.192    P95:     4029.952
P99:  6885.904    P99.9:   9141.024
===CSV_START===
index,rtl_ns,iaj_ns
0,7942528,8531136
1,8999152,5369936
2,5715936,2295536
3,3000944,3137024
4,3859472,6885904
5,7628288,2765568
6,3344352,3656896
7,4286688,3552592
8,4168608,3710592
9,4368784,1788560
10,2500832,1705440
11,2392832,1717856
12,2459488,5229440
13,3921264,3188016
14,3922880,2460720
15,3087792,2352240
16,3031888,2786192
17,2954320,2887616
18,2999872,2524544
19,3260128,3295856
20,3718320,3448816
21,4116496,5100448
22,4845648,3664512
23,3777712,5561408
24,6025552,6952720
25,7568256,3638048
26,4260672,4190576
27,4897024,2977360
28,3383616,2195648
29,2791520,4255968
30,5000176,3220688
31,3547600,3356016
32,3974560,3618800
33,3730992,3199264
34,3816144,3325952
35,4009168,2735312
36,3339936,3475408
37,4160672,2569024
38,3283344,3052288
39,3639440,2626544
40,3169424,3107280
41,3753120,3147040
42,3825136,3594048
43,4314240,2613664
44,3304912,2535120
45,3096416,3746656
46,4373872,2812736
47,3444720,2663200
48,3263408,2737568
49,3443200,3288896
50,3915984,3139552
51,3855840,2887664
52,3447344,3638912
53,4355600,3187888
54,3825040,3228944
55,3899760,3214800
