HI_NET_PING_START run=2
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
hi_net_ping: HELLO_ACK received
[echo] HELLO_ACK sent
[echo] run #2 — echoing probes
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:    2000
Lost (no echo):       15 (0.750%)
RTL (us):
Mean: 3936.207    Std dev: 1048.229
Min:  2581.040    Max:     21756.928
P50:  3671.840    P95:     5174.720
P99:  9125.664    P99.9:   14633.856
IAJ (us):
Mean: 3322.785    Std dev: 775.644
Min:  2017.296    Max:     11554.992
P50:  3085.248    P95:     4625.728
P99:  6618.432    P99.9:   10167.200
===CSV_START===
index,rtl_ns,iaj_ns
0,3970224,3317888
1,3869696,3481936
2,3440592,3831984
3,4309952,3065104
4,3555360,5029424
5,5576064,3235600
6,3842848,2946848
7,3518640,3237472
8,3745520,4141552
9,4655440,3328816
10,3845680,3188864
11,3629904,3828688
12,4314592,3789360
13,3666128,3847504
14,4465664,2753600
15,3300736,2897280
16,3411232,3628320
17,4224912,3593888
18,4215744,3256544
19,3809536,3066800
20,3526656,3222544
21,3754688,3031680
22,3547440,4092752
23,4516592,4009600
24,4022672,2998480
25,3623200,3437184
26,3958672,4032704
27,4608816,3025728
28,3565664,2755104
29,3315376,2898656
30,3432624,3068752
31,3627456,3219744
32,3635552,3088720
33,3641440,3200320
34,3617792,2926304
35,3461776,2793344
36,3310416,3031936
37,3579456,3035760
38,3505936,2980128
39,3457392,2892912
40,3454544,3312544
41,3825200,3466224
42,3961728,4862800
43,5253936,4515744
44,5151360,3430672
45,3909616,3698752
46,4268784,6969536
47,12122048,3511968
48,7492192,3526992
49,4125296,3916528
50,3963568,3175072
51,4607360,3786384
52,3676656,4114384
53,4260768,3325120
54,4132928,2999536
55,4028144,3597104
56,3608752,3773536
57,4145472,3262352
58,4406288,3090800
59,3898096,3204928
60,3715760,4735408
61,3819744,3090768
62,5074224,3328976
63,3690592,3486992
64,3897344,3595616
65,4143088,2821744
66,4218544,3100464
67,3302592,3311872
68,3724560,3167088
69,3941168,3282352
70,3741888,4540432
71,3814576,2823440
72,4988096,3426944
73,3459696,2737008
74,3898208,3113152
75,3362416,2728144
76,3761568,3176160
77,3430128,3027936
78,3760000,2995248
79,3599264,2905472
80,3570944,3014592
81,3542480,3112816
82,3627520,3340896
83,3673088,3700000
84,3968176,3400880
85,4239056,3060544
86,4099984,2896976
87,3583856,3127984
88,3432960,3040816
89,3730992,3006816
90,3599104,2838592
91,3643872,3276352
92,3459696,3545056
93,3854144,3865712
94,4130640,6978240
95,4410608,3650496
96,7010080,3955040
97,3791888,3657792
98,4552208,3766336
99,4215040,3425824
100,4422208,3466272
101,3820832,3891760
102,3846528,2841712
103,3953504,3389232
104,3434800,3019696
105,3926560,3087600
106,3601712,4864352
107,3702080,2974640
108,5552640,4093072
109,3490832,3839584
110,4477952,3195552
111,3789760,2890592
112,3777952,2827904
113,3520864,3652656
114,3471824,3844560
115,4247968,2998512
116,4488784,3388176
117,3523488,2928640
118,3949904,2833152
119,3548864,3114352
120,3443312,3009744
121,3618800,2949872
122,3618048,2935904
123,3437936,3167936
124,3349168,2638032
125,3746720,3451472
126,3196080,2877008
127,3987568,2882752
128,3521424,3228144
129,3464592,3141488
130,3723392,2935280
131,3781568,3053808
132,3476800,2702800
133,3565888,3039072
134,3341136,2882864
135,3623664,2839584
136,3481872,2983760
137,3394400,2961584
138,3583376,3904288
139,3564816,3487568
140,4528464,4243088
141,4032256,3106816
142,4800256,3194144
143,3740832,2800032
144,3784880,3182608
145,3406032,3015520
146,3839088,2746976
147,3623888,2789328
148,3437824,3171024
149,3444400,2961456
150,3773168,3019616
151,3560944,3081472
152,3619776,3062848
153,3727168,2708480
154,3749008,2881408
155,3374976,3180992
156,3417648,3029952
157,3762464,4419408
158,3651232,3006016
159,5056128,3448704
160,3634816,2702976
161,4067328,2939344
162,3327696,3680352
163,3493968,2887952
164,4289952,3055888
165,3429920,2880016
166,3672544,2949808
167,3492096,3230512
168,3502320,3059232
169,3772656,2891040
170,3623696,2977920
171,3501488,2947808
172,3495920,2812672
173,3481872,2752816
174,3421488,2825056
175,3399936,3499152
176,3429936,2927840
177,4177104,3569424
178,3435376,4617328
179,4124992,3090400
180,4982560,3412912
181,3711616,3484016
182,4042016,3941232
183,4106272,2870784
184,4556048,2699056
185,3432832,2883760
186,3309120,3679296
187,3427952,2996128
188,4265280,2934416
189,3543040,2826112
190,3484816,3498784
191,3375024,3769728
192,4050336,3683856
193,4289504,2981952
194,3571136,3339472
195,3587040,2741456
196,3984064,3485136
197,3397648,2902704
198,4101616,3456560
199,3477760,3537408
200,4016640,3016000
201,4072928,3428176
202,3687424,2986496
203,4120960,2801232
204,3536992,3220752
205,3400416,2895088
206,3863344,2831680
207,3488032,3268288
208,3414640,2729760
209,3950336,3375024
210,3327296,2799312
211,4046112,3161328
212,3431472,2988288
213,3744176,2852336
214,3501808,3607744
215,3391280,3906288
216,4125088,3858128
217,4414096,3377952
218,3766352,3757504
219,3958256,3582608
220,4279440,3184112
221,4141744,3338288
222,3728656,3791152
223,3836720,3925728
224,4408608,2912096
225,3883408,2911056
226,3506368,3637120
227,3522288,3436576
228,4174512,3542912
229,4074768,3149584
230,4141840,2856640
231,3810048,3053264
232,3397952,3756736
233,3680416,2726672
234,4357248,2767776
235,3310592,3029024
236,3393376,2816448
237,3598816,3186704
238,3387328,3381616
239,3827344,3238464
240,3954944,2767696
241,3896272,3284160
242,3282608,3644352
243,3781360,3982016
244,4218000,2726416
245,3874576,3441568
246,3361152,3140480
247,4039632,3026384
248,3756704,2827184
249,3626880,2826976
250,3438464,2703024
251,3477792,3358864
252,3345552,2806624
253,3896208,3504192
254,3380912,3748720
255,4082976,3465888
256,4356352,3681344
257,4133824,4781504
258,11426048,3301888
259,4265104,3320928
260,5126000,3664896
