HI_NET_PING_START run=5
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
[echo] HELLO_ACK sent
[echo] run #5 — echoing probes
hi_net_ping: HELLO_ACK received
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:    2000
Lost (no echo):       10 (0.500%)
RTL (us):
Mean: 3847.996    Std dev: 936.927
Min:  2478.080    Max:     16524.096
P50:  3639.376    P95:     4724.432
P99:  7750.048    P99.9:   15760.800
IAJ (us):
Mean: 3192.706    Std dev: 707.392
Min:  1744.032    Max:     12903.120
P50:  3006.640    P95:     4147.760
P99:  6586.944    P99.9:   9330.448
===CSV_START===
index,rtl_ns,iaj_ns
0,13565632,3770880
1,4393072,6016000
2,6271776,5352352
3,5980384,4309952
4,4639824,3500928
5,4211280,3017904
6,3658144,2983232
7,3555632,4459648
8,4986640,3695136
9,4141472,3521472
10,4046192,4248224
11,4944480,2839696
12,3465360,2918144
13,3613584,2910048
14,3610512,2932368
15,3580480,2986480
16,3585088,3472800
17,4159296,2719728
18,3293200,3480016
19,4180928,2609264
20,3198816,3046160
21,3685920,2742112
22,3319936,2981040
23,3622384,3235856
24,3879232,3106112
25,3757552,2790896
26,3403344,3018432
27,3709552,3479344
28,4181536,2826560
29,3397056,2951056
30,3444544,4969648
31,5552208,3378704
32,3856112,3488432
33,4037104,3605200
34,3506240,3297472
35,3922896,2975920
36,3668016,3344704
37,4044960,2866032
38,3453248,3052416
39,3683088,3021792
40,3563008,2858480
41,3417280,2964624
42,3606400,2800064
43,3453840,3034768
44,3672416,3296144
45,3941552,2826448
46,3467072,2836240
47,3526752,3420320
48,4063376,3048880
49,3612944,2861936
50,3387456,2828256
51,3458432,3019488
52,3653296,2936320
53,3565696,3028576
54,3720528,2890000
55,3567696,3640816
56,4287424,2782224
57,3294656,2783280
58,3267456,2622608
59,3279088,3012400
60,3654352,3450576
61,4082656,2767296
62,3403296,2760416
63,3461216,3410528
64,4017968,2955504
65,3541936,3187088
66,3830304,2767968
67,3339824,2997440
68,3636144,2940800
69,3584416,2854928
70,3546864,3456384
71,4090544,2836416
72,3402960,2938528
73,3534288,3015344
74,3631744,2825312
75,3461216,2776576
76,3434016,3026464
77,3641616,3548640
78,4170368,2840320
79,3423200,2984528
80,3639376,2897168
81,3555680,3015568
82,3718560,2899552
83,3599216,3121616
84,3762000,2665488
85,3351440,3447664
86,4066304,2700000
87,3301760,2889296
88,3525552,3485616
89,4089168,2879200
90,3500096,2894288
91,3548192,2919120
92,3622144,3195712
93,3850048,2800400
94,3457776,2789472
95,3443360,3438688
96,4062528,2938672
97,3594624,3001232
98,3645904,2764896
99,3407424,3263152
100,3959824,2725584
101,3380528,3747568
102,4387520,2756240
103,3335424,3637488
104,4150624,3325872
105,4027280,4321840
106,4931696,3493552
107,4028672,4207248
108,4185248,2980912
109,3560656,2908800
110,3383040,2770688
111,3399616,2821456
112,3523936,3326128
113,3917072,2729856
114,3384544,2821776
115,3457296,3341536
116,3951840,2604512
117,3291008,3651232
118,4234240,2639744
119,3220736,3287440
120,3934624,2837968
121,3471984,2954960
122,3642736,3462848
123,4163424,2614000
124,3192720,2836608
125,3484368,2938560
126,3588256,2429616
127,3081056,3864256
128,3146720,2846032
129,3487760,2706336
130,3408576,3512640
131,4124272,2867184
132,3475872,2753808
133,3412960,3359328
134,4052512,2669152
135,3307248,3024224
136,3660848,3697440
137,4342320,2996320
138,3587600,2686576
139,3278704,2881152
140,3440704,2847680
141,3503792,2728352
142,3428336,3388352
143,3989152,2996384
144,3647552,2919984
145,3576304,2698912
146,3400000,3963824
147,4566400,3162784
148,3780032,3053296
