HI_NET_PING_START run=6
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
[echo] HELLO_ACK sent
hi_net_ping: HELLO_ACK received
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
[echo] run #6 — echoing probes
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:    2000
Lost (no echo):       11 (0.550%)
RTL (us):
Mean: 3870.675    Std dev: 994.779
Min:  2530.032    Max:     18927.504
P50:  3625.856    P95:     4912.464
P99:  7821.408    P99.9:   17050.640
IAJ (us):
Mean: 3196.084    Std dev: 739.286
Min:  1789.312    Max:     10841.040
P50:  2985.120    P95:     4406.368
P99:  6752.816    P99.9:   10007.376
===CSV_START===
index,rtl_ns,iaj_ns
0,15855904,3234128
1,3836464,5160368
2,4533984,3490176
3,3969536,2800448
4,3430944,3193360
5,3830992,2704464
6,3326832,3301536
7,3923424,2921376
8,3616768,2937648
9,3562304,3142192
10,3745040,3126512
11,3688208,2712736
12,3425792,2992816
13,3456496,2855712
14,3424432,2800816
15,3490992,3514352
16,4202512,2585360
17,3216624,3485504
18,4201360,2757584
19,3436544,2851664
20,3434016,3142528
21,3840112,2701088
22,3370176,3296752
23,3970896,3216752
24,3909424,2815552
25,3417872,2834512
26,3438864,3374912
27,4043392,2729264
28,3393776,3123840
29,3628544,4515360
30,4282448,3747584
31,3678160,2781632
32,3487008,3502240
33,4191984,2869472
34,3541808,5802960
35,6424336,4100720
36,4654256,2995680
37,3634928,3105312
38,3769376,3136928
39,3852208,2933344
40,3561120,2949232
41,3546992,2867776
42,3581776,3267632
43,3939632,3004576
44,3679744,2668912
45,3338400,2922704
46,3593424,3122880
47,3790176,3229536
48,3866672,2754544
49,3423568,3296096
50,4006000,2705936
51,3381120,3205120
52,3904080,2955840
53,3657344,3133920
54,3846800,2988256
55,3662176,2901040
56,3452704,2855888
57,3561616,3334320
58,3986528,2811920
59,3451808,3085056
60,3800176,2725920
61,3389616,3633712
62,4339040,2574800
63,3161152,2693088
64,3296528,3291328
65,3957632,2926896
66,3625456,2902624
67,3609888,2979632
68,3656640,3123200
69,3821760,3022592
70,3697264,2624400
71,3332880,3374608
72,3976992,2716624
73,3426672,3975584
74,4635200,3357808
75,4023200,3248592
76,3961344,3168784
77,3746800,2975968
78,3561632,3028928
79,3606224,2961040
80,3513024,2925680
81,3492016,2973984
82,3506704,2802928
83,3404672,3318416
84,3990192,2854096
85,3410544,3102928
86,3673696,3092416
87,3701616,3222288
88,3808880,2759408
89,3433584,3237184
90,3752128,2896560
91,3366096,2749680
92,3319760,2853488
93,3404352,3563632
94,4223024,2684080
95,3284736,2800896
96,3362576,3458416
97,4101376,2985120
98,3546816,2779088
99,3397456,3009264
100,3587088,3361840
101,3751168,2604544
102,3202720,2785056
103,3368016,3459424
104,4040928,2756336
105,3367168,2890880
106,3468368,2943520
107,3489568,3574320
108,4170880,2773376
109,3337984,2960112
110,3590336,2855888
111,3413328,3004272
112,3563648,2776368
113,3362288,3493888
114,4146672,2607728
115,3216080,3132768
116,3663664,2781136
117,3373456,3452192
118,4088704,2601312
119,3202272,4331376
120,4873696,3352160
121,3857680,4218368
122,4214480,2985808
123,3622992,3055392
124,3764336,2972528
125,3609696,2917456
126,3446880,2847072
127,3494704,2712960
128,3424704,3309680
129,3957104,2839376
130,3517824,3572640
131,4282016,2606624
132,3229904,3407328
133,4119360,2818992
134,3384816,2878736
135,3434960,2924864
136,3576496,3392464
137,4105824,2607456
138,3219232,2947456
139,3654016,3022448
140,3737568,2880368
141,3574368,3659072
142,4313984,2708032
143,3371760,2754176
144,3296288,3372400
145,4067216,2841104
146,3447440,2679360
147,3310880,2784272
148,3452336,3438416
149,4093680,2883088
150,3547152,2660656
151,3376896,3194000
152,3841488,2806816
153,3466256,3185936
154,3845424,3309344
155,3974416,2866288
156,3565312,2868608
157,3566304,6083312
158,5942512,4082208
159,4060992,2947632
160,3605200,3013696
