HI_NET_PING_START run=16
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
[echo] HELLO_ACK sent
hi_net_ping: HELLO_ACK received
[echo] run #16 — echoing probes
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:      37
Lost (no echo):     1965 (98.250%)
RTL (us):
Mean: 4072.878    Std dev: 1550.061
Min:  3192.288    Max:     10589.776
P50:  3590.576    P95:     10105.536
P99:  10589.776    P99.9:   10589.776
IAJ (us):
Mean: 3080.929    Std dev: 426.144
Min:  2543.296    Max:     4364.752
P50:  2969.088    P95:     3995.120
P99:  4364.752    P99.9:   4364.752
===CSV_START===
index,rtl_ns,iaj_ns
0,4233936,2543296
1,3192288,2773936
2,3422752,2830640
3,3534400,2858176
4,3488896,3532240
5,4164944,2757392
6,3383904,3117248
7,3823248,2608736
8,3271392,2969088
9,3562096,3064448
10,3734512,2932000
11,3575248,3710720
12,4364160,3015728
13,3590576,2647888
14,3198048,2901472
15,3523712,2818432
16,3480544,3275648
17,3923504,3290000
18,3992976,2848816
19,3378448,2759456
20,3349648,2648048
21,3315952,3460816
22,4051104,2780160
23,3450800,3248272
24,3955152,2612096
25,3276320,3190992
26,3854544,4364752
27,10105536,3776240
28,4780400,3266832
29,4411744,3348160
30,3887216,2832432
31,4018352,2569232
32,10589776,3403088
33,3352176,3995120
34,3220208,2656896
35,3975056,3449936
36,4262928,2837984
===CSV_END===
=========================================
HI_NET_PING_DONE run=16
