HI_NET_PING_START run=23
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
hi_net_ping: HELLO_ACK received
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
[echo] HELLO_ACK sent
[echo] run #23 — echoing probes
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:    1285
Lost (no echo):      724 (36.200%)
RTL (us):
Mean: 3832.666    Std dev: 969.028
Min:  3035.328    Max:     15403.808
P50:  3645.824    P95:     4562.016
P99:  7971.664    P99.9:   14397.328
IAJ (us):
Mean: 3135.593    Std dev: 664.145
Min:  2356.672    Max:     9170.400
P50:  2995.952    P95:     3965.296
P99:  6413.088    P99.9:   9019.616
===CSV_START===
index,rtl_ns,iaj_ns
0,12740480,6767808
1,14397328,2754800
2,7308800,2843792
3,3420208,3269216
4,3536896,3315760
5,3953072,2773392
6,4052384,2658944
7,3431584,3326512
8,3403760,2818128
9,4015136,2786096
10,3543552,3720992
11,3459488,3042560
12,4344032,3663584
13,3795248,3420592
14,4371488,2925696
15,4173984,3191152
16,3567984,2698800
17,3889968,3263024
18,3369088,2893200
19,3951328,3227280
20,3557936,2583168
21,3918896,3376864
22,3246304,2821792
23,4052128,2782192
24,3504320,3471632
25,3476976,3421008
26,4146832,2566528
27,4049968,2548352
28,3231408,3444784
29,3249152,2711248
30,4076320,2852448
31,3412528,5699392
32,3501040,3061056
33,6384176,2860336
34,3711568,3173680
35,3556432,2872112
36,3839744,2751920
37,3518096,3198736
38,3445712,3143952
39,3837632,2603152
40,3861856,3270016
41,3307456,2706944
42,3834976,3246704
43,3413728,3001392
44,3834880,3046800
45,3687920,2963840
46,3730368,2666736
47,3659280,3528928
48,3359280,2632000
49,4201824,2959776
50,3356448,3540976
51,3572704,2834624
52,4202512,2969008
53,3562880,2858896
54,3705616,2662032
55,3476224,3545232
56,3353568,2764800
57,4184272,3063552
58,3441104,2723632
59,3737488,5405344
60,3438560,2837920
61,6041792,2802192
62,3281184,2970384
63,3480640,4394560
64,3575152,3735824
65,5051312,3265152
66,3775232,2765472
67,3962368,3302752
68,3395904,2860896
69,4002480,2711776
70,3519088,3349200
71,3406208,2746944
72,3966896,3089488
73,3444288,3355328
74,3766160,3199088
75,4005488,2826384
76,3822032,2554272
77,3368864,3196384
78,3216480,2743520
79,3912032,3290880
80,3447328,2686480
81,3918448,3238320
82,3389040,2735584
83,3911360,3184304
84,3430256,2824736
85,3846912,3569856
86,3488528,2932208
87,4220784,2952064
88,3565600,2844944
89,3589296,2838032
90,3410880,3376224
91,3542976,2605376
92,4025360,3410336
93,3262080,2705632
94,4123152,3116736
95,3356064,3790256
96,3765568,2716720
97,4444352,2628528
98,3357744,2802832
99,3166064,2835168
100,3430560,2855664
101,3523168,3773344
102,3486288,2841504
103,4414928,2792864
104,3429520,2704128
105,3363136,3377072
106,3345840,2457360
107,4085584,3480448
108,3102800,2564864
109,4096944,2533952
110,3227520,3825072
111,3174624,2986752
112,3847968,2636208
113,3641056,3433152
114,3342192,2611984
115,4106080,2539584
116,3280736,3790832
117,3214448,2994464
118,3827040,3071120
119,3648176,2743632
120,3764736,3149680
121,3400944,2676592
122,3817776,3563056
123,3380528,2668336
124,4210816,2989680
125,3299216,3180736
126,3653152,2732832
127,3828448,2424816
128,3402192,4358640
129,3141408,2690176
130,4357616,2808880
131,3316896,2611984
132,3425216,3481984
133,3237968,2666880
134,4150496,2833088
135,3298112,2492960
136,3486096,3836672
137,3151024,2708608
138,3750352,3376928
139,3411360,2793120
140,4019424,3146352
141,3463360,3220752
142,3777360,3146192
143,3925872,3120320
144,3802528,2799296
145,3659328,2946512
146,3433136,2950800
147,3497248,3178064
148,3422320,2629200
149,3553200,3092992
150,3221376,2638992
151,3741280,3085776
152,3308288,3810032
153,3741568,2633872
154,4447744,2717712
155,3291856,2648688
156,3325376,3286080
157,3354848,3132160
158,3941984,2757168
159,3818464,3287600
160,3428272,2984640
161,3944624,2890048
162,3652656,3201920
163,3533616,2836256
164,3896704,2683120
165,3481904,3266016
166,3279792,3274464
167,3931184,2775392
168,3966928,2949280
169,3441184,3109632
170,3645824,2904224
171,3796480,2686000
172,3574192,3196528
173,3348816,3321680
174,3845136,2694272
175,3986384,3139808
176,3358128,3413600
177,3790464,2763296
178,4118144,2594816
179,3376112,3237344
180,3258048,2951680
181,3865424,3433744
182,3655184,2781280
183,4139776,2424896
184,3405280,3460832
185,3068736,3333328
186,4061040,2691456
187,3962688,2719744
188,3311072,2763120
189,3287984,3578784
190,3396896,2849168
191,4170560,2706432
