HI_NET_PING_START run=26
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
hi_net_ping: HELLO_ACK received
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
[echo] HELLO_ACK sent
[echo] run #26 — echoing probes
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:    2000
Lost (no echo):        5 (0.250%)
RTL (us):
Mean: 3844.895    Std dev: 915.905
Min:  2441.632    Max:     24164.144
P50:  3707.920    P95:     4930.512
P99:  7637.776    P99.9:   13647.472
IAJ (us):
Mean: 3178.075    Std dev: 756.756
Min:  1769.376    Max:     10010.352
P50:  3050.320    P95:     4348.528
P99:  6601.392    P99.9:   9142.560
===CSV_START===
index,rtl_ns,iaj_ns
0,11672416,8895072
1,9611184,4483568
2,5132128,5084384
3,5693504,2816288
4,3470160,3642864
5,4062784,4206752
6,4806848,4234304
7,4350208,2848400
8,3591664,3868176
9,3660080,3339680
10,4044576,2788464
11,3369408,2646272
12,3292224,3484816
13,4158560,2960704
14,3589408,3074656
15,3689248,2750608
16,3395136,2681216
17,3361008,3016224
18,3663248,3160992
19,3810576,3182096
20,3832160,2866272
21,3563424,2905376
22,3570704,3360240
23,4054320,2548000
24,3256864,3326576
25,3996224,2690944
26,3399648,3526608
27,4179056,2737728
28,3327568,2682912
29,3380160,3304096
30,3963232,3004800
31,3698672,3431392
32,4146608,4695440
33,5150576,3218032
34,3621792,2893552
35,3474976,2637264
36,3213680,2553216
37,3150544,3227776
38,3809216,2592512
39,3237440,3348240
40,3936368,2460032
41,3095968,3287904
42,4004416,2861616
43,3458992,4146896
44,4758464,3474544
45,3965536,4071952
46,4720256,3642000
47,4293504,2719824
48,3387792,2744096
49,3294272,2878464
50,3592720,3566016
51,4248176,2532256
52,3095744,2908272
53,3570144,3190608
54,3865024,2648528
55,3304736,3119472
56,3790800,3250896
57,3962304,2739520
58,3420128,3203184
59,3905936,2919440
60,3628672,2920688
61,3636592,3318592
62,3980256,2693120
63,3335616,2999248
64,3618464,2913392
65,3589424,3599920
66,4286960,2792240
67,3408944,2876448
68,3500464,2761088
69,3384144,2853312
70,3511200,3521504
71,4152624,2646048
72,3276560,3175968
73,3820944,2770512
74,3477152,2913616
75,3608960,3417680
76,4079760,2601024
77,3277744,3310736
78,3968080,2675888
79,3390032,3471008
80,4114800,2505120
81,3217296,3531120
82,4161104,2606320
83,3261728,3273216
84,3912912,2775120
85,3439328,3190976
86,3868704,2829792
87,3497600,3219680
88,3883216,2597664
89,3260064,3495856
90,4125168,2628864
91,3260768,3273568
92,3986400,2742608
93,3412000,3256000
94,3918752,3093072
95,3660768,2683808
96,3309456,2767712
97,3403040,3021120
98,3646384,3394480
99,4033008,2833056
100,3491376,2781280
101,3439008,3347680
102,4007568,2852032
103,3548208,2821856
104,3484928,3329600
105,4006000,2819120
106,3533872,3315424
107,3959536,2597472
108,3306464,3264272
109,3937968,3040608
110,3754032,2919616
111,3570672,8470272
112,9186560,2548912
113,3110432,2301872
114,3056304,2533872
115,3167264,4294528
116,4953856,3567840
117,4283120,3694352
118,4366352,3823072
119,4325360,8106912
120,6735600,6010160
121,13647472,5559648
122,5541024,5601456
123,6083072,4638544
124,6132016,5760176
125,4434352,8040368
126,6307600,5054624
127,7927744,3579568
128,5685088,6914624
129,4162128,5966592
130,7637776,3312272
131,6700976,5387952
132,4059008,3535440
133,6019280,3068000
134,4237536,3303792
135,3421728,2749216
136,4036768,3159376
137,3410672,3356912
138,3844256,2478864
139,4033392,3523056
140,3213200,2451904
141,4216208,3200368
142,3160224,3569184
143,3945152,2462432
144,4204336,3609536
145,3212416,2562784
146,4198464,2790400
147,3287808,3275632
148,3352048,2795264
149,3930576,3126496
150,3434848,2787504
151,3806720,3696720
152,3387152,2768944
153,4406672,2688128
154,3364640,3058112
155,3326848,2743680
156,3738576,3059344
157,3424592,3143040
158,3813616,3600688
159,3828032,2702640
160,4282112,2764688
161,3362192,2769808
162,3449904,3081232
163,3387392,3131072
164,3770416,2667904
165,3748432,3012352
166,3346240,3328736
167,3738464,3262624
168,4058512,2944736
169,3951392,2779136
170,3659280,3423376
171,3481392,2696400
172,4059008,2520176
173,3397920,3362848
174,3179696,3201440
175,4043712,2750832
176,3881584,2762480
177,3400656,3251200
178,3407312,2820736
179,3962608,3784880
180,3483536,2549120
181,4428368,2896576
182,3255632,2594256
183,3582176,3183408
184,3217664,3796720
185,3915680,2566992
186,4459344,2802544
187,3297824,3166928
188,3466144,2547856
189,3839888,3445504
190,3254224,2660112
191,4179904,3192800
192,3349584,3271072
193,3877264,2635376
194,3938960,3235392
195,3313744,2502400
196,3869056,2975088
197,3182176,3230864
198,3692976,3056448
199,3960528,3520288
200,3699248,2716048
201,4169504,2664160
202,3387280,3178720
203,3374832,2863248
204,3858288,3330048
205,3501408,2488368
206,4022320,3355760
207,3217168,2860000
208,4047232,3385456
209,3440960,2914224
210,4059936,2845824
211,3593424,2610480
212,3570304,3036944
213,3231232,3228256
214,3766528,3082928
215,3911616,3438784
216,3783184,2599888
217,4130816,3168032
218,3161504,2676464
219,3733104,3176432
220,3285712,2999984
221,3840928,2637216
222,3661552,3296912
223,3259408,3208384
224,4021408,2786288
225,3814560,2691184
226,3538160,3318496
227,3362064,2696352
228,4023120,2977472
229,3367936,3389392
230,3712736,3234080
231,4084512,2564576
232,3867264,3116416
233,3270976,3079888
234,3797072,3373728
235,3691600,2742496
236,4001776,2532096
237,3392320,3000032
238,3256368,3347296
239,3712576,2641024
240,4061328,3306288
241,3242688,3002288
242,4029952,2689984
243,3659408,3087056
244,3336512,3518592
245,3796416,2558592
246,4252672,3125088
247,3257056,3206816
248,3781776,2602384
249,3832816,3259264
250,3335792,3327984
251,4014096,2615536
252,3916256,3053792
253,3289440,2882800
254,3718704,3630768
255,3474240,2426752
256,4257104,3435536
257,3074592,2648368
258,4083664,2758496
259,3312672,3571632
260,3380304,2643056
261,4229152,2809472
262,3272576,3555936
263,3411952,2618608
264,4121040,3048352
265,3327888,3107472
266,3721664,3239344
267,3691536,2583296
268,3953456,3432496
269,3244208,2942768
270,4105200,2610448
271,3489264,3556096
272,3270768,2663792
273,4231008,2704656
274,3296272,3121648
275,3350944,2593360
276,3763648,3282592
277,3198208,3245968
278,4027456,2674864
279,3903152,3600064
280,3377792,2729024
281,4257840,2622352
282,3328256,3401520
283,3309968,2455728
284,4147488,3206144
285,3183584,3144752
286,3939376,3178512
287,3804528,2444864
288,3835184,3211632
289,3133152,3062832
290,3929344,3039744
291,3718352,2720064
292,3659584,3161408
293,3371408,3187376
294,3873152,3684528
295,3822160,2984464
296,4365120,2664304
297,3460048,2515008
298,3316480,3162048
299,3247488,3027072
300,3808432,3064000
301,3698928,3613280
302,3741408,2870448
303,4250304,2605168
304,3523616,2484528
305,3252848,3190592
306,3208672,3193840
307,3894720,3621328
308,3899440,2639840
309,4267024,2530720
310,3233808,3173008
311,3249424,2805408
312,3864336,3235088
313,3487760,2576752
314,3892512,3139728
315,3216528,3207888
316,3806400,3610160
317,3932992,2851776
318,4282576,2594688
319,3443296,2770880
320,3218352,3220192
321,3415856,2633648
322,3876480,3154192
323,3217440,3237456
324,3849968,2754448
325,3885600,3159600
326,3355824,2701952
327,3914048,3155392
328,3281952,3218512
329,3849376,2594592
330,3890864,3139056
331,3239904,3249488
332,3853280,2659200
333,4003376,3449648
334,3272144,2707552
335,4139552,3322512
336,3379984,2684320
337,3988208,3422400
338,3397568,2599984
339,4106016,3095808
340,3287840,3313136
341,3704256,2698896
342,3967312,2843168
343,3399952,3067440
344,3507920,3277744
345,3730880,2658560
346,3963776,3308304
347,3392880,3343248
348,3965696,2565808
349,4011552,2654208
350,3146192,3286704
351,3286768,3280816
352,4006896,2730928
353,3964048,3243312
354,3430304,2675872
355,3904944,3274272
356,3336288,2495840
357,3867440,3172112
358,3231856,3393296
359,3878976,2585664
360,4023200,3173600
361,3280896,2953952
362,3824832,3842384
363,3531968,2624064
364,4484048,2664544
