HI_NET_PING_START run=5
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
[echo] HELLO_ACK sent
hi_net_ping: HELLO_ACK received
[echo] run #5 — echoing probes
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:    2000
Lost (no echo):       16 (0.800%)
RTL (us):
Mean: 4627.620    Std dev: 1244.396
Min:  2008.080    Max:     16195.696
P50:  4263.088    P95:     6885.280
P99:  9794.704    P99.9:   13908.176
IAJ (us):
Mean: 4103.871    Std dev: 1218.979
Min:  1425.808    Max:     22472.064
P50:  3824.432    P95:     6388.832
P99:  8537.056    P99.9:   10226.704
===CSV_START===
index,rtl_ns,iaj_ns
0,5233920,3708512
1,4418464,3470288
2,4119984,3592768
3,4131136,3095360
4,3719568,3066480
5,3761792,3345168
6,4012192,5130320
7,5531120,3423904
8,3870928,4122592
9,4587808,3140416
10,3464032,2267696
11,2984208,3279056
12,3889888,3509600
13,4193856,3039200
14,3761264,3786656
15,4270240,3283312
16,3930464,4231920
17,4198480,3294208
18,3702432,2638384
19,3285696,3188208
20,3689440,2707232
21,3262576,3692384
22,4077808,4093584
23,4655280,3124912
24,3822464,3650160
25,4277760,4532000
26,5197664,4888512
27,5498384,3681504
28,4160976,6997280
29,7657568,4441488
30,5091568,5181168
31,5550992,5882048
32,6517328,3191760
33,3579744,3787584
34,4329904,5106288
35,5700880,3913152
36,4370080,4041024
37,4557872,3532352
38,4248976,4491952
39,5224768,4413264
40,4785040,3829424
41,4431600,4108976
42,4682496,3100320
43,3720784,3473328
44,4079120,3505712
45,3847312,4175968
46,4720032,3954800
47,4642608,4249024
48,4050864,4596656
49,4972864,3477536
50,4043760,4963120
51,5444720,3373872
52,3798416,4927872
53,5405008,4217408
54,4719936,4320336
55,4386080,6537232
56,6890592,7904352
57,8460000,7955872
58,8459392,5658928
59,6344656,4039712
60,4541168,6642368
61,7137232,6962896
62,6961376,6205552
63,6798928,4870688
64,5030720,6219536
65,6918352,5887808
66,6324448,4036976
67,4661872,3802656
68,4500800,5160352
69,4872064,3874992
70,4307696,4138336
71,4665248,3990160
72,3890464,3071456
73,3741040,3535008
