HI_NET_PING_START run=7
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
[echo] HELLO_ACK sent
hi_net_ping: HELLO_ACK received
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
[echo] run #7 — echoing probes
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:    2000
Lost (no echo):       17 (0.850%)
RTL (us):
Mean: 4534.432    Std dev: 1277.733
Min:  2292.624    Max:     22039.184
P50:  4197.424    P95:     6464.160
P99:  9720.832    P99.9:   19349.536
IAJ (us):
Mean: 3961.446    Std dev: 1062.079
Min:  1740.208    Max:     9300.992
P50:  3706.720    P95:     5936.336
P99:  7924.016    P99.9:   9272.240
===CSV_START===
index,rtl_ns,iaj_ns
0,5576112,3782864
1,3634464,4635392
2,4891024,3343840
3,4033600,4107280
4,4712848,4329760
5,4256864,3910464
6,4352432,3820512
7,4414976,2787760
8,3517328,2837088
9,3480592,3513968
10,4160384,3164720
11,3686880,2975184
12,3595840,2739792
13,3389088,2685728
14,3410624,2641472
15,3376688,4419632
16,5077696,4367216
17,4991392,2959344
18,3584656,2950864
19,3638464,3254352
20,3967824,2800800
21,3255472,3171488
22,3565008,2965552
23,3493168,2927456
24,3542784,4878000
25,5394848,3772000
26,4377776,3874928
27,3856272,3411408
28,4119792,4473984
29,5155136,3979152
30,4619888,4387872
31,5002848,3616832
32,4340720,3937328
33,4251360,4116768
34,4688928,3427360
35,4063536,3945136
36,4031600,2869824
37,3563936,2251504
38,2979904,5162016
39,5077920,3751696
40,4233200,3313904
41,4046096,3707344
42,4185792,4314480
43,4130784,8255840
44,7122560,6358000
45,6560768,5073728
46,5752464,4406080
47,4452144,3930224
48,3421952,3341600
49,3915728,3259696
50,3895616,3005632
51,3704976,3088832
52,3679056,2988608
53,3551536,3222320
54,3874528,3379392
55,3833216,4598512
56,5298832,2838464
57,3345088,3031744
58,3652384,2993280
59,3535168,3635536
60,4019392,3711168
61,4333536,3333712
62,3983920,2907536
63,3512272,3686448
64,4159376,3342512
65,3934848,4129840
66,4755536,3426976
67,4097360,3498464
68,4004976,3911632
69,4493568,2852960
70,3483680,3262608
71,3891280,3177008
72,3674432,3077872
73,3801456,3655360
74,3964912,4020624
75,4666528,3128976
76,3690112,2865328
77,3555744,3558960
78,4213984,3100784
79,3596624,4859104
80,5330688,5705600
81,6070560,4833600
82,5508416,6195488
83,5104144,3725200
84,4179632,4856368
85,5521824,3730800
86,4350848,3349632
87,3896832,3373424
88,4070544,3648112
89,4242112,5831248
90,6462064,4214752
91,4876992,5518640
92,6163872,4505984
93,4741552,6165856
94,6781840,5216976
95,5847088,3489280
96,3994496,5168480
97,5815744,4412064
98,4129264,3422336
99,3959152,3006272
100,3633456,4078800
101,4745792,2356880
102,2918624,3928144
103,4452912,2996960
104,3487008,1911648
105,2333280,3776848
106,4462832,3257072
107,3962656,3179776
108,3831472,2957584
109,3598560,2909536
110,3458016,3089024
111,3695552,3175200
112,3825600,3842784
113,4325296,3924720
114,3876816,2997200
115,3679840,2985360
116,3709040,3099520
117,3579392,3637552
118,3972416,4184880
119,4825568,2850224
120,3562736,2841568
121,3536560,3384608
122,3993600,2750208
123,3427312,3153328
124,3851216,3252544
125,3872928,2978048
126,3609264,3078576
127,3731632,2803664
128,3370576,1973040
129,2317312,4016016
130,4496416,2950944
131,3635664,3065712
132,3721584,2649216
133,3363680,3094896
134,3779504,3041344
135,3750288,2982976
136,3686480,3052032
137,3729072,3036528
138,3759872,2899248
139,3454496,2683936
140,3367440,3820752
141,4488032,3673008
142,4225664,3796496
143,3634560,3021504
144,3652800,3898368
145,4552304,2784416
146,3491120,3623568
147,4183280,3892048
148,4602096,3005472
149,3687632,2841008
150,3300384,2493920
151,3230224,3510256
152,4137584,2762592
153,3435808,2730000
154,3335232,3809632
155,4358432,2666576
156,3245152,5544512
157,5813600,4641616
158,4961872,3408576
159,4090272,4994352
160,11934016,4360912
161,5693632,5349760
162,4726400,3894624
163,5671760,3287072
164,4583152,3052544
165,3949520,3120512
166,3657296,2642160
167,3856432,2903472
168,3271808,3174496
169,3548080,2966496
170,3861616,3230848
171,3450208,3012864
172,3844160,2033776
173,3647184,3601744
174,2755872,2926384
175,4239088,2702736
176,3566160,7924016
177,3315712,4684448
178,8475600,3744816
179,4958160,3730528
180,4257360,2606960
181,3905504,4026496
182,2964528,5434192
183,4117904,4856768
184,5524496,4821952
185,5170912,2923648
186,5040368,3699232
187,3603216,3674128
188,4053536,3583984
189,4286544,2822896
190,4193920,2889152
191,3471648,2959168
192,3527616,3037104
193,3588672,3004544
194,3622960,3032288
195,3678560,2935104
196,3652976,2886864
197,3507328,3549904
198,3577744,2643712
199,4159520,3046608
200,3337744,2981936
201,3601504,2852768
202,3502704,2711952
203,3570544,4041600
204,3317248,3391296
205,4616896,4203856
206,3979344,2809872
207,4017232,3147360
208,3399680,2835616
209,3830016,3029520
210,3371360,3421728
211,3699200,3318704
212,4013664,5366848
213,3831168,4305904
214,5709632,3139840
215,4015520,3821664
216,3668528,3718224
217,4185152,2581360
218,4195056,2765264
219,3223696,3962848
220,3348288,3487184
221,4501664,4208784
222,4039840,3522400
223,4874624,3846144
224,4184976,4130192
225,4276688,4313888
226,4713680,4680848
227,4752752,3908224
228,5368320,5727520
229,4597440,4611856
230,6304656,5378496
231,5227040,5870560
232,5981104,4989456
233,6405840,3387328
234,5669376,4760480
235,3826016,4649600
236,5311632,5834400
237,5310384,4723200
238,6387152,5157856
239,5320880,3380752
240,5651872,3303216
241,3863936,3902768
