HI_NET_PING_START run=28
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
[echo] HELLO_ACK sent
[echo] run #28 — echoing probes
hi_net_ping: HELLO_ACK received
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:    2000
Lost (no echo):       21 (1.050%)
RTL (us):
Mean: 4576.915    Std dev: 1322.595
Min:  2217.136    Max:     21048.576
P50:  4213.616    P95:     6738.560
P99:  10560.016    P99.9:   15185.184
IAJ (us):
Mean: 3994.670    Std dev: 1128.712
Min:  1644.000    Max:     9914.368
P50:  3719.408    P95:     6155.536
P99:  8110.544    P99.9:   9753.744
===CSV_START===
index,rtl_ns,iaj_ns
0,4899616,5959168
1,6452512,4650336
2,5360848,5697440
3,5946528,4275024
4,4873264,4948640
5,5357040,4482528
6,4924208,3000880
7,3654208,7265584
8,7986400,2808784
9,3429008,3456224
10,4210768,4426896
11,5008512,3575312
12,4172240,4416016
13,5025984,6368528
14,6992368,3950896
15,4351312,5017456
16,5721504,4057632
17,4536976,4321728
18,4890864,4330560
19,4989008,4014800
20,3849104,3998256
21,4700992,6813904
22,7022272,4040224
23,4582320,4610112
24,5296944,2772960
25,3387712,3302880
26,4011568,3958752
27,4334640,3073296
28,3568048,3372880
29,3905424,3783792
30,4449472,4413168
31,5132432,3178288
32,3888240,3404480
33,3911232,4074720
34,4605296,3349504
35,4082848,3511264
36,4123584,5237840
37,5919392,4115072
38,4782112,4036736
39,4604304,5071408
40,5788800,4707600
41,4830240,3883936
42,11101872,4011072
43,4266256,4797536
44,3859504,2175712
45,5038336,3870912
46,2834192,2267408
47,4529312,7984400
48,2955680,3958240
49,8489952,4220608
50,4302352,4530896
51,3562208,3234208
52,4970304,2275936
53,3824880,4399648
54,2959696,4446624
55,4923056,3942912
56,5062096,4929104
57,4345600,4121088
58,5348672,3604400
59,3862528,4268832
60,4000368,4770912
61,4882160,3939520
62,5242016,4037376
63,4400336,2379088
64,4600096,4125408
65,2867072,4712000
66,4428512,3496560
67,5204176,4524736
68,4181872,3328128
69,4898160,4827904
70,3862592,4173840
71,5213904,3813584
72,4460688,4711632
73,4104832,3849296
74,5224640,4428352
75,4366800,4989696
76,4986816,3114656
77,5388304,5575008
78,3655472,5851520
79,6205120,3840160
80,5562992,4461456
81,4546512,3537568
82,5021488,9447136
83,4180160,5193024
84,9919296,4017792
85,5263440,2180496
86,4580160,3683328
