HI_NET_PING_START run=5
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
[echo] HELLO_ACK sent
[echo] run #5 — echoing probes
hi_net_ping: HELLO_ACK received
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:    2000
Lost (no echo):        7 (0.350%)
RTL (us):
Mean: 4393.038    Std dev: 946.965
Min:  2451.376    Max:     22970.416
P50:  4202.336    P95:     5717.360
P99:  7394.128    P99.9:   13893.504
IAJ (us):
Mean: 3847.315    Std dev: 806.953
Min:  1907.120    Max:     9329.728
P50:  3699.104    P95:     5207.888
P99:  6678.880    P99.9:   8183.088
===CSV_START===
index,rtl_ns,iaj_ns
0,4830112,5561808
1,5045136,3752880
2,4335376,4495776
3,4944448,3851104
4,4509728,4307136
5,4900768,3064480
6,3742336,3498144
7,4082016,5314096
8,5958288,3503600
9,3999040,4347472
10,4992976,4100704
11,3830624,3342752
12,3933536,4366736
13,4852208,3879056
14,4536256,4250256
15,4712320,3344256
16,3995216,3154512
17,3551216,3853760
18,4385904,4044816
19,4457792,3179424
20,3710384,3825536
21,4391184,5095680
22,4737280,4120096
23,4651344,4946640
24,5538592,3689136
25,4201904,3311392
26,3994096,4214048
27,4845216,4544992
28,5090272,3411136
29,3941072,4408912
30,4979408,3589984
31,4192480,4762480
32,5246768,4458384
33,4820912,3585872
34,4155568,4652048
35,5174160,3253904
36,3892608,3224224
37,3813456,4553152
38,5188976,3778992
39,4277184,4504384
40,5140112,4472432
41,4992864,3268704
42,3953760,3775344
43,4319616,3978720
44,4599392,3457648
45,4056192,4245648
46,4851008,3340864
47,4017392,3874336
48,4424432,4427376
49,5005728,4521824
50,4974144,3918544
51,4410032,5434624
52,5990720,3729216
53,4404544,3583056
54,4134336,4521488
55,4912384,3703216
56,4384272,3757872
57,4371040,3109008
58,3584320,3590000
59,4166640,3554560
60,4198496,5405840
61,5965328,3572400
62,4017728,3379232
63,3935040,3600576
64,4330672,4850416
65,5379632,3467744
66,4026144,4926208
67,5635824,4722928
68,5400848,3958000
69,4581536,3647888
70,4090096,4074400
71,4769520,5677520
72,5039184,3797008
73,4478048,5461136
74,6045200,4099280
75,4488576,3333728
76,3774960,4549040
77,5026528,4429840
78,5141936,3343504
79,3992576,3975344
80,4600656,4072688
81,4727472,3794064
82,4423888,4227072
83,4762928,3569904
84,4038400,4301152
85,4943840,3893040
86,4541344,4052848
87,4716256,3225216
88,3882512,3826256
89,4509920,4882560
90,4473168,4437440
91,5064000,3570336
92,4053728,4583040
93,5278096,3581936
94,4209632,4832288
95,5550800,4126576
96,4826832,3970128
97,4691552,4116336
98,4667088,3953824
99,4510608,4468608
100,4201696,4542704
101,5066544,3475760
102,4205280,6416576
103,6940624,3388496
104,4001840,3552944
105,3962352,4104896
106,4781136,4086224
107,4778432,4291296
108,4888768,3618704
109,4201184,5233712
110,5818608,3822176
111,4488336,3488768
112,4207424,4495760
113,4990752,3687984
114,4308944,4560656
115,5102224,3412048
116,4078064,4430080
117,4978160,3235600
118,3921392,4789296
119,5360048,3855632
120,4437696,4728256
121,5385760,4329120
122,4885584,3736016
123,4339408,4366672
124,4893072,3430672
125,4045216,4762016
126,5060576,3415216
127,4013472,4337824
128,4899616,4658416
129,5230256,3567712
130,4154608,3684912
131,4254704,4330528
132,4150576,4217296
133,4888480,3678400
134,4084672,3305680
135,4004736,4343840
136,4861056,3341216
137,3897312,3119968
138,3811872,4348576
139,4970272,3171264
140,3686464,3372688
141,4068960,3799872
142,4200432,4165456
143,4808944,3403408
144,4021584,3915360
145,4404912,4751552
146,5309152,3735088
147,3686096,3354560
148,3956288,4193776
149,4828416,3696496
150,4223488,3867488
151,4355568,4260176
152,4047952,3338784
153,3819808,4140784
154,4631520,3295536
155,3952656,3954272
156,4540576,4377136
157,4018288,3066080
158,3565104,3443184
159,3983040,4310848
160,5003296,3047904
161,3651424,3525904
162,3972320,4531008
163,5233136,4146656
164,4655664,6149968
165,6797264,6578480
166,7176240,5887264
167,6387056,6606368
168,6178720,6885088
169,7378592,5252976
170,5825584,5320176
171,5876528,5471648
172,5131232,3790784
173,4377536,3383552
174,4033280,5211152
175,5920624,3897600
176,4607024,3304192
177,3898368,3210320
178,3862256,3325552
179,4009312,4510512
180,4979088,4189280
181,4718144,3177408
182,3749728,3327344
183,3945328,3243328
184,3941664,3677376
185,4250320,4588560
186,5184256,4686288
187,5378352,3332080
188,4017904,4403024
189,4845200,3836768
190,4168256,4479120
191,5110224,3437232
192,4016800,4363408
193,5052656,3863232
194,4422992,4748768
195,5371376,4283328
196,4872592,3362896
197,3936704,3216064
198,3854512,3460432
199,3987712,4147664
200,4850560,3220528
201,3891712,4598368
202,4998176,4024912
203,4599728,4029088
204,4664768,3279696
205,3999600,3613856
206,4071536,4409648
207,5046016,3604304
208,4024688,3779904
209,4406784,5615600
210,6166176,4140144
211,4595200,3468640
212,3928336,3231104
213,3931136,3676128
214,4254208,4506096
215,5088656,3162352
216,3670688,3713408
217,4233168,3742544
218,4287104,7383872
219,8076112,3203488
