HI_NET_PING_START run=27
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
[echo] HELLO_ACK sent
hi_net_ping: HELLO_ACK received
[echo] run #27 — echoing probes
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:    1441
Lost (no echo):      563 (28.150%)
RTL (us):
Mean: 4280.804    Std dev: 825.706
Min:  2230.528    Max:     14018.768
P50:  4131.040    P95:     5428.864
P99:  6433.216    P99.9:   11331.920
IAJ (us):
Mean: 3730.115    Std dev: 789.620
Min:  1653.712    Max:     10332.688
P50:  3595.168    P95:     4976.160
P99:  6004.496    P99.9:   8498.400
===CSV_START===
index,rtl_ns,iaj_ns
0,4461648,4143392
1,4727840,3993136
2,4600608,4156160
3,3812704,3630352
4,4163792,4735120
5,5398096,4307216
6,4708528,4173248
7,4830928,3780384
8,4406800,3771472
9,4381056,4552992
10,5107984,3406400
11,4001808,4482448
12,4989104,3491168
13,4193296,4620816
14,5230576,3225344
15,3779344,3410912
16,3921008,3512272
17,4190320,3847472
18,4358944,3267024
19,3872672,4721168
20,5262128,4276000
21,4737456,3774368
22,4398080,3962720
23,4358096,4025264
24,3917888,3395488
25,3981360,4409920
26,5088128,3146272
27,3803872,4056960
28,4750448,4159840
29,3973888,3979536
30,4588416,4115408
31,4682560,3596976
32,4222576,4025936
33,3852256,3810432
34,4318656,4013872
35,4502640,3312032
36,4011088,3294880
37,3701712,4717776
38,5223600,4607792
39,5225568,3895728
40,4524288,4234240
41,4918432,3429136
42,4049104,4855232
43,5390832,3483952
44,4097056,4250768
45,4927008,3843136
46,4424016,4306800
47,4914288,3256480
48,3900672,5643888
49,6162192,4543536
50,5152336,4570352
51,5084560,4717904
52,5423312,3727168
53,4311232,4265824
54,4923968,3899632
55,4379056,4093664
56,4591184,3735104
57,4369648,4173616
58,4725296,3353936
59,4048768,3935136
60,4329584,4340512
61,4987232,3949712
62,4547152,4205632
63,4042128,4247152
64,4746512,3828656
65,4426240,4377824
66,4983904,3724240
67,4122416,4122624
68,4836096,3576032
69,4164128,4507616
70,5001792,3509472
