HI_NET_PING_START run=21
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
[echo] HELLO_ACK sent
hi_net_ping: HELLO_ACK received
[echo] run #21 — echoing probes
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:     170
Lost (no echo):     1831 (91.550%)
RTL (us):
Mean: 3930.064    Std dev: 777.703
Min:  3213.600    Max:     11281.776
P50:  3747.968    P95:     5005.088
P99:  6810.208    P99.9:   11281.776
IAJ (us):
Mean: 3318.454    Std dev: 582.928
Min:  2488.976    Max:     6405.184
P50:  3162.896    P95:     4385.936
P99:  5764.896    P99.9:   6405.184
===CSV_START===
index,rtl_ns,iaj_ns
0,5281136,3122304
1,3496112,4406736
2,4591760,2868608
3,3434336,3397296
4,4055648,2958448
5,3555376,2674480
6,3370832,3290016
7,3941408,3130128
8,3832928,2880496
9,3515120,2920384
10,3503440,3769136
11,4252304,2941952
12,3554080,3438448
13,4088912,4024368
14,4091664,3888880
15,4463664,3420160
16,4080640,3519776
17,4230480,3092560
18,3791712,2669392
19,3358640,3773312
20,4486464,3078320
21,3695312,3666160
22,4254816,3917616
23,3880848,3251376
24,3779088,2819424
25,3332096,2624480
26,3235344,4027568
27,4610096,3825264
28,4427184,3399248
29,4056704,2991344
30,3593024,2962768
31,3569088,2885904
32,3518416,2917488
33,3592688,3186048
34,3819216,2912688
35,3572176,3144672
36,3830192,2749568
37,3418192,3243616
38,3852208,5325712
39,5893120,2800800
40,3485904,2854896
41,3458480,3429264
42,3866848,3738688
43,4234720,4385936
44,4938112,4561168
45,5165872,3399664
46,3959280,2870512
47,3515216,2763840
48,3367344,2886400
49,3570128,3142304
50,3605696,3208464
51,3832464,3153072
52,3723440,2905856
53,3503568,2853280
54,3401744,3787648
55,4198448,3928640
56,4522000,3101584
57,3714272,2806432
58,3379664,2963200
59,3645328,3229168
60,3919776,3056208
61,3714112,3209632
62,3755216,3237584
63,3853888,4252880
64,4831296,3772928
65,4399696,2655216
66,3287152,3136288
67,3791920,3000336
68,3575600,3194864
69,3575696,2877344
70,3540112,3428528
71,3923888,3803792
72,4406608,3285824
73,3900512,3109344
74,3631120,2748448
75,3351376,3166336
76,3772288,3142960
77,3701824,2727280
78,3348448,3040736
79,3612784,3178928
80,3747968,2967504
81,3608336,2995824
82,3543344,3830464
83,4287728,3977808
84,3872672,3036560
85,3489248,3183264
86,3742032,3087360
87,3665392,3113424
88,3556416,3217792
89,3932720,2848064
90,3394368,3135088
91,3735520,4080512
92,4457696,2916160
93,3525472,3525632
94,4127856,3010080
95,3604160,2975664
96,3609680,3406080
97,3989744,3125888
98,3780192,3350928
99,3978032,4221808
100,4230240,2979968
101,3573392,3193984
102,3778944,2861408
103,3570544,2919248
104,3447872,2836560
105,3456736,3150288
106,3619584,2872960
107,3466384,3225136
108,3800864,2804416
109,3418512,3413648
110,4057616,2722832
111,3341616,2967136
112,3518320,3162896
113,3737136,2896048
114,3479168,2907200
115,3439152,3154384
116,3677968,3438320
117,3890992,4021472
118,4510736,2903968
119,3439024,3259776
120,3779776,3165728
121,3831552,3331872
122,3900768,3560784
123,4220368,4322928
124,4985616,3434960
125,4004864,3831504
126,4361360,3444896
127,4001568,2933904
128,3476272,3061744
129,3727328,3084192
130,3622144,2866784
131,3459552,2990096
132,3701584,3247776
133,3858880,2927328
134,3561264,3406976
135,3915376,2759984
136,3435312,5304400
137,5688144,2669520
138,3315248,2934144
139,3525536,3327264
140,3821632,3067552
141,3616672,3068640
142,3642832,4313920
143,4793648,3017152
144,3669168,2995120
145,3676176,3566896
146,3988672,3177728
147,3839072,3540416
148,4091872,3690384
149,3593952,3021776
150,3534592,3512992
151,4060304,2907568
152,3539600,3262512
153,3657600,4368656
154,4862240,2488976
155,3213600,3454544
156,4089344,3215360
157,3892096,2992880
158,3643056,3260192
159,3760576,3003328
160,3585680,3220064
161,3918272,4955024
162,11281776,5764896
163,5498112,4165024
164,5362912,3258000
165,4794512,3192928
166,3785856,4395840
167,3717584,6405184
168,5005088,4815168
169,6810208,3753104
===CSV_END===
=========================================
HI_NET_PING_DONE run=21
