HI_NET_PING_START run=29
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
[echo] HELLO_ACK sent
hi_net_ping: HELLO_ACK received
[echo] run #29 — echoing probes
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:    2000
Lost (no echo):        4 (0.200%)
RTL (us):
Mean: 4123.550    Std dev: 911.409
Min:  2280.464    Max:     21767.600
P50:  3952.096    P95:     5400.816
P99:  6844.688    P99.9:   18618.400
IAJ (us):
Mean: 3565.263    Std dev: 775.672
Min:  1664.912    Max:     9305.696
P50:  3390.992    P95:     4902.464
P99:  6034.416    P99.9:   9004.224
===CSV_START===
index,rtl_ns,iaj_ns
0,3488256,3489184
1,4071328,2694896
2,3320528,3543728
3,4182864,3391472
4,3953808,4431920
5,5064208,3303536
6,3836512,3335360
7,4020336,3631360
8,4256224,4424944
9,5035632,4477216
10,5186192,2803648
11,3487776,3260048
12,3792784,3119792
13,3757232,3062192
14,3744112,4187776
15,4634192,2941552
16,3628000,3630976
17,4306032,2874912
18,3560096,2662720
19,3303056,2599152
20,3298944,3470112
21,4163504,2698080
22,3369472,4373024
23,4988320,4555664
24,4361280,2192480
25,2825840,4259728
26,4960032,2182704
27,2806352,2788816
28,3354448,2863616
29,3412240,3096960
30,3735152,3206128
31,3768096,2717296
32,3248240,3153904
33,3660768,2863008
34,3449392,3269984
35,3934688,2923376
36,3567904,3341248
37,3874080,3341024
38,4014416,3789760
39,4225744,3439104
40,3980960,3531872
41,4101760,3131104
42,3657296,3476304
43,4143248,3712944
44,3668128,2865440
45,3443904,3219712
46,3832208,2999248
47,3544576,3983744
48,4653264,3030976
49,3773664,4154272
50,4766208,3261296
51,3883120,2854432
52,3585232,2692368
53,3316032,2724896
54,3344992,3372688
55,3900048,2836096
56,3442640,3090128
57,3748064,2963520
58,3690928,3192864
59,3761840,2852240
60,3419072,2822032
61,3550656,2878336
62,3470272,3252544
63,3762640,3117184
64,3668032,3047552
65,3542928,3187328
66,3864896,2655584
67,3374224,2999232
68,3634800,2940912
69,3564992,3092336
70,3674128,3256800
71,3860640,3094512
72,3599600,3107952
73,3852368,3583104
74,4230912,3675744
75,3456800,3788832
76,4258560,2727568
77,3324400,3018704
78,3357760,3302224
79,3847184,2682128
80,3225920,2808224
81,3340064,3091696
82,3702304,3147456
83,3720656,2987808
84,3478624,2847840
85,3335360,4020224
86,4687616,4092640
87,4727760,2909392
88,3515344,2933904
89,3576928,2980896
90,3624368,3071184
91,3571104,3292960
92,3907216,3007824
93,3713520,3205536
94,3806400,3575568
95,4067120,3827504
96,3603184,2931872
97,3488816,2884576
98,3422432,3292192
99,3916368,3060288
100,3622032,2964944
101,3528192,3016432
102,3639568,2968912
103,3558080,3024064
104,3571632,3214784
105,3701584,2752480
106,3316576,2866464
107,3574384,3034432
108,3614160,2976688
109,3586832,3534752
110,4060352,2718448
111,3318640,2786832
112,3421680,2883456
113,3450064,3245296
114,3778448,2941328
115,3301232,3007744
116,3672784,3280320
117,3728832,3047440
118,3635936,2686112
119,3225936,2766976
120,3387792,3011808
121,3690992,2775232
122,3428976,3328064
123,3882528,3179536
124,3801808,2525936
125,3129568,3430672
126,4000224,3005856
127,3576192,3226416
128,3822864,3061984
129,3578368,4005536
130,4568848,3119296
131,3684608,3097520
132,3798496,3464736
133,4005296,3059376
134,3595008,3293040
135,3830192,2948016
136,3611984,3165952
137,3767824,3491776
138,4099760,3923680
139,3789936,3418736
140,3998592,3051120
141,3504240,3441024
142,4017840,3727552
143,4331152,3425008
144,4003200,2609984
145,3271088,3290240
146,3789264,2912896
147,3629888,3272432
148,3961136,3013760
149,3646224,2905616
150,3526768,2878864
151,3574272,3112576
152,3713520,2619520
153,3252992,3685792
154,4271024,2970976
155,3694848,2902528
156,3652480,2747856
157,3448464,2734496
158,3421024,3477968
159,3952784,2975312
160,3668688,2606608
161,3184480,3935024
162,4601712,4471136
163,5096720,3452848
164,3842640,3501248
165,4042640,3893872
166,4600816,3370176
167,3957680,3710864
168,4183568,3909968
