HI_NET_PING_START run=2
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
[echo] HELLO_ACK sent
hi_net_ping: HELLO_ACK received
[echo] run #2 — echoing probes
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:     489
Lost (no echo):     1515 (75.750%)
RTL (us):
Mean: 3977.892    Std dev: 2126.852
Min:  2582.464    Max:     46785.120
P50:  3705.392    P95:     4777.904
P99:  9807.552    P99.9:   46785.120
IAJ (us):
Mean: 3323.834    Std dev: 748.377
Min:  1969.936    Max:     9200.432
P50:  3140.272    P95:     4407.280
P99:  7172.464    P99.9:   9200.432
===CSV_START===
index,rtl_ns,iaj_ns
0,4654032,3799728
1,4357264,3347488
2,3983264,4877920
3,4951792,3013648
4,3628352,3298480
5,3887232,3670784
6,4040224,3330816
7,3937424,3341312
8,10359472,3591872
9,4034352,6017136
10,3996592,3516576
11,6543792,6575568
12,4068352,3875152
13,7088912,4407280
14,4257360,5493920
15,4306832,5181984
16,5275584,8142896
17,11150192,7172464
18,5620944,3191248
19,7645152,3227184
20,7728336,3506192
21,3662048,3599744
22,3605344,3141648
23,3897328,2992240
24,4257824,1999632
25,3654960,3727360
26,3590288,3207648
27,2610096,3039392
28,4260464,3025808
29,3780624,2873536
30,3649792,3085344
31,3630608,3218640
32,3475968,3726032
33,3659792,4531952
34,3817584,3148320
35,4327744,3051712
36,4164544,3477056
37,3705392,3656176
38,3430720,3295680
39,3973440,3116112
40,4280304,3734400
41,3857984,4423088
42,3761536,3083936
43,4345024,2997440
44,4169056,3053504
45,3667872,3228336
46,3530496,2966320
47,3545936,2966016
48,3626576,2877648
49,3490896,4066880
50,3368464,3407584
51,3343152,2980240
52,4439408,3027216
53,3909968,2038128
54,3584064,3353664
55,3610832,3963856
56,2620992,3699888
57,3920800,4743824
58,4520528,2939840
59,4154416,3869648
60,4603216,2852608
61,3465408,3313520
62,4264288,3059120
63,3349248,2916048
64,3759280,2281584
65,3622816,3266832
66,3468032,3334448
67,2821584,3250464
68,3862544,3433856
69,3993440,3405840
70,3776928,3494784
71,3951232,4426320
72,4000208,2948320
73,3945984,3141056
74,4287216,3107232
75,3440336,3227744
76,3678576,3779520
77,3549968,2865584
78,3753984,2905696
79,4361712,2998416
80,3440128,2285664
81,3465888,3568512
82,3507120,3271216
83,2761792,2890336
84,4073280,3225120
85,3756384,3313008
86,3458352,2742960
87,3750352,3974128
88,3863296,4295696
89,3361456,3291360
90,4542480,3109088
91,4130592,2879152
92,3940048,3314800
93,3658672,3418256
94,3293344,3203632
95,3756560,3581424
96,3864448,3107120
97,3815920,2752528
98,4124704,2947472
99,3714832,3390864
100,3403456,3991696
101,3499840,4160720
102,3892880,3127456
103,4564192,2838224
104,3969968,3042064
105,3740848,3077152
106,3401152,3101968
107,3685008,2967872
108,3654752,2988832
109,3596976,4038496
110,3421920,3353488
111,3452864,2261712
112,4537424,3572256
113,3761344,2771600
114,2806992,3433136
115,4183648,3209904
116,3345824,2902992
117,3902432,1969936
118,3781008,3612672
119,3555408,3293536
120,2582464,3387408
121,4154560,3638880
122,3771072,4979056
123,3944256,3305360
124,4147168,3656832
125,4695792,3042672
126,3841280,2709584
127,4266656,3347376
128,3599536,3242800
129,3287760,3954624
130,3834256,4290944
131,3851520,3074784
132,4291968,2905264
133,4141824,3059056
134,3634624,3297792
135,3422848,3032864
136,3572112,3539360
137,3813072,3772544
138,3512864,3188016
139,4039808,4051520
140,4279088,3764016
141,3837104,3000896
142,4482544,3129216
143,3733632,3055360
144,3651696,3047392
145,3783296,3126496
146,3708000,2957440
147,3649072,3298000
148,3719824,2843008
149,3467264,3059184
150,3756560,3029424
151,3314208,3618016
152,3533632,3547664
153,3509824,3058336
154,4017840,2987408
155,4207056,3090944
156,3624480,3301968
157,3558240,4076992
158,3651232,3941744
159,3911200,3093920
160,4526768,3003456
161,3890688,2976880
162,3687216,3271376
163,3481920,3001232
164,3524944,3242128
165,3795696,3495792
166,3494672,3601568
167,3731744,3036000
168,4005520,3040608
169,4206688,3374448
170,3595872,4733728
171,3653664,3040544
172,3985632,3072240
173,5016720,3006560
174,3686528,3050544
175,3656112,3116384
176,3648640,3266320
177,3705056,2929648
178,3687536,3057312
179,3822400,3578272
180,3461200,3140272
181,3520624,3651456
182,4127168,3083184
183,3794640,3945408
184,4206992,4170320
185,3713392,3059920
186,4561328,3043680
187,4106384,2835584
188,3714400,2981488
189,3645040,3157744
190,3424080,3053616
191,3566336,2852064
192,3650368,3182512
193,3657760,2937072
194,3461392,3257536
195,3782368,3011792
196,3498384,3109248
197,3770256,3742176
198,3472112,3336464
199,3584192,2915424
200,4206496,3241120
201,3735328,3338928
202,3440912,3692128
203,3695376,4322496
204,3941648,3042880
205,4114384,3296192
206,4162512,3601072
207,3637296,3485488
208,3887968,2964384
209,4099536,3005328
210,4144544,2975088
211,3540160,3301696
212,3549664,3071696
213,3445744,3200640
214,3821168,3800592
215,3684512,4079568
216,3838688,3160096
217,4291680,3598736
218,3811856,3525232
219,3754496,3523312
220,4186912,2156256
221,4052464,3564992
222,3997360,2356640
223,2761184,3944624
224,4176720,3277056
225,2862240,3995392
226,4550608,4076096
227,3891184,3232560
228,4427008,2900880
229,3839376,3165696
230,3800064,2970272
231,3460304,3024448
232,3612384,3613904
233,3419296,3231888
234,3522336,3518816
235,3983248,3348832
236,3891200,4926160
237,4018400,2935120
238,3957296,2809312
239,5273456,3073648
240,3576080,3152176
241,3419344,3105680
242,3613872,3035296
243,3804464,3268544
244,3759712,3083984
245,3469824,3518336
246,3816624,3702432
247,3580560,2162816
248,3931584,3603104
249,4353408,2913808
250,2754336,3391040
251,4216288,5008048
252,3467072,3090784
253,3862832,3465024
254,5599760,2969248
255,3685872,2890608
256,4105648,3010336
257,3471808,3224192
258,3337376,3182144
259,3464720,2912192
260,3652576,3069808
261,3681856,3322544
262,3460848,3568944
263,3576128,2154208
264,3880768,3243232
265,4181872,3688736
266,2703536,3004960
267,3748800,2851104
268,4339568,2714544
269,3571072,4282544
270,3419952,4486288
271,3258064,3243712
272,4822464,3041792
273,4777904,3037936
274,3847072,3251024
275,3552288,3251296
276,3586656,3632944
277,3615376,2957888
278,3713232,3500400
279,4237664,2079360
280,3454560,3609552
281,3985504,3038208
282,2713856,3181200
283,4212576,2941120
284,3565632,2933616
285,3726800,2094768
286,3550576,3143056
287,3524048,3244208
288,2649008,4044032
289,3732416,4739488
290,3888720,3157168
291,4560624,3300016
292,5210784,2863360
293,3792832,3063632
294,3851504,3119104
295,3416912,3250480
296,3495520,3527728
297,3508832,3021856
298,3619776,3698144
299,4090960,3979984
300,3584288,3871056
301,4250336,2929200
302,4630992,3103776
303,3563696,3073088
304,3531840,3210624
305,3635088,3267664
306,3671504,2917360
307,3837072,3116352
308,3774272,3015920
309,3458240,2976512
310,3617152,3139472
311,3477376,2726080
312,3450240,3031568
313,3579088,3410752
314,3204464,3440720
315,3498656,3636416
316,3738576,2608192
317,3982848,3177696
318,4237536,2146800
319,3203552,3253632
320,3628352,3227648
321,2669328,3590800
322,3794416,3099440
323,3880656,3188144
324,4145792,3598016
325,3689008,4257696
326,3836368,3061184
327,4184224,2996832
328,3963456,3068656
329,3706480,2927584
330,3547760,3082528
331,3651184,2757872
332,3582048,3151648
333,3653760,3272848
334,3413696,3464688
335,3737104,3715504
336,3873760,3053616
337,3865904,3065472
338,4163504,2988320
339,3553648,3196480
340,3620768,3362416
341,3485792,3577968
342,3687136,4216832
343,3943584,2994896
344,4005376,2758576
345,3754736,3157984
346,3646992,2910720
347,3408896,2967184
348,3684864,3370544
349,3514048,6915552
350,3514240,5524608
351,3945632,9172688
352,46785120,4961872
353,7587264,9200432
354,5344656,3402720
355,9708864,2751808
356,5546592,2918624
357,9807552,2913792
358,4058928,2865904
359,3402352,2928656
360,3611296,2912608
361,3560448,3408576
362,3513536,2843808
363,3594208,2931088
364,3525696,3139536
365,4023840,2708800
366,3451936,3361552
367,3589712,3918672
368,3838016,3324800
369,3406784,2963296
370,3993408,2943248
371,4598464,3456240
372,3994272,2632144
373,3541504,2877024
374,3549904,3515216
375,4059792,2819248
376,3300352,3189504
377,3438144,2777568
378,4143504,3003872
379,3431984,2825504
380,3772720,3076976
381,3476832,3033360
382,3580208,3045232
383,3386304,2980288
384,3605824,3153376
385,3542544,3049872
386,3594000,2684304
387,3509936,3099264
388,3720416,2962752
389,3736144,3229120
390,3374576,2859584
391,3672768,3019712
392,3478576,3148912
393,3780256,2664736
394,3525008,2947840
395,3578672,3158464
396,3708048,3020704
397,3309760,3017872
398,3458352,2958208
399,3657280,3003136
400,3623072,3364288
401,3566912,2891744
402,3455552,2953584
403,3607952,3078960
404,3902016,2999680
405,3544096,2890288
406,3535616,2955520
407,3702768,2758528
408,3632960,3329344
409,3537232,3489888
410,3610880,3792496
411,3351824,4265968
412,3856272,2515872
413,4167072,3046160
414,4298000,3427088
415,4214928,3400240
416,3220160,3822928
417,3663856,3185648
418,4071184,2847056
419,3912752,2909968
420,4396752,3097392
