HI_NET_PING_START run=10
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
[echo] HELLO_ACK sent
hi_net_ping: HELLO_ACK received
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
[echo] run #10 — echoing probes
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:    2000
Lost (no echo):        5 (0.250%)
RTL (us):
Mean: 3441.805    Std dev: 838.595
Min:  2444.000    Max:     21580.256
P50:  3341.872    P95:     4150.096
P99:  5838.048    P99.9:   18405.792
IAJ (us):
Mean: 2847.614    Std dev: 637.493
Min:  1940.912    Max:     9770.416
P50:  2776.320    P95:     3770.736
P99:  5283.344    P99.9:   9555.376
===CSV_START===
index,rtl_ns,iaj_ns
0,5284976,4489536
1,5053152,3280352
2,4009120,2961056
3,3448304,2791472
4,3462384,2648864
5,3359504,3039184
6,3704048,2987936
7,3585936,3259152
8,3894992,3110048
9,3763728,2424576
10,3176016,3765664
11,4371088,2848640
12,3527840,3325024
13,4046336,3370256
14,3915840,4474080
15,5079664,3249616
16,3917888,3572544
17,4154944,3288336
18,3992688,3142704
19,3834880,2932480
20,3582480,3334272
21,3922912,3000464
22,3734976,2906560
23,3593520,2437312
24,3087776,2922272
25,3674336,2984464
26,3701568,3182960
27,3894816,3025232
28,3770064,3107904
29,3820544,4030080
30,4663344,2665744
31,3196768,2963632
32,3678624,2579872
33,3294000,3015696
34,3607856,2851200
35,3424960,3051376
36,3640528,3207872
37,3857072,4320384
38,4952368,5288784
39,5210800,4093088
40,4772608,3282656
41,18405792,3092624
42,3947744,3359328
43,3774608,2475920
44,3929728,3438240
45,3210544,2971808
46,4075152,2606096
47,3661488,3956432
48,3282976,4576896
49,4579328,2749312
50,5077296,3208704
51,3499984,3055344
52,3864160,2908304
53,3765584,3196800
54,3620464,2813296
55,3894320,3623216
56,3564192,2900960
57,4279264,2618784
58,3543296,2750848
59,3368096,2371680
60,3440544,3542752
61,3079808,3457584
62,3658128,2821360
63,4150096,2844800
64,3562672,3457520
65,3586240,2640352
66,4097648,3291952
67,3380816,2575920
68,3962480,3673552
69,3287312,2760752
70,4405136,2736736
71,3421648,2989120
72,3444624,2762256
73,3705264,3254240
74,3489120,3297504
75,3967280,2822688
76,4003152,2689904
77,3566400,3688528
78,3430880,2777504
79,4313296,2666512
80,3429152,3478944
81,3395440,2566992
82,4143040,3304560
83,3223904,2684688
84,4052720,2916544
85,3408528,2905472
86,3601056,2469728
87,3610560,3755024
88,3073808,3233648
89,3921568,2413712
90,3920016,3175440
91,3131168,3560608
92,3753472,2971104
93,4293552,2708656
94,3623904,2632272
95,3300144,2527120
96,3357104,3934320
97,3216656,2884288
98,4015520,2595680
99,3626976,2637104
100,3290000,2862176
101,3276624,3647776
102,3040464,2450032
103,3619104,3703344
104,3077696,2718624
105,3856320,2321184
106,3430944,2911120
107,3037984,2774224
108,3642528,3060688
109,3420432,3224144
110,3661024,3082400
111,3722464,4200736
112,3071152,3720816
113,4191088,3046848
114,4413136,2812672
115,3791712,2674912
116,3521600,2392368
117,3313168,2393920
118,3086080,3600528
119,3065760,2802656
120,3689808,3213424
121,3484528,3631104
122,3896720,2743696
123,4366224,2707024
124,3415456,3048832
125,3428288,2718480
126,3798432,3276976
127,3422224,3212096
128,3999456,2699360
129,3940560,3382496
130,3397072,2532048
131,4095456,3345696
132,3129808,2736144
133,4034128,3015424
134,3456816,3255280
135,3699584,2701488
136,3980880,3089664
137,3436576,3023904
