HI_NET_PING_START run=28
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
[echo] HELLO_ACK sent
hi_net_ping: HELLO_ACK received
[echo] run #28 — echoing probes
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:    2000
Lost (no echo):        7 (0.350%)
RTL (us):
Mean: 3747.395    Std dev: 771.857
Min:  2510.240    Max:     14732.368
P50:  3612.720    P95:     4516.176
P99:  6913.104    P99.9:   14642.704
IAJ (us):
Mean: 3107.052    Std dev: 622.022
Min:  1875.584    Max:     11430.224
P50:  2967.376    P95:     3953.808
P99:  5979.072    P99.9:   9148.384
===CSV_START===
index,rtl_ns,iaj_ns
0,3534208,3271056
1,3809328,3320512
2,3838016,3821776
3,4528912,6399936
4,7049088,3778784
5,4307280,4157424
6,4564784,5929632
7,5360352,3230256
8,3936640,4980560
9,5312224,3726400
10,4041424,3375568
11,4063952,3600416
12,4174080,2854608
13,3541728,2858112
14,3518160,2856080
15,3465488,2875472
16,3496576,2971584
17,3576752,2915328
18,3503296,3240624
19,3781376,2769120
20,3389920,3466352
21,3853680,3019888
22,3682000,2726064
23,3393952,2859312
24,3502480,3474912
25,4063840,2927520
26,3630496,5310736
27,5958080,2805680
28,3516304,2842496
29,3549664,3332176
30,3997040,2839056
31,3533584,2908752
32,3616960,3404128
33,4073360,2922656
34,3508624,2825952
35,3447904,2771056
36,3478208,3069920
37,3726352,2999168
38,3672736,3135888
39,3796080,2817840
40,3524080,2902944
41,3562432,3423472
42,4035632,2894320
43,3587936,2960384
44,3657952,3250544
45,3906112,3025280
46,3573200,3183744
47,3702992,2859344
48,3408272,2917504
49,3407792,2938784
50,3453088,2833056
51,3523136,3119104
52,3817424,2822896
53,3523104,2869552
54,3559360,3279696
55,3911168,2642480
56,3394368,3415616
57,4051536,2869376
58,3563952,3245808
59,3935184,2690752
60,3275872,3231520
61,3940368,2723536
62,3434032,3221632
63,3917632,2861216
64,3570816,3161472
65,3868704,2971056
66,3671408,2829904
67,3530448,2905168
68,3590512,3114144
69,3782784,3500240
70,4199568,2869664
71,3408064,2892176
72,3427024,2956912
73,3542064,2652160
74,3285760,3275248
75,3932144,2741984
76,3436496,2867904
77,3529648,3470896
78,4104320,2696832
79,3338368,3319984
80,4020800,2795040
81,3426352,2763424
82,3460704,3883184
83,4507040,2645680
84,3307104,2931520
85,3458512,2994368
86,3628816,2864672
87,3485408,2907312
88,3574320,2950032
89,3641104,2837216
90,3544512,3308576
91,3949040,2912336
92,3610096,3116400
93,3823136,3285488
94,3996880,2814624
95,3392448,2956800
96,3509648,3151568
97,3733072,2953888
98,3542176,2907376
99,3502096,2952576
100,3571344,2770272
101,3459248,3823280
102,4527120,2496512
103,3135408,2971552
104,3532128,3055984
105,3681648,3042896
106,3616608,3157296
107,3691168,3126400
108,3628960,2699776
109,3326512,3010864
110,3557312,2846880
111,3369472,2558464
112,3247824,3275808
113,3908848,2863072
114,3569312,2943440
115,3613888,3378736
116,4015808,3108976
117,3817568,4005072
118,4601744,4027072
119,4610656,3724672
120,4047648,3923024
121,3786816,3000880
122,3699664,3011408
123,3676624,2961424
124,3650144,3198384
125,3904784,2799552
