HI_NET_PING_START run=10
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
[echo] HELLO_ACK sent
hi_net_ping: HELLO_ACK received
[echo] run #10 — echoing probes
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:    1123
Lost (no echo):      883 (44.150%)
RTL (us):
Mean: 3757.236    Std dev: 736.148
Min:  2434.720    Max:     15107.296
P50:  3678.608    P95:     4277.616
P99:  5707.440    P99.9:   12575.456
IAJ (us):
Mean: 3049.323    Std dev: 448.697
Min:  1782.960    Max:     7496.464
P50:  3001.024    P95:     3617.168
P99:  4403.200    P99.9:   7440.160
===CSV_START===
index,rtl_ns,iaj_ns
0,3955168,2722928
1,3276528,4151264
2,4707680,4140864
3,4791472,5788032
4,5747104,4241888
5,4831936,4166944
6,4275136,4128416
7,4719280,3569120
8,4258240,3081424
9,3677328,3098624
10,3718384,2837136
11,3533152,2882832
12,3579088,2675904
13,3430400,3693632
14,4257856,2990000
15,3707984,2708848
16,3416672,2745728
17,3427648,3725968
18,4405984,2897168
19,3632688,2916032
20,3593712,2804192
21,3534528,2851840
22,3595920,3169840
23,3914560,2836080
24,3499296,2898912
25,3573520,3288944
26,4032656,2777616
27,3459600,3123088
28,3868592,2854480
29,3522544,2637024
30,3343536,3448512
31,4117152,2944112
32,3597072,3432256
33,4177760,2659712
34,3323792,2894640
35,3629312,2777504
36,3492624,3174128
37,3866208,2472672
38,3146960,3336208
39,4047968,3195920
40,3821664,3085424
41,3835984,2566976
42,3319936,3326704
43,3964672,3443888
44,4181376,2686448
45,3374800,2506256
46,3259184,3253360
47,3955376,2951952
48,3624352,3217264
49,3864864,3258416
50,3990784,3146512
51,3793728,2718368
52,3423024,3157936
53,3751136,3173328
54,3792960,3106720
55,3768816,3140384
56,3835616,2868096
57,3567056,2680592
58,3405664,2798640
59,3432688,2590720
60,3332928,3422432
61,4070464,2574160
62,3226176,3760608
63,4370208,2877840
64,3595104,2812080
65,3473168,2930848
66,3614880,2775120
67,3512528,3223840
68,3948464,2620624
69,3347184,3191344
70,3837104,3166288
71,3882352,2603792
72,3319760,3085776
73,3839920,3125520
74,3824256,3185344
75,3726240,2967904
76,3671504,3441920
77,4155744,2786208
78,3514688,3180880
79,3924112,2856640
80,3533280,2863840
81,3490832,2921728
82,3586288,2912016
83,3655440,3163040
84,3850080,2700464
85,3397424,3294816
86,3962240,2689632
87,3360432,3408560
88,4104928,2777792
89,3522144,2906112
90,3588384,3549840
91,4289936,2838400
92,3551792,2833760
93,3526544,3332144
94,3993344,2657472
95,3361808,2799360
96,3445216,3272496
97,15107296,2660896
98,3212208,4677680
99,3277776,3185792
100,5132976,3534240
101,3844480,6243664
102,10426448,7440160
103,4125840,6376096
104,12575456,2797952
105,4145872,3082512
106,7958176,2824960
107,6826576,2683440
108,3446272,3767248
109,3716880,2635040
110,3500320,2757312
111,3386928,3129888
112,4411424,3444560
113,3348784,2724848
114,3404208,2651376
115,3793904,3295952
116,4140032,3404400
117,3428544,2704208
118,3338320,2519552
119,4024480,3036272
120,4139616,3225712
121,3420128,3160288
122,3219504,2977520
123,3715312,2635712
124,3942912,3359664
125,3881536,2724224
126,3636384,3109936
127,3324848,2775472
128,4098048,3079808
129,3398832,3232032
130,3774416,2593184
131,3414592,3356768
132,3732832,3375744
133,3918032,2731344
134,3316384,2631616
135,3977808,3018848
136,4059824,3111456
137,3419744,3590496
138,3268928,2742560
139,3703040,2526768
140,3808368,3123536
141,4238256,3184912
142,3446672,3388816
143,3246160,2840144
144,3812048,2925232
145,3843376,2736976
146,4124544,3755296
147,3559248,2838224
148,3566048,2657184
149,3442544,2657728
150,4477280,3367728
151,3531168,2759232
152,3351632,2699280
153,3382224,3466608
154,4027216,2736976
155,3472272,3557088
156,3355040,2872752
157,3944960,2685056
158,3417488,3201200
159,4213408,3101152
160,3588912,2920480
161,3358128,2802784
162,3926640,3622976
163,3779104,2738464
164,3589776,2488848
165,3510688,3637120
166,4307488,2532192
167,3467728,3295568
168,3188496,3012016
169,4296208,2800144
170,3249648,2990096
171,4011632,2615424
172,3677648,2902416
173,3465040,3062800
174,3741232,3385040
175,3302832,3534912
176,3581312,2988144
177,3815200,2902912
178,4080160,2766304
179,4289632,2788144
180,3710784,2811792
181,3624048,3187456
182,3451040,2989952
183,3449952,2944944
184,3565776,2513344
185,3862480,3258976
186,3728896,2984288
187,3647056,3373712
188,3209360,2700208
189,3888096,3096864
190,3695376,3267216
191,4084784,2696928
192,3366240,3468912
193,3751504,2572320
194,3993312,3525904
195,3399008,2849440
196,4187952,2535424
197,3279824,3390960
198,4278128,2978848
199,3544256,2703344
