HI_NET_PING_START run=11
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
hi_net_ping: HELLO_ACK received
[echo] HELLO_ACK sent
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
[echo] run #11 — echoing probes
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:    2000
Lost (no echo):        5 (0.250%)
RTL (us):
Mean: 3744.057    Std dev: 672.046
Min:  2918.896    Max:     15780.176
P50:  3672.720    P95:     4252.384
P99:  6198.352    P99.9:   14658.960
IAJ (us):
Mean: 3081.883    Std dev: 626.806
Min:  2224.288    Max:     16555.328
P50:  3010.592    P95:     3680.880
P99:  5343.792    P99.9:   11743.984
===CSV_START===
index,rtl_ns,iaj_ns
0,5207424,4113984
1,4548752,11743984
2,15780176,6168032
3,7743232,4962016
4,6917856,3507184
5,4620304,3578048
6,4064528,2788336
7,4182416,3124896
8,3479968,2861456
9,3863936,2631088
10,3542032,3468080
11,3375776,2814064
12,4121872,2696480
13,3464288,3101920
14,3393856,3599552
15,3776832,2734352
16,4322144,2720256
17,3385104,3109872
18,3454912,3184928
19,3800624,2528320
20,3865248,3045072
21,3283600,3224144
22,3727280,3212032
23,3951232,2613104
24,3945248,3097328
25,3304272,3266976
26,3798448,3223584
27,3940608,2772784
28,3860832,2941056
29,3429280,2577920
30,3694720,2871584
31,3291840,3197712
32,3583696,3160432
33,3840256,3182096
34,3808752,2704880
35,3844288,3152144
36,3405856,3274688
37,3820160,2970160
38,3970832,2927840
39,3629296,2840816
40,3598672,3253136
41,3557904,2741744
42,3983792,3143184
43,3434032,2961584
44,3830544,2977680
45,3681344,3309424
46,3652544,2686656
47,4031152,2939360
48,3383632,3214320
49,3669136,2623376
50,3960144,3371584
51,3296400,2635472
52,4079632,2954832
53,3286176,3039312
54,3671936,3075424
55,3710944,3291056
56,3765200,2776912
57,3932080,3397696
58,3526592,2548832
59,4132560,3364400
60,3217920,3142256
61,3992384,2769200
62,3815360,2969536
63,3459248,3029808
64,3637200,2598192
65,3754224,3463168
66,3305024,2680736
67,4154912,2833008
68,3357440,3180048
69,3409808,3335680
70,3852208,2497136
71,4034000,3499488
72,3185424,2811088
73,4158784,2853200
74,3498640,3646000
75,3547504,2554272
76,4321616,3004096
77,3269648,2779792
78,3759248,3204256
79,3517168,2819936
80,3898160,3427408
81,3565280,2664960
82,4144976,3375056
83,3339488,2724544
84,4070880,3219232
85,3418864,2798416
86,3960800,2723920
87,3450640,3557936
88,3469888,2771824
89,4167088,2693584
90,3405504,3169056
91,3322512,2716832
92,3877216,3029872
93,3389984,3232288
94,3701680,2729072
95,3926128,3346848
96,3433152,2524352
97,3981920,3155024
98,3246720,3104112
99,3819856,3274256
100,3829648,2602896
101,3897056,2950784
102,3274320,3511488
103,3599792,2779648
104,4042768,3417488
105,3444512,2606160
106,4126688,2729040
107,3315312,2983376
108,3413456,3271408
109,3668080,2938048
110,3974000,2963360
111,3658624,3175872
112,3527040,2604080
113,3801424,2883616
114,3337328,3459648
115,3567888,2908560
116,4167408,2754272
117,3640304,3614112
118,3454768,2882560
119,4227744,2891936
120,3574592,2757680
121,3554192,3271744
122,3493376,2616272
123,3956576,3314944
124,3332912,3109696
125,3964512,2867648
126,3843840,3226880
127,3533488,2760656
128,3953712,3498480
129,3458800,2652880
130,4198000,2745984
131,3363424,3321952
132,3404576,3157504
133,4006016,2948304
134,3777184,2748640
135,3601184,3432240
136,3414992,2632496
137,4166704,3364256
138,3349696,2773824
139,4109984,2773344
140,3517600,2748608
141,3410176,2978208
142,3438352,3001664
143,3706240,3157680
144,3694336,3227136
145,3861200,2723808
146,3934240,3196928
147,3400144,2805424
148,3909072,3213760
149,3558992,2606048
150,3885952,2987040
151,3324720,3190208
152,3645584,3179392
153,3839984,3095376
154,3914048,2637376
155,3822016,3268304
156,3333360,3406608
157,3914016,2571792
158,4144544,2734928
159,3274272,3158816
160,3423488,3137904
161,3867152,2782832
162,3882016,3529088
163,3518928,2749664
164,4189760,3109168
165,3454192,2809584
166,3792592,2618560
167,3478720,3005152
168,3337040,3126064
169,3728400,3397712
170,3811168,2656128
171,3988832,2828976
172,3314560,3031456
173,3567216,3311440
174,3701264,2858496
175,3977760,3391888
176,3526512,2800288
177,4070752,2682688
178,3491328,3635552
179,3429408,2821168
180,4334144,2863152
181,3442064,2714912
182,3558256,3476336
183,3449632,2903792
184,4084176,2738464
185,3588464,3137712
186,3444416,3150816
187,3706064,2949904
188,3868272,2849184
189,3630976,3312320
190,3508416,2735920
191,4012224,3051696
192,3379808,2954752
193,3752048,2639712
194,3708400,3384832
195,3335760,2655568
196,4001168,2913104
197,3376640,3455920
198,3562528,3188816
199,4180304,2658000
200,3929968,3169856
201,3356928,3115552
202,3904560,2861840
203,3772448,3017824
204,3486496,2876848
205,3739920,2737952
206,3513392,3390624
207,3429024,3226480
208,4045184,2817248
209,3856272,2852336
210,3480816,3224864
211,3501232,2830288
212,3812960,2858480
213,3534256,2710304
214,3587536,2913408
215,3418672,3232656
216,3645216,3492880
217,3913648,2922544
218,4083360,2783504
219,3546320,2805440
220,3428752,3801312
221,3464752,2569344
222,4397088,2868784
223,3275520,2698800
224,3561824,3357312
225,3373840,2549120
226,4034592,3080672
227,3278288,3281440
228,3799088,3362832
229,3942016,2870448
230,4049648,2694016
231,3544496,2991520
232,3375344,3424720
233,3696848,2739792
234,4123088,2968944
235,3413552,3039104
236,3560256,3673664
237,3746704,2834304
238,4427872,2732352
239,3529344,3062000
240,3460608,2925072
241,3747648,2691968
242,3623824,3132496
243,3372368,2590592
244,3848512,3092976
245,3253360,2938960
246,3712688,3270352
247,3691136,3046368
248,3886432,3041568
249,3800288,3344960
250,3786688,2584800
251,4002992,2459120
252,3293728,2747920
253,3186544,2957936
254,3421008,3058560
255,3558992,3438272
256,3686048,3201520
257,3962496,3268528
258,3798832,2669776
259,3990816,3299680
260,3354224,3216432
261,3907808,2691472
262,3934768,2583360
263,3342496,3282176
264,3297392,3831136
265,3993520,2959568
266,4537344,2875696
267,3655760,2894176
268,3512352,2527760
269,3606944,3182112
270,3264288,2744656
271,3887408,2981888
272,3442864,3284880
273,3704624,2554352
274,3998432,3003808
275,3236928,3306544
276,3715392,3397136
277,3981312,2759888
278,4121488,2845328
279,3488448,2797824
280,3461776,3330208
281,3522048,2881680
282,4019856,2793152
283,3578752,3477392
284,3506832,2886192
285,4150640,2793712
286,3511168,2631616
287,3417552,3393536
288,3354496,3347856
289,4033376,2690512
290,4053792,2733472
291,3348448,3315232
292,3488496,2581680
293,3944160,3414704
294,3233904,2584656
295,4074992,3010816
296,3263680,3349376
297,3708336,2590592
298,4035808,3331984
299,3298576,2717056
300,4003552,3444592
301,3440240,2966512
302,4096224,2967648
303,3563376,2980496
304,3594896,2576816
305,3725488,3082400
306,3318672,3010592
307,3757712,3127744
308,3661440,3001184
309,3811184,2981472
310,3703184,3214720
311,3702656,2633680
312,3904624,3170832
313,3388320,3193376
314,3823648,3364400
315,3868176,2898064
316,4119424,2809040
317,3588400,2877456
318,3494512,2722368
319,3551360,3342944
320,3418064,3411392
321,4035920,2528336
322,4158128,3508064
323,3241952,2578128
324,4183744,2627232
325,3272528,3204736
326,3289296,2769536
327,3882336,3190592
328,3387552,3148608
329,3876400,2889056
330,3802672,3258416
331,3635360,2846416
332,3992208,2614288
333,3469008,3025568
334,3327632,3051104
335,3687264,3249200
336,3758704,3306288
337,3856976,2495808
338,3983584,3221616
339,3126128,2731248
340,3930096,3391904
341,3408032,2780000
342,4070352,3016688
343,3430688,3063008
344,3742352,3237488
345,3815616,2847824
346,3862592,3082176
347,3547968,2849232
348,3834480,3163200
349,3513776,2880496
350,3894160,3223584
351,3557888,2475168
352,3959072,3456448
353,3134064,2506448
354,4174784,2928080
355,3208880,3060992
356,3585968,3147408
357,3722288,3051136
358,3833040,3174432
359,3716448,3257920
360,3868848,2988400
361,4000960,2995920
362,3652752,2834096
363,3669408,3011040
364,3512576,3084976
365,3672512,2830512
366,3762544,2805968
367,3441200,2661184
368,3548400,3230080
369,3358544,3329264
370,3938960,2891600
371,4023040,2511440
372,3539248,3188720
373,3225136,3003152
374,3923376,2980080
375,3669488,2990912
376,3693264,2996208
377,3693296,3017920
378,3642544,3250000
379,3701504,2954080
380,3914912,3176848
381,3544320,2631328
382,3872592,3350048
383,3366640,2714096
384,4010880,3110704
385,3396896,3219232
386,3794128,2632896
387,3915136,3381376
388,3373664,2582656
389,4047312,2988192
390,3337424,3328000
391,3669408,2646240
392,3999728,3291312
393,3340016,3448288
394,3923424,2463632
395,4185344,3265952
396,3150864,2576720
397,3927248,3375248
398,3317856,2988880
399,4060416,2639600
400,3721312,3165824
401,3367696,3279392
402,3803808,2880880
403,3997472,2723808
404,3521408,2999024
405,3383856,3330000
406,3669536,2846288
407,4018656,2789968
408,3564304,3325248
409,3364192,3345456
410,4044208,2697216
411,4081840,2958992
412,3351984,2835408
413,3677808,3281696
414,3566928,2577248
415,3925664,3172784
416,3267056,3181632
417,3798592,3195840
418,3914016,2595376
419,3940528,2957376
420,3269840,3191040
421,3635168,3269392
422,3899872,2441200
423,3973904,3355680
424,3102944,2506688
425,3967696,3065552
426,3225296,3047632
427,3789424,3065120
428,3718272,3287584
429,3722624,2984176
430,4017456,2880960
431,3730400,3133648
432,3609872,3074768
433,3852560,2731744
434,3830016,3861936
435,3434960,2574592
436,4565936,2851216
437,3263904,2889632
438,3543168,3114336
439,3473072,3267248
440,3842864,2859312
441,3913312,2842064
442,3510928,2554528
443,3505968,3411072
444,3234608,2933520
445,4057312,3029600
446,3642416,3403504
447,3701856,2571312
448,4158544,3317280
449,3325856,2723664
450,4036656,3060960
451,3420768,2937024
452,3794880,2835024
453,3607776,3054064
454,3580912,3311536
455,3679632,2611920
456,4055760,3222784
457,3296800,2815120
458,3901424,2848512
459,3473024,3495760
460,3488144,2752928
461,4161152,3146448
462,3278112,2866704
463,3871120,3026960
464,3548864,3527616
465,3726304,2670480
466,4273136,2598800
467,3380144,3756576
468,3267808,2810816
469,4352160,2653280
470,3514128,2835712
471,3368800,3022272
472,3572192,3260624
473,3742576,2522208
474,3986544,3005120
475,3218464,3350464
476,3680608,2895920
477,4029568,3700016
478,3621328,3069456
479,4403952,2561472
480,3638064,2590240
481,3242640,3172864
482,3268112,3076064
483,3844224,2764368
484,3830704,3284064
485,3433888,2682832
486,4033728,3244720
487,3373344,2770736
488,3924736,2795360
489,3376336,3379824
490,3388752,2696768
491,4045104,3057104
492,3442832,3098976
493,3759264,3393936
494,3768832,2824912
495,4087920,3028432
496,3481984,2955200
497,3663328,2558496
498,3642288,2958752
499,3297344,3077424
500,3643904,3299504
501,3807872,3060880
502,3947792,2793744
503,3741776,9317296
504,3549168,3089104
505,9985040,2747008
506,3818240,5343792
507,3404720,3954176
508,6078512,3844384
509,4614736,3154144
510,3883920,2821696
511,3822096,2768352
512,3503312,3402288
513,3401040,4534656
514,4065216,3894560
515,5208816,5730048
516,4548672,8231200
517,10027520,2810176
518,5883392,3345312
519,6576096,2666672
520,3490672,2972736
521,3964704,2926864
522,3376160,3155552
523,3612832,2861408
524,3591424,3230960
525,3889936,2798592
526,3549232,2959536
527,3820128,3093456
528,3437760,2847120
529,3702128,3077168
530,3804560,3029104
531,3563616,3101088
532,3823696,2837232
533,3751952,3169088
534,3811856,2845824
535,3500928,3103184
536,3915520,2875216
537,3542592,3228352
538,3829696,3425392
539,3537600,2476640
540,3963600,3213248
541,4092800,3104976
542,3076928,2451200
543,3859936,2572416
544,3735552,3599120
545,3185888,3154560
546,3317616,2650096
547,3818832,3214048
548,3724160,3008320
549,3306896,2871536
550,3917344,3191072
551,3650464,3084336
552,3525072,2778352
553,3925680,3284752
554,3770896,2780672
555,3443184,3186848
556,3962896,2739088
557,3466512,2815664
558,3866016,3181968
559,3408336,3109424
560,3569776,3042336
561,3715104,3063376
562,3862288,2814112
563,3723120,2860016
564,3748304,3790848
565,3463520,2916672
566,3602400,2718208
567,4498784,2822464
568,3491136,3290320
569,3302576,2708016
570,3449120,3319920
571,3860032,2804128
572,3303184,2810416
573,3910256,3000992
574,3437984,3205904
575,3445088,2806720
576,3630272,2911872
577,3858320,3323120
578,3452800,2783248
579,3533184,3209200
580,3881408,2980048
581,3428976,2841296
582,3839056,3000976
583,3641872,3089888
584,3490688,2978384
585,3597648,2888720
586,3697152,3101952
587,3623344,3003376
588,3541328,2717088
589,3741408,3708480
590,3629088,2765104
591,3365232,3016624
592,4377536,2902720
593,3298480,2650880
594,3634736,3513152
595,3605248,2692496
596,3315104,2705136
597,4154992,2590816
598,3318720,2986560
599,3280032,3769264
600,3228544,2745968
601,3043184,3177488
602,3940064,2795072
603,3377296,3219008
604,3854032,3533936
605,3398128,2609296
606,3891520,2769216
607,4139264,2920672
608,3173728,3145824
609,3427104,3144752
610,3520512,2862672
611,3814896,3112224
612,3751552,2871744
613,3503312,2843904
614,3643440,3106800
615,3531776,3217056
616,3440832,2917520
617,3776992,3039344
618,3862544,2596032
619,3576592,3142416
620,3659776,3131088
621,3192672,2954064
622,3784720,2989504
623,3798896,3012736
624,3614384,3017536
625,3639568,2981728
626,3661440,3045040
627,3671456,2742592
628,3628368,3410416
629,3681072,3043920
630,3401808,3096800
631,4048432,2595632
632,3686672,3066880
633,3751104,3052432
634,3301184,3563024
635,3615392,2889648
636,3694176,2785776
637,4162304,2778416
638,3314368,3268816
639,3378192,2541904
640,3454208,3274368
641,3819328,3189392
642,3245376,2819152
643,3939328,2897584
644,3853344,3298480
645,3526048,2682528
646,3509088,3110144
647,3904976,3194256
648,3269056,2794464
649,3771056,2793760
650,3837792,3126992
651,3502064,2996784
652,3376416,2811584
