HI_NET_PING_START run=19
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
[echo] HELLO_ACK sent
hi_net_ping: HELLO_ACK received
[echo] run #19 — echoing probes
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:      93
Lost (no echo):     1908 (95.400%)
RTL (us):
Mean: 3873.033    Std dev: 1001.233
Min:  3193.184    Max:     12354.208
P50:  3694.880    P95:     4501.680
P99:  12354.208    P99.9:   12354.208
IAJ (us):
Mean: 3110.854    Std dev: 476.003
Min:  2532.000    Max:     6175.536
P50:  3002.064    P95:     3828.064
P99:  6175.536    P99.9:   6175.536
===CSV_START===
index,rtl_ns,iaj_ns
0,3860944,2872160
1,3598480,3379120
2,4022768,2987760
3,3636576,2871392
4,3557872,2878224
5,3549216,3207104
6,3930816,2963840
7,3607280,3172336
8,3823760,3251440
9,3903744,3141504
10,3730384,3285648
11,3471152,3648352
12,3903072,2993296
13,3659424,2949072
14,3619584,2815728
15,3551232,3221824
16,3904624,2921776
17,3675712,3404416
18,4157520,2661248
19,3375104,3131920
20,3878608,2781488
21,3450224,2986672
22,3706464,3567008
23,4236496,3002064
24,3657472,2532000
25,3193184,2932880
26,3598112,3257888
27,3982384,2587616
28,3272752,3518352
29,4230672,3156624
30,3817600,3120288
31,3790624,2996832
32,3369632,3898560
33,4412976,3128048
34,3851312,3401792
35,4061072,3018192
36,3764192,2784256
37,3443952,3447120
38,4167120,2751952
39,3423920,2958224
40,3622064,2818208
41,3563520,3164960
42,3865168,3003600
43,3720880,2694592
44,3432752,3397312
45,4105312,2914336
46,3565760,2641168
47,3395088,3338992
48,3976512,2873824
49,3585824,2747936
50,3459456,3398432
51,4057824,2946096
52,3656416,3027808
53,3723360,2850176
54,3567296,3828064
55,4501680,2897776
56,3538192,2565152
57,3267200,3032384
58,3714416,2968128
59,3654000,2977248
60,3651792,2764768
61,3402544,3121856
62,3841568,2989168
63,3723904,3201888
64,3867920,2884000
65,3547392,2879232
66,3554368,3257392
67,3943392,2798832
68,3431744,2805600
69,3560944,3383664
70,4061744,2870400
71,3536848,3059616
72,3706272,3029232
73,3709088,3084816
74,3692480,3071920
75,3706736,3103952
76,3733664,2808080
77,3527632,2831424
78,3450432,2980192
79,3610208,3082256
80,3819264,3002592
81,3694880,2593760
82,3276672,2889440
83,12354208,2694800
84,3617904,6175536
85,3363088,3534608
86,6905984,3152320
87,4112064,2918048
88,3823216,3347152
89,3646784,4874672
90,4007888,4224272
91,5550304,2622816
92,4938416,2864688
===CSV_END===
=========================================
HI_NET_PING_DONE run=19
