HI_NET_PING_START run=8
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
[echo] HELLO_ACK sent
[echo] run #8 — echoing probes
hi_net_ping: HELLO_ACK received
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:    1756
Lost (no echo):      252 (12.600%)
RTL (us):
Mean: 3759.748    Std dev: 1027.969
Min:  2170.224    Max:     24198.800
P50:  3658.160    P95:     4411.536
P99:  6520.448    P99.9:   23431.456
IAJ (us):
Mean: 3127.157    Std dev: 548.593
Min:  1598.048    Max:     8534.608
P50:  3051.856    P95:     3949.216
P99:  5187.136    P99.9:   8290.240
===CSV_START===
index,rtl_ns,iaj_ns
0,5956144,6797904
1,6924208,5912368
2,6520448,3881520
3,4437264,3521168
4,4159904,4517632
5,5248032,3912560
6,4579664,4674448
7,5259296,4580096
8,5314176,2764256
9,3387296,8290240
10,8980624,4005568
11,4642384,3887488
12,4516064,4440256
13,4451984,4499552
14,5182672,4922512
15,5514832,2094048
16,2827584,2961696
17,3707056,4230144
18,4131760,2878640
19,3448496,2652448
20,3233696,2592384
21,3231536,4394496
22,4370912,2983056
23,3499696,3573184
24,4214032,3086880
25,3712432,3124496
26,3674624,3280928
27,3900384,2946096
28,3519232,3268256
29,3847120,2593200
30,3108128,3158976
31,3635920,3103536
32,3723088,2923360
33,3359760,3045312
34,3582832,2934672
35,3417744,3274816
36,3866992,2755264
37,3349168,2666352
38,3250416,2920752
39,3570848,3129232
40,3664816,3137424
41,3686608,3070480
42,3712832,3424528
43,3938944,2657680
44,3201392,2942704
45,3512336,3089968
46,3608624,2643312
47,3144432,3262720
48,3778624,2909328
49,3384864,3063952
50,3652496,2804400
51,3393216,3036560
52,3602064,2931360
53,3474112,3363920
54,3970992,2662640
55,3229680,3443936
56,4079552,2811296
57,3309472,2733312
58,3235104,3649056
59,4166320,1758656
60,2287648,3272064
61,3712176,3210896
62,3791984,3740832
63,4160448,2695024
64,3320528,2907376
65,3453872,1817712
66,2385984,2938288
67,3552960,3226096
68,3898512,2998080
69,3647648,2707792
70,3367792,2798528
71,3462144,3125456
72,3726784,2949856
73,3598432,2738432
74,3387328,2761600
75,3364576,3381568
76,3981472,3204032
77,3869088,2812928
78,3476992,2849616
79,3502944,3237360
80,3872512,2924160
81,3515952,2728160
82,3368352,2839120
83,3430224,3276768
84,3867120,3325088
85,3877264,2670320
86,3338336,2869168
87,3432992,2913392
88,3508272,2907120
89,3498704,3520496
90,4181440,3075856
91,3654800,2755008
92,3390896,2754048
93,3326832,3404448
94,4004672,3114256
95,3737280,3085968
96,3718064,2764336
97,3398576,2746816
98,3358432,3387152
99,3976672,2872208
100,3528432,2574240
101,3219952,3278832
102,3873184,2985008
103,3535840,2746016
104,3342512,3325920
105,3886144,2821536
106,3428384,3354608
107,3931744,3181392
108,3841712,3041936
109,3694400,2975808
110,3664048,2739984
111,3431920,3111264
112,3693680,2902672
113,3549408,3064000
114,3651232,2741392
115,3381824,3589008
116,4187856,2812432
117,3497136,2928144
118,3605184,2711216
119,3357280,3253984
120,3816912,2761632
121,3417568,2956064
122,3441200,2907472
123,3465392,2817664
124,3318880,3545104
125,4131888,2895360
126,3538640,3057712
127,3611088,2924400
128,3564144,3273664
129,3938128,2678912
130,3372688,2890752
131,3430736,3133072
132,3720256,2783328
133,3421264,2829120
134,3367376,2569728
135,3165552,3532816
136,3529456,3002448
137,3590368,2858144
138,3470688,2595600
139,3156768,3426432
140,3317728,2953472
141,3530368,2614400
142,3267664,3472224
143,3380912,3503536
144,4034464,2908832
145,3550704,2986736
146,3574144,3106096
147,3705280,3070304
148,3694224,2829392
149,3448240,2591664
150,3210576,2922208
151,3521184,3298848
152,3957456,2870048
153,3417488,3401328
154,3988416,2755376
155,3411360,3292112
156,3855968,2873872
157,3522640,3141328
158,3754032,2861440
159,3520880,2943856
160,3559952,2770720
161,3437712,2814048
162,3406112,3456928
163,4037296,2592608
164,3180928,2910832
165,3485200,3065504
166,3723392,3423984
167,4019168,3095712
168,3669104,2884912
169,3535408,3595056
170,4259200,3367168
171,3812768,3257392
172,3872976,2976256
173,3574112,3125584
174,3693856,3239200
175,3878928,2562400
176,3084320,3144064
177,3723216,3297648
178,3900768,1711072
179,2267872,2908464
180,3594976,2722144
181,3384128,2691792
182,3280368,2542288
183,3115824,3855328
184,3741472,2849792
185,3507856,3014000
186,3604208,2896336
187,3435584,3135664
188,3734832,3330144
189,3910048,2834320
190,3536016,3193232
191,3777008,2746384
192,3417392,2603120
193,3258864,2895648
194,3482784,2654304
195,3316656,3388752
196,3294944,3242352
197,3902816,2807408
198,3312160,3383664
199,3966656,2736192
200,3372144,3732736
201,4318384,2672496
202,3378752,2511104
203,3139520,2548192
204,3137104,3393248
205,3305712,3263664
206,3832416,2734880
207,3279472,2590656
208,3181488,3887136
209,3792960,3219280
210,3807616,2781520
211,3468272,2981600
212,3587472,3009904
213,3622560,3107024
214,3715392,2749888
215,3406352,3256048
216,3804016,2979152
217,3598912,2868848
218,3523024,3219840
219,3880816,3025792
220,3701424,2896288
221,3596880,2998400
222,3637072,3163136
223,3807152,3010704
224,3713872,2937200
225,3528560,2895280
226,3585536,2694032
227,3352464,2690544
228,3278112,2633344
229,3291504,3476720
230,3390160,3781600
231,4376128,2893744
232,3599264,2909840
233,3600592,2618032
234,3320240,3150880
235,3721408,2873760
236,3455792,3006656
237,3555984,2767184
238,3363504,3455056
239,3996688,2990784
240,3598304,3012016
241,3588592,3030848
242,3679232,3028432
243,3653776,2669184
244,3326800,2902352
245,3452032,3359472
246,3957456,3151264
247,3801136,2862928
248,3521056,2812032
249,3466768,2817008
250,3388192,3306384
251,3897024,2859056
252,3480560,3330224
253,3888672,3014416
254,11478768,3087984
255,3613376,3135872
256,3658384,4755200
257,3770480,2972416
258,3853632,3378928
259,3549872,5572528
260,4016656,4444160
261,6274848,2567312
262,5017488,3695056
263,3310240,4167872
264,10000640,3498816
265,4411536,4297712
266,4562496,4134384
267,4223552,4758128
268,4987376,5435712
269,4831504,4338512
270,5345056,2788432
271,5201600,3440704
272,5047536,4074400
273,3485216,2650960
274,4101088,3475408
275,3946448,2823008
276,3314112,2933040
277,4008208,2768576
278,3549264,2340736
279,3592976,3093536
280,3422192,3733792
281,3078704,3829344
282,3807936,3740208
283,3972416,3429840
284,4502000,2419872
285,4336352,3401408
286,4083328,3358496
287,3069776,2916336
288,4054128,3028560
289,3904848,2774720
290,3490720,2960192
291,3601056,3422768
292,3339936,3072304
293,3589456,2801664
294,4040976,2443136
295,3710624,3245392
296,3543424,3467824
297,3095808,2804112
298,3911360,2546400
299,4091520,3138032
300,3428304,3108368
301,3252352,3221856
302,3766336,2977504
303,3789712,2642704
304,3844240,3164272
305,3643424,2682480
306,3349552,2524160
307,3845968,3477808
308,3262496,3255616
309,2772688,2578672
310,4075248,3951696
311,3872768,2725216
312,3195280,3004736
313,4597392,2718752
314,3447872,2606560
315,3627424,3093216
316,3368864,3072208
317,3172304,3680480
318,3811248,2849568
319,3785984,3150672
320,4365984,2714656
321,3466256,2479968
322,3672816,3170352
323,3380832,3600064
324,3152096,2719584
325,3873008,2556720
326,4198032,3553040
327,3404480,2709584
328,3230448,2710976
329,4237344,3442960
330,3322448,2781616
331,3298000,3497744
332,4140704,3092176
333,3394048,3137280
334,4063952,2830080
335,3727584,2572512
336,3788512,3291216
337,3541888,3064560
338,3228896,2791616
339,4003312,2621648
340,3569216,3745760
341,3516352,3194512
342,3273520,2880784
343,4359328,3011856
344,3907840,2619536
345,3607856,2774176
346,3680080,3218048
347,3339680,2906272
348,3315472,2997680
349,3823920,2721088
350,3470576,3742160
351,3610560,2864592
352,3370736,2571328
353,4332176,2687072
354,3587872,3290608
355,3269312,3393696
356,3298016,2594624
357,3999216,2562160
358,3988176,3101728
359,3290400,3295216
360,3127792,3264416
361,3849392,2610256
362,3904784,3190800
363,3996176,2534704
364,3276160,3869504
365,3850480,2790512
366,3247088,2573664
367,4445392,3061696
368,3489664,3341744
369,3234880,2576912
370,3696528,3513984
371,3977424,2791136
372,3266144,3070544
373,4220208,2549408
374,3442640,3455328
375,3554432,3135344
376,3203616,2716272
377,4095344,2720288
378,3654832,3245072
379,3374800,3115008
380,3261648,2705792
381,3888656,2896752
382,3800928,3268256
383,3296480,2809264
384,3451680,3667296
385,3944000,3117440
386,3455664,2758768
387,4234736,2665216
388,3696912,3181424
389,3463200,2611248
390,3311152,2917680
391,3746688,3096320
392,3250768,3225920
393,3587648,2757920
394,3766864,3103520
395,3912608,3131152
396,3349024,3203312
397,3779104,3307136
398,3814064,2554560
399,3815168,3161280
400,3896880,2530048
401,3246912,3262208
402,3632528,2953904
403,3200400,2674928
404,3916144,3431568
405,3604224,2727456
406,3199088,3165664
407,4065552,3230048
408,3167088,2720496
409,3785696,2515664
410,3796320,3372848
411,3376400,2864016
412,3121664,3251616
413,3994800,3234064
414,3256688,2470912
415,3901344,3378000
416,3910208,2566864
417,3148016,3270496
418,4095424,2803712
419,3161712,3020784
420,3887600,3415232
421,3296080,2744768
422,3729888,3254224
423,3988736,2688624
424,3275456,3212496
425,3924304,3559648
426,3253712,3080416
427,3937360,2591968
428,4184208,2693792
429,3832752,3302560
430,3327296,2589440
431,3360288,3001216
432,3985296,2733296
433,3257888,3832480
434,3629888,3058496
435,3295040,3229472
436,4342928,3116736
437,3692192,2922416
438,3893904,3063952
439,3793696,2982736
440,3664320,3075824
441,3752000,2913152
442,3700592,3055104
443,3797776,3097136
444,3657520,3070896
445,3745504,2994416
446,3784496,3069824
447,3777712,3022544
448,3746976,2943552
449,3814656,2947584
450,3732048,3311552
451,3653040,4040704
452,3702208,2663920
453,4032544,2667920
454,4751680,2852176
455,3333632,3031936
456,3383024,3544096
457,3077296,2974144
458,3131904,3227376
459,3743952,2787920
460,3544912,2581296
461,3919824,3003936
462,3423680,3544400
463,3272112,3080688
464,3164560,2668016
465,3741728,2694768
466,3724528,3955984
467,3296320,2798928
468,3410336,3269296
469,4024928,3142512
470,3444048,3575584
471,3875264,3427952
472,3836192,3239840
473,4310720,3408256
474,3959216,2942224
475,3925968,2603776
476,4049712,2568224
477,3611184,3550720
478,3280528,2506640
479,3140880,3395056
480,4135616,3383568
481,3114928,5475712
482,4029264,2854496
483,3998080,2995424
484,23431456,4038208
485,5892592,3823968
486,3509680,3356448
487,3554704,3097936
488,4634960,3292992
489,4367024,4332160
490,3967440,3366096
491,3826064,3471440
492,3998592,3534080
493,4864304,3464048
494,4058400,3416896
495,4181600,3246880
496,4146704,3496784
497,4155456,3682464
498,3896320,3138352
499,3903040,3079088
500,4185936,3378704
501,3723120,2826448
502,3757712,3202336
503,3768944,3066208
504,4053216,4074400
505,3471568,3155600
506,3833344,3267744
507,3768720,3975008
508,4794336,4022832
509,3765392,3194208
510,3774304,3098928
511,4677152,3190240
512,4705280,2729840
513,3786384,3117936
514,3723456,2756384
515,3830048,3003424
516,3386384,5696096
517,3775328,4737520
518,3442368,3078992
519,3722864,3348864
520,6336016,3458944
521,5350544,3753056
522,3818160,2792896
523,4053088,3163456
524,4081104,3163648
525,4327792,3112752
526,3433312,3063248
527,3736592,3068416
528,3758176,3155568
529,3725200,3230304
530,3802800,3268656
531,3772480,3147408
532,3869712,3048288
533,3931968,2976496
534,3944320,2879344
535,3243872,3803248
536,3125584,2783104
537,3131520,3530992
538,2998000,2856272
539,3811328,2854992
540,3474048,3018288
541,4145536,2725504
542,3522704,3130272
543,3507856,2770752
544,3715968,2660800
545,3476432,4143168
546,3774112,3638272
547,3443840,3355888
548,3326608,3235920
549,4246608,2623520
550,4362112,3117440
551,3881808,3164112
552,3759936,3246432
553,3178784,3864288
554,3740864,3396608
555,3802000,3943200
556,3854224,3136528
557,4418048,2879456
558,4035680,2819152
559,4085632,3206832
560,3794624,3056320
561,3519600,2842112
562,3417232,2723408
563,3824496,3212384
564,3759424,3053536
565,3473664,3441136
566,3397136,2803344
567,3899008,2880768
568,3665760,2910048
569,4119056,2966640
570,3447808,3162960
571,3581808,3087312
572,3540544,2868448
573,3692256,3216592
574,3745216,3051856
575,3682832,3046016
576,3522256,3211104
577,3874048,3612064
578,3670480,3025328
579,3701264,3185984
580,3935920,3188464
581,4287360,3257696
582,3644000,2710000
583,3825040,3128240
584,3883632,2551840
585,3924544,4319088
586,3364704,3464176
587,3707600,3998768
588,3185888,3226464
589,4586416,2835984
590,4180368,2831808
591,4159984,3040176
592,3874944,3044576
593,3541280,2932400
594,3492480,2722272
595,3716768,2481296
596,3627296,3810672
597,3550464,2918704
598,3380736,3120880
599,3098256,2904752
600,3923120,2894800
601,3564768,3247568
602,3785472,2887488
603,3618832,3417952
604,3499104,2826544
605,3939280,2698544
606,3483824,3083760
607,3986064,3270080
608,3461568,2909104
609,3311648,2870128
610,3685952,3334240
611,3944704,2705536
