HI_NET_PING_START run=14
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
hi_net_ping: HELLO_ACK received
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
[echo] HELLO_ACK sent
[echo] run #14 — echoing probes
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:    2000
Lost (no echo):        1 (0.050%)
RTL (us):
Mean: 3423.720    Std dev: 510.455
Min:  2574.992    Max:     14506.592
P50:  3424.160    P95:     3899.184
P99:  5049.712    P99.9:   8337.984
IAJ (us):
Mean: 2836.007    Std dev: 459.705
Min:  1863.488    Max:     7801.072
P50:  2847.520    P95:     3412.768
P99:  4446.816    P99.9:   7657.264
===CSV_START===
index,rtl_ns,iaj_ns
0,14506592,4342000
1,4126800,2504448
2,3216848,2314704
3,2972288,2606096
4,3253520,2609936
5,3220208,2509376
6,3246400,2319520
7,2986352,3608304
8,3786240,2179392
9,2933008,2399456
10,2600496,2463360
11,3218640,2155808
12,2887760,2737632
13,3330736,2446896
14,3095232,2406080
15,2998624,2186240
16,2878080,2722304
17,3444224,2457152
18,3178320,2723408
19,3333456,2109456
20,2783776,2981920
21,3624160,2584976
22,3280624,2430336
23,3148480,2416048
24,3143152,2865392
25,2997088,2719488
26,2927120,2561552
27,3282368,2243920
28,2998816,3173856
29,3802880,2301152
30,2958016,2601392
31,3245344,2128768
32,2883840,2318368
33,3056176,3751840
34,3518608,2291968
35,2967904,2610144
36,2849904,2664592
37,3403824,2351216
38,3052464,2375712
39,3028528,2776144
40,3275936,2773632
41,3393344,2478352
42,3152864,2355504
43,3045344,2107552
44,2854144,2766944
45,3512400,2551424
46,3256240,2335040
47,2979488,2780976
48,3425120,2595920
49,3162048,2381120
50,3023600,2516256
51,3162032,2267392
52,2953840,2493296
53,3195728,2296096
54,3030624,2456880
55,2964480,2939424
56,3585184,2905776
57,3503312,2809536
58,3375920,2779856
59,3396688,2205600
60,2950816,2291904
61,2989984,2580608
62,2820128,2894240
63,3626224,2329792
64,3064816,2318608
65,2945536,2791376
66,3465200,2909008
67,3496448,3090576
68,3798608,2843472
69,3358848,2404608
70,3044016,2615504
71,3241344,2257264
72,2990176,2474176
73,2750176,2451104
74,3207056,2346224
75,3029488,2776480
76,3484208,2969728
77,3560704,2639504
78,3184112,2904672
79,3481936,2401696
80,3121024,2501952
81,3090896,2147168
82,2891248,2495280
83,3250192,2099936
84,2781712,2714816
85,3300960,2745968
86,3329808,2602256
87,3269216,2412128
88,3119888,2282928
89,2968288,2733968
90,2898512,2836000
91,3475952,2841616
92,3538976,2391488
93,3112176,2241568
94,2894176,2504592
95,3140832,2273376
96,3007504,2086880
97,2761024,2828832
98,3100272,2670496
99,3363920,2136528
100,2863776,2290400
101,2802656,2810032
102,3320880,2236480
103,2980720,2263424
104,2989952,2616064
105,2855232,2524256
106,3264928,2285376
107,3018976,3457056
108,4023872,2134352
109,2819072,2695680
110,3296000,2849632
111,3373056,3149504
112,3719728,2748912
113,3315584,2203424
114,2911200,2175184
115,2886960,2661664
116,2888960,2583184
117,3337568,2250544
118,2973488,2354080
119,3048752,2749200
