HI_NET_PING_START run=18
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
[echo] HELLO_ACK sent
[echo] run #18 — echoing probes
hi_net_ping: HELLO_ACK received
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:    2000
Lost (no echo):        2 (0.100%)
RTL (us):
Mean: 3640.436    Std dev: 459.331
Min:  2792.576    Max:     10759.120
P50:  3603.488    P95:     4178.624
P99:  5147.472    P99.9:   10319.008
IAJ (us):
Mean: 3073.177    Std dev: 460.782
Min:  2157.872    Max:     7581.632
P50:  3004.736    P95:     3866.096
P99:  4613.328    P99.9:   7186.032
===CSV_START===
index,rtl_ns,iaj_ns
0,3844960,3859168
1,4408288,3672288
2,4309664,3791728
3,3474304,3854288
4,4400160,2770416
5,3417392,2758048
6,3473504,2829424
7,3414096,3384624
8,3906928,2922640
9,3634608,2942480
10,3611248,3045376
11,3680640,2842048
12,3494976,3127744
13,3796608,2676384
14,3307120,3090608
15,3538288,2876400
16,3440032,2961760
17,3479728,3298752
18,3889728,3265216
19,3927344,2910144
20,3563664,2999712
21,3653248,2960192
22,3594064,2817232
23,3437024,3314912
24,3844944,2740832
25,3401152,2980688
26,3600976,2757728
27,3416224,2876448
28,3415328,3680240
29,4270528,2431008
30,3148288,3245872
31,3844432,3112592
32,3775840,2667344
33,3333776,3234960
34,3840352,3083536
35,3684704,2944896
36,3584848,3161264
37,3779584,2966528
38,3617744,2568544
39,3207440,2794064
40,3381840,3307744
41,3948304,3134608
42,3697696,2897648
43,3554512,2753536
44,3294048,3148864
45,3738048,3104640
46,3700400,2962784
47,3534592,3268688
48,3850496,2915616
49,3551328,2882320
50,3482528,3128736
51,3717728,2741248
52,3332400,2769696
53,3371728,3300272
54,3962896,2891552
55,3472864,2847456
56,3415360,2519472
57,3118768,3795984
58,3881280,3197680
59,3786736,3191104
60,3824112,3031776
61,3712464,2916624
62,3613056,2882896
63,3535648,2915536
64,3549856,3199744
65,3799440,2994752
66,3666848,3048000
67,3746560,2755824
68,3406608,2998272
69,3600704,2749424
70,3370608,2818560
71,3320336,2539920
72,3116272,3951216
73,3977760,2645520
74,3290912,2768912
75,3331008,2363824
76,3023712,3276272
77,3260720,3032400
78,3076848,3393104
79,3390848,2534928
80,3112736,3041376
81,3109616,3941520
82,3951936,3072240
83,3740768,2929168
84,3578848,3059520
85,3734656,2974416
86,3645648,3116240
87,3764928,2925232
88,3629056,2874576
89,3533744,2936448
90,3559120,2562208
91,3212304,3320464
92,3979856,2863904
93,3454128,2870224
94,3452688,3736704
95,4313536,3277520
96,3993856,2735168
97,3181504,2670320
98,3364992,3279248
99,3860816,2920672
100,3620304,2910224
101,3611328,2922944
102,3576912,2945200
103,3555936,2723376
104,3389376,3007728
105,3603232,2770240
106,3356672,3351216
107,4015392,2792400
108,3388416,3200352
109,3749936,3278240
110,3857520,3050272
111,3716960,2766512
112,3406528,2790096
113,3400528,3152800
114,3768192,2627296
115,3181008,2378224
116,3042240,3249024
117,3267440,3379504
118,3336656,2584272
119,3242848,4035376
120,4081712,3004400
121,3664256,2883296
122,3552576,2981648
123,3604496,2893632
124,3565984,3155696
125,3724064,2999200
126,3605296,3246544
127,3877776,2886240
128,3593040,3146832
129,3830192,2528752
130,3215152,2744592
131,3312336,2507968
132,3100464,3908544
133,3880560,3087072
134,3713184,3022480
135,3606384,2898464
136,3488784,3094240
137,3735056,2982992
138,3623152,2779600
139,3397040,2745216
140,3299616,2999920
141,3347680,3003488
142,3536944,3293056
143,3818576,2804512
144,3385200,3359312
145,3948032,3193776
146,3856864,2734960
147,3428480,2893408
148,3511216,3373200
149,3933136,2749728
150,3464832,3085120
151,3694800,2768512
152,3434144,3295984
153,3859760,2564064
154,3221632,2858576
155,3444752,3273600
156,3859216,2873424
157,3437216,2811856
158,3390416,2450240
159,3042272,3879712
160,3571072,2998768
161,3580240,3258960
162,3862416,2751312
163,3422944,2736320
164,3328560,3324240
165,3875840,2852000
166,3474016,2791760
167,3345216,3015392
168,3600576,3412368
169,4000480,3012368
170,3623600,2980544
171,3544912,2935152
172,3574016,3245184
173,3810880,3053264
174,3699792,2784560
175,3483360,3059056
176,3645728,2884912
177,3521088,2583328
178,3237024,2522592
179,3115680,4036704
180,4032528,2814288
181,3461808,3240624
182,3726192,2863824
183,3521440,3119888
184,3727584,2699712
185,3373680,2734880
186,3297664,2534256
187,3119312,2955600
188,3059040,3754688
189,3757136,2796896
190,3374368,2869280
191,3415136,2361456
192,3026112,3138192
193,3239136,4113968
194,4133520,2767984
195,3426032,3117760
196,3699392,3131872
197,3751280,2897616
198,3570240,3076944
199,3685088,2764448
200,3436464,2868624
201,3485824,3139952
202,3741312,2934464
203,3507568,2778880
204,3377248,2554000
205,3137792,3750736
206,3661664,2974960
207,3572352,2863024
208,3438544,3291584
209,3871072,2825904
210,3433312,2695456
211,3282240,2589184
212,3175872,3819536
213,3828944,3002304
214,3644320,2780288
215,3428848,2854416
216,3428960,3215072
217,3802416,3192464
218,3755952,3169824
219,3768128,2668016
220,3325664,2758960
221,3345776,2366496
222,2964320,3141120
223,3237056,3715056
224,3714096,3190256
225,3777952,2791536
226,3408032,2712464
227,3361440,2378304
228,3043344,3070368
229,2993760,3041680
230,3047808,3730928
231,3719168,2774032
232,3356080,3321984
233,3972800,2781952
234,3325632,3129360
235,3716864,2784976
236,3379152,2286800
237,2949264,3050480
238,3060944,3257792
239,3128352,3464032
240,3353536,3538656
241,4095376,3158768
242,3834768,2748448
243,3450912,2856096
244,3483392,2690832
245,3188096,2576528
246,3155552,3725664
247,3600080,3441664
248,4010704,2830288
249,3546016,2371616
250,3036960,2585440
251,3246352,4011280
252,3989904,2879360
253,3531632,3231424
254,3833392,2483312
255,3182336,3434416
256,4036192,2853888
257,3504784,2627392
258,3301936,3437888
259,3975584,2671728
260,3316400,3215616
261,3804064,3151504
262,3807200,2911920
263,3571536,2837936
264,3420528,3028480
265,3638320,2715968
266,3294560,3529344
267,4108544,3157120
268,3818336,2877344
269,3568816,3012464
270,3625072,3023584
271,3693056,2796736
272,3481200,3205952
273,3821424,3079568
274,3760576,2888560
275,3587184,2819712
276,3449856,3004208
277,3675008,2530464
278,3205520,2422288
279,3086512,3817136
280,3791648,3262096
281,3777888,3085648
282,3692272,2446848
283,3054144,2551152
284,3124112,3436656
285,3398432,3143520
286,3743104,3188864
287,3772944,2735040
288,3318016,2912992
289,3444720,3195360
290,3769696,3308128
291,3883920,2683728
292,3322080,2838352
