HI_NET_PING_START run=25
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
[echo] HELLO_ACK sent
[echo] run #25 — echoing probes
hi_net_ping: HELLO_ACK received
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:      56
Lost (no echo):     1944 (97.200%)
RTL (us):
Mean: 3703.328    Std dev: 800.459
Min:  2649.104    Max:     8201.664
P50:  3574.688    P95:     5279.424
P99:  8201.664    P99.9:   8201.664
IAJ (us):
Mean: 3105.587    Std dev: 756.541
Min:  1997.872    Max:     7531.136
P50:  2970.896    P95:     4562.112
P99:  7531.136    P99.9:   7531.136
===CSV_START===
index,rtl_ns,iaj_ns
0,6196496,7531136
1,8201664,4562112
2,4454416,2509360
3,2999472,3402112
4,4005344,2670160
5,3331216,2454224
6,3193600,1997872
7,2750240,2989840
8,3625808,2887104
9,3553248,3747504
10,4328352,3238096
11,3244768,3716496
12,3759664,2875072
13,3456496,2539664
14,3134688,3832880
15,3841456,2891120
16,3461840,2865824
17,3447296,3150336
18,3762960,2726704
19,3286064,3151552
20,3742832,2842464
21,3388080,3387952
22,3959600,2970896
23,3628384,2784528
24,3442816,3236048
25,3849040,2571920
26,3212160,3213440
27,3874336,4733248
28,5279424,3065536
29,3581040,2732688
30,3259072,2993808
31,3618496,3053296
32,3693344,2947424
33,3606032,3039088
34,3698960,3206112
35,3779648,2936208
36,3439936,2657328
37,3110000,3157872
38,3764080,2903056
39,3515376,3224832
40,3768816,3360400
41,3925104,3120592
42,3425248,2732480
43,3321120,2830544
44,3335216,2104176
45,2649104,2955872
46,3481136,2991936
47,3646320,2728176
48,3366800,3116240
49,3782704,2901008
50,3553488,3014448
51,3648384,2941488
52,3574688,2688752
53,3331904,2994432
54,3567008,2929856
55,3531584,2851584
===CSV_END===
=========================================
HI_NET_PING_DONE run=25
