HI_NET_PING_START run=10
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
hi_net_ping: HELLO_ACK received
[echo] HELLO_ACK sent
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
[echo] run #10 — echoing probes
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:    1873
Lost (no echo):      130 (6.500%)
RTL (us):
Mean: 4187.301    Std dev: 801.164
Min:  2393.680    Max:     12846.016
P50:  4043.360    P95:     5422.704
P99:  6983.184    P99.9:   11366.528
IAJ (us):
Mean: 3648.344    Std dev: 766.696
Min:  1823.120    Max:     9352.416
P50:  3522.816    P95:     4924.672
P99:  6421.536    P99.9:   9096.768
===CSV_START===
index,rtl_ns,iaj_ns
0,9100832,5273952
1,5827440,4463792
2,5060992,2633856
3,3335760,3425184
4,4015200,2843120
5,3512400,3119280
6,3773152,3638640
7,4117920,3556592
8,4200336,4153216
9,3997136,4555104
10,5207792,4049776
11,4611664,3959584
12,4633536,3272416
13,3999424,4425344
14,4949248,3174192
15,3693824,3805712
16,4391168,3241456
17,3877040,3229904
18,3918768,4241888
19,4969744,3221408
20,3882976,3767456
21,4348336,4164768
22,4736528,2924384
23,3530752,2973632
24,3649648,3443440
25,4093200,3538880
26,4171104,4792928
27,4849696,3884832
28,4570528,3685312
29,4312912,4371328
30,5071120,3251824
31,3938032,4227744
32,4843008,3567408
33,4152128,3603568
34,4214912,3311376
35,4034080,4039776
36,3909616,3217952
37,3941600,3224144
38,3880288,3139488
39,3807712,4078304
40,4770288,3454128
41,4084720,3663408
42,4272048,5254160
43,5942976,4213216
44,4810320,3606016
45,4188064,3365808
46,4060096,5054272
47,5174000,4512016
48,5025824,3219056
49,3938000,4104368
50,3607648,2808896
51,3438272,2936208
52,3566096,3425200
53,4065888,3358464
54,3963552,3377408
55,3939632,3742336
56,4384304,2850976
57,3413136,3663008
58,4229520,3462128
59,4011952,3525648
60,4167216,3576192
61,3542720,3408016
62,4056416,4113024
63,4673776,4102864
64,4609264,3397456
65,3952640,4527456
66,5156864,3338144
67,3867936,3834464
68,4471136,1873488
69,2442688,4100896
70,4705152,2939152
71,3529360,3275152
72,3837488,3555744
73,4148032,3884336
74,4381408,4250016
75,4282800,3280656
76,3904656,3506736
77,4122576,3611728
78,11366528,3405456
79,4110080,2175008
80,3996272,4806176
81,2769504,4754256
82,4981696,4402672
83,4411968,2439792
84,4644944,3173952
85,3035568,9352416
86,3726448,7326912
87,9951056,8191424
88,7778656,5784096
89,8712768,4706544
90,6196064,5190576
91,5278560,3043040
92,5490272,3345136
93,3663584,3478608
94,4016528,3723296
95,3996544,4307600
96,4096592,4015328
97,4798640,2944272
98,3787680,3376192
99,3486080,3268944
100,3855808,3465808
101,3790256,3966176
102,4082624,2979312
103,4395312,2955744
104,3536144,3458464
105,3564320,3326272
106,4029776,4006240
107,3959568,3195568
108,3563296,3315376
109,3820752,3265680
110,3773264,3892816
111,3900128,4350736
112,4443808,5999840
113,4721328,4952480
114,5946128,3371088
115,5335408,2909888
116,3983264,4463104
117,3579056,3484528
118,5039120,4027152
119,4021968,4738800
120,4420800,3591984
121,4006096,3474992
122,4245584,3639840
123,4042880,4600320
124,4153360,3403360
125,5224464,6562528
126,3852256,4077744
127,7116384,3606448
128,4710768,2632208
129,4037328,4287712
130,3266704,4057792
131,4970448,3651568
132,4629040,4219968
133,4310208,2948880
134,4831200,3014496
135,3509456,3867424
136,3577904,4305040
137,4410992,3351856
138,4911024,3897088
139,3930448,3930176
140,4459216,3355456
141,4586720,4373088
142,4011680,3403856
143,5050896,3318176
144,4045648,4193984
145,3968448,5222416
146,4856816,3189136
