HI_NET_PING_START run=14
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
[echo] HELLO_ACK sent
[echo] run #14 — echoing probes
hi_net_ping: HELLO_ACK received
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:     578
Lost (no echo):     1424 (71.200%)
RTL (us):
Mean: 4070.717    Std dev: 934.140
Min:  2200.160    Max:     18481.888
P50:  3960.544    P95:     5177.648
P99:  7283.424    P99.9:   18481.888
IAJ (us):
Mean: 3522.856    Std dev: 686.625
Min:  1651.808    Max:     8388.624
P50:  3417.776    P95:     4675.920
P99:  5654.336    P99.9:   8388.624
===CSV_START===
index,rtl_ns,iaj_ns
0,5386944,5005920
1,5138016,4268384
2,4659984,3592576
3,4337360,3599088
4,4128832,4430816
5,4990304,2976736
6,3620368,2859840
7,3500960,3035376
8,3660432,3181472
9,3671680,3538544
10,4049008,3474256
11,4048800,3133984
12,3625936,3017440
13,3517232,3360320
14,3830704,3383440
15,3966784,3223072
16,3783984,3240720
17,3871024,3610064
18,4196928,4140496
19,4063056,2965088
20,3622992,3068880
21,3655680,2821424
22,3433968,2765488
23,3372112,3205888
24,3855088,3006384
25,3645136,3650208
26,4272560,3895120
27,4421536,3688096
28,4245168,3715920
29,4261840,4000064
30,3791424,2970576
31,3564944,2900624
32,3600864,3127152
33,3784928,3057008
34,3754944,3361664
35,4005920,3072816
36,3726320,4031200
37,4559440,3767920
38,4299376,2722208
39,3379152,3258240
40,3868320,3597760
41,4112336,4894656
42,5527808,4513184
43,5074752,2891584
44,3468288,2572880
45,3135968,2802400
46,3343616,3897472
47,4436240,4864848
48,5533200,3399664
49,3883232,3340816
50,3987600,3606160
51,4164976,4102320
52,4570800,4537696
53,5177648,4563520
54,5099456,4174768
55,4770368,3957376
56,3986320,3399616
57,4016224,3347424
58,4019680,2855152
59,3481200,3472080
60,4044720,3658528
61,4200640,3305312
62,3912864,3281344
63,3873744,2719504
64,3305120,1651808
65,2200160,3817056
66,4492896,3596704
67,4185264,4023904
68,4616592,4078432
69,3760960,2724160
70,3411472,3193696
71,3861344,2781744
72,3399136,3186752
73,3857456,3596000
74,4229984,2923616
75,3537152,2957968
76,3563712,3176336
77,3734400,3616224
78,4150688,3747248
79,4194592,2895952
80,3294640,1752912
81,2308656,3998688
82,4663728,3475232
83,4025024,3792480
84,4378416,3281568
85,3297888,3985104
86,3699184,3185504
87,3789536,4160032
88,4725952,3187504
89,3784768,2545536
90,3099632,3183472
91,3515808,3225312
92,3753872,2445536
93,3017968,3157712
94,3508560,3673568
95,4146512,3587232
96,4072256,3465728
97,4037200,4109904
98,4133392,3509376
99,4123424,4031808
100,4643584,3070000
101,3508464,3616272
102,4164320,3336656
103,3896208,5003568
104,5556128,3618368
105,4274368,3466960
106,3933648,2743216
107,3196256,3645200
108,4182880,2873440
109,3493216,2523936
110,3068464,2876160
111,3461248,7224960
112,7751040,2996352
113,3448000,1822128
114,2380560,3456224
115,4114560,6619616
116,7283424,3094384
117,3830304,4218128
118,4713920,3449504
119,3946960,5654336
120,6338928,4739424
121,5259296,4346688
122,18481888,2538640
123,10327344,3397584
124,4909616,3692352
125,3066144,4523824
126,3974128,3157568
127,4252400,3057456
128,5166672,4154592
129,3543072,3282352
130,3723280,3145200
131,4782800,3489072
132,3874304,3707296
133,3639984,4314064
134,3931488,3069808
135,4236096,4261472
136,4335904,3371584
137,3735360,3004480
138,4830432,3235120
139,3834016,4715328
140,3576400,3144272
141,3825552,3289632
142,5313024,3921088
143,3786096,3132512
144,3969296,2894176
145,4522112,3451120
146,3748448,3203184
147,3358208,3613280
148,3879248,4530688
149,3819600,3282288
150,4247872,4031568
151,5180576,3321440
152,3934912,3327760
153,4396688,4857280
154,3824192,3372608
155,3872688,4289248
156,5438128,3127712
157,3867584,3480592
158,4919312,3829808
159,3695728,4122400
160,3985408,3102176
161,4433744,2954912
162,3736368,3399168
163,3737296,2816416
164,3603344,3031040
165,3869712,3310944
166,3466064,3595872
167,3645696,3538768
168,3890640,2059680
169,4030512,3532592
170,4085584,3285040
171,2676192,3607552
172,3868240,3660000
173,3858224,3528816
174,4088272,3206768
175,4277584,3813344
176,3417456,3174368
177,3855120,2942928
178,4342576,3805872
179,3806544,2377888
180,3543376,3585952
181,4435200,3329376
182,2745536,3188256
183,4020656,3740288
184,3926528,4163680
185,3806624,3241248
186,4329104,3167600
187,3797808,2937712
188,3802496,3222160
189,3755888,3417776
190,3508528,4596544
191,3871040,4232528
192,3975360,3032576
193,5151680,4022176
194,4747120,3623040
195,3678640,3896320
196,4650096,3400064
197,4103408,3200128
198,4494336,3046816
199,4068112,4034176
200,3325248,3780176
201,3171824,3578432
202,3890992,2951488
203,4376304,3115216
204,3854448,2557312
205,3485072,3793808
206,3615984,2676608
207,3164480,3277248
208,4168128,2609936
209,3307856,2718096
210,3899024,3411520
211,3283600,3006048
212,3275648,3357888
213,3836624,3522560
214,3636560,3202928
215,3837488,3256896
216,4060976,4835504
217,3805008,4323088
218,3810736,3512240
219,4645312,3422592
220,4932432,4035536
221,4118688,2952160
222,4078144,3477664
223,4026224,4225376
224,3595952,2726016
225,3929216,2731264
226,4788736,3225200
227,3279536,3883936
228,3316208,3831136
229,3648368,4152896
230,4414304,3198256
231,4502272,2970880
232,3841440,3155680
233,3874368,3984768
234,3514656,2917520
235,3823712,3093760
236,4575664,3456560
237,3531264,3110064
238,3686144,2697120
239,4035600,3241856
240,3680624,3364112
241,3282512,4373920
242,3848992,3076032
243,3974240,3351904
244,4929120,4198640
245,3772192,3109584
246,3961024,2972560
247,4795712,3488192
248,3671392,3109824
249,3612640,3907024
250,4098992,3772240
251,3734864,3505136
252,4475472,3027104
253,3734624,2926992
254,4065840,3055648
255,3643744,3219856
256,3532608,4169104
257,3643056,2943328
258,3806352,3078640
259,4702752,3375104
260,3558288,4046224
261,3624432,3743984
262,3863504,2983632
263,4573312,3568416
264,3757632,3827680
265,3547104,3272800
266,4125120,3563616
267,4418928,3696240
268,3635280,5111040
269,4045408,4126864
270,4293568,3006192
271,4890192,2047808
272,4602368,3326608
273,3600192,3116448
274,2574128,2911936
275,3716208,3981920
276,3658816,4767552
277,3530432,3227856
278,4567680,4028560
279,5366928,3371040
280,3729536,2956928
281,4584544,3371072
282,3897456,3752656
283,3619296,3830832
284,3892992,3168048
285,4240672,3190976
286,3662384,3498256
287,3795696,3871808
288,3668240,3064480
289,4138480,3343696
290,4524512,3372720
291,3491712,3449424
292,3960544,3216512
293,3953936,4150784
294,4054960,4007264
295,3049840,3513008
296,4207120,3158352
297,4605616,2703360
298,3980768,3250640
299,3699424,1824832
300,3304176,3387296
301,3776800,3889008
302,2397856,2935024
303,3897248,3822704
304,4391968,3354576
305,3502144,3143712
306,4260400,4268080
307,3984128,3530112
308,3181344,3620256
309,3914848,4273904
310,4130448,3337488
311,4140544,4300592
312,4720320,3038992
313,3988496,3429760
314,4072656,3314496
315,3625856,3240224
316,3997520,3110000
317,3836864,5278432
318,3797696,3613936
319,3723408,3128640
320,5852640,2910736
321,4214736,3212240
322,3800496,3702128
323,3548304,3461808
324,3820688,3016400
325,4351712,3097216
326,3935888,2680304
327,3577584,3212144
328,3781584,3269520
329,3293600,3392912
330,3727616,4716992
331,3938592,3347024
332,3989728,3332448
333,5292640,3647168
334,3997872,2956896
335,3947104,3796752
336,4126944,4721728
337,3493344,3481680
338,4200128,3665296
339,5261056,4579920
340,4048080,3878416
341,4310704,3381232
342,5043440,2834640
343,4517952,3474416
344,4002320,3340512
345,3458064,3232240
346,3988256,3655184
347,3911072,2933328
348,3851424,2119328
349,4094080,3588496
350,3554944,4089568
351,2662864,3441328
352,4102352,3121312
353,4557056,4084384
354,4068384,3518624
355,3787200,2992544
356,3695168,3219264
357,4141392,3387824
358,3527088,4011808
359,3858624,3388672
360,3772336,3160800
361,4469472,4517600
362,4011792,3322048
363,3794000,4336080
364,5122656,2544480
365,3858512,3506832
366,4713632,3773648
367,3159136,4409312
368,3986448,2926144
369,4250576,3629344
370,4982736,3205104
371,3611456,3572208
372,4102464,3047808
373,3777456,2811392
374,4241120,4039536
375,3505024,2661392
376,3348080,2960064
377,4478928,3284192
378,3329248,1889872
379,3565680,4053536
380,3911616,3759216
381,2475360,4101456
382,4531664,2932496
383,4295152,3161552
384,4120016,4323456
385,3477488,3389952
386,3787776,2702432
387,4820112,3472256
388,3898688,3547760
389,3327840,4908464
390,3966080,3153136
391,4022864,3023024
392,5369264,3991712
393,3792032,3495776
394,3682416,2805840
395,4461856,2773824
396,4018304,2723440
397,3425120,2854560
398,3368992,4707056
399,3203104,3017296
400,3322496,4776432
401,5069136,3331600
402,3046288,3987248
403,4600384,3629456
404,3998976,3399312
405,4476816,3815120
406,4157136,3445440
407,4064064,2905088
408,3588112,3642432
409,4093136,4257088
410,3455776,3581360
411,4185312,4317536
412,4632544,3427424
413,4176528,3478480
414,4929040,4316880
415,4063360,3552176
416,4080304,4135600
417,4705312,2977872
418,4199824,2947408
419,3850944,3419984
420,3574304,3422672
421,3569168,2717408
422,3988672,3141552
423,4047552,4477424
424,3337152,3049792
425,3806256,5029184
426,4958192,3200800
427,3543472,3956048
428,5378496,2776112
429,3797936,3785168
430,4512992,3116048
431,3344192,5202304
432,4349104,4367168
433,3720864,3189360
434,5616288,2149136
435,4809184,3859744
436,3781744,2032768
437,2754128,3789680
438,4498928,3367248
439,2447856,3101984
440,4173104,3560112
441,3977664,4627152
442,3707024,3272928
443,4102432,4229744
444,5143776,3232560
445,3799488,3399888
446,4770640,3572768
447,3802992,4569184
448,4003008,4568928
449,4184272,4011760
450,4351840,4019888
451,5129280,2785184
452,4479360,2981472
453,3771504,3068912
454,3423728,3502064
455,3618000,3824080
456,3613568,3291344
