HI_NET_PING_START run=19
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
[echo] HELLO_ACK sent
[echo] run #19 — echoing probes
hi_net_ping: HELLO_ACK received
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:    2000
Lost (no echo):        3 (0.150%)
RTL (us):
Mean: 3631.555    Std dev: 760.430
Min:  2298.064    Max:     17651.968
P50:  3586.512    P95:     4586.592
P99:  6276.240    P99.9:   16012.688
IAJ (us):
Mean: 3067.365    Std dev: 770.227
Min:  1694.560    Max:     22801.152
P50:  2982.624    P95:     4111.936
P99:  5784.000    P99.9:   9250.112
===CSV_START===
index,rtl_ns,iaj_ns
0,7766448,6216160
1,6919104,3828592
2,4495296,4270416
3,4889456,6368464
4,6567968,6814864
5,4740080,5803104
6,6441760,4086976
7,4461616,4512784
8,5170960,5156480
9,4214192,4322288
10,4637904,2748992
11,3143568,6283648
12,6417136,3745728
13,3846880,2997008
14,3637616,3797568
15,4204832,4286368
16,5012384,3750864
17,4199104,3937440
18,4586592,3699936
19,3966400,2688624
20,3378048,3261168
21,3898912,3024144
22,3698928,2267040
23,2999520,2703072
24,3341872,2694320
25,3300768,3328704
26,3862976,2659856
27,3318256,2462736
28,3095936,2914496
29,3550448,3097456
30,3682368,3622224
31,4112432,2955280
32,3311920,3053440
33,3647392,2857136
34,3492240,2695472
35,3254608,2374384
36,3098144,2605440
37,3190000,2389984
38,2958848,2598272
39,2813472,2844032
40,3598992,2803424
41,3487424,3080640
42,3711264,3445824
43,4139888,3002416
44,3107392,3092416
45,3258496,2885616
46,2826368,2654240
47,3392928,3065856
48,3733488,3161120
49,3854656,4197456
50,3847392,2804128
51,3427904,2048704
52,2771616,3098240
53,3805184,2831680
54,2981200,2786144
55,3429664,2801264
56,3503536,2645056
57,3312800,2117456
58,2809264,3238144
59,3800560,3216000
60,3905072,3047824
61,3680208,2525408
62,3199712,3357744
63,3993264,2636240
64,3349456,3853856
65,4373104,1898208
66,2470720,2994928
67,3644672,3243184
68,3760304,3501984
69,3989216,2443440
70,3079616,3638160
71,4169072,2740864
72,3401552,3136976
73,3818768,3079936
74,3641072,2747120
75,3464208,3374096
76,4042912,2350800
77,3042688,3354224
78,3831872,3226064
79,3835008,2734848
80,3278928,3072400
81,3731888,3149200
82,3812608,2886688
83,3606624,2680384
84,3342112,3448880
85,4056112,2368848
86,2916912,2810144
87,3253344,3142128
88,3868048,2869232
89,3402512,3135968
90,3886448,3388352
91,3769904,3745376
92,4392672,2436704
93,3106080,2920080
94,3627744,2708384
95,3358944,2679776
96,3328832,3066320
97,3768464,3211440
98,3708096,2945600
99,3592544,3202224
100,3762880,3305184
101,3980640,3118032
102,3737840,3199648
103,3870816,2460304
104,3076240,3435808
105,4083920,2783232
106,3459776,2438320
107,2990512,2714864
108,3310752,2158336
109,2878160,2211984
110,2853968,2698768
111,2913600,4304960
112,5002128,2653216
113,3277952,3148032
114,3872512,3117488
115,3781584,2658944
116,3352720,2132368
117,2808704,2936192
118,2798704,3077232
119,3744368,2782080
120,2915664,2901280
121,3618640,2104240
122,2787888,3020768
123,3701776,2481152
124,3098784,3018416
125,3562672,3009328
126,3440352,3226160
127,3750688,3213232
128,3749248,2542112
129,3199968,3626176
130,4082160,2142000
131,2747152,2200848
132,2922864,2800592
133,3446288,2828240
134,3480112,2139696
135,2841360,4221216
136,4230800,2499232
137,3174992,2379424
138,2925136,2927728
139,3022400,3042128
140,3191424,2825360
141,2961120,2872368
142,3582576,2972720
143,3702832,4466352
144,5186240,2060304
145,2732080,3633744
146,3313312,2308272
147,3024928,3898816
148,3662608,3294064
149,3905952,4110704
150,4752144,3332816
151,3963312,3132032
152,3734896,2617120
153,3160608,3399808
154,4085648,2243424
155,2930736,3978112
156,4460256,2889104
157,3311232,2862576
158,3514480,2027200
159,2747552,3209760
160,3944448,2640848
161,3208624,2760352
162,3465664,3048752
163,3719824,2937664
164,3495184,2900976
165,3457296,2550384
166,3194800,2977184
167,3612624,2918368
168,3672784,3121984
169,3848384,3126528
170,3562880,2083424
171,2786880,3629024
172,3080112,3252576
173,3973744,2119104
174,2777232,2703296
175,2882064,4224752
176,4098128,3304640
177,4004528,3016720
178,3609376,3175328
179,3793728,3284864
180,3750080,3127456
181,3880944,3459664
182,3998096,3102752
183,3497248,2959392
184,3598768,3122016
185,3846192,2511664
186,3186496,3571136
187,4156192,2677360
188,3238528,3263936
189,3913232,2618768
190,3315744,3313616
191,3948112,2535264
192,3092592,2513088
193,3090128,2486432
194,3224064,2713856
195,3395568,3028608
196,3695600,2172800
197,2895104,2858624
198,2783216,2523808
199,3277392,2909888
200,3629984,2413168
201,2986528,2247280
202,2884560,2799680
203,3470448,2893312
204,3592144,2386432
205,3121552,2962480
206,3545888,2871840
207,3509248,2234608
208,2868032,3631008
209,3784784,3159744
210,3758352,2933536
211,3581008,2717248
212,3416256,2233248
213,2920912,2814752
214,3528672,3146208
215,3858848,3304368
216,4001696,2891168
217,3060192,2817088
218,2932704,4314272
219,4984448,2887728
220,3525568,2945856
221,3580160,2974656
222,3555984,1975168
223,2632832,2728784
