HI_NET_PING_START run=17
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
hi_net_ping: HELLO_ACK received
[echo] HELLO_ACK sent
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
[echo] run #17 — echoing probes
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:    2000
Lost (no echo):        6 (0.300%)
RTL (us):
Mean: 4075.257    Std dev: 765.335
Min:  2267.280    Max:     16037.360
P50:  3923.136    P95:     5194.880
P99:  7078.848    P99.9:   11502.560
IAJ (us):
Mean: 3499.719    Std dev: 679.972
Min:  1531.584    Max:     8352.400
P50:  3339.856    P95:     4640.784
P99:  6077.376    P99.9:   7859.488
===CSV_START===
index,rtl_ns,iaj_ns
0,7157888,2879040
1,3579904,2896992
2,3484816,2666560
3,3298784,4526912
4,4741072,3347040
5,3970208,2672864
6,3245104,3444512
7,4089568,2836880
8,3136704,5060000
9,5451664,3801792
10,4249632,3148656
11,3816208,3998320
12,4243760,2899680
13,3429520,3161984
14,3797280,2456944
15,2836752,3268416
16,3753632,3924144
17,4443440,4776272
18,5459760,2949840
19,3562592,3416256
20,4006944,3166032
21,3696752,3617728
22,4028800,3547040
23,4201328,3399184
24,3859232,3090432
25,3749440,3670880
26,4317152,4464640
27,3889872,3637984
28,4115920,4002992
29,4548048,3226544
30,3805520,4498736
31,5004672,2818432
32,3364016,3474912
33,4128608,3813248
34,4420304,3857472
35,4424672,3912272
36,4350928,4566160
37,5110384,2742368
38,3433424,2647936
39,3261120,3204544
40,3870064,2811456
41,3357344,3839456
42,4430192,4099728
43,4542880,3306880
44,3956800,2249888
45,2804480,4669280
46,5235184,4457968
47,4248592,3096576
48,3784192,3212384
49,3720560,4374688
50,4754304,3627520
51,4184128,4173952
52,4677296,3592320
53,4077840,4029952
54,4590240,3992240
55,4678448,5170176
56,5704480,3939616
57,4445360,2162080
58,2722624,3654736
59,4019104,4021904
60,4650000,4974288
61,5639776,3634992
62,4289648,3857600
63,4419376,3747888
64,4263712,4307312
65,4813568,3095072
66,3571872,3082384
67,3661344,2949424
68,3504624,3400960
69,3909872,4446080
70,5083680,3536272
71,4046048,5291424
72,5957744,3899680
73,4220848,3796720
74,4368912,4285200
75,4889392,3279440
76,3887600,3398240
77,3842432,4248112
78,4677120,4081408
79,4740096,4877440
80,4702320,3058432
81,3668784,4253952
82,4644768,2968064
83,3483760,3540720
84,4030960,3844128
85,4423040,3644192
86,3656224,3255584
87,3779984,3675888
88,4203440,3944336
89,4303680,3383584
90,3794736,2722048
91,3338080,3264976
92,3823072,3710080
93,4261680,4385408
94,4973008,3150880
95,3770256,2630608
96,3322304,3131392
97,3704848,2847792
98,3532448,3026704
99,3646640,3505456
100,3974896,4152464
101,4598016,3204096
102,3751616,2139728
103,2635456,3663216
104,4066560,3873040
105,4416096,3771200
106,4459984,3974432
107,3758832,2605392
108,3298496,2940704
109,3518000,3337376
110,3876752,3338224
111,3883776,3942944
112,4564688,4053264
113,4647136,3437328
114,4142448,4762960
115,4267552,4274752
116,4535264,3697424
117,4178416,7011616
118,7577808,4253984
