HI_NET_PING_START run=22
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
[echo] HELLO_ACK sent
hi_net_ping: HELLO_ACK received
[echo] run #22 — echoing probes
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:    1355
Lost (no echo):      650 (32.500%)
RTL (us):
Mean: 4069.709    Std dev: 863.264
Min:  2259.728    Max:     15375.200
P50:  3899.376    P95:     5219.360
P99:  7451.600    P99.9:   12834.096
IAJ (us):
Mean: 3472.715    Std dev: 791.191
Min:  1665.936    Max:     13027.152
P50:  3297.440    P95:     4657.584
P99:  6773.872    P99.9:   9718.640
===CSV_START===
index,rtl_ns,iaj_ns
0,3982800,3133552
1,3762592,4550784
2,5113552,2760672
3,3347232,5439296
4,6039296,3525072
5,4125840,4620128
6,5022928,3498976
7,4035648,4832048
8,5370800,3470576
9,4139504,3801952
10,4285520,3725440
11,4384336,3017056
12,3715088,2940864
13,3630720,3097408
14,3793584,4552800
15,5257792,4438496
16,5065840,3672960
17,3996224,7033008
18,7766608,5498544
19,6004496,6393792
20,6886336,5604320
21,6217568,4956816
22,5641408,6824320
23,7019840,4988736
24,5457328,3323168
25,4010848,3608800
26,4270336,5221200
27,4915264,3845856
28,4359408,3054832
29,3772960,2843280
30,3542464,4931280
31,5345728,3483920
32,4096672,3179296
33,3624128,3842096
34,4256048,3291568
35,3817168,3570736
36,4154064,3117392
37,3832896,4366656
38,4943808,3514448
39,4137152,4323696
40,4790032,3498416
41,4043616,2851520
42,3565472,2984608
43,3717792,2997744
44,3714128,3202784
45,3904000,3226608
46,3956672,4655664
47,5178816,3088112
48,3809184,4779984
49,5241328,3393232
50,4012384,5182352
51,5791904,3869536
52,4383376,2760400
53,3406048,3198016
54,3882528,3124976
55,3767216,2662352
56,3086336,3118672
57,3815648,3013296
58,3759040,2847328
59,3530432,3369360
60,4032912,3617232
61,4002976,3222352
62,3894528,3273648
63,3982928,3314544
64,3881504,3637328
65,3635120,3052432
66,3613376,3182000
67,3759328,3335728
68,3945456,3310624
69,3988048,3285728
70,3652224,3579008
71,3992624,3030304
72,3733728,3039360
73,3724768,4049360
74,4645536,4327760
75,4827904,2865600
76,3434352,5236928
77,5685648,3296352
78,3853712,3900544
79,4548032,4328864
80,4088624,4040624
81,4546336,3865824
82,4521024,4459872
83,5104432,3568016
84,4025200,2745808
85,3438208,3098448
86,3723280,2938048
87,3555200,3312224
88,3975728,2918416
89,3528624,2998496
90,3501808,2789392
91,3427600,3288000
92,3979856,3624320
93,3902464,3876512
94,4474208,3140016
95,3722080,3361040
96,4055168,3306992
97,3854832,3912464
98,3870128,3404032
99,3916416,2742208
100,3429728,3397712
101,3967552,3673968
102,4267440,4292864
103,4692208,2885872
104,3587216,3131728
105,3789584,3490800
106,4178816,3216496
107,3813136,4241648
108,4026192,2723056
109,3393328,3447472
110,3905056,3262016
111,3866928,4049664
112,4244592,3289344
113,3678864,3399280
114,3927040,3503600
115,4166480,4449632
116,4276928,4079408
117,4556080,3369024
118,3952176,2983184
119,3552768,3309488
120,3870272,3153328
121,3790096,3009504
122,3702752,3581264
123,4294384,4405696
124,4104112,2519440
125,3198128,3071088
126,3658816,2761424
127,3333648,3321552
128,3994512,3416240
129,4010480,3184576
130,3718112,2538400
131,3072832,3239232
132,3856064,3197920
133,3886192,3713456
134,4210976,4085840
135,4693824,3884288
136,4572720,3820976
137,3563520,2750192
138,3315424,3093376
139,3644112,3658960
140,4009376,4016144
141,4569984,2974992
142,3474464,3077664
143,3732800,3976224
144,4605168,3321328
145,3974064,4086000
146,3970704,3494528
147,3990304,3877776
148,4562672,2960992
149,3654784,2922336
150,3517664,3163296
151,3790544,3623728
152,4343840,2552128
153,3254768,2989520
154,3609376,3810336
155,4429792,3270192
156,3838400,2973680
157,3619104,3024448
158,3699600,3247264
159,3891552,3386528
160,4039120,3687568
161,3822976,3169344
162,3667856,3063184
163,3749584,3004768
164,3655248,2987808
165,3692352,3024864
166,3696400,3033328
167,3713872,3140768
168,3875952,4190016
169,4610352,3617616
170,4174816,3166656
171,3816832,2891456
172,3615024,3888816
173,4538944,3988368
174,3910336,4083584
175,4784304,3130080
176,3764016,3432560
177,4139824,3311968
178,3859904,3078944
179,3665312,3372368
180,4082416,3164768
181,3749664,2947088
182,3524816,4296608
183,4939568,3395920
184,3850848,3961008
185,4656512,3793824
186,4436432,3074128
187,3650528,3195408
188,3760640,3150032
189,3881904,3235920
190,3853312,3906928
191,3808752,3600944
192,4166800,3355616
193,4023872,3006784
194,3503024,4665808
195,5127600,3296416
196,3942432,3156752
197,3708144,3323792
198,3935392,3721264
199,3876928,3595088
200,4267200,3179920
201,3904448,4225760
202,4746416,2574000
203,3227840,3785744
204,4476672,2793456
205,3457312,3087056
206,3582224,3184752
207,3909760,3294352
208,3973744,3273024
209,3857088,4107520
210,4718352,3307648
211,3942816,4359088
212,5037040,2960944
213,3612736,3593632
214,4312688,3352176
215,3973632,4356464
216,5064400,2989776
217,3579792,3720272
218,4355536,4431984
219,4764368,3509440
220,3982096,3731104
221,4382624,3576080
222,3698000,3516320
223,4031792,2932448
224,3619504,3997328
225,4664848,4260304
226,4948880,2820704
227,3511520,2970672
228,3678608,2753296
229,3487632,3140320
230,3794016,2785248
231,3505744,3204864
232,3860176,3189648
233,3885920,2877472
234,3592128,3080944
235,3792336,3812576
236,4473824,3986560
237,4141248,3354128
238,4043456,2953296
239,3644192,3234992
240,3932720,4290912
241,4700832,3292992
242,3910160,2959472
243,3688544,3111920
244,3720496,3383264
245,4086016,3426496
246,4048256,3976272
247,3944672,3102336
248,3732752,3859216
249,4486624,3869648
250,4569568,3286592
251,3906400,3126352
252,3823600,3234400
253,3916304,3680384
254,4269216,4901840
255,4639632,3172352
256,3800368,3585072
257,4252240,3363584
258,3907792,3339600
259,4032288,3631744
260,4148736,3919456
261,4054080,3207920
262,3901584,4186416
263,4852000,3059120
264,3766720,3394912
265,4003472,3166224
266,3882464,3084336
267,3782176,2848960
268,3585152,3505040
269,4230048,3393600
270,3987824,3866112
271,4030384,3150912
272,3764560,2976848
273,3665712,2642720
274,3301104,2468224
275,3171488,3494240
276,3682864,3280880
277,3827952,3017120
278,3652544,2975152
279,3672176,3269632
280,3864928,3540608
281,4225328,3375728
282,3795600,3177008
283,3842640,3722624
284,4379584,3147024
285,3732880,2796960
286,3530432,3354320
287,4000448,3169184
288,3894464,3636896
289,4306768,3511584
290,3676656,3230064
291,3872992,3646432
292,4351440,3140160
293,3859088,3375536
294,3806560,3690144
295,4276176,3513632
296,3946976,2934624
297,3509744,3116496
298,3860000,3019808
299,3741120,2801328
300,3541104,3164144
301,3866464,3310208
302,4003712,3558512
303,4254720,3722560
304,3878192,3414496
305,3927824,3059168
306,3770528,3253488
307,3946016,4555712
308,5017840,3572896
309,4188400,3529408
310,4064560,3852032
311,4034672,2995696
312,3538208,3191968
313,3780080,3054512
314,3644752,2951776
315,3670288,2835536
316,3559904,3058576
317,3766048,3501232
318,4085760,3817984
319,4403264,3759328
320,4375088,3105392
321,3807024,2893360
322,3624512,2899536
323,3580032,3246656
324,3914416,2875024
325,3589104,2947088
326,3653264,3037440
327,3757200,2908064
328,3623232,3006464
329,3642192,3100336
330,3765152,3384256
331,4092624,3388464
332,4052304,4066416
333,4176608,3454464
334,4042976,3113456
335,3637472,4011360
336,4419024,3680064
337,4048016,2885936
338,3611728,3245232
339,3840720,4352336
340,5007664,3349568
341,3931120,4507936
342,5130240,3011456
343,3711712,3409136
344,4018448,3177536
345,3880560,2959840
346,3670016,3348016
347,4068640,3172016
348,3775280,2771744
349,3400672,2459536
350,3178800,3112304
351,3800656,2602048
352,3343344,2772304
353,3319248,3552576
354,4231008,3235792
355,3866224,2959984
356,3691248,2993456
357,3606032,2734704
358,3447904,3365696
359,4004192,3254832
360,3973616,3708128
361,4260352,3397440
362,3516976,4170096
363,4794016,3743616
364,4305168,3029344
365,3627120,3697280
366,4298000,3013136
367,3736976,3219536
368,3952080,4281840
369,4977328,2866464
370,3442768,3270992
371,3792464,2994880
372,3722592,3260064
373,3909360,3564208
374,3800352,3526256
