HI_NET_PING_START run=23
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
hi_net_ping: HELLO_ACK received
[echo] HELLO_ACK sent
[echo] run #23 — echoing probes
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:    2000
Lost (no echo):        7 (0.350%)
RTL (us):
Mean: 4136.663    Std dev: 925.493
Min:  2555.056    Max:     21267.536
P50:  3954.064    P95:     5331.312
P99:  7143.936    P99.9:   17247.088
IAJ (us):
Mean: 3557.066    Std dev: 847.401
Min:  1880.384    Max:     23274.048
P50:  3382.352    P95:     4753.648
P99:  6293.008    P99.9:   10921.104
===CSV_START===
index,rtl_ns,iaj_ns
0,5061248,4053696
1,4757360,3444320
2,4148384,4243824
3,4684256,3304576
4,3984416,3370112
5,3959296,3051216
6,3650656,3312688
7,3867552,3460384
8,4134448,4172000
9,4014576,3469504
10,3952096,2651360
11,3341856,3308128
12,3885184,2943152
13,3681440,3529360
14,4223488,3810800
15,4155008,3223312
16,3755168,3629392
17,4095184,3587520
18,4223504,4136416
19,3955392,3308704
20,3981664,4052736
21,4357088,3049184
22,3742880,2791120
23,3463104,3526032
24,4224352,3215616
25,3766416,3031456
26,3718448,2610400
27,3352096,2870800
28,3367376,3630368
29,4085648,3125152
30,3849968,3779984
31,4480016,3445728
32,3738480,3220032
33,3943984,3409008
34,4021568,3264192
35,3976240,4025472
36,4547104,3381232
37,4095904,3605728
38,4135200,3999232
39,4356608,4335808
40,5010192,3653008
41,3669088,4159872
42,4819840,4488016
43,4284384,4183376
44,4830048,3975984
45,4647712,4345520
46,5006448,3047904
47,3554768,3055216
48,3474352,2860464
49,3403872,2913216
50,3290240,3070272
51,3427712,3101488
52,3702128,3472960
53,4018608,4071120
54,4652976,3278768
55,3972832,2844464
56,3485040,3247584
57,3934192,2879952
58,3415872,2983632
59,3654288,3469024
60,4189408,3264160
61,3916576,3623488
62,4333200,4371072
63,4515920,3262912
64,3932032,4001536
65,4486336,3817168
66,4520608,4697696
67,5242240,3296480
68,3895648,3207232
69,3947152,4062704
70,4626400,3377040
71,3847792,3493552
72,4125968,4426752
73,5111296,3312848
74,3929696,4077152
75,4743088,3230656
76,3942976,2997280
77,3610384,2797440
78,3538080,3891776
79,4602032,3085680
80,3800016,3319664
81,4046272,3221104
82,3883888,5121552
83,5754688,3329568
84,3911824,3445024
85,4029872,3719600
86,4260464,3133088
87,3844400,4307808
88,4961840,2826704
89,3466960,3202864
90,3723840,2754576
91,3318384,3533584
92,4145264,4138096
93,4703184,3285328
94,3939744,3541392
95,4244240,2769088
96,3466016,3434592
97,4012000,3397568
98,4132544,3432112
99,3497664,4209920
100,4172688,3996224
101,4453136,4125536
102,4780464,2934512
103,3599088,3211808
104,3904416,4328544
105,3808656,3176256
106,3786688,3069072
107,3662304,3012496
108,3747504,3264960
109,3963888,3336752
110,3920128,3617312
111,3979072,3156160
112,3866000,2884672
113,3421888,3208352
114,3962032,3549232
115,4117392,2926048
116,3643680,3278704
117,4016160,5081184
118,5623328,4030144
119,4391888,3175408
120,3742912,2697728
121,3246240,3267264
122,4018384,3575392
123,4126528,4420256
124,5071968,3124624
125,3695520,2980864
126,3500688,3382688
127,3878720,3015152
128,3720240,3346880
129,3973552,4001712
130,4738240,3612256
131,4281952,3063744
132,3804448,4955600
133,5650384,2578256
134,3321040,3160352
135,3669808,3248416
136,3799472,2580784
137,3304592,2965680
138,3522272,3463984
139,3926176,3364912
140,3974912,4192368
141,4781952,2766800
142,3312944,3128176
143,3723216,2843904
144,3535056,3272176
145,4010944,3756944
146,4270224,4206944
147,4822992,3480752
148,4123440,3768448
149,4486528,3580784
150,4090832,2904384
151,3555808,3625152
152,4365680,3062416
153,3752432,3151808
154,3893328,3621008
155,4199136,4241664
156,4411376,2744224
157,3436176,2853072
158,3454816,3519296
159,4059968,3159584
160,3810720,3390720
161,4025088,4016144
162,4404096,3454896
163,4052432,2643360
164,3364112,3559616
165,4103904,4346464
166,4896128,2761536
167,3376976,3769888
168,4402880,2989744
169,3599952,4109136
170,4849072,3433744
171,4043136,3301792
172,3779856,3099552
173,3784480,3124656
174,3874528,3167760
175,3832368,4612960
176,5116448,3796960
177,4508656,4179408
178,4720640,3196032
179,3924944,4331040
180,5027712,4320384
181,4923520,4442992
182,4932032,4585504
183,5315856,3165856
184,3790144,3185648
185,3891040,2900592
186,3598272,3143088
187,3823728,3880720
188,4515472,3391664
189,4142848,3470144
190,3959024,2891472
191,3639280,2740720
192,3439600,3382352
193,3941360,2947040
194,3659008,2896480
195,3630544,3424192
196,4086896,3614544
197,4251744,3795296
198,3507152,2947072
199,3527728,4445568
200,4986240,4159408
201,4766720,4274288
202,4848720,3522432
203,4032064,3055424
204,3802448,3000208
205,3684080,2679984
206,3420080,2715264
207,3372944,3133776
208,3656336,2895728
209,3425152,3214096
210,3820656,3002304
211,3637856,3932048
212,4334752,3769088
213,4360960,3618816
214,4236816,2971888
215,3694736,2974656
216,3665104,2873424
217,3627216,2671792
218,3362016,3667632
219,4235920,3486672
220,4179616,3776592
221,3948208,3146416
222,3678864,2758432
223,3379296,3249680
224,3948240,3132688
225,3759072,2612928
226,3177264,3114864
227,3818896,2980880
228,3572176,3729360
229,4162320,3837216
230,4557856,4007216
231,4712480,2712528
232,3443696,2787440
233,3477088,3414608
234,3974928,4515104
235,5134656,3022224
236,3651152,3273744
237,3759936,2882112
238,3416192,3334656
239,3931872,3235392
240,3924016,4406752
241,5143360,3325792
242,3768384,3408224
243,4108224,4682096
244,5141840,4231840
245,4846256,3835408
246,4460432,4598848
247,5331312,2842992
248,3465984,3098144
249,3599520,3596848
250,4084256,4256064
251,4847056,3024368
252,3569664,3373904
253,3797568,3763952
254,4354208,4022608
255,3940032,3585072
256,4112144,4067920
257,4674736,3019328
258,3669968,2927632
259,3570560,2788848
260,3543744,4476240
261,5170672,4218672
262,4205808,2849232
263,3443792,2676112
264,3271392,3315472
265,3752768,2741472
266,3373120,2943952
267,3622224,3562112
268,4316176,2637872
