HI_NET_PING_START run=11
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
[echo] HELLO_ACK sent
hi_net_ping: HELLO_ACK received
[echo] run #11 — echoing probes
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:     604
Lost (no echo):     1400 (70.000%)
RTL (us):
Mean: 3982.434    Std dev: 864.716
Min:  2305.456    Max:     14568.352
P50:  3862.176    P95:     4996.800
P99:  6233.456    P99.9:   14568.352
IAJ (us):
Mean: 3326.984    Std dev: 605.310
Min:  1782.624    Max:     8998.928
P50:  3219.088    P95:     4449.904
P99:  4999.696    P99.9:   8998.928
===CSV_START===
index,rtl_ns,iaj_ns
0,3997184,4426960
1,4996800,4674176
2,5217040,4785808
3,5384560,2908448
4,3526848,3174768
5,3622432,2497376
6,3163360,3437104
7,3952944,2410704
8,3072544,3818192
9,4369136,3126080
10,3831360,2662768
11,3398448,3259024
12,3937600,3258976
13,3878432,3577216
14,4082208,4449904
15,4034272,4133696
16,4717968,2676096
17,3281072,3765600
18,4370640,3121440
19,3788720,2653664
20,3355456,3150848
21,3852512,2652544
22,3301392,3417744
23,4016736,3299504
24,3976352,3367472
25,4041968,4503104
26,5100752,3244192
27,3890384,3834880
28,4283072,3858304
29,4498784,3209920
30,3897696,3536640
31,4231024,4105856
32,4765168,2912544
33,3601216,2985600
34,3617168,3618432
35,4328448,3659952
36,3977216,2845168
37,3500192,3502496
38,4138976,3576176
39,4153440,3219216
40,3865120,2893824
41,3577216,3167104
42,3759888,3450288
43,4031728,3100400
44,3735600,3202336
45,3910192,3720064
46,3866592,3588672
47,4309568,3506704
48,4115392,3377584
49,3945936,3569664
50,4078912,2593440
51,3345920,3174880
52,3763952,2723712
53,3373888,3340080
54,4062816,3280240
55,3860944,3388208
56,4091200,3024896
57,3719856,3253760
58,3727328,4339280
59,4925824,2749328
60,3339152,3011632
61,3697360,3245296
62,3889472,2800768
63,3479696,3336624
64,3968336,3009648
65,3694320,2813072
66,3491440,2803760
67,3486000,3045872
68,3704960,2957872
69,3676400,3032048
70,3730336,3634624
71,4363744,2854752
72,3425440,2679984
73,3371984,3114800
74,3797280,3037168
75,3733056,2700192
76,3418032,3503472
77,4225440,3219088
78,3870992,3863232
79,4438768,4020832
80,4643280,2907824
81,3463648,3585808
82,4180656,4370928
83,5017984,2683168
84,3340080,2640480
85,3335856,3543616
86,4242976,3202144
87,3737360,3666048
88,4198304,3760544
89,4393072,3192592
90,3858864,2913456
91,3569456,3468528
92,4062624,3014192
93,3581232,4667312
94,4927216,3184624
95,3881680,3264272
96,3772816,4291296
97,4789184,2630944
98,3332288,3381376
99,3807616,3002336
100,3667040,2683984
101,3366576,3338992
102,3927008,3194784
103,3907440,3171600
104,3806448,3690880
105,4380416,3770464
106,4441248,3206608
107,3833424,3208576
108,3757520,3196080
109,3906896,3986320
110,4639808,3818400
111,4431456,3250320
112,3875488,2643232
113,3341648,3078032
114,3724048,2774256
115,3448784,2631024
116,3349968,3688816
117,4306720,3122896
118,3823312,8998928
119,9655168,4866240
120,5530192,3271904
121,3968752,6556016
122,4689680,3480128
123,4103488,2982144
124,3488640,4935808
125,5479728,4001472
126,4572400,3676240
127,4245648,3224688
128,3922912,4853680
129,5324608,5998608
130,6543072,5812352
131,10884496,3918048
132,11152720,3607120
133,6233456,3163408
134,4442976,3022032
135,4022816,3200736
136,3790928,3049760
137,3737600,3606256
138,3927056,3327360
139,3686576,3870304
140,4121888,2730208
141,4021760,2994800
142,3936704,2835088
143,3467504,3835344
144,3702640,3898352
145,3418016,3515424
146,4513680,2994192
147,4342400,2807648
148,4040672,3177920
149,3655472,2327360
150,3468848,3963184
151,3842560,3485088
152,2999536,4577552
153,4531664,3028960
154,4148336,3098000
155,5204960,2970464
156,3698544,2708160
157,3671488,2789616
158,3313792,3021824
159,3279072,3537392
160,3443520,2948592
161,3608528,3493264
162,4199632,3692976
163,3320320,3522160
164,3935392,3216128
165,4273296,3624128
166,4083296,4074784
167,3888672,3038000
168,4110592,3003472
169,3922128,3007888
170,3742736,3152496
171,3709408,2735760
172,3694144,3202048
173,3856784,3664848
174,3421392,2611408
175,3834000,2855296
176,4067488,3096368
177,3129344,2968624
178,3331792,3739104
179,3683264,3787376
180,3499664,2948352
181,4324160,3205968
182,4425504,3306976
183,3478784,4781760
184,3909904,2813936
185,3988640,3591360
186,5353072,3146736
187,3507376,3193648
188,4259936,3529296
189,3772272,2996016
190,3763264,3374000
191,4071840,3303104
192,3299936,2864176
193,4001808,2385120
194,3965232,4249056
195,3551232,3688672
196,3044288,3985536
197,4755936,3105360
198,4186832,2982832
199,3987584,2727632
200,3731696,3244384
201,3509120,3700752
202,3294576,3826400
203,3889616,3041600
204,4308848,2403824
205,4392160,4063136
206,3642624,3611712
207,3022992,4101088
208,4588656,2985984
209,4212480,3253808
210,4030688,3244384
211,3668336,3497712
212,3953472,3704896
213,3854576,3304208
214,3767392,3025232
215,4224256,3008464
216,3915312,3033072
217,3669664,2792240
218,3714976,3363584
219,3729712,3151760
220,3492224,3526992
221,4013440,4105040
222,3752992,2956400
223,4106576,3084016
224,3924672,3198864
225,3650976,3071200
226,3778848,3646128
227,3769168,3417264
228,3667488,4085088
229,4183264,4378656
230,3986864,3036752
231,4560368,3407888
232,4712576,3070432
233,3654992,3306144
234,4013232,2859840
235,3656864,3249072
236,3950848,2606592
237,3262224,4487424
238,3671600,3092336
239,3191136,2707728
240,4957504,2663824
241,3696256,4156768
242,3405440,3287888
243,3322384,3289904
244,4696320,3805168
245,3898272,3316272
246,4002304,2676720
247,3817632,3186992
248,3977360,2940960
249,3366128,3733488
250,3834880,3329216
251,3648768,3776800
252,4437776,2862672
253,3871664,3009424
254,4388192,2664496
255,3480288,3420768
256,3666336,3207376
257,3310576,3937632
258,3989984,3023200
259,14568352,3542544
260,3758096,3424288
