HI_NET_PING_START run=17
Probes: 2000  |  Protocol: UDP  |  Period: 1 ms  |  Msg: 64 B
hi_net_ping: sending HELLO to 127.0.0.1:5002 (protocol=UDP)...
[echo] HELLO — protocol=UDP  n_probes=2000
[echo] HELLO_ACK sent
hi_net_ping: HELLO_ACK received
[echo] run #17 — echoing probes
hi_net_ping: starting ping-echo loop (2000 probes at 1 ms)...
========== HI_NET_PING RESULTS ==========
Probes sent:        2000
Echoes received:    2000
Lost (no echo):        6 (0.300%)
RTL (us):
Mean: 3935.637    Std dev: 878.015
Min:  2159.280    Max:     18378.432
P50:  3796.656    P95:     4963.328
P99:  6986.080    P99.9:   15860.656
IAJ (us):
Mean: 3335.338    Std dev: 708.596
Min:  1492.672    Max:     10397.104
P50:  3185.296    P95:     4458.656
P99:  6155.376    P99.9:   9720.192
===CSV_START===
index,rtl_ns,iaj_ns
0,6667184,4067792
1,4664992,3497856
2,3857344,3635792
3,4226224,4726352
4,5213152,3225872
5,3876400,3405040
6,4009552,2668816
7,3064272,3643632
8,4254128,4076880
9,4683008,3267632
10,3979680,3728480
11,4279024,4279616
12,4065536,3454800
13,3899088,4029424
14,4455968,3078992
15,3712960,3191904
16,3796656,3091488
17,3786592,3653984
18,4348960,4506272
19,5155520,2971040
20,3459648,3746416
21,4255520,3753248
22,4399296,3284768
23,3981792,3018352
24,3720512,2995280
25,3708256,3982256
26,4562272,3942224
27,3627648,3332448
28,3888464,3614032
29,3989424,3740896
30,4324144,3340544
31,3997104,3752992
32,4444704,4979456
33,5577552,3463488
34,4024432,3586608
35,4126192,3150720
36,3805456,2793120
37,3502208,3089344
38,3782624,3199616
39,3810064,2917168
40,3599888,2841072
41,3551504,2624320
42,3223776,3047024
43,3592240,3459040
44,4078704,3149824
45,3854672,2106112
46,2685344,3435696
47,3873488,2700496
48,3359072,3943488
49,4479152,3382864
50,3875504,3032736
51,3698176,4159536
52,4832720,3309360
53,3947360,3228544
54,3898000,2928240
55,3345104,2941216
56,3468560,3243040
57,3797936,3151024
58,3646400,3416656
59,3912224,3301664
60,3832752,3338160
61,3897696,2965296
62,3626576,3139952
63,3783312,3433136
64,3958016,3611504
65,4183408,3940784
66,3753472,2860448
67,3457088,3570832
68,4203920,4041664
69,4587424,3728720
70,4228304,3039072
71,3748464,3284416
72,3990832,3901088
73,4385968,3565360
74,3573664,2895760
75,3547824,3120928
76,3736656,3372816
77,3990256,3499552
78,3868528,4080336
79,4680832,2955616
80,3624880,2930528
81,3546144,2687408
82,3338768,3439456
83,3869600,3037024
84,3720720,2948752
85,3660512,3681936
86,4351184,3411312
87,3948768,3949152
88,4582432,3358368
89,3981328,2907328
90,3587504,3196816
91,3876320,3581424
92,4060032,3835184
93,4388912,3122368
94,3721744,2460912
95,3127008,3928016
96,4481632,3190688
97,3813328,4493088
98,4992432,2911200
99,3571696,3521552
100,4097552,2983792
101,3600688,3037088
102,3651328,3273440
103,3848608,3090944
104,3616928,3117840
105,3744304,4234512
106,4876816,3143440
107,3782432,3035888
108,3700336,3607392
109,4194272,3188224
110,3862080,4005824
111,3723984,4351264
112,4606064,3567264
113,4093456,3295552
114,3999424,2997008
115,3578784,2840544
116,3414352,3094192
117,3806672,3089776
118,3768160,3063440
119,3638448,2673184
120,3305088,3143376
121,3861008,3221104
122,3866032,5022800
123,5440880,3659120
124,4104304,3622560
125,4117184,3081728
126,3694560,3299216
127,3977056,3250736
128,3930640,3376944
129,3840000,3545776
130,4222960,3655568
131,3396416,3112192
132,3775968,2858272
133,3572976,2726176
134,3378768,3492112
135,4178512,3026400
136,3743136,2755424
137,3474144,3249728
138,3929152,2567040
139,3200624,3376336
140,4031536,3361088
141,4043024,3651152
142,4058784,3339744
143,4012400,3310096
144,3856112,3061936
145,3665888,3230352
146,3823616,3162464
147,3833584,3156080
148,3808768,3033552
149,3574800,3650736
150,4150944,4850256
151,4701888,3496576
152,4049280,3654592
153,4191808,3010240
154,3691760,3393760
155,4091584,4460464
156,4964064,3396576
157,4052496,3038272
158,3601248,2796800
159,3405584,2736544
160,3337136,3138352
161,3792576,2839488
162,3534080,3376448
163,3992288,2836176
164,3390256,2874496
165,3589328,2966240
166,3605088,2793392
167,3430240,2532272
168,3203584,3675296
169,3607792,2903408
170,3525456,3194640
171,3868080,3052016
172,3768272,2790128
173,3506448,2896816
174,3612928,2449552
175,3115536,2902528
176,3030192,4145936
177,4208624,3147296
178,3716608,3996992
179,4470512,3363728
180,3890032,3513456
181,4179760,2984336
182,3565472,2951184
183,3576208,3483424
184,4175024,3416432
185,3980720,3934576
186,3945696,2901552
187,3590688,3328352
188,4000352,2743440
189,3315072,3112416
190,3759632,3071664
