========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 152852   3676  28416    0    0   346    15  217  145 17 41 42  0  0
 0  0      0 152732   3676  28420    0    0     0     0   15   23  0  0 100  0  0
 1  0      0 152732   3676  28420    0    0     0     0   16   15  0  0 99  0  0
 0  0      0 152732   3676  28420    0    0     0     0   14   19  0  0 100  0  0
 0  0      0 152732   3676  28420    0    0     0   124   23   26  1  1 98  1  0
 0  0      0 152732   3676  28420    0    0     0     0   22   23  0  0 100  0  0
 0  0      0 152732   3676  28420    0    0     0     4   28   23  0  1 99  0  0
 1  0      0 152732   3676  28420    0    0     0     0   15   17  0  0 100  0  0
 1  0      0 152732   3676  28420    0    0     0     0   14   13  0  1 99  0  0
 0  0      0 152732   3676  28420    0    0     0     0   12   17  0  0 100  0  0
 0  0      0 152732   3676  28420    0    0     0     0   13   16  0  0 100  0  0
 1  0      0 152608   3676  28420    0    0     0     4   27   21  0  1 100  0  0
 0  0      0 152608   3676  28420    0    0     0     0   16   18  0  0 100  0  0
 0  0      0 152608   3676  28424    0    0     0     0   17   23  0  0 100  0  0
 0  0      0 152608   3676  28424    0    0     0     0   12   14  0  0 100  0  0
 1  0      0 152608   3676  28424    0    0     0     0   28   26  1  0 99  0  0
 0  0      0 152608   3676  28424    0    0     0     0   53   52  0  3 97  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 0 (0.000%)
Execution Time (μs):
Mean: 411.364
Min: 152.272
Max: 1641.824
50th percentile: 204.336
95th percentile: 1204.208
99th percentile: 1427.312
99.9th percentile: 1641.824
Jitter (μs):
Mean: 1502.980
Min: 951.024
Max: 3297.136
Response Time (μs):
Mean: 1914.344
Min: 1184.768
Max: 3490.640
50th percentile: 2184.464
95th percentile: 2482.096
99th percentile: 2856.576
99.9th percentile: 3490.640
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.052424,432.400,2424.176,2856.576,0
2,0.102282,175.792,2282.480,2458.272,0
3,0.152121,221.248,2121.024,2342.272,0
4,0.202104,208.240,2104.464,2312.704,0
5,0.251207,156.896,1206.640,1363.536,0
6,0.300992,230.896,992.336,1223.232,0
7,0.351260,194.272,1259.984,1454.256,0
8,0.402034,194.272,2034.288,2228.560,0
9,0.451370,173.232,1369.728,1542.960,0
10,0.502285,190.832,2285.264,2476.096,0
11,0.552103,214.992,2103.232,2318.224,0
12,0.601119,1258.448,1118.560,2377.008,0
13,0.651339,188.768,1339.456,1528.224,0
14,0.701036,192.704,1036.304,1229.008,0
15,0.752113,195.968,2113.168,2309.136,0
16,0.801174,1144.704,1174.080,2318.784,0
17,0.851159,152.688,1159.088,1311.776,0
18,0.902142,187.664,2142.112,2329.776,0
19,0.951276,186.128,1276.064,1462.192,0
20,1.002107,157.536,2106.912,2264.448,0
21,1.051246,193.872,1246.208,1440.080,0
22,1.102195,188.608,2195.312,2383.920,0
23,1.152393,167.696,2392.960,2560.656,0
24,1.202155,168.064,2155.232,2323.296,0
25,1.251400,192.032,1400.400,1592.432,0
26,1.302005,179.232,2005.232,2184.464,0
27,1.351346,156.416,1346.032,1502.448,0
28,1.401141,1052.112,1140.944,2193.056,0
29,1.452125,168.928,2125.312,2294.240,0
30,1.501337,196.832,1337.376,1534.208,0
31,1.552244,158.384,2244.304,2402.688,0
32,1.601256,1148.992,1256.336,2405.328,0
33,1.651373,176.704,1372.896,1549.600,0
34,1.701344,201.200,1344.032,1545.232,0
35,1.752125,158.208,2124.944,2283.152,0
36,1.801242,1142.448,1242.176,2384.624,0
37,1.851086,232.256,1085.904,1318.160,0
38,1.901250,1108.064,1250.176,2358.240,0
39,1.951998,203.120,1998.480,2201.600,0
40,2.001216,1125.056,1216.176,2341.232,0
41,2.051526,172.736,1525.728,1698.464,0
42,2.102099,154.096,2098.896,2252.992,0
43,2.151253,186.448,1253.328,1439.776,0
44,2.201348,195.664,1348.128,1543.792,0
45,2.251238,159.120,1237.696,1396.816,0
46,2.301162,1040.384,1161.520,2201.904,0
47,2.351149,208.896,1148.960,1357.856,0
48,2.401212,1266.256,1212.272,2478.528,0
49,2.451999,263.312,1999.488,2262.800,0
50,2.501196,1052.320,1196.288,2248.608,0
51,2.551134,171.136,1133.936,1305.072,0
52,2.601247,1107.888,1247.488,2355.376,0
53,2.651264,197.792,1264.272,1462.064,0
54,2.701156,984.576,1156.256,2140.832,0
55,2.752139,157.248,2138.832,2296.080,0
56,2.802125,180.432,2124.976,2305.408,0
57,2.851176,181.280,1176.464,1357.744,0
58,2.901145,930.096,1144.688,2074.784,0
59,2.952089,212.128,2089.312,2301.440,0
60,3.001100,1090.144,1099.728,2189.872,0
61,3.051285,168.032,1284.976,1453.008,0
62,3.102112,216.160,2111.968,2328.128,0
63,3.151383,212.688,1383.488,1596.176,0
64,3.202525,171.616,2524.784,2696.400,0
65,3.251238,167.824,1238.016,1405.840,0
66,3.301410,259.904,1409.664,1669.568,0
67,3.352199,193.424,2199.264,2392.688,0
68,3.402219,166.656,2219.232,2385.888,0
69,3.452116,166.288,2115.872,2282.160,0
70,3.501222,1143.248,1221.872,2365.120,0
71,3.551298,164.256,1297.552,1461.808,0
72,3.601142,716.656,1141.584,1858.240,0
73,3.652193,230.896,2193.248,2424.144,0
74,3.702124,222.224,2124.112,2346.336,0
75,3.751106,191.776,1105.648,1297.424,0
76,3.802072,240.640,2071.520,2312.160,0
77,3.851151,184.400,1151.392,1335.792,0
78,3.901000,249.632,999.552,1249.184,0
79,3.952068,190.832,2068.256,2259.088,0
80,4.001163,1186.288,1162.576,2348.864,0
81,4.051177,213.824,1176.640,1390.464,0
82,4.102259,199.888,2259.008,2458.896,0
83,4.152322,202.496,2322.272,2524.768,0
84,4.203172,174.768,3171.744,3346.512,0
85,4.251234,154.272,1233.904,1388.176,0
86,4.301116,1081.856,1116.128,2197.984,0
87,4.351172,188.704,1172.048,1360.752,0
88,4.401011,210.064,1011.248,1221.312,0
89,4.451122,205.648,1121.872,1327.520,0
90,4.501336,211.088,1335.984,1547.072,0
91,4.551114,186.288,1113.904,1300.192,0
92,4.601281,284.880,1281.312,1566.192,0
93,4.652072,166.704,2072.064,2238.768,0
94,4.702105,276.416,2104.784,2381.200,0
95,4.752040,296.016,2040.416,2336.432,0
96,4.801132,1049.760,1131.520,2181.280,0
97,4.851123,193.488,1122.656,1316.144,0
98,4.901142,1021.776,1141.584,2163.360,0
99,4.952001,282.240,2000.560,2282.800,0
100,5.001103,1126.528,1102.512,2229.040,0
101,5.051214,152.992,1213.568,1366.560,0
102,5.101133,1204.208,1132.992,2337.200,0
103,5.151105,192.160,1104.928,1297.088,0
104,5.201154,1579.728,1153.552,2733.280,0
105,5.251729,184.416,1728.560,1912.976,0
106,5.302093,221.008,2092.736,2313.744,0
107,5.351155,187.792,1154.848,1342.640,0
108,5.401166,1641.824,1165.888,2807.712,0
109,5.452090,156.160,2090.384,2246.544,0
110,5.502098,245.632,2098.160,2343.792,0
111,5.551165,180.320,1165.200,1345.520,0
112,5.601169,1108.880,1169.184,2278.064,0
113,5.651233,154.672,1233.200,1387.872,0
114,5.701084,1124.992,1083.920,2208.912,0
115,5.751210,158.080,1210.336,1368.416,0
116,5.801095,1083.664,1094.800,2178.464,0
117,5.851168,152.928,1167.984,1320.912,0
118,5.901227,1010.400,1227.200,2237.600,0
119,5.951140,190.864,1140.176,1331.040,0
120,6.001014,236.624,1013.584,1250.208,0
121,6.051230,196.592,1230.176,1426.768,0
122,6.101223,1052.656,1223.120,2275.776,0
123,6.151162,191.456,1161.584,1353.040,0
124,6.200951,233.744,951.024,1184.768,0
125,6.252004,221.600,2003.696,2225.296,0
126,6.302112,169.872,2111.968,2281.840,0
127,6.351144,171.360,1144.256,1315.616,0
128,6.401085,1056.080,1085.024,2141.104,0
129,6.451999,232.992,1999.360,2232.352,0
130,6.502007,235.424,2006.880,2242.304,0
131,6.552008,235.712,2008.288,2244.000,0
132,6.602085,182.560,2085.168,2267.728,0
133,6.651001,189.968,1001.136,1191.104,0
134,6.702001,199.968,2000.512,2200.480,0
135,6.752010,238.784,2010.144,2248.928,0
136,6.801086,1009.424,1086.064,2095.488,0
137,6.852041,193.424,2040.880,2234.304,0
138,6.901105,1037.152,1104.752,2141.904,0
139,6.951986,222.016,1985.904,2207.920,0
140,7.001000,230.912,999.680,1230.592,0
141,7.051486,153.088,1485.600,1638.688,0
142,7.102076,158.592,2075.856,2234.448,0
143,7.151161,156.992,1160.656,1317.648,0
144,7.201229,1127.360,1228.832,2356.192,0
145,7.252095,204.336,2094.528,2298.864,0
146,7.301320,235.440,1319.888,1555.328,0
147,7.351236,154.544,1236.048,1390.592,0
148,7.401038,198.304,1038.480,1236.784,0
