========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 152512   3676  28496    0    0   166    11  126   81 10 23 67  0  0
 0  0      0 152512   3676  28500    0    0     0     0   19   24  0  0 99  0  0
 0  0      0 152512   3676  28500    0    0     0     0   11   12  0  0 100  0  0
 0  0      0 152512   3676  28500    0    0     0     0   15   19  0  0 100  0  0
 0  0      0 152512   3676  28500    0    0     0     0   12   15  0  0 100  0  0
 0  0      0 152512   3676  28500    0    0     0   124   29   29  0  1 99  1  0
 0  0      0 152512   3676  28500    0    0     0     0   18   21  0  0 100  0  0
 1  0      0 152512   3676  28500    0    0     0     0   15   15  0  0 100  0  0
 0  0      0 152512   3676  28500    0    0     0     0   12   17  0  0 100  0  0
 0  0      0 152512   3676  28500    0    0     0     0   17   23  0  0 100  0  0
 0  0      0 152512   3676  28500    0    0     0     0   10   13  0  0 100  0  0
 0  0      0 152512   3676  28500    0    0     0     0   13   19  0  0 100  0  0
 1  0      0 152512   3676  28500    0    0     0     0   10   13  0  0 100  0  0
 0  0      0 152512   3676  28500    0    0     0     0   23   27  0  0 100  0  0
 0  0      0 152512   3676  28500    0    0     0     0   13   13  0  0 99  0  0
 0  0      0 152512   3676  28500    0    0     0     0   20   25  0  1 100  0  0
 0  0      0 152512   3676  28500    0    0     0     0   43   36  1  2 98  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 0 (0.000%)
Execution Time (μs):
Mean: 248.589
Min: 153.424
Max: 1722.768
50th percentile: 215.136
95th percentile: 295.728
99th percentile: 1633.312
99.9th percentile: 1722.768
Jitter (μs):
Mean: 1664.730
Min: 1412.880
Max: 2933.104
Response Time (μs):
Mean: 1913.319
Min: 1616.192
Max: 3559.312
50th percentile: 1871.920
95th percentile: 2131.744
99th percentile: 3275.216
99.9th percentile: 3559.312
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.051899,228.992,1898.672,2127.664,0
2,0.101541,182.368,1541.376,1723.744,0
3,0.151551,229.984,1550.880,1780.864,0
4,0.201560,180.976,1560.080,1741.056,0
5,0.251559,204.048,1558.880,1762.928,0
6,0.301660,209.888,1660.400,1870.288,0
7,0.351577,230.752,1577.296,1808.048,0
8,0.401549,179.936,1549.264,1729.200,0
9,0.451491,182.784,1490.848,1673.632,0
10,0.501593,217.536,1593.376,1810.912,0
11,0.551499,229.120,1498.976,1728.096,0
12,0.601572,215.136,1572.384,1787.520,0
13,0.651493,231.200,1492.608,1723.808,0
14,0.701583,295.472,1582.720,1878.192,0
15,0.751572,268.848,1571.568,1840.416,0
16,0.801593,290.656,1593.376,1884.032,0
17,0.851589,242.896,1588.784,1831.680,0
18,0.901712,239.008,1711.504,1950.512,0
19,0.951590,302.752,1590.176,1892.928,0
20,1.001550,209.408,1550.144,1759.552,0
21,1.051740,210.192,1740.288,1950.480,0
22,1.101635,213.184,1634.928,1848.112,0
23,1.151868,215.696,1867.504,2083.200,0
24,1.201722,193.056,1721.504,1914.560,0
25,1.251686,230.496,1686.128,1916.624,0
26,1.301719,204.144,1719.488,1923.632,0
27,1.351638,237.664,1638.448,1876.112,0
28,1.401646,223.200,1646.224,1869.424,0
29,1.451615,181.728,1615.408,1797.136,0
30,1.501541,180.112,1541.248,1721.360,0
31,1.551608,199.872,1608.000,1807.872,0
32,1.601485,233.088,1484.896,1717.984,0
33,1.651413,203.312,1412.880,1616.192,0
34,1.701616,242.048,1616.016,1858.064,0
35,1.751646,193.584,1646.400,1839.984,0
36,1.801580,256.576,1579.536,1836.112,0
37,1.851633,201.744,1632.784,1834.528,0
38,1.901634,215.072,1634.368,1849.440,0
39,1.951765,208.512,1765.200,1973.712,0
40,2.001642,1633.312,1641.904,3275.216,0
41,2.051864,214.128,1863.568,2077.696,0
42,2.101481,225.520,1481.024,1706.544,0
43,2.151730,224.288,1729.664,1953.952,0
44,2.201520,204.208,1519.504,1723.712,0
45,2.251622,165.568,1622.432,1788.000,0
46,2.301772,169.072,1771.552,1940.624,0
47,2.351773,211.968,1773.408,1985.376,0
48,2.401714,165.616,1713.520,1879.136,0
49,2.451618,202.080,1618.448,1820.528,0
50,2.501583,315.504,1582.880,1898.384,0
51,2.551613,183.616,1612.736,1796.352,0
52,2.601524,180.352,1524.288,1704.640,0
53,2.651687,216.144,1686.512,1902.656,0
54,2.701592,188.160,1591.696,1779.856,0
55,2.751668,232.544,1668.432,1900.976,0
56,2.801584,300.064,1584.224,1884.288,0
