========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 152812   3676  28496    0    0   109    10   97   61  8 17 75  0  0
 0  0      0 152812   3676  28500    0    0     0     0   11   17  1  0 99  0  0
 1  0      0 152812   3676  28500    0    0     0     0   13   17  0  0 100  0  0
 0  0      0 152812   3676  28500    0    0     0     0   17   18  0  0 100  0  0
 0  0      0 152812   3676  28500    0    0     0   124   26   35  0  1 98  2  0
 0  0      0 152812   3676  28500    0    0     0     0   15   12  0  0 100  0  0
 0  0      0 152812   3676  28500    0    0     0     0   15   19  0  0 100  0  0
 0  0      0 152812   3676  28500    0    0     0     0   16   16  0  1 99  0  0
 0  0      0 152812   3676  28500    0    0     0     0   14   21  0  0 100  0  0
 0  0      0 152812   3676  28500    0    0     0     0   14   14  0  0 100  0  0
 0  0      0 152812   3676  28500    0    0     0     0   19   22  0  0 100  0  0
 0  0      0 152812   3676  28500    0    0     0     0   11   14  0  0 100  0  0
 0  0      0 152812   3676  28500    0    0     0     0   14   21  0  0 100  0  0
 0  0      0 152812   3676  28500    0    0     0     0   16   16  0  0 100  0  0
 0  0      0 152812   3676  28500    0    0     0     0   13   16  0  0 100  0  0
 0  0      0 152812   3676  28500    0    0     0     0   19   19  0  1 99  0  0
 0  0      0 152812   3676  28500    0    0     0     0   36   42  1  1 98  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 0 (0.000%)
Execution Time (μs):
Mean: 284.743
Min: 153.664
Max: 2688.336
50th percentile: 213.712
95th percentile: 1026.384
99th percentile: 1949.456
99.9th percentile: 2688.336
Jitter (μs):
Mean: 1863.177
Min: 1002.720
Max: 2984.816
Response Time (μs):
Mean: 2147.919
Min: 1191.184
Max: 3920.048
50th percentile: 2205.824
95th percentile: 2592.640
99th percentile: 3205.600
99.9th percentile: 3920.048
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.052102,175.936,2101.968,2277.904,0
2,0.102091,221.728,2090.704,2312.432,0
3,0.151872,216.528,1872.080,2088.608,0
4,0.202044,165.920,2043.984,2209.904,0
5,0.252102,258.000,2101.632,2359.632,0
6,0.302020,235.600,2020.064,2255.664,0
7,0.352016,273.264,2015.872,2289.136,0
8,0.402121,278.368,2121.008,2399.376,0
9,0.451294,189.488,1293.808,1483.296,0
10,0.501314,1757.696,1314.336,3072.032,0
11,0.552007,188.048,2006.512,2194.560,0
12,0.602010,215.616,2009.856,2225.472,0
13,0.651973,249.376,1972.944,2222.320,0
14,0.702098,268.240,2097.856,2366.096,0
15,0.752094,153.808,2093.712,2247.520,0
16,0.801372,1393.648,1371.584,2765.232,0
17,0.852021,172.544,2020.688,2193.232,0
18,0.902123,226.736,2122.864,2349.600,0
19,0.952153,194.544,2153.488,2348.032,0
20,1.002000,242.560,2000.064,2242.624,0
21,1.052128,232.720,2127.920,2360.640,0
22,1.102133,261.056,2132.944,2394.000,0
23,1.152366,226.864,2365.776,2592.640,0
24,1.202143,218.976,2142.992,2361.968,0
25,1.251960,158.768,1959.824,2118.592,0
26,1.301957,328.144,1956.768,2284.912,0
27,1.351971,154.496,1971.312,2125.808,0
28,1.401952,205.568,1952.496,2158.064,0
29,1.451985,166.080,1985.376,2151.456,0
30,1.501977,292.528,1977.456,2269.984,0
31,1.551931,156.192,1930.672,2086.864,0
32,1.602040,221.040,2039.536,2260.576,0
33,1.652135,197.568,2135.312,2332.880,0
34,1.701961,154.144,1961.088,2115.232,0
35,1.752140,194.304,2139.920,2334.224,0
36,1.802059,175.040,2059.136,2234.176,0
37,1.851152,222.336,1151.824,1374.160,0
38,1.901652,229.728,1651.584,1881.312,0
39,1.951550,273.056,1549.744,1822.800,0
40,2.002170,228.272,2170.000,2398.272,0
41,2.052024,204.192,2024.128,2228.320,0
42,2.101128,177.552,1127.504,1305.056,0
43,2.152127,199.344,2126.736,2326.080,0
44,2.201276,1178.512,1276.256,2454.768,0
45,2.252028,255.984,2027.776,2283.760,0
46,2.301348,949.200,1348.480,2297.680,0
47,2.352128,172.928,2128.352,2301.280,0
48,2.402178,173.632,2178.096,2351.728,0
49,2.451324,194.992,1324.384,1519.376,0
50,2.501246,1149.312,1246.112,2395.424,0
51,2.551151,203.056,1150.848,1353.904,0
52,2.602109,226.016,2109.136,2335.152,0
53,2.652026,166.448,2026.480,2192.928,0
54,2.702028,186.240,2027.600,2213.840,0
55,2.752125,213.712,2125.456,2339.168,0
56,2.802025,244.512,2025.456,2269.968,0
57,2.851990,268.928,1989.696,2258.624,0
58,2.902022,184.848,2021.904,2206.752,0
59,2.952066,168.176,2065.888,2234.064,0
60,3.002012,193.232,2012.256,2205.488,0
61,3.052002,203.440,2001.968,2205.408,0
62,3.101272,1500.096,1272.032,2772.128,0
63,3.151551,220.976,1551.408,1772.384,0
64,3.202231,171.584,2231.248,2402.832,0
65,3.252100,234.960,2099.792,2334.752,0
66,3.302027,255.680,2027.040,2282.720,0
67,3.351160,223.904,1159.904,1383.808,0
68,3.402089,226.256,2089.472,2315.728,0
69,3.452006,293.776,2006.368,2300.144,0
70,3.501959,217.872,1959.328,2177.200,0
71,3.551293,207.200,1292.592,1499.792,0
72,3.601094,208.688,1094.352,1303.040,0
73,3.652172,201.872,2172.304,2374.176,0
74,3.702028,183.472,2028.320,2211.792,0
75,3.752102,166.784,2102.256,2269.040,0
76,3.801352,1340.336,1352.144,2692.480,0
77,3.852035,205.872,2034.752,2240.624,0
78,3.902028,186.096,2027.888,2213.984,0
79,3.951968,153.664,1967.888,2121.552,0
80,4.002036,264.288,2036.160,2300.448,0
81,4.052088,291.072,2088.144,2379.216,0
82,4.101429,243.824,1429.056,1672.880,0
83,4.151346,217.120,1345.680,1562.800,0
84,4.202190,214.336,2189.632,2403.968,0
85,4.251248,252.176,1247.728,1499.904,0
86,4.302089,227.664,2088.880,2316.544,0
87,4.351255,167.104,1254.768,1421.872,0
88,4.402102,166.208,2101.792,2268.000,0
89,4.452053,174.352,2052.944,2227.296,0
90,4.502178,194.800,2177.776,2372.576,0
91,4.552031,170.240,2030.528,2200.768,0
92,4.602133,290.896,2132.704,2423.600,0
93,4.652126,245.792,2126.208,2372.000,0
94,4.701199,1021.792,1199.088,2220.880,0
95,4.751264,167.232,1264.400,1431.632,0
96,4.802035,170.896,2034.928,2205.824,0
97,4.852117,211.440,2117.312,2328.752,0
98,4.902168,198.224,2168.160,2366.384,0
99,4.951295,197.008,1295.152,1492.160,0
100,5.002125,334.512,2125.072,2459.584,0
101,5.052140,223.072,2139.984,2363.056,0
102,5.102040,304.480,2039.872,2344.352,0
103,5.151188,179.120,1187.760,1366.880,0
104,5.202029,263.872,2029.392,2293.264,0
105,5.251532,280.752,1531.696,1812.448,0
106,5.302180,177.888,2180.080,2357.968,0
107,5.351285,184.640,1285.184,1469.824,0
108,5.401968,240.976,1968.496,2209.472,0
109,5.451955,170.832,1955.312,2126.144,0
110,5.502093,223.360,2093.440,2316.800,0
111,5.552124,234.128,2124.272,2358.400,0
112,5.602016,204.640,2015.872,2220.512,0
113,5.652103,250.016,2102.560,2352.576,0
114,5.701983,190.416,1982.624,2173.040,0
115,5.751255,248.464,1255.104,1503.568,0
116,5.801231,1974.144,1231.456,3205.600,0
117,5.852192,212.928,2192.112,2405.040,0
118,5.901980,164.912,1979.968,2144.880,0
119,5.951288,175.056,1288.272,1463.328,0
120,6.002143,254.480,2142.688,2397.168,0
121,6.051294,166.320,1293.840,1460.160,0
122,6.101259,1608.864,1258.848,2867.712,0
123,6.151999,193.664,1998.976,2192.640,0
124,6.202196,196.288,2195.792,2392.080,0
125,6.251181,175.616,1180.816,1356.432,0
126,6.302150,218.400,2150.320,2368.720,0
127,6.352124,256.480,2124.016,2380.496,0
128,6.402021,189.280,2021.200,2210.480,0
129,6.451306,164.832,1306.096,1470.928,0
130,6.502335,242.704,2334.608,2577.312,0
131,6.552031,206.560,2030.832,2237.392,0
132,6.601976,157.456,1976.464,2133.920,0
133,6.651962,166.384,1962.080,2128.464,0
134,6.701893,192.384,1892.944,2085.328,0
135,6.751955,155.760,1955.088,2110.848,0
136,6.802011,155.424,2011.344,2166.768,0
137,6.851962,214.720,1962.368,2177.088,0
138,6.901951,235.072,1950.512,2185.584,0
139,6.951531,256.704,1531.472,1788.176,0
140,7.002252,200.032,2252.416,2452.448,0
141,7.051354,206.496,1354.032,1560.528,0
142,7.101995,179.088,1994.736,2173.824,0
143,7.152096,237.472,2095.920,2333.392,0
144,7.202262,178.464,2261.872,2440.336,0
145,7.252140,222.560,2139.888,2362.448,0
146,7.302170,191.472,2170.000,2361.472,0
147,7.351562,223.856,1562.384,1786.240,0
148,7.402261,178.592,2261.328,2439.920,0
149,7.451303,244.064,1303.280,1547.344,0
150,7.501196,1562.512,1196.224,2758.736,0
151,7.552120,232.816,2120.224,2353.040,0
152,7.601198,1171.424,1198.368,2369.792,0
153,7.652034,236.464,2034.096,2270.560,0
154,7.701422,294.768,1421.520,1716.288,0
155,7.752138,227.520,2138.032,2365.552,0
156,7.801232,2688.336,1231.712,3920.048,0
157,7.852005,206.080,2005.200,2211.280,0
158,7.901285,1157.056,1285.200,2442.256,0
159,7.952028,186.544,2027.728,2214.272,0
160,8.002125,248.912,2124.752,2373.664,0
161,8.052074,194.480,2073.664,2268.144,0
162,8.101256,1679.904,1256.480,2936.384,0
163,8.152110,212.960,2109.728,2322.688,0
164,8.202102,249.616,2102.480,2352.096,0
165,8.252013,212.112,2013.280,2225.392,0
166,8.301948,192.032,1948.304,2140.336,0
167,8.352028,302.832,2027.648,2330.480,0
168,8.402116,252.816,2116.336,2369.152,0
169,8.452114,317.152,2113.888,2431.040,0
170,8.501124,228.832,1124.384,1353.216,0
171,8.551988,202.832,1987.856,2190.688,0
172,8.602035,242.736,2035.344,2278.080,0
173,8.652002,206.000,2002.336,2208.336,0
174,8.702023,204.656,2023.232,2227.888,0
175,8.751883,185.216,1883.104,2068.320,0
176,8.802129,223.840,2128.864,2352.704,0
177,8.852037,224.976,2036.960,2261.936,0
178,8.902019,196.976,2018.528,2215.504,0
179,8.951970,249.120,1969.520,2218.640,0
180,9.001199,193.376,1199.312,1392.688,0
181,9.051229,239.296,1229.120,1468.416,0
182,9.102010,218.480,2010.336,2228.816,0
183,9.151579,226.112,1579.008,1805.120,0
184,9.202088,218.832,2087.808,2306.640,0
185,9.251893,209.744,1893.184,2102.928,0
186,9.301889,212.208,1889.232,2101.440,0
187,9.352520,341.520,2520.224,2861.744,0
188,9.402985,204.544,2984.816,3189.360,0
189,9.451894,210.112,1894.032,2104.144,0
190,9.501978,166.592,1977.664,2144.256,0
191,9.551892,204.288,1892.192,2096.480,0
192,9.601941,242.000,1940.880,2182.880,0
193,9.651990,168.592,1989.840,2158.432,0
